position,nll
0.000000000000000000e+00,6.028637150271993761e+00
1.000000000000000000e+00,5.017328883461715350e+00
2.000000000000000000e+00,5.132648281154573944e+00
3.000000000000000000e+00,4.873383540744114839e+00
4.000000000000000000e+00,4.566492280251056357e+00
5.000000000000000000e+00,4.868819179468345304e+00
6.000000000000000000e+00,4.337624750744367930e+00
7.000000000000000000e+00,4.615006450291143203e+00
8.000000000000000000e+00,4.291720566153144567e+00
9.000000000000000000e+00,4.440097338352047451e+00
1.000000000000000000e+01,4.550622016667831282e+00
1.100000000000000000e+01,4.236331596153742218e+00
1.200000000000000000e+01,4.233018551095098836e+00
1.300000000000000000e+01,4.378482630380169383e+00
1.400000000000000000e+01,4.289350854266495539e+00
1.500000000000000000e+01,4.178860777514207925e+00
1.600000000000000000e+01,4.097130802060004129e+00
1.700000000000000000e+01,3.994512958684936166e+00
1.800000000000000000e+01,3.989880613656714647e+00
1.900000000000000000e+01,3.986110214641714666e+00
2.000000000000000000e+01,4.038191148924419771e+00
2.100000000000000000e+01,3.870166183214207134e+00
2.200000000000000000e+01,3.752601003044735428e+00
2.300000000000000000e+01,4.029512070876653418e+00
2.400000000000000000e+01,3.906218034348862833e+00
2.500000000000000000e+01,4.038315257653460222e+00
2.600000000000000000e+01,4.015542121245296414e+00
2.700000000000000000e+01,4.012415174039110966e+00
2.800000000000000000e+01,3.909708500732896663e+00
2.900000000000000000e+01,3.942131905958770055e+00
3.000000000000000000e+01,3.797336472654796236e+00
3.100000000000000000e+01,3.901614608841978526e+00
3.200000000000000000e+01,3.946030963390882551e+00
3.300000000000000000e+01,4.040602118523312747e+00
3.400000000000000000e+01,3.945721998009840359e+00
3.500000000000000000e+01,4.172968296748924999e+00
3.600000000000000000e+01,3.807945903083767458e+00
3.700000000000000000e+01,4.047123155456330501e+00
3.800000000000000000e+01,3.759056913596196203e+00
3.900000000000000000e+01,3.867010744467289651e+00
4.000000000000000000e+01,3.784491216361314692e+00
4.100000000000000000e+01,3.500492590897168910e+00
4.200000000000000000e+01,3.647119980683496632e+00
4.300000000000000000e+01,3.840717021763309535e+00
4.400000000000000000e+01,4.023738158203267190e+00
4.500000000000000000e+01,4.105513993580336418e+00
4.600000000000000000e+01,3.965458493646674132e+00
4.700000000000000000e+01,3.917451329705578189e+00
4.800000000000000000e+01,3.816380032254230503e+00
4.900000000000000000e+01,3.675634161073864092e+00
5.000000000000000000e+01,3.656493400058901777e+00
5.100000000000000000e+01,3.703788078925524641e+00
5.200000000000000000e+01,3.894580802606520287e+00
5.300000000000000000e+01,4.021680973654829572e+00
5.400000000000000000e+01,3.882208106497476496e+00
5.500000000000000000e+01,4.117103419430923061e+00
5.600000000000000000e+01,3.881139136100147269e+00
5.700000000000000000e+01,3.661190682827312859e+00
5.800000000000000000e+01,4.042848068007497631e+00
5.900000000000000000e+01,3.553549601209679221e+00
6.000000000000000000e+01,4.042732721399019624e+00
6.100000000000000000e+01,3.677407938352553085e+00
6.200000000000000000e+01,3.796384694941745686e+00
6.300000000000000000e+01,3.647476357511675538e+00
6.400000000000000000e+01,3.871838618337487326e+00
6.500000000000000000e+01,4.087933312603043490e+00
6.600000000000000000e+01,3.722414354339564468e+00
6.700000000000000000e+01,3.780302217345995697e+00
6.800000000000000000e+01,3.924823829078866400e+00
6.900000000000000000e+01,3.917306566437836146e+00
7.000000000000000000e+01,3.987801812241592359e+00
7.100000000000000000e+01,3.683358529181425034e+00
7.200000000000000000e+01,3.622369607091303845e+00
7.300000000000000000e+01,3.624346033657793953e+00
7.400000000000000000e+01,4.072085662254277594e+00
7.500000000000000000e+01,3.787267755489790666e+00
7.600000000000000000e+01,3.753921515229382333e+00
7.700000000000000000e+01,4.010743296014265269e+00
7.800000000000000000e+01,3.864980437837978400e+00
7.900000000000000000e+01,3.861872339145577371e+00
8.000000000000000000e+01,3.448093393320297739e+00
8.100000000000000000e+01,3.725603464040113444e+00
8.200000000000000000e+01,3.906795064346758828e+00
8.300000000000000000e+01,3.689718412271639547e+00
8.400000000000000000e+01,3.799548700368785781e+00
8.500000000000000000e+01,3.961562028311945038e+00
8.600000000000000000e+01,3.798749923449463939e+00
8.700000000000000000e+01,3.919188912390715984e+00
8.800000000000000000e+01,3.867991195003297911e+00
8.900000000000000000e+01,3.953871769319400986e+00
9.000000000000000000e+01,3.947648952357909025e+00
9.100000000000000000e+01,3.876196176372775692e+00
9.200000000000000000e+01,4.086296285680282914e+00
9.300000000000000000e+01,3.629125061329800506e+00
9.400000000000000000e+01,4.077444261254476565e+00
9.500000000000000000e+01,3.865966517084526544e+00
9.600000000000000000e+01,3.927124038106635684e+00
9.700000000000000000e+01,3.881462834835243569e+00
9.800000000000000000e+01,3.605476609805359889e+00
9.900000000000000000e+01,3.649680864122613944e+00
1.000000000000000000e+02,4.388727759250265592e+00
1.010000000000000000e+02,3.942527239378954551e+00
1.020000000000000000e+02,3.781541920248968847e+00
1.030000000000000000e+02,3.587371241093229468e+00
1.040000000000000000e+02,3.527755077028423614e+00
1.050000000000000000e+02,3.729103687783375420e+00
1.060000000000000000e+02,3.839955844675235319e+00
1.070000000000000000e+02,3.676962406059906652e+00
1.080000000000000000e+02,4.002697484691810637e+00
1.090000000000000000e+02,3.782080095180560431e+00
1.100000000000000000e+02,4.023075513424114291e+00
1.110000000000000000e+02,4.168022736921995985e+00
1.120000000000000000e+02,3.845299256225359397e+00
1.130000000000000000e+02,4.066841256695743922e+00
1.140000000000000000e+02,4.147219056143453209e+00
1.150000000000000000e+02,3.862196182209478579e+00
1.160000000000000000e+02,3.659093172677977623e+00
1.170000000000000000e+02,3.940657788887533375e+00
1.180000000000000000e+02,3.770006755177627067e+00
1.190000000000000000e+02,4.014197883012439405e+00
1.200000000000000000e+02,3.462010428371954163e+00
1.210000000000000000e+02,3.430842791278259529e+00
1.220000000000000000e+02,4.021852707953719630e+00
1.230000000000000000e+02,3.930489358956521073e+00
1.240000000000000000e+02,3.951687000939416272e+00
1.250000000000000000e+02,3.537108555647495045e+00
1.260000000000000000e+02,3.836274461204674857e+00
1.270000000000000000e+02,3.960241756450955553e+00
