position,nll
0.000000000000000000e+00,6.634828777195977523e+00
1.000000000000000000e+00,5.517439868041604356e+00
2.000000000000000000e+00,5.679348333155522788e+00
3.000000000000000000e+00,5.220166950581259790e+00
4.000000000000000000e+00,4.834758257730023878e+00
5.000000000000000000e+00,4.953883406257287625e+00
6.000000000000000000e+00,4.436698394867240047e+00
7.000000000000000000e+00,4.787102324201068626e+00
8.000000000000000000e+00,4.428505284038418033e+00
9.000000000000000000e+00,4.502354661576815964e+00
1.000000000000000000e+01,4.563730652935681142e+00
1.100000000000000000e+01,4.249620172518046246e+00
1.200000000000000000e+01,4.230400973653084762e+00
1.300000000000000000e+01,4.494307705527171848e+00
1.400000000000000000e+01,4.272801179553336048e+00
1.500000000000000000e+01,4.183856299006547985e+00
1.600000000000000000e+01,4.214542668810511650e+00
1.700000000000000000e+01,4.066525933573396756e+00
1.800000000000000000e+01,4.036345212309254471e+00
1.900000000000000000e+01,4.023225893837506284e+00
2.000000000000000000e+01,4.155108713315033064e+00
2.100000000000000000e+01,3.783548937196992146e+00
2.200000000000000000e+01,3.829058891528507313e+00
2.300000000000000000e+01,4.004903512436907675e+00
2.400000000000000000e+01,3.982421883902146131e+00
2.500000000000000000e+01,4.023508565555437677e+00
2.600000000000000000e+01,4.136525387339557547e+00
2.700000000000000000e+01,4.056419590336068026e+00
2.800000000000000000e+01,3.959164066173014085e+00
2.900000000000000000e+01,3.958451894273195215e+00
3.000000000000000000e+01,3.845761665710943245e+00
3.100000000000000000e+01,3.899119349888997554e+00
3.200000000000000000e+01,3.995978259996412874e+00
3.300000000000000000e+01,4.035430392019209833e+00
3.400000000000000000e+01,3.992376983455252493e+00
3.500000000000000000e+01,4.146766937196018077e+00
3.600000000000000000e+01,3.827842537052683625e+00
3.700000000000000000e+01,4.024443552135795521e+00
3.800000000000000000e+01,3.808748953718358976e+00
3.900000000000000000e+01,3.876093741253397340e+00
4.000000000000000000e+01,3.790727332952937179e+00
4.100000000000000000e+01,3.494253778641902120e+00
4.200000000000000000e+01,3.667864068510529929e+00
4.300000000000000000e+01,3.819447570808766734e+00
4.400000000000000000e+01,4.121955854000932007e+00
4.500000000000000000e+01,4.157698207567793958e+00
4.600000000000000000e+01,4.067327376974524178e+00
4.700000000000000000e+01,3.901255534490099208e+00
4.800000000000000000e+01,3.831367056353409239e+00
4.900000000000000000e+01,3.666373307360255129e+00
5.000000000000000000e+01,3.728140311450344413e+00
5.100000000000000000e+01,3.793061213184389047e+00
5.200000000000000000e+01,3.928131476242274545e+00
5.300000000000000000e+01,4.056399994597986947e+00
5.400000000000000000e+01,3.851598396380961464e+00
5.500000000000000000e+01,4.069817602047895555e+00
5.600000000000000000e+01,3.841382510512952653e+00
5.700000000000000000e+01,3.713790917526021751e+00
5.800000000000000000e+01,4.007596997010280937e+00
5.900000000000000000e+01,3.542461764057916795e+00
6.000000000000000000e+01,4.114878540509237403e+00
6.100000000000000000e+01,3.748848350862705292e+00
6.200000000000000000e+01,3.784164718131880267e+00
6.300000000000000000e+01,3.654254664345902182e+00
6.400000000000000000e+01,3.882398910786978963e+00
6.500000000000000000e+01,4.129357624081961831e+00
6.600000000000000000e+01,3.658716823631176229e+00
6.700000000000000000e+01,3.779286958632924520e+00
6.800000000000000000e+01,3.960128553782959138e+00
6.900000000000000000e+01,3.902872786402118432e+00
7.000000000000000000e+01,3.973266192228187776e+00
7.100000000000000000e+01,3.654714781887849373e+00
7.200000000000000000e+01,3.624947035389682437e+00
7.300000000000000000e+01,3.576578071101312872e+00
7.400000000000000000e+01,4.073449235355870890e+00
7.500000000000000000e+01,3.838786700635826055e+00
7.600000000000000000e+01,3.889841527541767707e+00
7.700000000000000000e+01,4.049053069193261578e+00
7.800000000000000000e+01,3.967202639722596569e+00
7.900000000000000000e+01,3.874369220838111083e+00
8.000000000000000000e+01,3.511846532686814015e+00
8.100000000000000000e+01,3.786878016240800449e+00
8.200000000000000000e+01,3.860215276863414591e+00
8.300000000000000000e+01,3.729971815456758488e+00
8.400000000000000000e+01,3.824945010030718517e+00
8.500000000000000000e+01,3.942349624094318550e+00
8.600000000000000000e+01,3.779133511513860899e+00
8.700000000000000000e+01,3.908961835148225372e+00
8.800000000000000000e+01,3.865425624519387870e+00
8.900000000000000000e+01,3.989716190492331727e+00
9.000000000000000000e+01,3.912321863644164566e+00
9.100000000000000000e+01,3.924470069526422300e+00
9.200000000000000000e+01,4.146607273706551133e+00
9.300000000000000000e+01,3.610151698258690089e+00
9.400000000000000000e+01,4.021170401839027519e+00
9.500000000000000000e+01,3.877195140361150205e+00
9.600000000000000000e+01,3.871221443086902525e+00
9.700000000000000000e+01,3.823752357862299611e+00
9.800000000000000000e+01,3.663319174151672630e+00
9.900000000000000000e+01,3.612703907077074561e+00
1.000000000000000000e+02,4.437453537537777493e+00
1.010000000000000000e+02,3.966315300571265912e+00
1.020000000000000000e+02,3.810533803590579360e+00
1.030000000000000000e+02,3.595690887307912309e+00
1.040000000000000000e+02,3.546804923798714260e+00
1.050000000000000000e+02,3.658010916296075443e+00
1.060000000000000000e+02,3.757878915547893328e+00
1.070000000000000000e+02,3.725727298152375244e+00
1.080000000000000000e+02,3.992717055109955560e+00
1.090000000000000000e+02,3.827883284194604663e+00
1.100000000000000000e+02,4.028207280290275527e+00
1.110000000000000000e+02,4.154941257243835118e+00
1.120000000000000000e+02,3.789769158317263020e+00
1.130000000000000000e+02,4.042794453071384631e+00
1.140000000000000000e+02,4.053832628069239163e+00
1.150000000000000000e+02,3.832829712083292151e+00
1.160000000000000000e+02,3.655787590242280505e+00
1.170000000000000000e+02,3.981208012588840273e+00
1.180000000000000000e+02,3.763778482719391860e+00
1.190000000000000000e+02,3.950556497250518717e+00
1.200000000000000000e+02,3.501498753451768309e+00
1.210000000000000000e+02,3.412273225781210062e+00
1.220000000000000000e+02,4.099722472919845373e+00
1.230000000000000000e+02,3.868787915470006222e+00
