position,nll
0.000000000000000000e+00,6.091616058105327802e+00
1.000000000000000000e+00,4.982235423776275596e+00
2.000000000000000000e+00,5.087444478163464900e+00
3.000000000000000000e+00,4.831985539710912825e+00
4.000000000000000000e+00,4.481783804686006789e+00
5.000000000000000000e+00,4.791154144111196445e+00
6.000000000000000000e+00,4.384986894199105478e+00
7.000000000000000000e+00,4.649038307228293476e+00
8.000000000000000000e+00,4.246906522230138314e+00
9.000000000000000000e+00,4.435908920629347385e+00
1.000000000000000000e+01,4.532717060096195461e+00
1.100000000000000000e+01,4.218394510113236962e+00
1.200000000000000000e+01,4.086113274474551638e+00
1.300000000000000000e+01,4.417826065289803594e+00
1.400000000000000000e+01,4.268270873160819434e+00
1.500000000000000000e+01,4.055240334448266815e+00
1.600000000000000000e+01,4.196222696527762253e+00
1.700000000000000000e+01,3.902905669345780204e+00
1.800000000000000000e+01,3.999626934524152411e+00
1.900000000000000000e+01,3.944646192753504366e+00
2.000000000000000000e+01,4.075207141166615976e+00
2.100000000000000000e+01,3.765592040279956532e+00
2.200000000000000000e+01,3.799717283563652348e+00
2.300000000000000000e+01,4.054647725896115773e+00
2.400000000000000000e+01,3.826653132147773917e+00
2.500000000000000000e+01,4.048251046312087098e+00
2.600000000000000000e+01,4.092965006348142865e+00
2.700000000000000000e+01,4.026165972107479618e+00
2.800000000000000000e+01,3.893356054506768249e+00
2.900000000000000000e+01,3.889144544541853765e+00
3.000000000000000000e+01,3.722100027260913713e+00
3.100000000000000000e+01,3.897390570950725053e+00
3.200000000000000000e+01,3.981681466160187366e+00
3.300000000000000000e+01,3.958414645914606567e+00
3.400000000000000000e+01,3.947481553980195290e+00
3.500000000000000000e+01,4.149500224078989774e+00
3.600000000000000000e+01,3.806746054111338484e+00
3.700000000000000000e+01,4.015673179191262321e+00
3.800000000000000000e+01,3.695575844444292546e+00
3.900000000000000000e+01,3.917630194735591154e+00
4.000000000000000000e+01,3.807018399926390906e+00
4.100000000000000000e+01,3.495333305984372085e+00
4.200000000000000000e+01,3.715311260873806809e+00
4.300000000000000000e+01,3.780774292048853180e+00
4.400000000000000000e+01,4.062117837896937367e+00
4.500000000000000000e+01,4.066333383745389440e+00
4.600000000000000000e+01,3.928164859303057810e+00
4.700000000000000000e+01,3.827480617822369702e+00
4.800000000000000000e+01,3.813524906553345417e+00
4.900000000000000000e+01,3.663484976454886244e+00
5.000000000000000000e+01,3.704866721932360996e+00
