position,nll
0.000000000000000000e+00,7.467031649068781363e+00
1.000000000000000000e+00,6.687064378669386855e+00
2.000000000000000000e+00,6.376351962160122788e+00
3.000000000000000000e+00,5.653955458418319147e+00
4.000000000000000000e+00,5.104861304617339890e+00
5.000000000000000000e+00,5.430147636393820143e+00
6.000000000000000000e+00,4.933538270820127636e+00
7.000000000000000000e+00,5.088990847825219710e+00
8.000000000000000000e+00,4.262355692843954991e+00
9.000000000000000000e+00,4.947034352587682982e+00
1.000000000000000000e+01,4.900982945275149660e+00
1.100000000000000000e+01,4.755826722781516303e+00
1.200000000000000000e+01,4.854957312982724815e+00
1.300000000000000000e+01,4.416875505133678992e+00
1.400000000000000000e+01,4.271304246675418526e+00
1.500000000000000000e+01,4.596323166299905338e+00
1.600000000000000000e+01,4.371431622562292674e+00
1.700000000000000000e+01,4.329609341404744072e+00
1.800000000000000000e+01,4.157124243290653887e+00
1.900000000000000000e+01,3.981488719398743825e+00
2.000000000000000000e+01,4.783175223477883264e+00
2.100000000000000000e+01,4.402927752558178476e+00
2.200000000000000000e+01,4.298007067421598215e+00
2.300000000000000000e+01,4.375424850195964943e+00
2.400000000000000000e+01,3.867842307874142183e+00
2.500000000000000000e+01,4.432311073370855503e+00
2.600000000000000000e+01,4.295493619102910721e+00
2.700000000000000000e+01,4.547969136695763304e+00
2.800000000000000000e+01,4.110683210402433119e+00
2.900000000000000000e+01,4.557533712115208857e+00
3.000000000000000000e+01,4.079298775038056490e+00
3.100000000000000000e+01,4.523140627952096260e+00
3.200000000000000000e+01,4.181617354511552698e+00
3.300000000000000000e+01,4.352064397572815047e+00
3.400000000000000000e+01,4.335728552891324306e+00
3.500000000000000000e+01,4.679272994528888674e+00
3.600000000000000000e+01,3.921663712890892217e+00
3.700000000000000000e+01,4.466479731117081187e+00
3.800000000000000000e+01,4.248930660539036452e+00
3.900000000000000000e+01,3.922309710766727964e+00
4.000000000000000000e+01,4.181542410522907538e+00
4.100000000000000000e+01,3.715682960142179247e+00
4.200000000000000000e+01,3.620816365221367850e+00
4.300000000000000000e+01,4.323310204889964758e+00
4.400000000000000000e+01,4.071637594191375165e+00
4.500000000000000000e+01,4.294468071996944580e+00
4.600000000000000000e+01,4.292444418699137287e+00
4.700000000000000000e+01,4.110460201152722703e+00
4.800000000000000000e+01,4.430688145021313140e+00
4.900000000000000000e+01,3.984629854768220181e+00
5.000000000000000000e+01,4.118346048920341396e+00
5.100000000000000000e+01,4.013589312933043551e+00
5.200000000000000000e+01,4.094970248618138520e+00
5.300000000000000000e+01,3.936811356966101627e+00
5.400000000000000000e+01,4.239967682329159437e+00
5.500000000000000000e+01,4.598105675399940750e+00
5.600000000000000000e+01,4.453803701877691701e+00
5.700000000000000000e+01,4.159803754587970914e+00
5.800000000000000000e+01,4.087342778776426044e+00
5.900000000000000000e+01,3.643261448692818760e+00
6.000000000000000000e+01,4.160156720392000018e+00
6.100000000000000000e+01,4.214912134633203245e+00
6.200000000000000000e+01,3.741445831586851511e+00
6.300000000000000000e+01,3.940673668307442146e+00
6.400000000000000000e+01,4.186105415958751408e+00
6.500000000000000000e+01,4.098700351300450073e+00
6.600000000000000000e+01,4.111280412518489413e+00
6.700000000000000000e+01,4.002678936638403684e+00
6.800000000000000000e+01,4.139226666660857035e+00
6.900000000000000000e+01,4.111309071511066726e+00
7.000000000000000000e+01,3.980580723498285955e+00
7.100000000000000000e+01,4.019910271016430059e+00
7.200000000000000000e+01,3.773240054853407521e+00
7.300000000000000000e+01,3.854522819601697847e+00
7.400000000000000000e+01,4.156950524532524227e+00
7.500000000000000000e+01,3.884709321697683571e+00
7.600000000000000000e+01,4.036150435347783727e+00
7.700000000000000000e+01,4.231302593844510795e+00
7.800000000000000000e+01,4.234887680793211651e+00
7.900000000000000000e+01,4.297562027098855708e+00
8.000000000000000000e+01,3.778646830253388433e+00
8.100000000000000000e+01,3.976776037316180901e+00
8.200000000000000000e+01,3.761857321452943381e+00
8.300000000000000000e+01,4.105354175584292165e+00
8.400000000000000000e+01,4.027481691109163542e+00
8.500000000000000000e+01,3.949114661078630295e+00
8.600000000000000000e+01,4.049828007498657456e+00
8.700000000000000000e+01,4.402333686263054879e+00
8.800000000000000000e+01,3.809151939277255039e+00
8.900000000000000000e+01,4.586049183823265984e+00
9.000000000000000000e+01,4.382735230897914391e+00
9.100000000000000000e+01,3.910508577646348627e+00
9.200000000000000000e+01,4.449689073447141041e+00
9.300000000000000000e+01,3.696349333731248965e+00
9.400000000000000000e+01,4.205345753054930746e+00
9.500000000000000000e+01,3.795955533425991124e+00
9.600000000000000000e+01,3.911967948808236617e+00
9.700000000000000000e+01,4.314186731224732618e+00
9.800000000000000000e+01,3.790972518523247903e+00
9.900000000000000000e+01,4.111979368737114449e+00
1.000000000000000000e+02,4.796226723594467778e+00
1.010000000000000000e+02,4.091436791710101772e+00
1.020000000000000000e+02,4.208357921148586200e+00
1.030000000000000000e+02,3.938855834692826630e+00
1.040000000000000000e+02,3.647196195250695272e+00
1.050000000000000000e+02,3.711006851944961937e+00
1.060000000000000000e+02,3.909274898701704082e+00
1.070000000000000000e+02,3.815268416899733950e+00
1.080000000000000000e+02,4.015646309259433444e+00
1.090000000000000000e+02,3.969643672483327279e+00
1.100000000000000000e+02,4.178313333136381758e+00
1.110000000000000000e+02,4.583429062738201054e+00
1.120000000000000000e+02,3.839992963846438290e+00
1.130000000000000000e+02,4.350338063524088916e+00
1.140000000000000000e+02,4.418272608290671144e+00
1.150000000000000000e+02,3.865438084607471847e+00
1.160000000000000000e+02,4.008594575983328134e+00
1.170000000000000000e+02,4.525330957988396463e+00
1.180000000000000000e+02,4.406216910960880639e+00
1.190000000000000000e+02,4.471442488071548205e+00
1.200000000000000000e+02,3.795674982599800629e+00
1.210000000000000000e+02,4.022072528997484575e+00
1.220000000000000000e+02,4.243244605593836205e+00
1.230000000000000000e+02,4.297458800703201298e+00
1.240000000000000000e+02,4.211048037464742322e+00
1.250000000000000000e+02,3.910491743921546970e+00
1.260000000000000000e+02,4.001208780866459591e+00
1.270000000000000000e+02,3.912481369034043865e+00
1.280000000000000000e+02,3.978208254741299132e+00
1.290000000000000000e+02,4.584159971195683525e+00
1.300000000000000000e+02,4.370754746003321145e+00
1.310000000000000000e+02,4.326058871832700881e+00
1.320000000000000000e+02,4.089446056699288512e+00
1.330000000000000000e+02,3.974799934452197370e+00
1.340000000000000000e+02,4.283300509472035777e+00
1.350000000000000000e+02,4.207751025115660681e+00
1.360000000000000000e+02,3.980534616046689234e+00
1.370000000000000000e+02,3.659948244517995164e+00
1.380000000000000000e+02,4.330988380725772302e+00
1.390000000000000000e+02,3.820740622867034197e+00
1.400000000000000000e+02,4.415640135209908834e+00
1.410000000000000000e+02,4.055023360656999643e+00
1.420000000000000000e+02,4.096395943625362968e+00
1.430000000000000000e+02,4.159434217533041434e+00
1.440000000000000000e+02,3.917246154541651926e+00
1.450000000000000000e+02,3.887193673106498437e+00
1.460000000000000000e+02,3.832369146617757405e+00
1.470000000000000000e+02,4.441623690638439648e+00
1.480000000000000000e+02,3.987978345179918005e+00
1.490000000000000000e+02,4.102180444997333808e+00
1.500000000000000000e+02,3.898986825375925669e+00
1.510000000000000000e+02,3.967972993450147090e+00
1.520000000000000000e+02,3.932988208191856572e+00
1.530000000000000000e+02,4.547282317742141089e+00
1.540000000000000000e+02,3.873354938230764155e+00
1.550000000000000000e+02,3.435686695768565002e+00
1.560000000000000000e+02,3.830277532883644032e+00
1.570000000000000000e+02,4.074173407411619152e+00
1.580000000000000000e+02,3.945850780176298755e+00
1.590000000000000000e+02,4.459922920426929949e+00
1.600000000000000000e+02,3.783708890871677610e+00
1.610000000000000000e+02,3.925241672717483254e+00
1.620000000000000000e+02,4.209564205730872644e+00
1.630000000000000000e+02,4.256501460195929454e+00
1.640000000000000000e+02,4.485438874426395550e+00
1.650000000000000000e+02,4.264319211881037575e+00
1.660000000000000000e+02,4.134412840112896781e+00
1.670000000000000000e+02,3.860476694883848037e+00
1.680000000000000000e+02,3.606538607377603345e+00
1.690000000000000000e+02,3.747955469759242320e+00
1.700000000000000000e+02,4.344298640471318862e+00
1.710000000000000000e+02,3.938360653139074685e+00
1.720000000000000000e+02,4.031156122970921629e+00
1.730000000000000000e+02,4.028734077140382119e+00
1.740000000000000000e+02,3.643033210175704362e+00
1.750000000000000000e+02,3.899478405497646794e+00
1.760000000000000000e+02,4.018647238236122909e+00
1.770000000000000000e+02,3.930225912818537726e+00
1.780000000000000000e+02,3.703959685956329739e+00
1.790000000000000000e+02,4.305637592674956160e+00
1.800000000000000000e+02,4.001746482028944563e+00
1.810000000000000000e+02,4.024336038698828055e+00
1.820000000000000000e+02,4.327901218452576693e+00
1.830000000000000000e+02,4.196305007696393474e+00
1.840000000000000000e+02,4.141323359790380465e+00
1.850000000000000000e+02,3.972085394351252852e+00
1.860000000000000000e+02,4.019763982415976322e+00
1.870000000000000000e+02,3.724289194019021032e+00
1.880000000000000000e+02,3.842569971345303426e+00
1.890000000000000000e+02,3.633901925577542880e+00
1.900000000000000000e+02,3.907580410465446796e+00
1.910000000000000000e+02,3.818309125169865759e+00
1.920000000000000000e+02,3.663336820713084307e+00
1.930000000000000000e+02,4.213181292949516710e+00
1.940000000000000000e+02,3.927970571538408784e+00
1.950000000000000000e+02,3.456871794726865676e+00
1.960000000000000000e+02,4.107589843391714624e+00
1.970000000000000000e+02,4.293829468322177156e+00
1.980000000000000000e+02,3.994411569897094338e+00
1.990000000000000000e+02,4.160326018120700908e+00
2.000000000000000000e+02,4.009428525073560401e+00
2.010000000000000000e+02,4.064162387280367383e+00
2.020000000000000000e+02,4.061598023831672677e+00
2.030000000000000000e+02,3.828885364125629742e+00
2.040000000000000000e+02,3.947362230350240253e+00
2.050000000000000000e+02,4.515445731514007299e+00
2.060000000000000000e+02,4.414088681167125827e+00
2.070000000000000000e+02,3.870386082919139881e+00
2.080000000000000000e+02,4.282351352712123749e+00
2.090000000000000000e+02,3.938130206460826788e+00
2.100000000000000000e+02,3.397219848194553027e+00
2.110000000000000000e+02,3.848790847664531611e+00
2.120000000000000000e+02,4.233225415259336266e+00
2.130000000000000000e+02,4.310357518205579552e+00
2.140000000000000000e+02,3.867163533490383998e+00
2.150000000000000000e+02,3.748044860271252610e+00
2.160000000000000000e+02,3.750285835982618554e+00
2.170000000000000000e+02,4.093654336910204528e+00
2.180000000000000000e+02,4.389585135400442262e+00
2.190000000000000000e+02,4.174443942561514298e+00
2.200000000000000000e+02,3.442907326299877724e+00
2.210000000000000000e+02,4.093908896522311380e+00
2.220000000000000000e+02,3.879585092142836977e+00
2.230000000000000000e+02,3.416599600909648871e+00
2.240000000000000000e+02,3.916321782408897612e+00
2.250000000000000000e+02,4.044173669728969855e+00
2.260000000000000000e+02,4.011602394964460139e+00
2.270000000000000000e+02,3.913960038863909752e+00
2.280000000000000000e+02,4.132012075437064169e+00
2.290000000000000000e+02,3.818621268148107095e+00
2.300000000000000000e+02,3.811615644179063622e+00
2.310000000000000000e+02,4.189490567768715756e+00
2.320000000000000000e+02,4.169716450839539235e+00
2.330000000000000000e+02,4.206432332818573983e+00
2.340000000000000000e+02,4.146508724606112750e+00
2.350000000000000000e+02,4.075290049130241066e+00
2.360000000000000000e+02,3.899583534257161421e+00
2.370000000000000000e+02,3.610388916933994441e+00
2.380000000000000000e+02,4.354456361720957069e+00
2.390000000000000000e+02,3.926909825179647484e+00
2.400000000000000000e+02,3.929221064718531942e+00
2.410000000000000000e+02,4.298174248838844136e+00
2.420000000000000000e+02,3.801273317641875593e+00
2.430000000000000000e+02,3.873680981363768705e+00
2.440000000000000000e+02,3.810465142335392130e+00
2.450000000000000000e+02,3.590619373813943138e+00
2.460000000000000000e+02,3.860736440983026263e+00
2.470000000000000000e+02,3.944809807184547434e+00
2.480000000000000000e+02,3.967984750639707681e+00
2.490000000000000000e+02,4.520492566559512149e+00
2.500000000000000000e+02,4.062599174378862088e+00
2.510000000000000000e+02,4.298585011433858405e+00
2.520000000000000000e+02,3.718804925587008814e+00
2.530000000000000000e+02,4.224889172896693523e+00
2.540000000000000000e+02,3.799704391701915540e+00
2.550000000000000000e+02,4.140121895119112772e+00
2.560000000000000000e+02,3.793013170191490868e+00
2.570000000000000000e+02,4.011796016808244048e+00
2.580000000000000000e+02,4.301053382373586587e+00
2.590000000000000000e+02,3.829214223244745696e+00
2.600000000000000000e+02,3.785069790094941933e+00
2.610000000000000000e+02,3.789350089692513635e+00
2.620000000000000000e+02,4.147003961089802182e+00
2.630000000000000000e+02,4.247072198477230387e+00
2.640000000000000000e+02,4.300643953461028346e+00
2.650000000000000000e+02,3.779003048744877802e+00
2.660000000000000000e+02,4.009401434873181458e+00
2.670000000000000000e+02,3.992119161870121946e+00
2.680000000000000000e+02,3.674772435224823219e+00
2.690000000000000000e+02,3.813887827973016176e+00
2.700000000000000000e+02,3.891211800715322244e+00
2.710000000000000000e+02,4.019701200189668810e+00
2.720000000000000000e+02,3.966459642931065233e+00
2.730000000000000000e+02,3.832827753255322989e+00
2.740000000000000000e+02,3.913870129216535876e+00
2.750000000000000000e+02,3.952169000471162263e+00
2.760000000000000000e+02,3.883397968390454480e+00
2.770000000000000000e+02,4.128688641515557478e+00
2.780000000000000000e+02,4.042134257013937138e+00
2.790000000000000000e+02,4.287056753508391438e+00
2.800000000000000000e+02,4.090876161846704662e+00
2.810000000000000000e+02,4.462499623470648658e+00
2.820000000000000000e+02,3.825076656648793261e+00
2.830000000000000000e+02,3.983955893114469848e+00
2.840000000000000000e+02,4.147262538026552647e+00
2.850000000000000000e+02,3.979764081890080796e+00
2.860000000000000000e+02,4.075515723013507063e+00
2.870000000000000000e+02,4.119555917881370988e+00
2.880000000000000000e+02,4.422810902902328145e+00
2.890000000000000000e+02,3.861793496246383572e+00
2.900000000000000000e+02,3.656349203115065283e+00
2.910000000000000000e+02,3.705387399805706306e+00
2.920000000000000000e+02,3.749102815561950575e+00
2.930000000000000000e+02,3.854044353167026760e+00
2.940000000000000000e+02,4.296087848357370120e+00
2.950000000000000000e+02,3.993096097212017970e+00
2.960000000000000000e+02,4.284009148544722478e+00
2.970000000000000000e+02,3.999090897165220149e+00
2.980000000000000000e+02,4.450359468207400582e+00
2.990000000000000000e+02,4.257734216253370896e+00
3.000000000000000000e+02,3.775960477134886695e+00
3.010000000000000000e+02,3.923406853003574390e+00
3.020000000000000000e+02,4.057063853498363848e+00
3.030000000000000000e+02,4.006862203461902361e+00
3.040000000000000000e+02,4.313375183398372670e+00
3.050000000000000000e+02,3.947713844387755078e+00
3.060000000000000000e+02,4.165053874045904436e+00
3.070000000000000000e+02,4.436880476913708904e+00
3.080000000000000000e+02,3.623931801941867370e+00
3.090000000000000000e+02,4.084606536264273835e+00
3.100000000000000000e+02,4.252844846477033869e+00
3.110000000000000000e+02,4.133411716957389181e+00
3.120000000000000000e+02,4.001108013533857921e+00
3.130000000000000000e+02,3.974103270410284328e+00
3.140000000000000000e+02,4.248014350532349326e+00
3.150000000000000000e+02,3.643079612997074612e+00
3.160000000000000000e+02,4.232223184591451748e+00
3.170000000000000000e+02,3.813388002400307730e+00
3.180000000000000000e+02,3.643054510146995106e+00
3.190000000000000000e+02,3.960162298582297957e+00
3.200000000000000000e+02,4.305330388273336695e+00
3.210000000000000000e+02,4.704386417524585973e+00
3.220000000000000000e+02,4.229978467653633167e+00
3.230000000000000000e+02,3.710314417981479540e+00
3.240000000000000000e+02,4.157630598054215199e+00
3.250000000000000000e+02,4.135684844790279868e+00
3.260000000000000000e+02,4.250466691743104874e+00
3.270000000000000000e+02,4.127843598194838037e+00
3.280000000000000000e+02,4.173548534695471268e+00
3.290000000000000000e+02,3.964391486948634746e+00
3.300000000000000000e+02,4.374998444365988171e+00
3.310000000000000000e+02,4.725588978279311014e+00
3.320000000000000000e+02,4.204402142155805322e+00
3.330000000000000000e+02,3.804888147265907961e+00
3.340000000000000000e+02,3.914280083990792747e+00
3.350000000000000000e+02,4.023226881807204336e+00
3.360000000000000000e+02,4.173815859232394843e+00
3.370000000000000000e+02,4.306777601832100899e+00
3.380000000000000000e+02,4.123952396407969623e+00
3.390000000000000000e+02,3.803415782681488277e+00
3.400000000000000000e+02,3.792405544676416440e+00
3.410000000000000000e+02,4.409512248040348581e+00
3.420000000000000000e+02,3.959451950838372536e+00
3.430000000000000000e+02,4.414935917201402660e+00
3.440000000000000000e+02,4.248718924644842687e+00
3.450000000000000000e+02,4.140395671666881050e+00
3.460000000000000000e+02,3.349654642733795207e+00
3.470000000000000000e+02,3.982612527752519505e+00
3.480000000000000000e+02,3.762820112708308518e+00
3.490000000000000000e+02,3.575049688388389768e+00
3.500000000000000000e+02,3.794245362007083955e+00
3.510000000000000000e+02,3.878750536267991489e+00
3.520000000000000000e+02,3.865362212601068492e+00
3.530000000000000000e+02,4.029461676690276661e+00
3.540000000000000000e+02,3.518359969604477389e+00
3.550000000000000000e+02,4.214615240845253297e+00
3.560000000000000000e+02,4.118103994099855392e+00
3.570000000000000000e+02,3.898350891351966219e+00
3.580000000000000000e+02,3.929806219198661132e+00
3.590000000000000000e+02,3.487473976205939241e+00
3.600000000000000000e+02,4.156888468067288400e+00
3.610000000000000000e+02,3.820322578886780729e+00
3.620000000000000000e+02,3.621196843642361163e+00
3.630000000000000000e+02,4.047208857552552885e+00
3.640000000000000000e+02,4.229278509680385767e+00
3.650000000000000000e+02,3.896617414384979217e+00
3.660000000000000000e+02,4.002309282630640119e+00
3.670000000000000000e+02,3.583988363165441005e+00
3.680000000000000000e+02,3.923317985039159517e+00
3.690000000000000000e+02,3.899599159312185925e+00
3.700000000000000000e+02,4.300215228738651696e+00
3.710000000000000000e+02,4.185669815518561876e+00
3.720000000000000000e+02,3.507007192935193807e+00
3.730000000000000000e+02,4.071606478721246702e+00
3.740000000000000000e+02,4.237741670084926859e+00
3.750000000000000000e+02,4.012253063260160069e+00
3.760000000000000000e+02,4.253590016831319431e+00
3.770000000000000000e+02,4.069469037029959324e+00
3.780000000000000000e+02,3.553998176854005653e+00
3.790000000000000000e+02,4.180268411690408747e+00
3.800000000000000000e+02,3.942111275597198983e+00
3.810000000000000000e+02,3.958113778300206498e+00
3.820000000000000000e+02,4.292059907914000050e+00
3.830000000000000000e+02,4.138455782211454270e+00
3.840000000000000000e+02,3.666254943556658930e+00
3.850000000000000000e+02,3.799205214483471593e+00
3.860000000000000000e+02,3.958358374707657834e+00
3.870000000000000000e+02,3.824737075442163903e+00
3.880000000000000000e+02,3.782003014301727806e+00
3.890000000000000000e+02,3.588434294188812324e+00
3.900000000000000000e+02,3.992257710676653915e+00
3.910000000000000000e+02,3.973020545500778322e+00
3.920000000000000000e+02,3.744261187716035888e+00
3.930000000000000000e+02,3.998263301875268461e+00
3.940000000000000000e+02,4.166609034098081032e+00
3.950000000000000000e+02,3.957524318009841391e+00
3.960000000000000000e+02,4.094184685888313524e+00
3.970000000000000000e+02,3.876189033605968337e+00
3.980000000000000000e+02,4.045312863707773765e+00
3.990000000000000000e+02,3.871701630727521160e+00
4.000000000000000000e+02,4.028549721844395748e+00
4.010000000000000000e+02,4.306979592638334964e+00
4.020000000000000000e+02,3.741882533218334750e+00
4.030000000000000000e+02,4.030506445821916195e+00
4.040000000000000000e+02,3.444160743919287171e+00
4.050000000000000000e+02,3.749970187034011193e+00
4.060000000000000000e+02,4.329281776256194370e+00
4.070000000000000000e+02,3.744951147420674697e+00
4.080000000000000000e+02,3.799993179859101122e+00
4.090000000000000000e+02,4.058374706990051983e+00
4.100000000000000000e+02,3.862837636643521755e+00
4.110000000000000000e+02,3.913895645470419016e+00
4.120000000000000000e+02,4.035732153727908944e+00
4.130000000000000000e+02,3.854715489403277129e+00
4.140000000000000000e+02,4.134551596309584021e+00
4.150000000000000000e+02,3.705102939134169215e+00
4.160000000000000000e+02,4.369655913761849142e+00
4.170000000000000000e+02,3.681723909038210785e+00
4.180000000000000000e+02,4.145004110446806500e+00
4.190000000000000000e+02,3.732215998935460188e+00
4.200000000000000000e+02,4.055143471425444623e+00
4.210000000000000000e+02,4.345823674037665896e+00
4.220000000000000000e+02,3.517199684988937314e+00
4.230000000000000000e+02,4.174197535627937938e+00
4.240000000000000000e+02,3.635005743016096691e+00
4.250000000000000000e+02,3.791165569370174016e+00
4.260000000000000000e+02,4.379669899487117490e+00
4.270000000000000000e+02,3.810578444614999061e+00
4.280000000000000000e+02,3.938504254219735046e+00
4.290000000000000000e+02,3.918248646602334517e+00
4.300000000000000000e+02,3.812902269873072569e+00
4.310000000000000000e+02,3.825112440989725471e+00
4.320000000000000000e+02,4.207881306663622034e+00
4.330000000000000000e+02,3.969220452803519095e+00
4.340000000000000000e+02,3.716084731398471952e+00
4.350000000000000000e+02,4.254114863960574588e+00
4.360000000000000000e+02,4.348260995735089729e+00
4.370000000000000000e+02,3.880369741271255890e+00
4.380000000000000000e+02,3.688118286161242043e+00
4.390000000000000000e+02,3.814406309075294210e+00
4.400000000000000000e+02,3.755022449868096857e+00
4.410000000000000000e+02,4.132105363831549916e+00
4.420000000000000000e+02,3.724337276724805523e+00
4.430000000000000000e+02,3.783932630453435753e+00
4.440000000000000000e+02,3.901041493394873605e+00
4.450000000000000000e+02,3.963748821456491545e+00
4.460000000000000000e+02,4.211257662907859078e+00
4.470000000000000000e+02,3.819435411431521210e+00
4.480000000000000000e+02,4.121815594657451065e+00
4.490000000000000000e+02,3.826501755154990025e+00
4.500000000000000000e+02,3.941488859742668271e+00
4.510000000000000000e+02,3.801528457013007678e+00
4.520000000000000000e+02,4.076848126334401634e+00
4.530000000000000000e+02,3.748961364403121888e+00
4.540000000000000000e+02,4.115328169367402644e+00
4.550000000000000000e+02,3.834715353720974385e+00
4.560000000000000000e+02,3.967218598338627888e+00
4.570000000000000000e+02,3.934132112042214580e+00
4.580000000000000000e+02,3.658398144072156022e+00
4.590000000000000000e+02,4.175708407229792307e+00
4.600000000000000000e+02,3.609721656076879448e+00
4.610000000000000000e+02,3.835039086295828792e+00
4.620000000000000000e+02,4.511113865645687504e+00
4.630000000000000000e+02,3.640348192463821242e+00
4.640000000000000000e+02,3.726636284042222691e+00
4.650000000000000000e+02,3.981658738410798648e+00
4.660000000000000000e+02,4.155495464631210112e+00
4.670000000000000000e+02,4.149639439986793299e+00
4.680000000000000000e+02,4.199147731571668096e+00
