position,nll
0.000000000000000000e+00,2.967129506542228956e+00
1.000000000000000000e+00,2.502808580443453224e+00
2.000000000000000000e+00,2.110818352207618265e+00
3.000000000000000000e+00,1.806850285182676430e+00
4.000000000000000000e+00,1.692050281361286546e+00
5.000000000000000000e+00,1.489135894006915928e+00
6.000000000000000000e+00,1.439356437791830645e+00
7.000000000000000000e+00,1.420152281296700014e+00
8.000000000000000000e+00,1.352259878980374586e+00
9.000000000000000000e+00,1.305603967396197440e+00
1.000000000000000000e+01,1.403763382726365139e+00
1.100000000000000000e+01,1.398896510529090476e+00
1.200000000000000000e+01,1.317035175691412263e+00
1.300000000000000000e+01,1.300201258144497052e+00
1.400000000000000000e+01,1.370570441938294470e+00
1.500000000000000000e+01,1.251755015942882077e+00
1.600000000000000000e+01,1.325066766982407218e+00
1.700000000000000000e+01,1.264346755583511506e+00
1.800000000000000000e+01,1.269384723074651111e+00
1.900000000000000000e+01,1.326993172703793578e+00
2.000000000000000000e+01,1.412553732526537820e+00
2.100000000000000000e+01,1.340436195149482312e+00
2.200000000000000000e+01,1.334287303241783684e+00
2.300000000000000000e+01,1.286553376688362782e+00
2.400000000000000000e+01,1.270334049739006543e+00
2.500000000000000000e+01,1.229697991612979990e+00
2.600000000000000000e+01,1.275547604991748463e+00
2.700000000000000000e+01,1.255570252156591238e+00
2.800000000000000000e+01,1.292925952863557493e+00
2.900000000000000000e+01,1.332943181993657245e+00
3.000000000000000000e+01,1.270105200540846857e+00
3.100000000000000000e+01,1.336181285179024014e+00
3.200000000000000000e+01,1.261583890437026234e+00
3.300000000000000000e+01,1.289154501095283845e+00
3.400000000000000000e+01,1.253659818347457211e+00
3.500000000000000000e+01,1.257443277945616389e+00
3.600000000000000000e+01,1.262161831984655480e+00
3.700000000000000000e+01,1.257913560953492160e+00
3.800000000000000000e+01,1.251309201296692875e+00
3.900000000000000000e+01,1.269498705189602505e+00
4.000000000000000000e+01,1.236908985602450661e+00
4.100000000000000000e+01,1.227826060198467406e+00
4.200000000000000000e+01,1.256055637558624705e+00
4.300000000000000000e+01,1.186960210614212974e+00
4.400000000000000000e+01,1.262824474695435795e+00
4.500000000000000000e+01,1.341460927066294939e+00
4.600000000000000000e+01,1.262544081447007693e+00
4.700000000000000000e+01,1.314318235903514598e+00
4.800000000000000000e+01,1.321395704680402572e+00
4.900000000000000000e+01,1.241755852505235902e+00
5.000000000000000000e+01,1.273653295534978636e+00
5.100000000000000000e+01,1.279098150774824028e+00
5.200000000000000000e+01,1.271907127963831874e+00
5.300000000000000000e+01,1.191514168359596004e+00
5.400000000000000000e+01,1.246381979176497179e+00
5.500000000000000000e+01,1.244912253425181747e+00
5.600000000000000000e+01,1.259071432797442824e+00
5.700000000000000000e+01,1.245930429153459418e+00
5.800000000000000000e+01,1.273155484448711183e+00
5.900000000000000000e+01,1.234552714970968523e+00
6.000000000000000000e+01,1.228268360875702792e+00
6.100000000000000000e+01,1.234183779760453348e+00
6.200000000000000000e+01,1.240874732117508206e+00
6.300000000000000000e+01,1.154906709495698403e+00
6.400000000000000000e+01,1.209913358618013968e+00
6.500000000000000000e+01,1.154390906284648688e+00
6.600000000000000000e+01,1.127725043288851481e+00
6.700000000000000000e+01,1.168343332843386539e+00
6.800000000000000000e+01,1.210156532509406135e+00
6.900000000000000000e+01,1.274096811722901235e+00
7.000000000000000000e+01,1.271640464963811779e+00
7.100000000000000000e+01,1.295040289210624307e+00
7.200000000000000000e+01,1.221077924777124402e+00
7.300000000000000000e+01,1.237855472799164414e+00
7.400000000000000000e+01,1.263660975431877498e+00
7.500000000000000000e+01,1.181311328427677054e+00
7.600000000000000000e+01,1.274158005340019661e+00
7.700000000000000000e+01,1.343023038032411298e+00
7.800000000000000000e+01,1.178239494337572468e+00
7.900000000000000000e+01,1.248863159311190074e+00
8.000000000000000000e+01,1.208635062677201333e+00
8.100000000000000000e+01,1.230626178083992661e+00
8.200000000000000000e+01,1.159650843504677509e+00
8.300000000000000000e+01,1.155521866957711641e+00
8.400000000000000000e+01,1.211471139872714931e+00
8.500000000000000000e+01,1.169437613858129055e+00
8.600000000000000000e+01,1.291809483288292260e+00
8.700000000000000000e+01,1.273163329752295736e+00
8.800000000000000000e+01,1.267002700102906942e+00
8.900000000000000000e+01,1.296770259557107119e+00
9.000000000000000000e+01,1.243287294048077252e+00
9.100000000000000000e+01,1.255393732247430894e+00
9.200000000000000000e+01,1.273781056090884878e+00
9.300000000000000000e+01,1.260521910153484360e+00
9.400000000000000000e+01,1.200087843994494641e+00
9.500000000000000000e+01,1.273189612388073266e+00
9.600000000000000000e+01,1.225162646248717291e+00
9.700000000000000000e+01,1.231343779383624604e+00
9.800000000000000000e+01,1.209671983983320986e+00
9.900000000000000000e+01,1.234163287094002026e+00
1.000000000000000000e+02,1.170880974534389329e+00
1.010000000000000000e+02,1.206885123391648662e+00
1.020000000000000000e+02,1.183880023344956234e+00
1.030000000000000000e+02,1.168970160543367331e+00
1.040000000000000000e+02,1.259301507956061883e+00
1.050000000000000000e+02,1.187250623069127542e+00
1.060000000000000000e+02,1.153020664110847138e+00
1.070000000000000000e+02,1.206827327146346995e+00
1.080000000000000000e+02,1.271442833376505543e+00
1.090000000000000000e+02,1.128176018655811630e+00
1.100000000000000000e+02,1.185525180991685357e+00
1.110000000000000000e+02,1.185810503172215924e+00
1.120000000000000000e+02,1.209519614587162506e+00
1.130000000000000000e+02,1.206986394650269467e+00
1.140000000000000000e+02,1.237993636652790386e+00
1.150000000000000000e+02,1.212517775267817788e+00
1.160000000000000000e+02,1.289395505761648630e+00
1.170000000000000000e+02,1.297567604186889323e+00
1.180000000000000000e+02,1.230959006158863334e+00
1.190000000000000000e+02,1.273138798417947637e+00
1.200000000000000000e+02,1.178119896488524443e+00
1.210000000000000000e+02,1.161323882347385705e+00
1.220000000000000000e+02,1.237954727986972037e+00
1.230000000000000000e+02,1.173570456347520441e+00
1.240000000000000000e+02,1.225175574175269455e+00
1.250000000000000000e+02,1.217786144479288790e+00
1.260000000000000000e+02,1.212433273190474781e+00
1.270000000000000000e+02,1.243778242912502163e+00
1.280000000000000000e+02,1.239163586832990882e+00
1.290000000000000000e+02,1.276656152652503762e+00
1.300000000000000000e+02,1.236931704669285814e+00
1.310000000000000000e+02,1.224033970404707405e+00
1.320000000000000000e+02,1.259853535435715655e+00
1.330000000000000000e+02,1.255092195475562500e+00
1.340000000000000000e+02,1.166024752608707971e+00
1.350000000000000000e+02,1.163861813611917873e+00
1.360000000000000000e+02,1.243233588801066603e+00
1.370000000000000000e+02,1.299875662150256517e+00
1.380000000000000000e+02,1.288236584339237600e+00
1.390000000000000000e+02,1.143829499947068840e+00
1.400000000000000000e+02,1.242147191290704944e+00
1.410000000000000000e+02,1.191865083620462507e+00
1.420000000000000000e+02,1.142378273396883914e+00
1.430000000000000000e+02,1.221927417006837935e+00
1.440000000000000000e+02,1.218842623177930351e+00
1.450000000000000000e+02,1.268377871309110283e+00
1.460000000000000000e+02,1.221048509193318088e+00
1.470000000000000000e+02,1.270323012630549586e+00
1.480000000000000000e+02,1.226324084034571493e+00
1.490000000000000000e+02,1.258947099968872108e+00
1.500000000000000000e+02,1.227675370323068282e+00
1.510000000000000000e+02,1.302393990882228625e+00
1.520000000000000000e+02,1.259040169544406007e+00
1.530000000000000000e+02,1.252322811184582996e+00
1.540000000000000000e+02,1.263844148465074424e+00
1.550000000000000000e+02,1.272538515418213612e+00
1.560000000000000000e+02,1.213382125298204439e+00
1.570000000000000000e+02,1.183410549577939674e+00
1.580000000000000000e+02,1.173804331790889943e+00
1.590000000000000000e+02,1.254913303841236560e+00
1.600000000000000000e+02,1.213491850933991589e+00
1.610000000000000000e+02,1.219257966921004854e+00
1.620000000000000000e+02,1.227560930336409450e+00
1.630000000000000000e+02,1.240215309313569936e+00
1.640000000000000000e+02,1.163546266404758667e+00
1.650000000000000000e+02,1.245221343148385396e+00
1.660000000000000000e+02,1.237674316770569272e+00
1.670000000000000000e+02,1.231042699310358035e+00
1.680000000000000000e+02,1.219522692926264362e+00
1.690000000000000000e+02,1.282939307165495535e+00
1.700000000000000000e+02,1.166419275656448651e+00
1.710000000000000000e+02,1.250077720140766679e+00
1.720000000000000000e+02,1.251844502754948962e+00
1.730000000000000000e+02,1.258085151988010741e+00
1.740000000000000000e+02,1.266095456638602901e+00
1.750000000000000000e+02,1.217965652737764026e+00
1.760000000000000000e+02,1.175750375447767615e+00
1.770000000000000000e+02,1.264173056284712882e+00
1.780000000000000000e+02,1.211532091171525716e+00
1.790000000000000000e+02,1.248904567855114722e+00
1.800000000000000000e+02,1.239596663718934844e+00
1.810000000000000000e+02,1.321893130907692004e+00
1.820000000000000000e+02,1.218701259931418202e+00
1.830000000000000000e+02,1.256121650296330161e+00
1.840000000000000000e+02,1.256656554142950855e+00
1.850000000000000000e+02,1.217046453215573143e+00
1.860000000000000000e+02,1.185064954302377682e+00
1.870000000000000000e+02,1.172648843863233425e+00
1.880000000000000000e+02,1.246374120471710922e+00
1.890000000000000000e+02,1.278875466522892523e+00
1.900000000000000000e+02,1.269280574539286555e+00
1.910000000000000000e+02,1.231556775434144102e+00
1.920000000000000000e+02,1.215005535009693105e+00
1.930000000000000000e+02,1.205498727589531249e+00
1.940000000000000000e+02,1.226470773829154037e+00
1.950000000000000000e+02,1.218414669343748535e+00
1.960000000000000000e+02,1.239760124888445780e+00
1.970000000000000000e+02,1.277652449464102391e+00
1.980000000000000000e+02,1.216999949886607757e+00
1.990000000000000000e+02,1.188489812759591313e+00
2.000000000000000000e+02,1.240829140308003398e+00
2.010000000000000000e+02,1.230048661318279057e+00
2.020000000000000000e+02,1.296661291603142363e+00
2.030000000000000000e+02,1.222074278764831989e+00
2.040000000000000000e+02,1.248680574515346420e+00
2.050000000000000000e+02,1.161468334228176635e+00
2.060000000000000000e+02,1.230131093180260260e+00
2.070000000000000000e+02,1.155906073879141793e+00
2.080000000000000000e+02,1.227913587467509338e+00
2.090000000000000000e+02,1.163588627243585583e+00
2.100000000000000000e+02,1.246654042687262764e+00
2.110000000000000000e+02,1.244070858139946445e+00
2.120000000000000000e+02,1.210399744056103621e+00
2.130000000000000000e+02,1.268428740816003097e+00
2.140000000000000000e+02,1.210454043899177323e+00
2.150000000000000000e+02,1.239932106499386899e+00
2.160000000000000000e+02,1.180882733771908999e+00
2.170000000000000000e+02,1.308864586172636457e+00
2.180000000000000000e+02,1.245829671233967373e+00
2.190000000000000000e+02,1.204644985988834627e+00
2.200000000000000000e+02,1.225917057045981196e+00
2.210000000000000000e+02,1.143031913702385438e+00
2.220000000000000000e+02,1.254048133561278977e+00
2.230000000000000000e+02,1.285982391981690176e+00
2.240000000000000000e+02,1.249503115467221148e+00
2.250000000000000000e+02,1.247583605275015994e+00
2.260000000000000000e+02,1.229518912637548533e+00
2.270000000000000000e+02,1.225847550415740228e+00
2.280000000000000000e+02,1.233389608518599356e+00
2.290000000000000000e+02,1.213927354277340553e+00
2.300000000000000000e+02,1.262627660140161812e+00
2.310000000000000000e+02,1.258536247776288697e+00
2.320000000000000000e+02,1.213281033754191940e+00
2.330000000000000000e+02,1.192037669118260812e+00
2.340000000000000000e+02,1.203431693238995681e+00
2.350000000000000000e+02,1.209293302557209016e+00
2.360000000000000000e+02,1.257603426468583585e+00
2.370000000000000000e+02,1.259805933272521328e+00
2.380000000000000000e+02,1.239256435333699669e+00
2.390000000000000000e+02,1.268672834581972442e+00
2.400000000000000000e+02,1.210207180633143143e+00
2.410000000000000000e+02,1.227613582277561344e+00
2.420000000000000000e+02,1.250666416030954187e+00
2.430000000000000000e+02,1.209079230882218692e+00
2.440000000000000000e+02,1.240224835649907931e+00
2.450000000000000000e+02,1.176816095604829027e+00
2.460000000000000000e+02,1.205881574207398721e+00
2.470000000000000000e+02,1.192003276761665065e+00
2.480000000000000000e+02,1.257201849578853059e+00
2.490000000000000000e+02,1.117398089030703812e+00
2.500000000000000000e+02,1.134692298537569810e+00
2.510000000000000000e+02,1.256395083034898441e+00
2.520000000000000000e+02,1.188706662148478310e+00
2.530000000000000000e+02,1.102877166965144706e+00
2.540000000000000000e+02,1.270678447870719818e+00
2.550000000000000000e+02,1.193905939295383689e+00
2.560000000000000000e+02,1.196283835809389018e+00
2.570000000000000000e+02,1.229055216279768992e+00
2.580000000000000000e+02,1.275533349760956003e+00
2.590000000000000000e+02,1.318973722675163440e+00
2.600000000000000000e+02,1.223079768834052672e+00
2.610000000000000000e+02,1.184903387802684227e+00
2.620000000000000000e+02,1.206377854418523743e+00
2.630000000000000000e+02,1.249088981483557736e+00
2.640000000000000000e+02,1.252850192725749379e+00
2.650000000000000000e+02,1.270090693217457822e+00
2.660000000000000000e+02,1.282115192121559444e+00
2.670000000000000000e+02,1.254305995737845292e+00
2.680000000000000000e+02,1.285152108565969620e+00
2.690000000000000000e+02,1.213613818656628318e+00
2.700000000000000000e+02,1.230151640164456328e+00
2.710000000000000000e+02,1.245788279671298682e+00
2.720000000000000000e+02,1.227761475641502731e+00
2.730000000000000000e+02,1.172302868293603639e+00
2.740000000000000000e+02,1.231314522556525848e+00
2.750000000000000000e+02,1.215655280400215865e+00
2.760000000000000000e+02,1.216374360433226665e+00
2.770000000000000000e+02,1.140705126075086673e+00
2.780000000000000000e+02,1.224697010959199250e+00
2.790000000000000000e+02,1.258809006690007282e+00
2.800000000000000000e+02,1.248297370394953587e+00
2.810000000000000000e+02,1.276653206836409371e+00
2.820000000000000000e+02,1.232036382507943895e+00
2.830000000000000000e+02,1.220096021450623791e+00
2.840000000000000000e+02,1.179110286969623056e+00
2.850000000000000000e+02,1.182520953333870084e+00
2.860000000000000000e+02,1.106597575120335408e+00
2.870000000000000000e+02,1.181824351661491024e+00
2.880000000000000000e+02,1.205970195898528496e+00
2.890000000000000000e+02,1.201349892038670708e+00
2.900000000000000000e+02,1.274980633941410479e+00
2.910000000000000000e+02,1.258550891530002103e+00
2.920000000000000000e+02,1.232089651701651967e+00
2.930000000000000000e+02,1.246420464011233076e+00
2.940000000000000000e+02,1.213837259540640368e+00
2.950000000000000000e+02,1.237181747717656100e+00
2.960000000000000000e+02,1.300501103424931193e+00
2.970000000000000000e+02,1.243577160369750301e+00
2.980000000000000000e+02,1.316894095138118059e+00
2.990000000000000000e+02,1.259245077907215737e+00
3.000000000000000000e+02,1.169075932427317666e+00
3.010000000000000000e+02,1.194856072072040920e+00
3.020000000000000000e+02,1.237301236031342899e+00
3.030000000000000000e+02,1.235761596097916915e+00
3.040000000000000000e+02,1.290665649845323060e+00
3.050000000000000000e+02,1.207538492224664806e+00
3.060000000000000000e+02,1.237220170373245276e+00
3.070000000000000000e+02,1.243825602965921151e+00
3.080000000000000000e+02,1.201881500253857871e+00
3.090000000000000000e+02,1.247115596080748512e+00
3.100000000000000000e+02,1.207523039489662331e+00
3.110000000000000000e+02,1.155746120760850815e+00
3.120000000000000000e+02,1.237048444022777804e+00
3.130000000000000000e+02,1.202042561553168909e+00
3.140000000000000000e+02,1.149256213880015309e+00
3.150000000000000000e+02,1.139732431849328487e+00
3.160000000000000000e+02,1.187390892521979602e+00
3.170000000000000000e+02,1.228173371355708143e+00
3.180000000000000000e+02,1.198013715324826700e+00
3.190000000000000000e+02,1.226741036562894127e+00
3.200000000000000000e+02,1.177135425731645979e+00
3.210000000000000000e+02,1.146951494080534095e+00
3.220000000000000000e+02,1.221731000740036155e+00
3.230000000000000000e+02,1.197716330320488076e+00
3.240000000000000000e+02,1.242466373193031437e+00
3.250000000000000000e+02,1.245198352719820045e+00
3.260000000000000000e+02,1.149677228557373310e+00
3.270000000000000000e+02,1.213951540211350100e+00
3.280000000000000000e+02,1.224042031488912885e+00
3.290000000000000000e+02,1.198072551723220691e+00
3.300000000000000000e+02,1.148472845332048298e+00
3.310000000000000000e+02,1.279642889038163478e+00
3.320000000000000000e+02,1.270013241702714568e+00
3.330000000000000000e+02,1.274462177438264732e+00
3.340000000000000000e+02,1.306371207653745703e+00
3.350000000000000000e+02,1.276032717211261991e+00
3.360000000000000000e+02,1.206416549570963337e+00
3.370000000000000000e+02,1.187470477677698755e+00
3.380000000000000000e+02,1.134258580936911454e+00
3.390000000000000000e+02,1.193949291872861140e+00
3.400000000000000000e+02,1.222899596647790688e+00
3.410000000000000000e+02,1.264258009650575998e+00
3.420000000000000000e+02,1.217223434830938533e+00
3.430000000000000000e+02,1.228617931429477395e+00
3.440000000000000000e+02,1.233747341585885726e+00
3.450000000000000000e+02,1.280017961192418952e+00
3.460000000000000000e+02,1.237638916386366361e+00
3.470000000000000000e+02,1.245373227952723871e+00
3.480000000000000000e+02,1.159740265264065151e+00
3.490000000000000000e+02,1.260022629649875991e+00
3.500000000000000000e+02,1.196709416879964349e+00
3.510000000000000000e+02,1.194980746635486701e+00
3.520000000000000000e+02,1.228619464153157148e+00
3.530000000000000000e+02,1.196917093836421531e+00
3.540000000000000000e+02,1.199808676715760747e+00
3.550000000000000000e+02,1.292231752883765017e+00
3.560000000000000000e+02,1.249625665567766220e+00
3.570000000000000000e+02,1.293759442087495604e+00
3.580000000000000000e+02,1.219045273525261930e+00
3.590000000000000000e+02,1.276547374866691564e+00
3.600000000000000000e+02,1.204983600360540752e+00
3.610000000000000000e+02,1.221136566263778089e+00
3.620000000000000000e+02,1.195483093820409737e+00
3.630000000000000000e+02,1.163961749623593667e+00
3.640000000000000000e+02,1.273998672315637570e+00
3.650000000000000000e+02,1.238919997985140409e+00
3.660000000000000000e+02,1.322338910101731768e+00
3.670000000000000000e+02,1.168499650776917864e+00
3.680000000000000000e+02,1.244768527722724283e+00
3.690000000000000000e+02,1.242709439807290206e+00
3.700000000000000000e+02,1.213757317807812708e+00
3.710000000000000000e+02,1.200525781269136116e+00
3.720000000000000000e+02,1.184658321327172414e+00
3.730000000000000000e+02,1.343424816039814562e+00
3.740000000000000000e+02,1.228198925329569757e+00
3.750000000000000000e+02,1.141281790416577957e+00
3.760000000000000000e+02,1.206210100135029384e+00
3.770000000000000000e+02,1.209255755429414325e+00
3.780000000000000000e+02,1.228187395847106123e+00
3.790000000000000000e+02,1.202663048625200570e+00
3.800000000000000000e+02,1.291890692428360632e+00
3.810000000000000000e+02,1.263331256675513492e+00
3.820000000000000000e+02,1.287074447081070661e+00
3.830000000000000000e+02,1.226549314223058129e+00
3.840000000000000000e+02,1.240943151424945601e+00
3.850000000000000000e+02,1.222290517408590516e+00
3.860000000000000000e+02,1.198061442972455648e+00
3.870000000000000000e+02,1.217698636275003299e+00
3.880000000000000000e+02,1.268526502876652584e+00
3.890000000000000000e+02,1.143298653174032120e+00
3.900000000000000000e+02,1.243626470684208174e+00
3.910000000000000000e+02,1.209271896231749466e+00
3.920000000000000000e+02,1.236891954562185258e+00
3.930000000000000000e+02,1.260073028808589957e+00
3.940000000000000000e+02,1.238470440580102583e+00
3.950000000000000000e+02,1.187637233324172481e+00
3.960000000000000000e+02,1.175647991498694589e+00
3.970000000000000000e+02,1.250235889862597150e+00
3.980000000000000000e+02,1.268930587586522218e+00
3.990000000000000000e+02,1.208581259709756273e+00
4.000000000000000000e+02,1.165622262857069824e+00
4.010000000000000000e+02,1.219630113197451848e+00
4.020000000000000000e+02,1.235243567070410498e+00
4.030000000000000000e+02,1.158472447891842005e+00
4.040000000000000000e+02,1.178539618572003622e+00
4.050000000000000000e+02,1.123062623743959598e+00
4.060000000000000000e+02,1.256868592401886309e+00
4.070000000000000000e+02,1.247545147751843997e+00
4.080000000000000000e+02,1.207936882357815378e+00
4.090000000000000000e+02,1.225579570988088118e+00
4.100000000000000000e+02,1.222227110200300171e+00
4.110000000000000000e+02,1.171473127138734416e+00
4.120000000000000000e+02,1.088353854765078843e+00
4.130000000000000000e+02,1.121652255788365915e+00
4.140000000000000000e+02,1.207414884853473147e+00
4.150000000000000000e+02,1.253145105515551361e+00
4.160000000000000000e+02,1.263843572845066543e+00
4.170000000000000000e+02,1.168730008396632325e+00
4.180000000000000000e+02,1.200789301408255350e+00
4.190000000000000000e+02,1.290143493805834485e+00
4.200000000000000000e+02,1.229747173293632256e+00
4.210000000000000000e+02,1.200580984324283174e+00
4.220000000000000000e+02,1.183140564349885127e+00
4.230000000000000000e+02,1.206984118453764188e+00
4.240000000000000000e+02,1.208183056621010776e+00
4.250000000000000000e+02,1.260179859359527255e+00
4.260000000000000000e+02,1.209078817026503883e+00
4.270000000000000000e+02,1.230386668973202591e+00
4.280000000000000000e+02,1.219529023949180058e+00
4.290000000000000000e+02,1.202668947996271109e+00
4.300000000000000000e+02,1.222575752903813706e+00
4.310000000000000000e+02,1.216577884001275978e+00
4.320000000000000000e+02,1.257978902696992085e+00
4.330000000000000000e+02,1.224685273035055477e+00
4.340000000000000000e+02,1.301635570232408057e+00
4.350000000000000000e+02,1.177544785877183919e+00
4.360000000000000000e+02,1.232233700417362021e+00
4.370000000000000000e+02,1.141255827951144886e+00
4.380000000000000000e+02,1.259461428092656821e+00
4.390000000000000000e+02,1.314142978789071714e+00
4.400000000000000000e+02,1.292311489742693498e+00
4.410000000000000000e+02,1.260936625823154245e+00
4.420000000000000000e+02,1.299177782448782903e+00
4.430000000000000000e+02,1.187070564239846027e+00
4.440000000000000000e+02,1.271922140455777006e+00
4.450000000000000000e+02,1.213422879902974039e+00
4.460000000000000000e+02,1.181926383878644460e+00
4.470000000000000000e+02,1.279045627018903897e+00
4.480000000000000000e+02,1.250843568674445461e+00
4.490000000000000000e+02,1.234077510616896411e+00
4.500000000000000000e+02,1.212474777759178002e+00
4.510000000000000000e+02,1.215422930460200002e+00
4.520000000000000000e+02,1.200059324952819750e+00
4.530000000000000000e+02,1.242143254803725450e+00
4.540000000000000000e+02,1.294333997748987386e+00
4.550000000000000000e+02,1.304167737222665879e+00
4.560000000000000000e+02,1.331259813433214534e+00
4.570000000000000000e+02,1.276084096151945957e+00
4.580000000000000000e+02,1.231691278005006884e+00
4.590000000000000000e+02,1.225419150578287653e+00
4.600000000000000000e+02,1.244174825841836363e+00
4.610000000000000000e+02,1.269115239437038190e+00
4.620000000000000000e+02,1.244313453123024438e+00
4.630000000000000000e+02,1.196189330781486371e+00
4.640000000000000000e+02,1.236029935538019542e+00
4.650000000000000000e+02,1.208652383509770889e+00
4.660000000000000000e+02,1.159792201159787650e+00
4.670000000000000000e+02,1.166306218777157788e+00
