position,nll
0.000000000000000000e+00,2.951463735331905092e+00
1.000000000000000000e+00,2.493501414435872032e+00
2.000000000000000000e+00,2.090968913467220247e+00
3.000000000000000000e+00,1.819130392697438037e+00
4.000000000000000000e+00,1.685147014549135625e+00
5.000000000000000000e+00,1.478626883434051686e+00
6.000000000000000000e+00,1.440985693636965381e+00
7.000000000000000000e+00,1.434925033470014988e+00
8.000000000000000000e+00,1.359524142582861250e+00
9.000000000000000000e+00,1.309397715180143695e+00
1.000000000000000000e+01,1.417359951116406114e+00
1.100000000000000000e+01,1.390949076562919551e+00
1.200000000000000000e+01,1.321957700505550282e+00
1.300000000000000000e+01,1.300966332626844357e+00
1.400000000000000000e+01,1.371274657076564374e+00
1.500000000000000000e+01,1.265833770263628644e+00
1.600000000000000000e+01,1.321809683840529326e+00
1.700000000000000000e+01,1.278381925455490675e+00
1.800000000000000000e+01,1.256338203625935401e+00
1.900000000000000000e+01,1.323727982306540873e+00
2.000000000000000000e+01,1.400983705472706342e+00
2.100000000000000000e+01,1.335471545082202560e+00
2.200000000000000000e+01,1.331670429948805578e+00
2.300000000000000000e+01,1.273508598700024530e+00
2.400000000000000000e+01,1.237265493861052779e+00
2.500000000000000000e+01,1.242650997178313288e+00
2.600000000000000000e+01,1.279293089166833930e+00
2.700000000000000000e+01,1.275055027272176789e+00
2.800000000000000000e+01,1.286234368557434005e+00
2.900000000000000000e+01,1.311085466015785794e+00
3.000000000000000000e+01,1.265881343461565001e+00
3.100000000000000000e+01,1.341378243741451426e+00
3.200000000000000000e+01,1.264430640303478848e+00
3.300000000000000000e+01,1.289782454289059910e+00
3.400000000000000000e+01,1.280426560788029855e+00
3.500000000000000000e+01,1.247814027942775850e+00
3.600000000000000000e+01,1.264775030069961170e+00
3.700000000000000000e+01,1.247383286716130524e+00
3.800000000000000000e+01,1.243962936459233726e+00
3.900000000000000000e+01,1.265120804822573275e+00
4.000000000000000000e+01,1.252423737066181042e+00
4.100000000000000000e+01,1.233756052281667737e+00
4.200000000000000000e+01,1.277891754878128561e+00
4.300000000000000000e+01,1.182517222259736878e+00
4.400000000000000000e+01,1.273892564302907759e+00
4.500000000000000000e+01,1.348926107946902153e+00
4.600000000000000000e+01,1.279840827593245800e+00
4.700000000000000000e+01,1.306077071950345392e+00
4.800000000000000000e+01,1.330360194312379507e+00
4.900000000000000000e+01,1.228899101107613356e+00
5.000000000000000000e+01,1.276334826103191489e+00
5.100000000000000000e+01,1.276619262668637234e+00
5.200000000000000000e+01,1.279851146040993148e+00
5.300000000000000000e+01,1.172115715563888383e+00
5.400000000000000000e+01,1.252191684793994231e+00
5.500000000000000000e+01,1.247254548726933088e+00
5.600000000000000000e+01,1.250832047224267551e+00
5.700000000000000000e+01,1.240022362989716909e+00
5.800000000000000000e+01,1.275902600351597638e+00
5.900000000000000000e+01,1.233218957576137420e+00
6.000000000000000000e+01,1.219880095931061836e+00
6.100000000000000000e+01,1.240346598607125816e+00
6.200000000000000000e+01,1.233173055164023424e+00
6.300000000000000000e+01,1.153305695458855862e+00
6.400000000000000000e+01,1.208009707437268432e+00
6.500000000000000000e+01,1.161443514600417615e+00
6.600000000000000000e+01,1.121423602010810150e+00
6.700000000000000000e+01,1.162206950936965910e+00
6.800000000000000000e+01,1.217947802311713623e+00
6.900000000000000000e+01,1.283731131174064455e+00
7.000000000000000000e+01,1.283694031431054983e+00
7.100000000000000000e+01,1.296575038297067106e+00
7.200000000000000000e+01,1.211956896173088660e+00
7.300000000000000000e+01,1.246905319341698792e+00
7.400000000000000000e+01,1.248202942444460506e+00
7.500000000000000000e+01,1.180878404224262601e+00
7.600000000000000000e+01,1.249049482635179675e+00
7.700000000000000000e+01,1.322563312971629435e+00
7.800000000000000000e+01,1.193737568354457546e+00
7.900000000000000000e+01,1.243882788458376742e+00
8.000000000000000000e+01,1.232279261107652957e+00
8.100000000000000000e+01,1.244890868495420966e+00
8.200000000000000000e+01,1.159237002314998266e+00
8.300000000000000000e+01,1.172458340229619811e+00
8.400000000000000000e+01,1.233897249634883675e+00
8.500000000000000000e+01,1.184873250702056735e+00
8.600000000000000000e+01,1.301076050685562535e+00
8.700000000000000000e+01,1.286493881528262939e+00
8.800000000000000000e+01,1.258820373067688569e+00
8.900000000000000000e+01,1.311989385530608621e+00
9.000000000000000000e+01,1.244090223906716419e+00
9.100000000000000000e+01,1.237414869842869525e+00
9.200000000000000000e+01,1.272725409069238145e+00
9.300000000000000000e+01,1.255889523621721571e+00
9.400000000000000000e+01,1.203279909082338062e+00
9.500000000000000000e+01,1.279157069955767057e+00
9.600000000000000000e+01,1.223089963351457365e+00
9.700000000000000000e+01,1.237625757893162204e+00
9.800000000000000000e+01,1.204486043466734824e+00
9.900000000000000000e+01,1.238256682178940027e+00
1.000000000000000000e+02,1.173485117253549648e+00
1.010000000000000000e+02,1.210818652731016298e+00
1.020000000000000000e+02,1.177366722378112573e+00
1.030000000000000000e+02,1.162868195092870982e+00
1.040000000000000000e+02,1.253441859787807422e+00
1.050000000000000000e+02,1.186196001448049930e+00
1.060000000000000000e+02,1.168521429960930558e+00
1.070000000000000000e+02,1.195830627240329624e+00
1.080000000000000000e+02,1.248538410661720111e+00
1.090000000000000000e+02,1.137780959762199284e+00
1.100000000000000000e+02,1.190471124243219325e+00
1.110000000000000000e+02,1.160837724230411538e+00
1.120000000000000000e+02,1.192196235850783381e+00
1.130000000000000000e+02,1.224752167301487615e+00
1.140000000000000000e+02,1.248250673889513163e+00
1.150000000000000000e+02,1.220556636113798943e+00
1.160000000000000000e+02,1.270637806190214159e+00
1.170000000000000000e+02,1.315002610067900424e+00
1.180000000000000000e+02,1.218523901266533205e+00
1.190000000000000000e+02,1.259346502393141387e+00
1.200000000000000000e+02,1.196283640730427145e+00
1.210000000000000000e+02,1.162891480346734507e+00
1.220000000000000000e+02,1.233984219221468726e+00
1.230000000000000000e+02,1.177766957684488247e+00
1.240000000000000000e+02,1.218160573462499396e+00
1.250000000000000000e+02,1.224952796091646201e+00
1.260000000000000000e+02,1.228272697559006144e+00
1.270000000000000000e+02,1.259847573475035842e+00
1.280000000000000000e+02,1.233803725952575148e+00
1.290000000000000000e+02,1.271739723864591110e+00
1.300000000000000000e+02,1.250730223394775242e+00
1.310000000000000000e+02,1.215455417133739946e+00
1.320000000000000000e+02,1.265140693773283864e+00
1.330000000000000000e+02,1.258765550571796732e+00
1.340000000000000000e+02,1.194948399574995657e+00
1.350000000000000000e+02,1.168730541352494212e+00
1.360000000000000000e+02,1.251404979227950021e+00
1.370000000000000000e+02,1.308028622727509083e+00
1.380000000000000000e+02,1.300532411559553791e+00
1.390000000000000000e+02,1.141003628991160035e+00
1.400000000000000000e+02,1.248404370929234064e+00
1.410000000000000000e+02,1.187329288998657306e+00
1.420000000000000000e+02,1.136963925914866058e+00
1.430000000000000000e+02,1.236746109152793816e+00
1.440000000000000000e+02,1.244616890066796211e+00
1.450000000000000000e+02,1.276853619594452427e+00
1.460000000000000000e+02,1.222494767749684241e+00
1.470000000000000000e+02,1.255176729796161794e+00
1.480000000000000000e+02,1.239127721089235079e+00
1.490000000000000000e+02,1.266169054608669242e+00
1.500000000000000000e+02,1.242890544396913599e+00
1.510000000000000000e+02,1.301834175741681809e+00
