position,nll
0.000000000000000000e+00,3.481973711185951004e+00
1.000000000000000000e+00,2.942850306355317969e+00
2.000000000000000000e+00,2.286413623637149506e+00
3.000000000000000000e+00,1.915642234475111394e+00
4.000000000000000000e+00,1.845870263563644587e+00
5.000000000000000000e+00,1.690754202833269382e+00
6.000000000000000000e+00,1.602533282796646086e+00
7.000000000000000000e+00,1.423947599202539438e+00
8.000000000000000000e+00,1.298169291065719655e+00
9.000000000000000000e+00,1.467069021988369970e+00
1.000000000000000000e+01,1.526054927994321631e+00
1.100000000000000000e+01,1.480251471305143784e+00
1.200000000000000000e+01,1.374152860536572041e+00
1.300000000000000000e+01,1.315487455130176953e+00
1.400000000000000000e+01,1.394012818455440339e+00
1.500000000000000000e+01,1.266237722029508683e+00
1.600000000000000000e+01,1.365646131340124247e+00
1.700000000000000000e+01,1.421896658888941678e+00
1.800000000000000000e+01,1.179859837921351629e+00
1.900000000000000000e+01,1.252439043857682011e+00
2.000000000000000000e+01,1.327284818064406124e+00
2.100000000000000000e+01,1.338176825273968973e+00
2.200000000000000000e+01,1.275304235432289435e+00
2.300000000000000000e+01,1.320206107551634700e+00
2.400000000000000000e+01,1.230892006113369463e+00
2.500000000000000000e+01,1.363566669866110637e+00
2.600000000000000000e+01,1.239613192030381450e+00
2.700000000000000000e+01,1.419466146589953404e+00
2.800000000000000000e+01,1.208656346927240444e+00
2.900000000000000000e+01,1.386426825814911057e+00
3.000000000000000000e+01,1.332707229279722183e+00
3.100000000000000000e+01,1.445175739531176173e+00
3.200000000000000000e+01,1.343612670057575453e+00
3.300000000000000000e+01,1.199369604953995916e+00
3.400000000000000000e+01,1.276698890338808345e+00
3.500000000000000000e+01,1.252446812395909159e+00
3.600000000000000000e+01,1.229451368785879239e+00
3.700000000000000000e+01,1.254951016245253292e+00
3.800000000000000000e+01,1.191928312420887037e+00
3.900000000000000000e+01,1.322503837886396250e+00
4.000000000000000000e+01,1.131248058611956431e+00
4.100000000000000000e+01,1.342208526348389830e+00
4.200000000000000000e+01,1.305912851733317837e+00
4.300000000000000000e+01,1.158264393849130380e+00
4.400000000000000000e+01,1.163372127199259198e+00
4.500000000000000000e+01,1.276130767450496251e+00
4.600000000000000000e+01,1.147187071868798647e+00
4.700000000000000000e+01,1.412291779533719538e+00
4.800000000000000000e+01,1.311268878511256286e+00
4.900000000000000000e+01,1.221390427443481252e+00
5.000000000000000000e+01,1.280246052587763694e+00
5.100000000000000000e+01,1.273996461677311620e+00
5.200000000000000000e+01,1.286452793838555486e+00
5.300000000000000000e+01,1.143730454082738213e+00
5.400000000000000000e+01,1.134834988241524734e+00
5.500000000000000000e+01,1.275171777803439266e+00
5.600000000000000000e+01,1.187019863130608810e+00
5.700000000000000000e+01,1.296998904147385723e+00
5.800000000000000000e+01,1.198276316687048704e+00
5.900000000000000000e+01,1.153172525456824138e+00
6.000000000000000000e+01,1.255023904059396678e+00
6.100000000000000000e+01,1.202668369421783012e+00
6.200000000000000000e+01,1.268478700750913957e+00
6.300000000000000000e+01,1.069100302309427653e+00
6.400000000000000000e+01,1.127666994039523640e+00
