position,nll
0.000000000000000000e+00,3.621134081694387774e+00
1.000000000000000000e+00,3.068849398483411761e+00
2.000000000000000000e+00,2.162433011089696766e+00
3.000000000000000000e+00,2.058905180482006880e+00
4.000000000000000000e+00,2.125248881072605567e+00
5.000000000000000000e+00,1.740404654989106348e+00
6.000000000000000000e+00,1.579413483738837831e+00
7.000000000000000000e+00,1.531104334017742818e+00
8.000000000000000000e+00,1.158135884440094854e+00
9.000000000000000000e+00,1.415771576550660438e+00
1.000000000000000000e+01,1.474510430262613969e+00
1.100000000000000000e+01,1.427359809944295677e+00
1.200000000000000000e+01,1.340034695411113086e+00
1.300000000000000000e+01,1.296088181310455889e+00
1.400000000000000000e+01,1.538871408688512465e+00
1.500000000000000000e+01,1.456102256691481411e+00
1.600000000000000000e+01,1.358984924728390720e+00
1.700000000000000000e+01,1.367844528765233658e+00
1.800000000000000000e+01,1.189264715162655639e+00
1.900000000000000000e+01,1.139981941928884801e+00
2.000000000000000000e+01,1.226855457490800161e+00
2.100000000000000000e+01,1.195298384489816179e+00
2.200000000000000000e+01,1.463107088915421627e+00
2.300000000000000000e+01,1.461524881527255015e+00
2.400000000000000000e+01,1.256541325709181978e+00
2.500000000000000000e+01,1.382904478832068351e+00
2.600000000000000000e+01,1.227324014502013672e+00
2.700000000000000000e+01,1.655827034121006847e+00
2.800000000000000000e+01,1.326274759611375087e+00
2.900000000000000000e+01,1.528373426577768646e+00
3.000000000000000000e+01,1.384001556003472189e+00
3.100000000000000000e+01,1.535848864469076647e+00
3.200000000000000000e+01,1.470959661269214180e+00
3.300000000000000000e+01,1.288127692104401367e+00
3.400000000000000000e+01,1.317443829295610325e+00
3.500000000000000000e+01,1.429974106563589142e+00
3.600000000000000000e+01,1.421139445705576598e+00
3.700000000000000000e+01,1.421477881768384410e+00
3.800000000000000000e+01,1.416547979587784001e+00
3.900000000000000000e+01,1.262740350766857977e+00
4.000000000000000000e+01,1.191886020146883052e+00
4.100000000000000000e+01,1.308918511388535322e+00
4.200000000000000000e+01,1.265104447057973092e+00
4.300000000000000000e+01,1.185373298424421629e+00
4.400000000000000000e+01,1.058519386926874084e+00
4.500000000000000000e+01,1.171827992362331594e+00
4.600000000000000000e+01,1.175627922025006766e+00
4.700000000000000000e+01,1.485103442757175873e+00
4.800000000000000000e+01,1.318563285213665282e+00
4.900000000000000000e+01,1.238976753402982300e+00
5.000000000000000000e+01,1.349104765280571883e+00
5.100000000000000000e+01,1.241158937291880759e+00
5.200000000000000000e+01,1.318382877942272602e+00
5.300000000000000000e+01,1.323980384271348232e+00
5.400000000000000000e+01,1.261650606612946701e+00
5.500000000000000000e+01,1.371739580880162679e+00
5.600000000000000000e+01,1.500882201816574169e+00
5.700000000000000000e+01,1.353170723433753331e+00
5.800000000000000000e+01,1.272428717516480567e+00
5.900000000000000000e+01,1.292999536584255482e+00
6.000000000000000000e+01,1.217709107394177037e+00
6.100000000000000000e+01,1.171287176307439282e+00
6.200000000000000000e+01,1.239473762024557058e+00
6.300000000000000000e+01,1.050654819522988781e+00
6.400000000000000000e+01,1.271111785237735603e+00
6.500000000000000000e+01,1.326544401691008623e+00
6.600000000000000000e+01,1.046566921042540343e+00
6.700000000000000000e+01,1.122697691350798443e+00
6.800000000000000000e+01,1.335334808007150764e+00
6.900000000000000000e+01,1.302439741286721686e+00
7.000000000000000000e+01,1.140812258454005912e+00
7.100000000000000000e+01,1.361480130941392863e+00
7.200000000000000000e+01,1.371112819732508425e+00
7.300000000000000000e+01,1.497898283877331815e+00
7.400000000000000000e+01,1.290825289276031684e+00
7.500000000000000000e+01,1.315052516836084040e+00
7.600000000000000000e+01,1.149044675502457258e+00
7.700000000000000000e+01,1.440912005705621057e+00
7.800000000000000000e+01,1.348784306719608139e+00
7.900000000000000000e+01,1.151171807132126634e+00
8.000000000000000000e+01,1.253273226228262205e+00
8.100000000000000000e+01,1.446140934834003966e+00
8.200000000000000000e+01,1.317438373342539215e+00
8.300000000000000000e+01,1.438989811069979252e+00
8.400000000000000000e+01,1.454171150855520400e+00
8.500000000000000000e+01,1.136563641233997668e+00
8.600000000000000000e+01,1.241893788853255742e+00
8.700000000000000000e+01,1.187801009894859483e+00
8.800000000000000000e+01,1.212785783826515473e+00
8.900000000000000000e+01,1.402882072459760820e+00
9.000000000000000000e+01,1.312880216756495466e+00
9.100000000000000000e+01,1.250696248451755421e+00
9.200000000000000000e+01,1.263194619598595470e+00
9.300000000000000000e+01,1.603599854963249527e+00
9.400000000000000000e+01,1.398260916825644129e+00
9.500000000000000000e+01,1.496002244347963694e+00
9.600000000000000000e+01,1.400904957762625136e+00
9.700000000000000000e+01,1.256057724257659824e+00
9.800000000000000000e+01,1.268365993098038658e+00
9.900000000000000000e+01,1.578618382242750195e+00
1.000000000000000000e+02,1.151940836091901010e+00
1.010000000000000000e+02,1.452929954453889172e+00
1.020000000000000000e+02,1.215818413669790266e+00
1.030000000000000000e+02,1.393888637361861083e+00
1.040000000000000000e+02,1.110372372398447327e+00
