PyTorch 2.11.0 for DeltaAI (CUDA 13.0, Python 3.12)
Includes: transformers, accelerate, datasets, peft, lightning,
          timm, bitsandbytes, diffusers, mpi4py, tensorboard,
          wandb, jupyter, scipy, scikit-learn, opencv, nvitop
New in this build (sm_90 source builds):
  flash-attn, transformer_engine, xformers, apex, mamba-ssm,
  triton, torch-geometric, cupy-cuda13x, tensorrt, flashinfer
Known: transformer_engine and cupy currently fail at import due to
  a cu13 libcublasLt / cython ABI mismatch on this stack — use the
  other attention paths (flash-attn, xformers) and stock torch CUDA
  until an upstream fix lands.

For documentation and examples:
  https://docs.ncsa.illinois.edu/systems/deltaai/

Run setup-kernel prior to launching OOD job.

Quick start (on a compute node):
  module load python/miniforge3_pytorch/2.11.0
  conda activate base
  python -c "import torch; print(torch.cuda.is_available())"

CUDA extensions: CUDA_HOME, nvcc, and CMAKE_PREFIX_PATH come from the
auto-loaded cuda/13.1.1 module.

host: gh151.hsn.cm.delta.internal.ncsa.edu   started: Thu Sep  3 05:20:43 PM CDT 2026
name, memory.total [MiB], driver_version
NVIDIA GH200 120GB, 97871 MiB, 595.71.05
torch 2.11.0+cu130 cuda True
triton 3.5.1

==== arm: --arm smat --d 2 --no-lr T=4096   Thu Sep  3 05:20:51 PM CDT 2026 ====
{
 "run": "smat_d2_qkn_nolr_tri",
 "arm": "smat",
 "d": 2,
 "T": 4096,
 "layers": 4,
 "d_model": 256,
 "heads": 4,
 "r": 64,
 "learn_phi": false,
 "qk_norm": true,
 "no_lr": true,
 "triton_bwd": true,
 "chunk": 128,
 "steps": 20000,
 "nb": 8,
 "lr": 0.0003,
 "warmup": 500,
 "wd": 0.1,
 "clip": 1.0,
 "eval_every": 4000,
 "val_windows": 128,
 "eval_nb": 8,
 "data": "/u/archerdw/smat_attention/deltaai/data/enwik8",
 "out": "results/lm_T4096_20k_qkn_nolr.csv",
 "device": "cuda",
 "no_amp": false,
 "seed": 0
}
mask: {'mask_nnz': 4285604, 'mask_density': 0.25544190406799316, 'mask_n': 2048, 'mask_q': 47, 'mask_B': 47}
params: 4,336,128
step    50  loss 4.4247  bpc 6.383  gn 2.58  45 ms/step
step   100  loss 3.7010  bpc 5.339  gn 1.71  19 ms/step
step   150  loss 3.1464  bpc 4.539  gn 1.05  19 ms/step
step   200  loss 2.8308  bpc 4.084  gn 0.56  21 ms/step
step   250  loss 2.7122  bpc 3.913  gn 0.91  19 ms/step
step   300  loss 2.6277  bpc 3.791  gn 0.87  19 ms/step
step   350  loss 2.5710  bpc 3.709  gn 0.53  19 ms/step
step   400  loss 2.7014  bpc 3.897  gn 0.56  19 ms/step
step   450  loss 2.6329  bpc 3.798  gn 0.78  19 ms/step
step   500  loss 2.6086  bpc 3.763  gn 0.61  19 ms/step
step   550  loss 2.5922  bpc 3.740  gn 0.46  19 ms/step
step   600  loss 2.6090  bpc 3.764  gn 0.58  19 ms/step
step   650  loss 2.5869  bpc 3.732  gn 0.78  19 ms/step
step   700  loss 2.5487  bpc 3.677  gn 0.71  19 ms/step
step   750  loss 2.5271  bpc 3.646  gn 0.68  19 ms/step
step   800  loss 2.5033  bpc 3.611  gn 0.93  19 ms/step
step   850  loss 2.5111  bpc 3.623  gn 0.56  19 ms/step
step   900  loss 2.4577  bpc 3.546  gn 1.02  19 ms/step
step   950  loss 2.4883  bpc 3.590  gn 0.57  19 ms/step
step  1000  loss 2.4243  bpc 3.498  gn 0.56  19 ms/step
step  1050  loss 2.4968  bpc 3.602  gn 1.15  19 ms/step
step  1100  loss 2.5057  bpc 3.615  gn 0.41  19 ms/step
step  1150  loss 2.4783  bpc 3.575  gn 0.73  19 ms/step
step  1200  loss 2.4518  bpc 3.537  gn 0.71  19 ms/step
step  1250  loss 2.5179  bpc 3.633  gn 0.64  19 ms/step
step  1300  loss 2.4277  bpc 3.502  gn 0.62  19 ms/step
step  1350  loss 2.4723  bpc 3.567  gn 0.73  19 ms/step
step  1400  loss 2.4618  bpc 3.552  gn 0.75  19 ms/step
step  1450  loss 2.4504  bpc 3.535  gn 0.72  19 ms/step
step  1500  loss 2.4310  bpc 3.507  gn 0.47  19 ms/step
step  1550  loss 2.4836  bpc 3.583  gn 0.72  19 ms/step
step  1600  loss 2.4029  bpc 3.467  gn 0.46  19 ms/step
step  1650  loss 2.3504  bpc 3.391  gn 0.86  19 ms/step
step  1700  loss 2.4238  bpc 3.497  gn 0.49  19 ms/step
step  1750  loss 2.5026  bpc 3.611  gn 0.63  19 ms/step
step  1800  loss 2.4748  bpc 3.570  gn 0.76  19 ms/step
step  1850  loss 2.4089  bpc 3.475  gn 0.58  19 ms/step
step  1900  loss 2.3795  bpc 3.433  gn 0.61  19 ms/step
step  1950  loss 2.3631  bpc 3.409  gn 0.64  19 ms/step
step  2000  loss 2.3724  bpc 3.423  gn 0.64  19 ms/step
step  2050  loss 2.3276  bpc 3.358  gn 0.72  19 ms/step
step  2100  loss 2.4204  bpc 3.492  gn 0.55  19 ms/step
step  2150  loss 2.3971  bpc 3.458  gn 0.61  19 ms/step
step  2200  loss 2.4177  bpc 3.488  gn 0.68  19 ms/step
step  2250  loss 2.3443  bpc 3.382  gn 0.65  19 ms/step
step  2300  loss 2.2166  bpc 3.198  gn 1.07  19 ms/step
step  2350  loss 2.3195  bpc 3.346  gn 0.55  19 ms/step
step  2400  loss 2.3712  bpc 3.421  gn 0.62  19 ms/step
step  2450  loss 2.3701  bpc 3.419  gn 0.69  19 ms/step
step  2500  loss 2.3450  bpc 3.383  gn 0.49  19 ms/step
step  2550  loss 2.3241  bpc 3.353  gn 0.56  19 ms/step
step  2600  loss 2.4861  bpc 3.587  gn 0.71  19 ms/step
step  2650  loss 2.2910  bpc 3.305  gn 0.57  19 ms/step
step  2700  loss 2.2476  bpc 3.243  gn 0.71  19 ms/step
step  2750  loss 2.3873  bpc 3.444  gn 0.68  19 ms/step
step  2800  loss 2.3343  bpc 3.368  gn 0.63  19 ms/step
step  2850  loss 2.3234  bpc 3.352  gn 0.56  19 ms/step
step  2900  loss 2.3247  bpc 3.354  gn 0.72  19 ms/step
step  2950  loss 2.2919  bpc 3.307  gn 0.85  19 ms/step
step  3000  loss 2.4478  bpc 3.531  gn 0.58  19 ms/step
step  3050  loss 2.3673  bpc 3.415  gn 0.89  19 ms/step
step  3100  loss 2.3188  bpc 3.345  gn 0.66  19 ms/step
step  3150  loss 2.2709  bpc 3.276  gn 0.62  19 ms/step
step  3200  loss 2.3382  bpc 3.373  gn 0.45  19 ms/step
step  3250  loss 2.2926  bpc 3.308  gn 0.64  19 ms/step
step  3300  loss 2.2552  bpc 3.254  gn 0.94  19 ms/step
step  3350  loss 2.2500  bpc 3.246  gn 0.74  19 ms/step
step  3400  loss 2.3317  bpc 3.364  gn 0.56  19 ms/step
step  3450  loss 2.1787  bpc 3.143  gn 0.55  19 ms/step
step  3500  loss 2.2566  bpc 3.256  gn 0.70  19 ms/step
step  3550  loss 2.2743  bpc 3.281  gn 0.79  19 ms/step
step  3600  loss 2.2969  bpc 3.314  gn 0.95  19 ms/step
step  3650  loss 2.2904  bpc 3.304  gn 0.68  19 ms/step
step  3700  loss 2.3359  bpc 3.370  gn 0.55  19 ms/step
step  3750  loss 2.1377  bpc 3.084  gn 0.67  19 ms/step
