PyTorch 2.11.0 for DeltaAI (CUDA 13.0, Python 3.12)
Includes: transformers, accelerate, datasets, peft, lightning,
          timm, bitsandbytes, diffusers, mpi4py, tensorboard,
          wandb, jupyter, scipy, scikit-learn, opencv, nvitop
New in this build (sm_90 source builds):
  flash-attn, transformer_engine, xformers, apex, mamba-ssm,
  triton, torch-geometric, cupy-cuda13x, tensorrt, flashinfer
Known: transformer_engine and cupy currently fail at import due to
  a cu13 libcublasLt / cython ABI mismatch on this stack — use the
  other attention paths (flash-attn, xformers) and stock torch CUDA
  until an upstream fix lands.

For documentation and examples:
  https://docs.ncsa.illinois.edu/systems/deltaai/

Run setup-kernel prior to launching OOD job.

Quick start (on a compute node):
  module load python/miniforge3_pytorch/2.11.0
  conda activate base
  python -c "import torch; print(torch.cuda.is_available())"

CUDA extensions: CUDA_HOME, nvcc, and CMAKE_PREFIX_PATH come from the
auto-loaded cuda/13.1.1 module.

host: gh135.hsn.cm.delta.internal.ncsa.edu   started: Thu Sep  3 03:45:39 PM CDT 2026
name, memory.total [MiB], driver_version
NVIDIA GH200 120GB, 97871 MiB, 595.71.05
torch 2.11.0+cu130 cuda True
triton 3.5.1

==== arm: --arm softmax   Thu Sep  3 03:45:43 PM CDT 2026 ====
{
 "run": "softmax_qkn",
 "arm": "softmax",
 "d": 1,
 "T": 4096,
 "layers": 4,
 "d_model": 256,
 "heads": 4,
 "r": 64,
 "learn_phi": false,
 "qk_norm": true,
 "chunk": 128,
 "steps": 20000,
 "nb": 8,
 "lr": 0.0003,
 "warmup": 500,
 "wd": 0.1,
 "clip": 1.0,
 "eval_every": 2000,
 "val_windows": 256,
 "eval_nb": 8,
 "data": "/u/archerdw/smat_attention/deltaai/data/enwik8",
 "out": "results/lm_T4096_20k_qkn.csv",
 "device": "cuda",
 "no_amp": false,
 "seed": 0
}
mask: {'mask_nnz': 8390656, 'mask_density': 0.5001220703125}
params: 4,336,128
step    50  loss 4.4038  bpc 6.353  gn 2.59  20 ms/step
step   100  loss 3.6632  bpc 5.285  gn 1.69  14 ms/step
step   150  loss 3.1264  bpc 4.510  gn 0.90  14 ms/step
step   200  loss 2.8263  bpc 4.078  gn 0.60  14 ms/step
step   250  loss 2.7256  bpc 3.932  gn 1.22  14 ms/step
step   300  loss 2.6360  bpc 3.803  gn 0.91  14 ms/step
step   350  loss 2.5883  bpc 3.734  gn 0.67  14 ms/step
step   400  loss 2.7129  bpc 3.914  gn 0.55  14 ms/step
step   450  loss 2.6507  bpc 3.824  gn 0.66  14 ms/step
step   500  loss 2.6514  bpc 3.825  gn 0.88  14 ms/step
step   550  loss 2.5977  bpc 3.748  gn 0.53  14 ms/step
step   600  loss 2.6309  bpc 3.796  gn 0.59  14 ms/step
step   650  loss 2.6208  bpc 3.781  gn 0.72  14 ms/step
step   700  loss 2.6280  bpc 3.791  gn 0.82  15 ms/step
step   750  loss 2.5619  bpc 3.696  gn 0.57  14 ms/step
step   800  loss 2.5466  bpc 3.674  gn 0.49  14 ms/step
step   850  loss 2.5429  bpc 3.669  gn 0.58  14 ms/step
step   900  loss 2.4894  bpc 3.591  gn 0.95  14 ms/step
step   950  loss 2.5034  bpc 3.612  gn 0.69  14 ms/step
step  1000  loss 2.4270  bpc 3.501  gn 0.82  14 ms/step
step  1050  loss 2.4830  bpc 3.582  gn 0.96  14 ms/step
step  1100  loss 2.5027  bpc 3.611  gn 0.56  14 ms/step
step  1150  loss 2.4656  bpc 3.557  gn 0.89  14 ms/step
step  1200  loss 2.4392  bpc 3.519  gn 0.73  14 ms/step
step  1250  loss 2.5042  bpc 3.613  gn 0.55  14 ms/step
step  1300  loss 2.4071  bpc 3.473  gn 0.76  14 ms/step
step  1350  loss 2.4447  bpc 3.527  gn 0.56  14 ms/step
step  1400  loss 2.4393  bpc 3.519  gn 0.95  14 ms/step
step  1450  loss 2.4115  bpc 3.479  gn 0.45  14 ms/step
step  1500  loss 2.4041  bpc 3.468  gn 0.65  14 ms/step
