    early_stopping_metric='valid/accuracy',
    early_stopping_threshold=0.99,
    run_id='smatgdn_d1_hd16_sig_cread_m2blk-dm64-lr1.0e-02'
valid/loss=8.41, valid/accuracy=0.000988, valid/num_kv_pairs/accuracy-4=0.00225, valid/num_kv_pairs/accuracy-8=0.0005, valid/num_kv_pairs/accuracy-16=0.000687, valid/num_kv_pairs/accuracy-32=0.000906, valid/num_kv_pairs/accuracy-64=0.000594
valid/loss=1.08, valid/accuracy=0.794, valid/num_kv_pairs/accuracy-4=0.992, valid/num_kv_pairs/accuracy-8=0.987, valid/num_kv_pairs/accuracy-16=0.948, valid/num_kv_pairs/accuracy-32=0.737, valid/num_kv_pairs/accuracy-64=0.307
valid/loss=0.693, valid/accuracy=0.856, valid/num_kv_pairs/accuracy-4=0.999, valid/num_kv_pairs/accuracy-8=0.996, valid/num_kv_pairs/accuracy-16=0.981, valid/num_kv_pairs/accuracy-32=0.856, valid/num_kv_pairs/accuracy-64=0.448
valid/loss=0.608, valid/accuracy=0.87, valid/num_kv_pairs/accuracy-4=0.999, valid/num_kv_pairs/accuracy-8=0.997, valid/num_kv_pairs/accuracy-16=0.981, valid/num_kv_pairs/accuracy-32=0.878, valid/num_kv_pairs/accuracy-64=0.496
valid/loss=0.588, valid/accuracy=0.874, valid/num_kv_pairs/accuracy-4=0.999, valid/num_kv_pairs/accuracy-8=0.996, valid/num_kv_pairs/accuracy-16=0.985, valid/num_kv_pairs/accuracy-32=0.884, valid/num_kv_pairs/accuracy-64=0.505
valid/loss=0.597, valid/accuracy=0.872, valid/num_kv_pairs/accuracy-4=0.999, valid/num_kv_pairs/accuracy-8=0.997, valid/num_kv_pairs/accuracy-16=0.985, valid/num_kv_pairs/accuracy-32=0.886, valid/num_kv_pairs/accuracy-64=0.494
valid/loss=0.558, valid/accuracy=0.878, valid/num_kv_pairs/accuracy-4=0.999, valid/num_kv_pairs/accuracy-8=0.998, valid/num_kv_pairs/accuracy-16=0.986, valid/num_kv_pairs/accuracy-32=0.891, valid/num_kv_pairs/accuracy-64=0.515
valid/loss=0.539, valid/accuracy=0.881, valid/num_kv_pairs/accuracy-4=0.999, valid/num_kv_pairs/accuracy-8=0.997, valid/num_kv_pairs/accuracy-16=0.985, valid/num_kv_pairs/accuracy-32=0.9, valid/num_kv_pairs/accuracy-64=0.526
valid/loss=0.531, valid/accuracy=0.885, valid/num_kv_pairs/accuracy-4=1, valid/num_kv_pairs/accuracy-8=0.998, valid/num_kv_pairs/accuracy-16=0.991, valid/num_kv_pairs/accuracy-32=0.905, valid/num_kv_pairs/accuracy-64=0.53
valid/loss=0.531, valid/accuracy=0.883, valid/num_kv_pairs/accuracy-4=1, valid/num_kv_pairs/accuracy-8=0.998, valid/num_kv_pairs/accuracy-16=0.989, valid/num_kv_pairs/accuracy-32=0.905, valid/num_kv_pairs/accuracy-64=0.525
valid/loss=0.511, valid/accuracy=0.888, valid/num_kv_pairs/accuracy-4=1, valid/num_kv_pairs/accuracy-8=0.999, valid/num_kv_pairs/accuracy-16=0.99, valid/num_kv_pairs/accuracy-32=0.913, valid/num_kv_pairs/accuracy-64=0.538
valid/loss=0.512, valid/accuracy=0.887, valid/num_kv_pairs/accuracy-4=0.999, valid/num_kv_pairs/accuracy-8=0.998, valid/num_kv_pairs/accuracy-16=0.991, valid/num_kv_pairs/accuracy-32=0.916, valid/num_kv_pairs/accuracy-64=0.533
valid/loss=0.499, valid/accuracy=0.889, valid/num_kv_pairs/accuracy-4=1, valid/num_kv_pairs/accuracy-8=0.998, valid/num_kv_pairs/accuracy-16=0.99, valid/num_kv_pairs/accuracy-32=0.913, valid/num_kv_pairs/accuracy-64=0.546
Valid Epoch 13/32:   0%|          | 0/160 [00:00<?, ?it/s, acc=-, loss=-]Valid Epoch 13/32:   4%|▍         | 7/160 [00:00<00:02, 69.73it/s, acc=-, loss=-]Valid Epoch 13/32:   9%|▉         | 15/160 [00:00<00:01, 72.95it/s, acc=-, loss=-]Valid Epoch 13/32:  14%|█▍        | 23/160 [00:00<00:01, 71.91it/s, acc=-, loss=-]Valid Epoch 13/32:  19%|█▉        | 31/160 [00:00<00:01, 72.42it/s, acc=-, loss=-]Valid Epoch 13/32:  24%|██▍       | 39/160 [00:00<00:01, 72.65it/s, acc=-, loss=-]Valid Epoch 13/32:  29%|██▉       | 47/160 [00:00<00:01, 72.14it/s, acc=-, loss=-]Valid Epoch 13/32:  34%|███▍      | 55/160 [00:00<00:01, 73.72it/s, acc=-, loss=-]Valid Epoch 13/32:  39%|███▉      | 63/160 [00:00<00:01, 74.38it/s, acc=-, loss=-]Valid Epoch 13/32:  44%|████▍     | 71/160 [00:00<00:01, 75.77it/s, acc=-, loss=-]Valid Epoch 13/32:  49%|████▉     | 79/160 [00:01<00:01, 74.82it/s, acc=-, loss=-]Valid Epoch 13/32:  56%|█████▋    | 90/160 [00:01<00:00, 84.49it/s, acc=-, loss=-]Valid Epoch 13/32:  64%|██████▍   | 103/160 [00:01<00:00, 96.60it/s, acc=-, loss=-]Valid Epoch 13/32:  72%|███████▎  | 116/160 [00:01<00:00, 104.46it/s, acc=-, loss=-]Valid Epoch 13/32:  80%|████████  | 128/160 [00:01<00:00, 108.63it/s, acc=-, loss=-]Valid Epoch 13/32:  87%|████████▋ | 139/160 [00:01<00:00, 107.43it/s, acc=-, loss=-]Valid Epoch 13/32:  94%|█████████▍| 150/160 [00:01<00:00, 106.79it/s, acc=-, loss=-]Valid Epoch 13/32: 100%|██████████| 160/160 [00:01<00:00, 106.79it/s, valid/loss=0.499, valid/accuracy=0.89, valid/num_kv_pairs/accuracy-4=0.999, valid/num_kv_pairs/accuracy-8=0.999, valid/num_kv_pairs/accuracy-16=0.991, valid/num_kv_pairs/accuracy-32=0.916, valid/num_kv_pairs/accuracy-64=0.544]Valid Epoch 13/32: 100%|██████████| 160/160 [00:01<00:00, 88.42it/s, valid/loss=0.499, valid/accuracy=0.89, valid/num_kv_pairs/accuracy-4=0.999, valid/num_kv_pairs/accuracy-8=0.999, valid/num_kv_pairs/accuracy-16=0.991, valid/num_kv_pairs/accuracy-32=0.916, valid/num_kv_pairs/accuracy-64=0.544] 
valid/loss=0.494, valid/accuracy=0.891, valid/num_kv_pairs/accuracy-4=1, valid/num_kv_pairs/accuracy-8=0.999, valid/num_kv_pairs/accuracy-16=0.991, valid/num_kv_pairs/accuracy-32=0.917, valid/num_kv_pairs/accuracy-64=0.546
valid/loss=0.489, valid/accuracy=0.891, valid/num_kv_pairs/accuracy-4=1, valid/num_kv_pairs/accuracy-8=0.999, valid/num_kv_pairs/accuracy-16=0.991, valid/num_kv_pairs/accuracy-32=0.919, valid/num_kv_pairs/accuracy-64=0.548
valid/loss=0.483, valid/accuracy=0.893, valid/num_kv_pairs/accuracy-4=1, valid/num_kv_pairs/accuracy-8=0.998, valid/num_kv_pairs/accuracy-16=0.992, valid/num_kv_pairs/accuracy-32=0.926, valid/num_kv_pairs/accuracy-64=0.551
valid/loss=0.475, valid/accuracy=0.894, valid/num_kv_pairs/accuracy-4=1, valid/num_kv_pairs/accuracy-8=0.999, valid/num_kv_pairs/accuracy-16=0.993, valid/num_kv_pairs/accuracy-32=0.927, valid/num_kv_pairs/accuracy-64=0.554
valid/loss=0.47, valid/accuracy=0.896, valid/num_kv_pairs/accuracy-4=1, valid/num_kv_pairs/accuracy-8=0.999, valid/num_kv_pairs/accuracy-16=0.993, valid/num_kv_pairs/accuracy-32=0.929, valid/num_kv_pairs/accuracy-64=0.557
valid/loss=0.471, valid/accuracy=0.895, valid/num_kv_pairs/accuracy-4=0.999, valid/num_kv_pairs/accuracy-8=0.999, valid/num_kv_pairs/accuracy-16=0.993, valid/num_kv_pairs/accuracy-32=0.928, valid/num_kv_pairs/accuracy-64=0.557
valid/loss=0.466, valid/accuracy=0.897, valid/num_kv_pairs/accuracy-4=0.999, valid/num_kv_pairs/accuracy-8=1, valid/num_kv_pairs/accuracy-16=0.994, valid/num_kv_pairs/accuracy-32=0.93, valid/num_kv_pairs/accuracy-64=0.56
valid/loss=0.468, valid/accuracy=0.896, valid/num_kv_pairs/accuracy-4=1, valid/num_kv_pairs/accuracy-8=1, valid/num_kv_pairs/accuracy-16=0.993, valid/num_kv_pairs/accuracy-32=0.93, valid/num_kv_pairs/accuracy-64=0.56
valid/loss=0.465, valid/accuracy=0.898, valid/num_kv_pairs/accuracy-4=0.999, valid/num_kv_pairs/accuracy-8=0.999, valid/num_kv_pairs/accuracy-16=0.993, valid/num_kv_pairs/accuracy-32=0.933, valid/num_kv_pairs/accuracy-64=0.564
valid/loss=0.46, valid/accuracy=0.899, valid/num_kv_pairs/accuracy-4=1, valid/num_kv_pairs/accuracy-8=0.999, valid/num_kv_pairs/accuracy-16=0.993, valid/num_kv_pairs/accuracy-32=0.935, valid/num_kv_pairs/accuracy-64=0.566
valid/loss=0.454, valid/accuracy=0.9, valid/num_kv_pairs/accuracy-4=1, valid/num_kv_pairs/accuracy-8=0.999, valid/num_kv_pairs/accuracy-16=0.994, valid/num_kv_pairs/accuracy-32=0.936, valid/num_kv_pairs/accuracy-64=0.572
valid/loss=0.453, valid/accuracy=0.901, valid/num_kv_pairs/accuracy-4=1, valid/num_kv_pairs/accuracy-8=0.999, valid/num_kv_pairs/accuracy-16=0.995, valid/num_kv_pairs/accuracy-32=0.938, valid/num_kv_pairs/accuracy-64=0.57
