    early_stopping_metric='valid/accuracy',
    early_stopping_threshold=0.99,
    run_id='smatgdn_d3_hd16_sig_cread_m2blk_s2-dm64-lr1.0e-02'
valid/loss=8.34, valid/accuracy=0.00167, valid/num_kv_pairs/accuracy-4=0.00275, valid/num_kv_pairs/accuracy-8=0.00225, valid/num_kv_pairs/accuracy-16=0.00162, valid/num_kv_pairs/accuracy-32=0.001, valid/num_kv_pairs/accuracy-64=0.000719
valid/loss=0.586, valid/accuracy=0.917, valid/num_kv_pairs/accuracy-4=0.905, valid/num_kv_pairs/accuracy-8=0.876, valid/num_kv_pairs/accuracy-16=0.942, valid/num_kv_pairs/accuracy-32=0.964, valid/num_kv_pairs/accuracy-64=0.897
valid/loss=0.167, valid/accuracy=0.973, valid/num_kv_pairs/accuracy-4=0.996, valid/num_kv_pairs/accuracy-8=0.99, valid/num_kv_pairs/accuracy-16=0.961, valid/num_kv_pairs/accuracy-32=0.981, valid/num_kv_pairs/accuracy-64=0.935
valid/loss=0.123, valid/accuracy=0.979, valid/num_kv_pairs/accuracy-4=0.998, valid/num_kv_pairs/accuracy-8=0.991, valid/num_kv_pairs/accuracy-16=0.973, valid/num_kv_pairs/accuracy-32=0.985, valid/num_kv_pairs/accuracy-64=0.947
valid/loss=0.108, valid/accuracy=0.98, valid/num_kv_pairs/accuracy-4=0.999, valid/num_kv_pairs/accuracy-8=0.992, valid/num_kv_pairs/accuracy-16=0.975, valid/num_kv_pairs/accuracy-32=0.986, valid/num_kv_pairs/accuracy-64=0.948
valid/loss=0.107, valid/accuracy=0.981, valid/num_kv_pairs/accuracy-4=0.999, valid/num_kv_pairs/accuracy-8=0.992, valid/num_kv_pairs/accuracy-16=0.978, valid/num_kv_pairs/accuracy-32=0.986, valid/num_kv_pairs/accuracy-64=0.949
valid/loss=0.0979, valid/accuracy=0.982, valid/num_kv_pairs/accuracy-4=1, valid/num_kv_pairs/accuracy-8=0.996, valid/num_kv_pairs/accuracy-16=0.977, valid/num_kv_pairs/accuracy-32=0.987, valid/num_kv_pairs/accuracy-64=0.95
valid/loss=0.0993, valid/accuracy=0.982, valid/num_kv_pairs/accuracy-4=0.999, valid/num_kv_pairs/accuracy-8=0.993, valid/num_kv_pairs/accuracy-16=0.978, valid/num_kv_pairs/accuracy-32=0.988, valid/num_kv_pairs/accuracy-64=0.95
valid/loss=0.0957, valid/accuracy=0.982, valid/num_kv_pairs/accuracy-4=0.998, valid/num_kv_pairs/accuracy-8=0.995, valid/num_kv_pairs/accuracy-16=0.979, valid/num_kv_pairs/accuracy-32=0.987, valid/num_kv_pairs/accuracy-64=0.951
valid/loss=0.0962, valid/accuracy=0.982, valid/num_kv_pairs/accuracy-4=0.999, valid/num_kv_pairs/accuracy-8=0.994, valid/num_kv_pairs/accuracy-16=0.978, valid/num_kv_pairs/accuracy-32=0.988, valid/num_kv_pairs/accuracy-64=0.95
valid/loss=0.0933, valid/accuracy=0.982, valid/num_kv_pairs/accuracy-4=0.999, valid/num_kv_pairs/accuracy-8=0.994, valid/num_kv_pairs/accuracy-16=0.979, valid/num_kv_pairs/accuracy-32=0.988, valid/num_kv_pairs/accuracy-64=0.952
