    early_stopping_metric='valid/accuracy',
    early_stopping_threshold=0.99,
    run_id='smatgdn_d1_hd16_h1_sig_cread_m2blk_s1-dm16-lr1.0e-02'
valid/loss=8.3, valid/accuracy=0.000375, valid/num_kv_pairs/accuracy-4=0.00025, valid/num_kv_pairs/accuracy-8=0.00025, valid/num_kv_pairs/accuracy-16=0.000687, valid/num_kv_pairs/accuracy-32=0.000344, valid/num_kv_pairs/accuracy-64=0.000344
valid/loss=8.26, valid/accuracy=0.000609, valid/num_kv_pairs/accuracy-4=0.00125, valid/num_kv_pairs/accuracy-8=0.000625, valid/num_kv_pairs/accuracy-16=0.000375, valid/num_kv_pairs/accuracy-32=0.000375, valid/num_kv_pairs/accuracy-64=0.000422
valid/loss=6.38, valid/accuracy=0.0342, valid/num_kv_pairs/accuracy-4=0.072, valid/num_kv_pairs/accuracy-8=0.0464, valid/num_kv_pairs/accuracy-16=0.0273, valid/num_kv_pairs/accuracy-32=0.0163, valid/num_kv_pairs/accuracy-64=0.00886
valid/loss=5.61, valid/accuracy=0.17, valid/num_kv_pairs/accuracy-4=0.473, valid/num_kv_pairs/accuracy-8=0.252, valid/num_kv_pairs/accuracy-16=0.0927, valid/num_kv_pairs/accuracy-32=0.0263, valid/num_kv_pairs/accuracy-64=0.00833
valid/loss=4.79, valid/accuracy=0.285, valid/num_kv_pairs/accuracy-4=0.727, valid/num_kv_pairs/accuracy-8=0.466, valid/num_kv_pairs/accuracy-16=0.177, valid/num_kv_pairs/accuracy-32=0.0439, valid/num_kv_pairs/accuracy-64=0.012
valid/loss=4.95, valid/accuracy=0.221, valid/num_kv_pairs/accuracy-4=0.555, valid/num_kv_pairs/accuracy-8=0.342, valid/num_kv_pairs/accuracy-16=0.15, valid/num_kv_pairs/accuracy-32=0.0442, valid/num_kv_pairs/accuracy-64=0.0142
valid/loss=5.29, valid/accuracy=0.309, valid/num_kv_pairs/accuracy-4=0.764, valid/num_kv_pairs/accuracy-8=0.504, valid/num_kv_pairs/accuracy-16=0.204, valid/num_kv_pairs/accuracy-32=0.0562, valid/num_kv_pairs/accuracy-64=0.0158
valid/loss=5.2, valid/accuracy=0.319, valid/num_kv_pairs/accuracy-4=0.776, valid/num_kv_pairs/accuracy-8=0.526, valid/num_kv_pairs/accuracy-16=0.215, valid/num_kv_pairs/accuracy-32=0.0605, valid/num_kv_pairs/accuracy-64=0.0158
valid/loss=5.13, valid/accuracy=0.328, valid/num_kv_pairs/accuracy-4=0.796, valid/num_kv_pairs/accuracy-8=0.535, valid/num_kv_pairs/accuracy-16=0.225, valid/num_kv_pairs/accuracy-32=0.064, valid/num_kv_pairs/accuracy-64=0.0176
valid/loss=5.13, valid/accuracy=0.325, valid/num_kv_pairs/accuracy-4=0.793, valid/num_kv_pairs/accuracy-8=0.528, valid/num_kv_pairs/accuracy-16=0.22, valid/num_kv_pairs/accuracy-32=0.0663, valid/num_kv_pairs/accuracy-64=0.0184
valid/loss=5.13, valid/accuracy=0.322, valid/num_kv_pairs/accuracy-4=0.785, valid/num_kv_pairs/accuracy-8=0.52, valid/num_kv_pairs/accuracy-16=0.223, valid/num_kv_pairs/accuracy-32=0.063, valid/num_kv_pairs/accuracy-64=0.0172
valid/loss=5.09, valid/accuracy=0.329, valid/num_kv_pairs/accuracy-4=0.815, valid/num_kv_pairs/accuracy-8=0.528, valid/num_kv_pairs/accuracy-16=0.221, valid/num_kv_pairs/accuracy-32=0.0616, valid/num_kv_pairs/accuracy-64=0.0181
valid/loss=5.17, valid/accuracy=0.317, valid/num_kv_pairs/accuracy-4=0.781, valid/num_kv_pairs/accuracy-8=0.507, valid/num_kv_pairs/accuracy-16=0.214, valid/num_kv_pairs/accuracy-32=0.0626, valid/num_kv_pairs/accuracy-64=0.018
valid/loss=5.15, valid/accuracy=0.316, valid/num_kv_pairs/accuracy-4=0.775, valid/num_kv_pairs/accuracy-8=0.51, valid/num_kv_pairs/accuracy-16=0.215, valid/num_kv_pairs/accuracy-32=0.0631, valid/num_kv_pairs/accuracy-64=0.0175
valid/loss=5.14, valid/accuracy=0.314, valid/num_kv_pairs/accuracy-4=0.763, valid/num_kv_pairs/accuracy-8=0.508, valid/num_kv_pairs/accuracy-16=0.215, valid/num_kv_pairs/accuracy-32=0.0647, valid/num_kv_pairs/accuracy-64=0.0175
valid/loss=5.11, valid/accuracy=0.32, valid/num_kv_pairs/accuracy-4=0.772, valid/num_kv_pairs/accuracy-8=0.523, valid/num_kv_pairs/accuracy-16=0.222, valid/num_kv_pairs/accuracy-32=0.0652, valid/num_kv_pairs/accuracy-64=0.0182
valid/loss=5.02, valid/accuracy=0.329, valid/num_kv_pairs/accuracy-4=0.802, valid/num_kv_pairs/accuracy-8=0.537, valid/num_kv_pairs/accuracy-16=0.225, valid/num_kv_pairs/accuracy-32=0.0652, valid/num_kv_pairs/accuracy-64=0.0174
valid/loss=4.97, valid/accuracy=0.333, valid/num_kv_pairs/accuracy-4=0.811, valid/num_kv_pairs/accuracy-8=0.545, valid/num_kv_pairs/accuracy-16=0.227, valid/num_kv_pairs/accuracy-32=0.0647, valid/num_kv_pairs/accuracy-64=0.0175
valid/loss=4.93, valid/accuracy=0.33, valid/num_kv_pairs/accuracy-4=0.809, valid/num_kv_pairs/accuracy-8=0.534, valid/num_kv_pairs/accuracy-16=0.225, valid/num_kv_pairs/accuracy-32=0.063, valid/num_kv_pairs/accuracy-64=0.0179
valid/loss=4.88, valid/accuracy=0.332, valid/num_kv_pairs/accuracy-4=0.812, valid/num_kv_pairs/accuracy-8=0.536, valid/num_kv_pairs/accuracy-16=0.23, valid/num_kv_pairs/accuracy-32=0.0637, valid/num_kv_pairs/accuracy-64=0.0168
valid/loss=4.84, valid/accuracy=0.334, valid/num_kv_pairs/accuracy-4=0.816, valid/num_kv_pairs/accuracy-8=0.544, valid/num_kv_pairs/accuracy-16=0.23, valid/num_kv_pairs/accuracy-32=0.0642, valid/num_kv_pairs/accuracy-64=0.0173
valid/loss=4.76, valid/accuracy=0.34, valid/num_kv_pairs/accuracy-4=0.827, valid/num_kv_pairs/accuracy-8=0.56, valid/num_kv_pairs/accuracy-16=0.233, valid/num_kv_pairs/accuracy-32=0.0643, valid/num_kv_pairs/accuracy-64=0.0174
valid/loss=4.71, valid/accuracy=0.341, valid/num_kv_pairs/accuracy-4=0.822, valid/num_kv_pairs/accuracy-8=0.562, valid/num_kv_pairs/accuracy-16=0.238, valid/num_kv_pairs/accuracy-32=0.0657, valid/num_kv_pairs/accuracy-64=0.0173
valid/loss=4.64, valid/accuracy=0.347, valid/num_kv_pairs/accuracy-4=0.836, valid/num_kv_pairs/accuracy-8=0.573, valid/num_kv_pairs/accuracy-16=0.242, valid/num_kv_pairs/accuracy-32=0.067, valid/num_kv_pairs/accuracy-64=0.0176
valid/loss=4.57, valid/accuracy=0.351, valid/num_kv_pairs/accuracy-4=0.84, valid/num_kv_pairs/accuracy-8=0.585, valid/num_kv_pairs/accuracy-16=0.247, valid/num_kv_pairs/accuracy-32=0.0683, valid/num_kv_pairs/accuracy-64=0.0174
valid/loss=4.5, valid/accuracy=0.357, valid/num_kv_pairs/accuracy-4=0.852, valid/num_kv_pairs/accuracy-8=0.6, valid/num_kv_pairs/accuracy-16=0.25, valid/num_kv_pairs/accuracy-32=0.0679, valid/num_kv_pairs/accuracy-64=0.0172
valid/loss=4.38, valid/accuracy=0.368, valid/num_kv_pairs/accuracy-4=0.868, valid/num_kv_pairs/accuracy-8=0.626, valid/num_kv_pairs/accuracy-16=0.262, valid/num_kv_pairs/accuracy-32=0.0681, valid/num_kv_pairs/accuracy-64=0.0167
