    early_stopping_metric='valid/accuracy',
    early_stopping_threshold=0.99,
    run_id='smatgdn_d1_hd16_h2_sig_cread_m2blk_s1-dm64-lr1.0e-02'
valid/loss=8.34, valid/accuracy=0.00025, valid/num_kv_pairs/accuracy-4=0, valid/num_kv_pairs/accuracy-8=0.00025, valid/num_kv_pairs/accuracy-16=0.000375, valid/num_kv_pairs/accuracy-32=0.000313, valid/num_kv_pairs/accuracy-64=0.000313
valid/loss=8.01, valid/accuracy=0.00263, valid/num_kv_pairs/accuracy-4=0.00675, valid/num_kv_pairs/accuracy-8=0.00263, valid/num_kv_pairs/accuracy-16=0.00187, valid/num_kv_pairs/accuracy-32=0.00109, valid/num_kv_pairs/accuracy-64=0.000828
valid/loss=7.76, valid/accuracy=0.0106, valid/num_kv_pairs/accuracy-4=0.0335, valid/num_kv_pairs/accuracy-8=0.0107, valid/num_kv_pairs/accuracy-16=0.00475, valid/num_kv_pairs/accuracy-32=0.00241, valid/num_kv_pairs/accuracy-64=0.00139
valid/loss=7.53, valid/accuracy=0.0302, valid/num_kv_pairs/accuracy-4=0.0968, valid/num_kv_pairs/accuracy-8=0.0319, valid/num_kv_pairs/accuracy-16=0.0138, valid/num_kv_pairs/accuracy-32=0.00556, valid/num_kv_pairs/accuracy-64=0.0028
valid/loss=2.53, valid/accuracy=0.585, valid/num_kv_pairs/accuracy-4=0.958, valid/num_kv_pairs/accuracy-8=0.884, valid/num_kv_pairs/accuracy-16=0.673, valid/num_kv_pairs/accuracy-32=0.325, valid/num_kv_pairs/accuracy-64=0.0856
valid/loss=1.99, valid/accuracy=0.655, valid/num_kv_pairs/accuracy-4=0.978, valid/num_kv_pairs/accuracy-8=0.932, valid/num_kv_pairs/accuracy-16=0.781, valid/num_kv_pairs/accuracy-32=0.45, valid/num_kv_pairs/accuracy-64=0.136
valid/loss=1.8, valid/accuracy=0.699, valid/num_kv_pairs/accuracy-4=0.993, valid/num_kv_pairs/accuracy-8=0.962, valid/num_kv_pairs/accuracy-16=0.852, valid/num_kv_pairs/accuracy-32=0.52, valid/num_kv_pairs/accuracy-64=0.17
valid/loss=1.77, valid/accuracy=0.703, valid/num_kv_pairs/accuracy-4=0.99, valid/num_kv_pairs/accuracy-8=0.965, valid/num_kv_pairs/accuracy-16=0.854, valid/num_kv_pairs/accuracy-32=0.531, valid/num_kv_pairs/accuracy-64=0.174
valid/loss=1.74, valid/accuracy=0.706, valid/num_kv_pairs/accuracy-4=0.992, valid/num_kv_pairs/accuracy-8=0.966, valid/num_kv_pairs/accuracy-16=0.857, valid/num_kv_pairs/accuracy-32=0.536, valid/num_kv_pairs/accuracy-64=0.178
valid/loss=1.74, valid/accuracy=0.706, valid/num_kv_pairs/accuracy-4=0.991, valid/num_kv_pairs/accuracy-8=0.964, valid/num_kv_pairs/accuracy-16=0.864, valid/num_kv_pairs/accuracy-32=0.534, valid/num_kv_pairs/accuracy-64=0.177
valid/loss=1.73, valid/accuracy=0.708, valid/num_kv_pairs/accuracy-4=0.992, valid/num_kv_pairs/accuracy-8=0.971, valid/num_kv_pairs/accuracy-16=0.859, valid/num_kv_pairs/accuracy-32=0.539, valid/num_kv_pairs/accuracy-64=0.176
valid/loss=1.73, valid/accuracy=0.709, valid/num_kv_pairs/accuracy-4=0.993, valid/num_kv_pairs/accuracy-8=0.968, valid/num_kv_pairs/accuracy-16=0.861, valid/num_kv_pairs/accuracy-32=0.544, valid/num_kv_pairs/accuracy-64=0.177
valid/loss=1.71, valid/accuracy=0.711, valid/num_kv_pairs/accuracy-4=0.997, valid/num_kv_pairs/accuracy-8=0.974, valid/num_kv_pairs/accuracy-16=0.866, valid/num_kv_pairs/accuracy-32=0.54, valid/num_kv_pairs/accuracy-64=0.177
valid/loss=1.71, valid/accuracy=0.711, valid/num_kv_pairs/accuracy-4=0.993, valid/num_kv_pairs/accuracy-8=0.975, valid/num_kv_pairs/accuracy-16=0.868, valid/num_kv_pairs/accuracy-32=0.54, valid/num_kv_pairs/accuracy-64=0.179
valid/loss=1.7, valid/accuracy=0.712, valid/num_kv_pairs/accuracy-4=0.995, valid/num_kv_pairs/accuracy-8=0.973, valid/num_kv_pairs/accuracy-16=0.871, valid/num_kv_pairs/accuracy-32=0.544, valid/num_kv_pairs/accuracy-64=0.179
valid/loss=1.69, valid/accuracy=0.712, valid/num_kv_pairs/accuracy-4=0.996, valid/num_kv_pairs/accuracy-8=0.975, valid/num_kv_pairs/accuracy-16=0.867, valid/num_kv_pairs/accuracy-32=0.545, valid/num_kv_pairs/accuracy-64=0.179
valid/loss=1.68, valid/accuracy=0.713, valid/num_kv_pairs/accuracy-4=0.993, valid/num_kv_pairs/accuracy-8=0.977, valid/num_kv_pairs/accuracy-16=0.871, valid/num_kv_pairs/accuracy-32=0.547, valid/num_kv_pairs/accuracy-64=0.179
valid/loss=1.68, valid/accuracy=0.711, valid/num_kv_pairs/accuracy-4=0.992, valid/num_kv_pairs/accuracy-8=0.973, valid/num_kv_pairs/accuracy-16=0.87, valid/num_kv_pairs/accuracy-32=0.541, valid/num_kv_pairs/accuracy-64=0.179
valid/loss=1.67, valid/accuracy=0.713, valid/num_kv_pairs/accuracy-4=0.992, valid/num_kv_pairs/accuracy-8=0.974, valid/num_kv_pairs/accuracy-16=0.873, valid/num_kv_pairs/accuracy-32=0.548, valid/num_kv_pairs/accuracy-64=0.178
valid/loss=1.66, valid/accuracy=0.713, valid/num_kv_pairs/accuracy-4=0.991, valid/num_kv_pairs/accuracy-8=0.974, valid/num_kv_pairs/accuracy-16=0.877, valid/num_kv_pairs/accuracy-32=0.546, valid/num_kv_pairs/accuracy-64=0.179
valid/loss=1.64, valid/accuracy=0.715, valid/num_kv_pairs/accuracy-4=0.991, valid/num_kv_pairs/accuracy-8=0.978, valid/num_kv_pairs/accuracy-16=0.878, valid/num_kv_pairs/accuracy-32=0.55, valid/num_kv_pairs/accuracy-64=0.178
valid/loss=1.63, valid/accuracy=0.714, valid/num_kv_pairs/accuracy-4=0.99, valid/num_kv_pairs/accuracy-8=0.977, valid/num_kv_pairs/accuracy-16=0.881, valid/num_kv_pairs/accuracy-32=0.545, valid/num_kv_pairs/accuracy-64=0.18
