    early_stopping_metric='valid/accuracy',
    early_stopping_threshold=0.99,
    run_id='smatgdn_d2_hd16_h1_sig_cread_m2blk_s2-dm16-lr1.0e-02'
valid/loss=8.23, valid/accuracy=0.000522, valid/num_kv_pairs/accuracy-4=0.00075, valid/num_kv_pairs/accuracy-8=0.000625, valid/num_kv_pairs/accuracy-16=0.000375, valid/num_kv_pairs/accuracy-32=0.000562, valid/num_kv_pairs/accuracy-64=0.000297
valid/loss=5.05, valid/accuracy=0.347, valid/num_kv_pairs/accuracy-4=0.712, valid/num_kv_pairs/accuracy-8=0.488, valid/num_kv_pairs/accuracy-16=0.36, valid/num_kv_pairs/accuracy-32=0.132, valid/num_kv_pairs/accuracy-64=0.0406
valid/loss=4, valid/accuracy=0.496, valid/num_kv_pairs/accuracy-4=0.763, valid/num_kv_pairs/accuracy-8=0.63, valid/num_kv_pairs/accuracy-16=0.581, valid/num_kv_pairs/accuracy-32=0.352, valid/num_kv_pairs/accuracy-64=0.153
valid/loss=3.42, valid/accuracy=0.589, valid/num_kv_pairs/accuracy-4=0.853, valid/num_kv_pairs/accuracy-8=0.713, valid/num_kv_pairs/accuracy-16=0.681, valid/num_kv_pairs/accuracy-32=0.463, valid/num_kv_pairs/accuracy-64=0.234
valid/loss=3.21, valid/accuracy=0.616, valid/num_kv_pairs/accuracy-4=0.86, valid/num_kv_pairs/accuracy-8=0.718, valid/num_kv_pairs/accuracy-16=0.702, valid/num_kv_pairs/accuracy-32=0.515, valid/num_kv_pairs/accuracy-64=0.284
valid/loss=2.95, valid/accuracy=0.639, valid/num_kv_pairs/accuracy-4=0.862, valid/num_kv_pairs/accuracy-8=0.731, valid/num_kv_pairs/accuracy-16=0.727, valid/num_kv_pairs/accuracy-32=0.552, valid/num_kv_pairs/accuracy-64=0.322
valid/loss=2.87, valid/accuracy=0.643, valid/num_kv_pairs/accuracy-4=0.866, valid/num_kv_pairs/accuracy-8=0.732, valid/num_kv_pairs/accuracy-16=0.727, valid/num_kv_pairs/accuracy-32=0.554, valid/num_kv_pairs/accuracy-64=0.333
valid/loss=2.85, valid/accuracy=0.647, valid/num_kv_pairs/accuracy-4=0.877, valid/num_kv_pairs/accuracy-8=0.734, valid/num_kv_pairs/accuracy-16=0.732, valid/num_kv_pairs/accuracy-32=0.561, valid/num_kv_pairs/accuracy-64=0.332
valid/loss=2.86, valid/accuracy=0.644, valid/num_kv_pairs/accuracy-4=0.875, valid/num_kv_pairs/accuracy-8=0.732, valid/num_kv_pairs/accuracy-16=0.727, valid/num_kv_pairs/accuracy-32=0.557, valid/num_kv_pairs/accuracy-64=0.329
valid/loss=2.87, valid/accuracy=0.645, valid/num_kv_pairs/accuracy-4=0.868, valid/num_kv_pairs/accuracy-8=0.73, valid/num_kv_pairs/accuracy-16=0.734, valid/num_kv_pairs/accuracy-32=0.561, valid/num_kv_pairs/accuracy-64=0.331
valid/loss=2.89, valid/accuracy=0.641, valid/num_kv_pairs/accuracy-4=0.873, valid/num_kv_pairs/accuracy-8=0.739, valid/num_kv_pairs/accuracy-16=0.728, valid/num_kv_pairs/accuracy-32=0.543, valid/num_kv_pairs/accuracy-64=0.32
valid/loss=2.87, valid/accuracy=0.641, valid/num_kv_pairs/accuracy-4=0.881, valid/num_kv_pairs/accuracy-8=0.731, valid/num_kv_pairs/accuracy-16=0.728, valid/num_kv_pairs/accuracy-32=0.544, valid/num_kv_pairs/accuracy-64=0.321
valid/loss=2.86, valid/accuracy=0.639, valid/num_kv_pairs/accuracy-4=0.871, valid/num_kv_pairs/accuracy-8=0.731, valid/num_kv_pairs/accuracy-16=0.727, valid/num_kv_pairs/accuracy-32=0.543, valid/num_kv_pairs/accuracy-64=0.322
valid/loss=2.83, valid/accuracy=0.642, valid/num_kv_pairs/accuracy-4=0.875, valid/num_kv_pairs/accuracy-8=0.732, valid/num_kv_pairs/accuracy-16=0.729, valid/num_kv_pairs/accuracy-32=0.55, valid/num_kv_pairs/accuracy-64=0.325
valid/loss=2.81, valid/accuracy=0.643, valid/num_kv_pairs/accuracy-4=0.877, valid/num_kv_pairs/accuracy-8=0.74, valid/num_kv_pairs/accuracy-16=0.725, valid/num_kv_pairs/accuracy-32=0.549, valid/num_kv_pairs/accuracy-64=0.325
valid/loss=2.81, valid/accuracy=0.647, valid/num_kv_pairs/accuracy-4=0.883, valid/num_kv_pairs/accuracy-8=0.747, valid/num_kv_pairs/accuracy-16=0.728, valid/num_kv_pairs/accuracy-32=0.552, valid/num_kv_pairs/accuracy-64=0.326
valid/loss=2.77, valid/accuracy=0.646, valid/num_kv_pairs/accuracy-4=0.871, valid/num_kv_pairs/accuracy-8=0.742, valid/num_kv_pairs/accuracy-16=0.729, valid/num_kv_pairs/accuracy-32=0.555, valid/num_kv_pairs/accuracy-64=0.333
valid/loss=2.69, valid/accuracy=0.649, valid/num_kv_pairs/accuracy-4=0.88, valid/num_kv_pairs/accuracy-8=0.742, valid/num_kv_pairs/accuracy-16=0.734, valid/num_kv_pairs/accuracy-32=0.558, valid/num_kv_pairs/accuracy-64=0.332
valid/loss=2.64, valid/accuracy=0.654, valid/num_kv_pairs/accuracy-4=0.883, valid/num_kv_pairs/accuracy-8=0.747, valid/num_kv_pairs/accuracy-16=0.736, valid/num_kv_pairs/accuracy-32=0.568, valid/num_kv_pairs/accuracy-64=0.334
valid/loss=2.63, valid/accuracy=0.655, valid/num_kv_pairs/accuracy-4=0.881, valid/num_kv_pairs/accuracy-8=0.744, valid/num_kv_pairs/accuracy-16=0.738, valid/num_kv_pairs/accuracy-32=0.571, valid/num_kv_pairs/accuracy-64=0.342
valid/loss=2.61, valid/accuracy=0.656, valid/num_kv_pairs/accuracy-4=0.881, valid/num_kv_pairs/accuracy-8=0.741, valid/num_kv_pairs/accuracy-16=0.736, valid/num_kv_pairs/accuracy-32=0.576, valid/num_kv_pairs/accuracy-64=0.348
valid/loss=2.54, valid/accuracy=0.663, valid/num_kv_pairs/accuracy-4=0.884, valid/num_kv_pairs/accuracy-8=0.744, valid/num_kv_pairs/accuracy-16=0.742, valid/num_kv_pairs/accuracy-32=0.59, valid/num_kv_pairs/accuracy-64=0.357
valid/loss=2.5, valid/accuracy=0.665, valid/num_kv_pairs/accuracy-4=0.885, valid/num_kv_pairs/accuracy-8=0.744, valid/num_kv_pairs/accuracy-16=0.742, valid/num_kv_pairs/accuracy-32=0.593, valid/num_kv_pairs/accuracy-64=0.361
valid/loss=2.47, valid/accuracy=0.668, valid/num_kv_pairs/accuracy-4=0.886, valid/num_kv_pairs/accuracy-8=0.745, valid/num_kv_pairs/accuracy-16=0.747, valid/num_kv_pairs/accuracy-32=0.597, valid/num_kv_pairs/accuracy-64=0.364
valid/loss=2.45, valid/accuracy=0.672, valid/num_kv_pairs/accuracy-4=0.889, valid/num_kv_pairs/accuracy-8=0.751, valid/num_kv_pairs/accuracy-16=0.748, valid/num_kv_pairs/accuracy-32=0.602, valid/num_kv_pairs/accuracy-64=0.368
valid/loss=2.42, valid/accuracy=0.673, valid/num_kv_pairs/accuracy-4=0.891, valid/num_kv_pairs/accuracy-8=0.753, valid/num_kv_pairs/accuracy-16=0.747, valid/num_kv_pairs/accuracy-32=0.604, valid/num_kv_pairs/accuracy-64=0.371
valid/loss=2.4, valid/accuracy=0.675, valid/num_kv_pairs/accuracy-4=0.893, valid/num_kv_pairs/accuracy-8=0.751, valid/num_kv_pairs/accuracy-16=0.749, valid/num_kv_pairs/accuracy-32=0.609, valid/num_kv_pairs/accuracy-64=0.374
valid/loss=2.38, valid/accuracy=0.676, valid/num_kv_pairs/accuracy-4=0.889, valid/num_kv_pairs/accuracy-8=0.754, valid/num_kv_pairs/accuracy-16=0.751, valid/num_kv_pairs/accuracy-32=0.612, valid/num_kv_pairs/accuracy-64=0.374
valid/loss=2.36, valid/accuracy=0.679, valid/num_kv_pairs/accuracy-4=0.893, valid/num_kv_pairs/accuracy-8=0.759, valid/num_kv_pairs/accuracy-16=0.753, valid/num_kv_pairs/accuracy-32=0.614, valid/num_kv_pairs/accuracy-64=0.375
valid/loss=2.34, valid/accuracy=0.682, valid/num_kv_pairs/accuracy-4=0.901, valid/num_kv_pairs/accuracy-8=0.768, valid/num_kv_pairs/accuracy-16=0.755, valid/num_kv_pairs/accuracy-32=0.615, valid/num_kv_pairs/accuracy-64=0.373
valid/loss=2.32, valid/accuracy=0.685, valid/num_kv_pairs/accuracy-4=0.904, valid/num_kv_pairs/accuracy-8=0.776, valid/num_kv_pairs/accuracy-16=0.756, valid/num_kv_pairs/accuracy-32=0.615, valid/num_kv_pairs/accuracy-64=0.371
valid/loss=2.3, valid/accuracy=0.685, valid/num_kv_pairs/accuracy-4=0.908, valid/num_kv_pairs/accuracy-8=0.783, valid/num_kv_pairs/accuracy-16=0.756, valid/num_kv_pairs/accuracy-32=0.613, valid/num_kv_pairs/accuracy-64=0.364
