    early_stopping_metric='valid/accuracy',
    early_stopping_threshold=0.99,
    run_id='smatgdn_d2_hd16_h2_sig_cread_m2blk_s3-dm64-lr1.0e-02'
valid/loss=8.26, valid/accuracy=0.000325, valid/num_kv_pairs/accuracy-4=0, valid/num_kv_pairs/accuracy-8=0.000625, valid/num_kv_pairs/accuracy-16=0.000313, valid/num_kv_pairs/accuracy-32=0.000406, valid/num_kv_pairs/accuracy-64=0.000281
valid/loss=2.49, valid/accuracy=0.678, valid/num_kv_pairs/accuracy-4=0.86, valid/num_kv_pairs/accuracy-8=0.756, valid/num_kv_pairs/accuracy-16=0.8, valid/num_kv_pairs/accuracy-32=0.624, valid/num_kv_pairs/accuracy-64=0.351
valid/loss=2.04, valid/accuracy=0.724, valid/num_kv_pairs/accuracy-4=0.903, valid/num_kv_pairs/accuracy-8=0.816, valid/num_kv_pairs/accuracy-16=0.843, valid/num_kv_pairs/accuracy-32=0.663, valid/num_kv_pairs/accuracy-64=0.396
valid/loss=1.71, valid/accuracy=0.771, valid/num_kv_pairs/accuracy-4=0.912, valid/num_kv_pairs/accuracy-8=0.848, valid/num_kv_pairs/accuracy-16=0.881, valid/num_kv_pairs/accuracy-32=0.75, valid/num_kv_pairs/accuracy-64=0.462
valid/loss=1.37, valid/accuracy=0.826, valid/num_kv_pairs/accuracy-4=0.95, valid/num_kv_pairs/accuracy-8=0.917, valid/num_kv_pairs/accuracy-16=0.921, valid/num_kv_pairs/accuracy-32=0.789, valid/num_kv_pairs/accuracy-64=0.551
valid/loss=1.25, valid/accuracy=0.84, valid/num_kv_pairs/accuracy-4=0.952, valid/num_kv_pairs/accuracy-8=0.924, valid/num_kv_pairs/accuracy-16=0.923, valid/num_kv_pairs/accuracy-32=0.828, valid/num_kv_pairs/accuracy-64=0.573
valid/loss=1.19, valid/accuracy=0.858, valid/num_kv_pairs/accuracy-4=0.948, valid/num_kv_pairs/accuracy-8=0.95, valid/num_kv_pairs/accuracy-16=0.929, valid/num_kv_pairs/accuracy-32=0.866, valid/num_kv_pairs/accuracy-64=0.598
valid/loss=1.05, valid/accuracy=0.869, valid/num_kv_pairs/accuracy-4=0.962, valid/num_kv_pairs/accuracy-8=0.941, valid/num_kv_pairs/accuracy-16=0.957, valid/num_kv_pairs/accuracy-32=0.879, valid/num_kv_pairs/accuracy-64=0.608
valid/loss=1.19, valid/accuracy=0.861, valid/num_kv_pairs/accuracy-4=0.927, valid/num_kv_pairs/accuracy-8=0.95, valid/num_kv_pairs/accuracy-16=0.935, valid/num_kv_pairs/accuracy-32=0.874, valid/num_kv_pairs/accuracy-64=0.619
valid/loss=1.17, valid/accuracy=0.857, valid/num_kv_pairs/accuracy-4=0.946, valid/num_kv_pairs/accuracy-8=0.905, valid/num_kv_pairs/accuracy-16=0.94, valid/num_kv_pairs/accuracy-32=0.879, valid/num_kv_pairs/accuracy-64=0.617
valid/loss=1.16, valid/accuracy=0.864, valid/num_kv_pairs/accuracy-4=0.951, valid/num_kv_pairs/accuracy-8=0.938, valid/num_kv_pairs/accuracy-16=0.939, valid/num_kv_pairs/accuracy-32=0.871, valid/num_kv_pairs/accuracy-64=0.623
valid/loss=1.14, valid/accuracy=0.863, valid/num_kv_pairs/accuracy-4=0.951, valid/num_kv_pairs/accuracy-8=0.934, valid/num_kv_pairs/accuracy-16=0.939, valid/num_kv_pairs/accuracy-32=0.873, valid/num_kv_pairs/accuracy-64=0.618
valid/loss=1.02, valid/accuracy=0.875, valid/num_kv_pairs/accuracy-4=0.958, valid/num_kv_pairs/accuracy-8=0.961, valid/num_kv_pairs/accuracy-16=0.94, valid/num_kv_pairs/accuracy-32=0.886, valid/num_kv_pairs/accuracy-64=0.632
valid/loss=0.634, valid/accuracy=0.903, valid/num_kv_pairs/accuracy-4=0.971, valid/num_kv_pairs/accuracy-8=0.99, valid/num_kv_pairs/accuracy-16=0.968, valid/num_kv_pairs/accuracy-32=0.923, valid/num_kv_pairs/accuracy-64=0.663
valid/loss=0.602, valid/accuracy=0.908, valid/num_kv_pairs/accuracy-4=0.976, valid/num_kv_pairs/accuracy-8=0.991, valid/num_kv_pairs/accuracy-16=0.968, valid/num_kv_pairs/accuracy-32=0.933, valid/num_kv_pairs/accuracy-64=0.671
valid/loss=0.57, valid/accuracy=0.909, valid/num_kv_pairs/accuracy-4=0.976, valid/num_kv_pairs/accuracy-8=0.992, valid/num_kv_pairs/accuracy-16=0.97, valid/num_kv_pairs/accuracy-32=0.937, valid/num_kv_pairs/accuracy-64=0.673
valid/loss=0.559, valid/accuracy=0.909, valid/num_kv_pairs/accuracy-4=0.976, valid/num_kv_pairs/accuracy-8=0.995, valid/num_kv_pairs/accuracy-16=0.972, valid/num_kv_pairs/accuracy-32=0.927, valid/num_kv_pairs/accuracy-64=0.677
