    early_stopping_metric='valid/accuracy',
    early_stopping_threshold=0.99,
    run_id='smatgdn_d3_hd16_h2_sig_cread_m2blk_s1-dm64-lr1.0e-02'
valid/loss=8.5, valid/accuracy=0.000256, valid/num_kv_pairs/accuracy-4=0, valid/num_kv_pairs/accuracy-8=0, valid/num_kv_pairs/accuracy-16=0.000313, valid/num_kv_pairs/accuracy-32=0.000531, valid/num_kv_pairs/accuracy-64=0.000438
valid/loss=0.924, valid/accuracy=0.865, valid/num_kv_pairs/accuracy-4=0.894, valid/num_kv_pairs/accuracy-8=0.767, valid/num_kv_pairs/accuracy-16=0.862, valid/num_kv_pairs/accuracy-32=0.926, valid/num_kv_pairs/accuracy-64=0.875
valid/loss=2.17, valid/accuracy=0.791, valid/num_kv_pairs/accuracy-4=0.661, valid/num_kv_pairs/accuracy-8=0.536, valid/num_kv_pairs/accuracy-16=0.885, valid/num_kv_pairs/accuracy-32=0.95, valid/num_kv_pairs/accuracy-64=0.921
valid/loss=0.445, valid/accuracy=0.93, valid/num_kv_pairs/accuracy-4=0.949, valid/num_kv_pairs/accuracy-8=0.918, valid/num_kv_pairs/accuracy-16=0.909, valid/num_kv_pairs/accuracy-32=0.954, valid/num_kv_pairs/accuracy-64=0.92
valid/loss=0.235, valid/accuracy=0.959, valid/num_kv_pairs/accuracy-4=0.982, valid/num_kv_pairs/accuracy-8=0.962, valid/num_kv_pairs/accuracy-16=0.928, valid/num_kv_pairs/accuracy-32=0.976, valid/num_kv_pairs/accuracy-64=0.948
valid/loss=0.264, valid/accuracy=0.951, valid/num_kv_pairs/accuracy-4=0.974, valid/num_kv_pairs/accuracy-8=0.933, valid/num_kv_pairs/accuracy-16=0.932, valid/num_kv_pairs/accuracy-32=0.97, valid/num_kv_pairs/accuracy-64=0.946
valid/loss=0.274, valid/accuracy=0.949, valid/num_kv_pairs/accuracy-4=0.968, valid/num_kv_pairs/accuracy-8=0.936, valid/num_kv_pairs/accuracy-16=0.932, valid/num_kv_pairs/accuracy-32=0.97, valid/num_kv_pairs/accuracy-64=0.942
valid/loss=0.261, valid/accuracy=0.954, valid/num_kv_pairs/accuracy-4=0.977, valid/num_kv_pairs/accuracy-8=0.959, valid/num_kv_pairs/accuracy-16=0.929, valid/num_kv_pairs/accuracy-32=0.967, valid/num_kv_pairs/accuracy-64=0.938
valid/loss=0.553, valid/accuracy=0.912, valid/num_kv_pairs/accuracy-4=0.9, valid/num_kv_pairs/accuracy-8=0.787, valid/num_kv_pairs/accuracy-16=0.94, valid/num_kv_pairs/accuracy-32=0.981, valid/num_kv_pairs/accuracy-64=0.951
valid/loss=1.79, valid/accuracy=0.823, valid/num_kv_pairs/accuracy-4=0.681, valid/num_kv_pairs/accuracy-8=0.611, valid/num_kv_pairs/accuracy-16=0.914, valid/num_kv_pairs/accuracy-32=0.959, valid/num_kv_pairs/accuracy-64=0.952
valid/loss=1.82, valid/accuracy=0.82, valid/num_kv_pairs/accuracy-4=0.709, valid/num_kv_pairs/accuracy-8=0.573, valid/num_kv_pairs/accuracy-16=0.909, valid/num_kv_pairs/accuracy-32=0.957, valid/num_kv_pairs/accuracy-64=0.95
valid/loss=0.26, valid/accuracy=0.957, valid/num_kv_pairs/accuracy-4=0.983, valid/num_kv_pairs/accuracy-8=0.977, valid/num_kv_pairs/accuracy-16=0.925, valid/num_kv_pairs/accuracy-32=0.963, valid/num_kv_pairs/accuracy-64=0.936
valid/loss=2.29, valid/accuracy=0.799, valid/num_kv_pairs/accuracy-4=0.608, valid/num_kv_pairs/accuracy-8=0.564, valid/num_kv_pairs/accuracy-16=0.913, valid/num_kv_pairs/accuracy-32=0.958, valid/num_kv_pairs/accuracy-64=0.953
valid/loss=0.233, valid/accuracy=0.958, valid/num_kv_pairs/accuracy-4=0.978, valid/num_kv_pairs/accuracy-8=0.971, valid/num_kv_pairs/accuracy-16=0.937, valid/num_kv_pairs/accuracy-32=0.968, valid/num_kv_pairs/accuracy-64=0.937
valid/loss=2.98, valid/accuracy=0.744, valid/num_kv_pairs/accuracy-4=0.442, valid/num_kv_pairs/accuracy-8=0.453, valid/num_kv_pairs/accuracy-16=0.913, valid/num_kv_pairs/accuracy-32=0.959, valid/num_kv_pairs/accuracy-64=0.953
valid/loss=0.246, valid/accuracy=0.956, valid/num_kv_pairs/accuracy-4=0.976, valid/num_kv_pairs/accuracy-8=0.968, valid/num_kv_pairs/accuracy-16=0.928, valid/num_kv_pairs/accuracy-32=0.967, valid/num_kv_pairs/accuracy-64=0.94
valid/loss=2.57, valid/accuracy=0.769, valid/num_kv_pairs/accuracy-4=0.533, valid/num_kv_pairs/accuracy-8=0.49, valid/num_kv_pairs/accuracy-16=0.913, valid/num_kv_pairs/accuracy-32=0.958, valid/num_kv_pairs/accuracy-64=0.951
valid/loss=2.63, valid/accuracy=0.754, valid/num_kv_pairs/accuracy-4=0.486, valid/num_kv_pairs/accuracy-8=0.466, valid/num_kv_pairs/accuracy-16=0.909, valid/num_kv_pairs/accuracy-32=0.958, valid/num_kv_pairs/accuracy-64=0.95
valid/loss=0.712, valid/accuracy=0.889, valid/num_kv_pairs/accuracy-4=0.857, valid/num_kv_pairs/accuracy-8=0.771, valid/num_kv_pairs/accuracy-16=0.914, valid/num_kv_pairs/accuracy-32=0.96, valid/num_kv_pairs/accuracy-64=0.945
valid/loss=0.904, valid/accuracy=0.868, valid/num_kv_pairs/accuracy-4=0.822, valid/num_kv_pairs/accuracy-8=0.696, valid/num_kv_pairs/accuracy-16=0.914, valid/num_kv_pairs/accuracy-32=0.961, valid/num_kv_pairs/accuracy-64=0.947
valid/loss=0.747, valid/accuracy=0.891, valid/num_kv_pairs/accuracy-4=0.873, valid/num_kv_pairs/accuracy-8=0.757, valid/num_kv_pairs/accuracy-16=0.914, valid/num_kv_pairs/accuracy-32=0.961, valid/num_kv_pairs/accuracy-64=0.948
valid/loss=0.532, valid/accuracy=0.92, valid/num_kv_pairs/accuracy-4=0.915, valid/num_kv_pairs/accuracy-8=0.866, valid/num_kv_pairs/accuracy-16=0.915, valid/num_kv_pairs/accuracy-32=0.96, valid/num_kv_pairs/accuracy-64=0.945
valid/loss=1.1, valid/accuracy=0.855, valid/num_kv_pairs/accuracy-4=0.81, valid/num_kv_pairs/accuracy-8=0.637, valid/num_kv_pairs/accuracy-16=0.916, valid/num_kv_pairs/accuracy-32=0.965, valid/num_kv_pairs/accuracy-64=0.949
valid/loss=1.28, valid/accuracy=0.846, valid/num_kv_pairs/accuracy-4=0.792, valid/num_kv_pairs/accuracy-8=0.605, valid/num_kv_pairs/accuracy-16=0.918, valid/num_kv_pairs/accuracy-32=0.964, valid/num_kv_pairs/accuracy-64=0.95
