    early_stopping_metric='valid/accuracy',
    early_stopping_threshold=0.99,
    run_id='smatgdn_d3_hd16_h2_sig_cread_m2blk-dm64-lr1.0e-02'
valid/loss=8.29, valid/accuracy=0.000394, valid/num_kv_pairs/accuracy-4=0.0005, valid/num_kv_pairs/accuracy-8=0.0005, valid/num_kv_pairs/accuracy-16=0.000313, valid/num_kv_pairs/accuracy-32=0.000313, valid/num_kv_pairs/accuracy-64=0.000344
valid/loss=4.34, valid/accuracy=0.555, valid/num_kv_pairs/accuracy-4=0.379, valid/num_kv_pairs/accuracy-8=0.377, valid/num_kv_pairs/accuracy-16=0.615, valid/num_kv_pairs/accuracy-32=0.757, valid/num_kv_pairs/accuracy-64=0.65
valid/loss=3.48, valid/accuracy=0.627, valid/num_kv_pairs/accuracy-4=0.326, valid/num_kv_pairs/accuracy-8=0.388, valid/num_kv_pairs/accuracy-16=0.753, valid/num_kv_pairs/accuracy-32=0.86, valid/num_kv_pairs/accuracy-64=0.806
valid/loss=3.07, valid/accuracy=0.671, valid/num_kv_pairs/accuracy-4=0.357, valid/num_kv_pairs/accuracy-8=0.413, valid/num_kv_pairs/accuracy-16=0.822, valid/num_kv_pairs/accuracy-32=0.904, valid/num_kv_pairs/accuracy-64=0.858
valid/loss=1.28, valid/accuracy=0.837, valid/num_kv_pairs/accuracy-4=0.869, valid/num_kv_pairs/accuracy-8=0.635, valid/num_kv_pairs/accuracy-16=0.87, valid/num_kv_pairs/accuracy-32=0.933, valid/num_kv_pairs/accuracy-64=0.878
valid/loss=0.867, valid/accuracy=0.878, valid/num_kv_pairs/accuracy-4=0.918, valid/num_kv_pairs/accuracy-8=0.742, valid/num_kv_pairs/accuracy-16=0.888, valid/num_kv_pairs/accuracy-32=0.942, valid/num_kv_pairs/accuracy-64=0.901
valid/loss=0.974, valid/accuracy=0.865, valid/num_kv_pairs/accuracy-4=0.872, valid/num_kv_pairs/accuracy-8=0.698, valid/num_kv_pairs/accuracy-16=0.899, valid/num_kv_pairs/accuracy-32=0.949, valid/num_kv_pairs/accuracy-64=0.907
valid/loss=2.58, valid/accuracy=0.726, valid/num_kv_pairs/accuracy-4=0.435, valid/num_kv_pairs/accuracy-8=0.448, valid/num_kv_pairs/accuracy-16=0.896, valid/num_kv_pairs/accuracy-32=0.943, valid/num_kv_pairs/accuracy-64=0.908
valid/loss=0.986, valid/accuracy=0.865, valid/num_kv_pairs/accuracy-4=0.872, valid/num_kv_pairs/accuracy-8=0.65, valid/num_kv_pairs/accuracy-16=0.923, valid/num_kv_pairs/accuracy-32=0.963, valid/num_kv_pairs/accuracy-64=0.918
valid/loss=1.68, valid/accuracy=0.814, valid/num_kv_pairs/accuracy-4=0.632, valid/num_kv_pairs/accuracy-8=0.552, valid/num_kv_pairs/accuracy-16=0.957, valid/num_kv_pairs/accuracy-32=0.983, valid/num_kv_pairs/accuracy-64=0.947
valid/loss=0.53, valid/accuracy=0.918, valid/num_kv_pairs/accuracy-4=0.912, valid/num_kv_pairs/accuracy-8=0.766, valid/num_kv_pairs/accuracy-16=0.967, valid/num_kv_pairs/accuracy-32=0.987, valid/num_kv_pairs/accuracy-64=0.957
