    early_stopping_metric='valid/accuracy',
    early_stopping_threshold=0.99,
    run_id='smat_d3_mr3_hd16_ds16_sig_delta_cread_m2blk_s1-dm32-lr1.0e-02'
valid/loss=2.4, valid/accuracy=0.72, valid/num_kv_pairs/accuracy-4=0.8, valid/num_kv_pairs/accuracy-8=0.693, valid/num_kv_pairs/accuracy-16=0.696, valid/num_kv_pairs/accuracy-32=0.761, valid/num_kv_pairs/accuracy-64=0.648
valid/loss=2.88, valid/accuracy=0.697, valid/num_kv_pairs/accuracy-4=0.507, valid/num_kv_pairs/accuracy-8=0.487, valid/num_kv_pairs/accuracy-16=0.799, valid/num_kv_pairs/accuracy-32=0.882, valid/num_kv_pairs/accuracy-64=0.808
valid/loss=2.1, valid/accuracy=0.762, valid/num_kv_pairs/accuracy-4=0.653, valid/num_kv_pairs/accuracy-8=0.55, valid/num_kv_pairs/accuracy-16=0.839, valid/num_kv_pairs/accuracy-32=0.906, valid/num_kv_pairs/accuracy-64=0.861
valid/loss=1.65, valid/accuracy=0.796, valid/num_kv_pairs/accuracy-4=0.76, valid/num_kv_pairs/accuracy-8=0.599, valid/num_kv_pairs/accuracy-16=0.844, valid/num_kv_pairs/accuracy-32=0.914, valid/num_kv_pairs/accuracy-64=0.863
valid/loss=1.84, valid/accuracy=0.788, valid/num_kv_pairs/accuracy-4=0.709, valid/num_kv_pairs/accuracy-8=0.574, valid/num_kv_pairs/accuracy-16=0.849, valid/num_kv_pairs/accuracy-32=0.922, valid/num_kv_pairs/accuracy-64=0.885
valid/loss=1.81, valid/accuracy=0.793, valid/num_kv_pairs/accuracy-4=0.725, valid/num_kv_pairs/accuracy-8=0.586, valid/num_kv_pairs/accuracy-16=0.848, valid/num_kv_pairs/accuracy-32=0.924, valid/num_kv_pairs/accuracy-64=0.882
valid/loss=2.05, valid/accuracy=0.772, valid/num_kv_pairs/accuracy-4=0.651, valid/num_kv_pairs/accuracy-8=0.553, valid/num_kv_pairs/accuracy-16=0.852, valid/num_kv_pairs/accuracy-32=0.923, valid/num_kv_pairs/accuracy-64=0.881
valid/loss=1.52, valid/accuracy=0.816, valid/num_kv_pairs/accuracy-4=0.784, valid/num_kv_pairs/accuracy-8=0.621, valid/num_kv_pairs/accuracy-16=0.852, valid/num_kv_pairs/accuracy-32=0.928, valid/num_kv_pairs/accuracy-64=0.894
valid/loss=1.69, valid/accuracy=0.8, valid/num_kv_pairs/accuracy-4=0.748, valid/num_kv_pairs/accuracy-8=0.596, valid/num_kv_pairs/accuracy-16=0.848, valid/num_kv_pairs/accuracy-32=0.928, valid/num_kv_pairs/accuracy-64=0.88
valid/loss=1.45, valid/accuracy=0.82, valid/num_kv_pairs/accuracy-4=0.798, valid/num_kv_pairs/accuracy-8=0.627, valid/num_kv_pairs/accuracy-16=0.851, valid/num_kv_pairs/accuracy-32=0.93, valid/num_kv_pairs/accuracy-64=0.893
valid/loss=1.56, valid/accuracy=0.818, valid/num_kv_pairs/accuracy-4=0.766, valid/num_kv_pairs/accuracy-8=0.607, valid/num_kv_pairs/accuracy-16=0.864, valid/num_kv_pairs/accuracy-32=0.945, valid/num_kv_pairs/accuracy-64=0.907
valid/loss=1.49, valid/accuracy=0.826, valid/num_kv_pairs/accuracy-4=0.783, valid/num_kv_pairs/accuracy-8=0.61, valid/num_kv_pairs/accuracy-16=0.87, valid/num_kv_pairs/accuracy-32=0.948, valid/num_kv_pairs/accuracy-64=0.921
valid/loss=1.17, valid/accuracy=0.852, valid/num_kv_pairs/accuracy-4=0.845, valid/num_kv_pairs/accuracy-8=0.662, valid/num_kv_pairs/accuracy-16=0.878, valid/num_kv_pairs/accuracy-32=0.949, valid/num_kv_pairs/accuracy-64=0.925
valid/loss=0.913, valid/accuracy=0.878, valid/num_kv_pairs/accuracy-4=0.891, valid/num_kv_pairs/accuracy-8=0.72, valid/num_kv_pairs/accuracy-16=0.89, valid/num_kv_pairs/accuracy-32=0.958, valid/num_kv_pairs/accuracy-64=0.933
valid/loss=0.834, valid/accuracy=0.885, valid/num_kv_pairs/accuracy-4=0.91, valid/num_kv_pairs/accuracy-8=0.726, valid/num_kv_pairs/accuracy-16=0.893, valid/num_kv_pairs/accuracy-32=0.962, valid/num_kv_pairs/accuracy-64=0.934
valid/loss=0.838, valid/accuracy=0.887, valid/num_kv_pairs/accuracy-4=0.921, valid/num_kv_pairs/accuracy-8=0.724, valid/num_kv_pairs/accuracy-16=0.891, valid/num_kv_pairs/accuracy-32=0.961, valid/num_kv_pairs/accuracy-64=0.938
valid/loss=0.788, valid/accuracy=0.89, valid/num_kv_pairs/accuracy-4=0.926, valid/num_kv_pairs/accuracy-8=0.735, valid/num_kv_pairs/accuracy-16=0.892, valid/num_kv_pairs/accuracy-32=0.962, valid/num_kv_pairs/accuracy-64=0.936
valid/loss=0.726, valid/accuracy=0.897, valid/num_kv_pairs/accuracy-4=0.929, valid/num_kv_pairs/accuracy-8=0.75, valid/num_kv_pairs/accuracy-16=0.899, valid/num_kv_pairs/accuracy-32=0.967, valid/num_kv_pairs/accuracy-64=0.94
valid/loss=0.749, valid/accuracy=0.897, valid/num_kv_pairs/accuracy-4=0.929, valid/num_kv_pairs/accuracy-8=0.743, valid/num_kv_pairs/accuracy-16=0.9, valid/num_kv_pairs/accuracy-32=0.968, valid/num_kv_pairs/accuracy-64=0.944
valid/loss=0.742, valid/accuracy=0.896, valid/num_kv_pairs/accuracy-4=0.929, valid/num_kv_pairs/accuracy-8=0.739, valid/num_kv_pairs/accuracy-16=0.903, valid/num_kv_pairs/accuracy-32=0.969, valid/num_kv_pairs/accuracy-64=0.942
valid/loss=0.701, valid/accuracy=0.901, valid/num_kv_pairs/accuracy-4=0.933, valid/num_kv_pairs/accuracy-8=0.754, valid/num_kv_pairs/accuracy-16=0.904, valid/num_kv_pairs/accuracy-32=0.971, valid/num_kv_pairs/accuracy-64=0.942
valid/loss=0.697, valid/accuracy=0.903, valid/num_kv_pairs/accuracy-4=0.937, valid/num_kv_pairs/accuracy-8=0.758, valid/num_kv_pairs/accuracy-16=0.904, valid/num_kv_pairs/accuracy-32=0.971, valid/num_kv_pairs/accuracy-64=0.944
valid/loss=0.717, valid/accuracy=0.901, valid/num_kv_pairs/accuracy-4=0.934, valid/num_kv_pairs/accuracy-8=0.751, valid/num_kv_pairs/accuracy-16=0.904, valid/num_kv_pairs/accuracy-32=0.971, valid/num_kv_pairs/accuracy-64=0.943
valid/loss=0.706, valid/accuracy=0.902, valid/num_kv_pairs/accuracy-4=0.933, valid/num_kv_pairs/accuracy-8=0.757, valid/num_kv_pairs/accuracy-16=0.904, valid/num_kv_pairs/accuracy-32=0.971, valid/num_kv_pairs/accuracy-64=0.943
valid/loss=0.758, valid/accuracy=0.898, valid/num_kv_pairs/accuracy-4=0.929, valid/num_kv_pairs/accuracy-8=0.741, valid/num_kv_pairs/accuracy-16=0.904, valid/num_kv_pairs/accuracy-32=0.972, valid/num_kv_pairs/accuracy-64=0.942
valid/loss=0.735, valid/accuracy=0.9, valid/num_kv_pairs/accuracy-4=0.934, valid/num_kv_pairs/accuracy-8=0.747, valid/num_kv_pairs/accuracy-16=0.907, valid/num_kv_pairs/accuracy-32=0.971, valid/num_kv_pairs/accuracy-64=0.941
valid/loss=0.767, valid/accuracy=0.898, valid/num_kv_pairs/accuracy-4=0.932, valid/num_kv_pairs/accuracy-8=0.738, valid/num_kv_pairs/accuracy-16=0.907, valid/num_kv_pairs/accuracy-32=0.971, valid/num_kv_pairs/accuracy-64=0.941
valid/loss=0.786, valid/accuracy=0.897, valid/num_kv_pairs/accuracy-4=0.937, valid/num_kv_pairs/accuracy-8=0.729, valid/num_kv_pairs/accuracy-16=0.907, valid/num_kv_pairs/accuracy-32=0.971, valid/num_kv_pairs/accuracy-64=0.941
valid/loss=0.74, valid/accuracy=0.9, valid/num_kv_pairs/accuracy-4=0.944, valid/num_kv_pairs/accuracy-8=0.738, valid/num_kv_pairs/accuracy-16=0.908, valid/num_kv_pairs/accuracy-32=0.972, valid/num_kv_pairs/accuracy-64=0.939
valid/loss=0.662, valid/accuracy=0.907, valid/num_kv_pairs/accuracy-4=0.951, valid/num_kv_pairs/accuracy-8=0.763, valid/num_kv_pairs/accuracy-16=0.91, valid/num_kv_pairs/accuracy-32=0.972, valid/num_kv_pairs/accuracy-64=0.939
valid/loss=0.432, valid/accuracy=0.932, valid/num_kv_pairs/accuracy-4=0.978, valid/num_kv_pairs/accuracy-8=0.857, valid/num_kv_pairs/accuracy-16=0.917, valid/num_kv_pairs/accuracy-32=0.971, valid/num_kv_pairs/accuracy-64=0.938
valid/loss=0.249, valid/accuracy=0.959, valid/num_kv_pairs/accuracy-4=0.996, valid/num_kv_pairs/accuracy-8=0.97, valid/num_kv_pairs/accuracy-16=0.931, valid/num_kv_pairs/accuracy-32=0.971, valid/num_kv_pairs/accuracy-64=0.928
