    early_stopping_metric='valid/accuracy',
    early_stopping_threshold=0.99,
    run_id='smat_d1-dm16-lr3.2e-03'
valid/loss=8.02, valid/accuracy=0.00244, valid/num_kv_pairs/accuracy-4=0.00475, valid/num_kv_pairs/accuracy-8=0.004, valid/num_kv_pairs/accuracy-16=0.00194, valid/num_kv_pairs/accuracy-32=0.000844, valid/num_kv_pairs/accuracy-64=0.000687
valid/loss=7.96, valid/accuracy=0.00484, valid/num_kv_pairs/accuracy-4=0.0155, valid/num_kv_pairs/accuracy-8=0.00375, valid/num_kv_pairs/accuracy-16=0.00287, valid/num_kv_pairs/accuracy-32=0.00122, valid/num_kv_pairs/accuracy-64=0.000859
valid/loss=5.37, valid/accuracy=0.305, valid/num_kv_pairs/accuracy-4=0.672, valid/num_kv_pairs/accuracy-8=0.453, valid/num_kv_pairs/accuracy-16=0.257, valid/num_kv_pairs/accuracy-32=0.112, valid/num_kv_pairs/accuracy-64=0.0307
valid/loss=3.26, valid/accuracy=0.516, valid/num_kv_pairs/accuracy-4=0.872, valid/num_kv_pairs/accuracy-8=0.745, valid/num_kv_pairs/accuracy-16=0.542, valid/num_kv_pairs/accuracy-32=0.307, valid/num_kv_pairs/accuracy-64=0.114
valid/loss=2.94, valid/accuracy=0.543, valid/num_kv_pairs/accuracy-4=0.891, valid/num_kv_pairs/accuracy-8=0.759, valid/num_kv_pairs/accuracy-16=0.58, valid/num_kv_pairs/accuracy-32=0.343, valid/num_kv_pairs/accuracy-64=0.141
valid/loss=2.68, valid/accuracy=0.562, valid/num_kv_pairs/accuracy-4=0.896, valid/num_kv_pairs/accuracy-8=0.777, valid/num_kv_pairs/accuracy-16=0.606, valid/num_kv_pairs/accuracy-32=0.37, valid/num_kv_pairs/accuracy-64=0.161
valid/loss=2.45, valid/accuracy=0.587, valid/num_kv_pairs/accuracy-4=0.91, valid/num_kv_pairs/accuracy-8=0.795, valid/num_kv_pairs/accuracy-16=0.636, valid/num_kv_pairs/accuracy-32=0.406, valid/num_kv_pairs/accuracy-64=0.186
valid/loss=2.24, valid/accuracy=0.613, valid/num_kv_pairs/accuracy-4=0.919, valid/num_kv_pairs/accuracy-8=0.814, valid/num_kv_pairs/accuracy-16=0.668, valid/num_kv_pairs/accuracy-32=0.446, valid/num_kv_pairs/accuracy-64=0.219
valid/loss=2.08, valid/accuracy=0.635, valid/num_kv_pairs/accuracy-4=0.923, valid/num_kv_pairs/accuracy-8=0.831, valid/num_kv_pairs/accuracy-16=0.691, valid/num_kv_pairs/accuracy-32=0.481, valid/num_kv_pairs/accuracy-64=0.249
valid/loss=1.95, valid/accuracy=0.654, valid/num_kv_pairs/accuracy-4=0.931, valid/num_kv_pairs/accuracy-8=0.843, valid/num_kv_pairs/accuracy-16=0.711, valid/num_kv_pairs/accuracy-32=0.51, valid/num_kv_pairs/accuracy-64=0.272
valid/loss=1.86, valid/accuracy=0.661, valid/num_kv_pairs/accuracy-4=0.933, valid/num_kv_pairs/accuracy-8=0.846, valid/num_kv_pairs/accuracy-16=0.721, valid/num_kv_pairs/accuracy-32=0.523, valid/num_kv_pairs/accuracy-64=0.285
