JobID|JobName|Partition|State|ExitCode|Elapsed|AllocTRES
3171735|context-recall|ghx4-interactive|COMPLETED|0:0|00:03:25|billing=2000,cpu=4,gres/gpu=1,mem=64G,node=1
3171735.batch|batch||COMPLETED|0:0|00:03:25|cpu=4,gres/gpu=1,mem=64G,node=1
3171735.extern|extern||COMPLETED|0:0|00:03:25|billing=2000,cpu=4,gres/gpu=1,mem=64G,node=1
3171748|context-recall|ghx4-interactive|COMPLETED|0:0|00:02:57|billing=2000,cpu=4,gres/gpu=1,mem=64G,node=1
3171748.batch|batch||COMPLETED|0:0|00:02:57|cpu=4,gres/gpu=1,mem=64G,node=1
3171748.extern|extern||COMPLETED|0:0|00:02:57|billing=2000,cpu=4,gres/gpu=1,mem=64G,node=1
3171757|context-recall|ghx4-interactive|COMPLETED|0:0|00:06:59|billing=2000,cpu=4,gres/gpu=1,mem=64G,node=1
3171757.batch|batch||COMPLETED|0:0|00:06:59|cpu=4,gres/gpu=1,mem=64G,node=1
3171757.extern|extern||COMPLETED|0:0|00:07:00|billing=2000,cpu=4,gres/gpu=1,mem=64G,node=1
3171798|context-recall|ghx4-interactive|COMPLETED|0:0|00:11:19|billing=2000,cpu=4,gres/gpu=1,mem=64G,node=1
3171798.batch|batch||COMPLETED|0:0|00:11:19|cpu=4,gres/gpu=1,mem=64G,node=1
3171798.extern|extern||COMPLETED|0:0|00:11:19|billing=2000,cpu=4,gres/gpu=1,mem=64G,node=1
