accuracy,batch,binding_gap_pp,chance,complete,context_binding_gap_pp,context_only_oracle_accuracy,contexts,d,data_protocol,elapsed_seconds,encoding,eval_every,eval_examples,eval_loss,exact_accuracy,family,head_dim,hops,id_count,key_only_oracle_accuracy,layers,load,lr,metric,min_length,optimizer,out,parameters,query_blind_oracle_accuracy,scheduler,seed,sequence_length,shared,shared_query_count,state_dim,steps,task,test_examples,test_sha256,trainable_parameters,updates,validation_sha256,values,weight_decay,width,wrong_context_accuracy
0.9818115234375,32,91.583251953125,0.0625,True,,0.5318603515625,2,1,fresh independent per step; independent validation and final test,10.52404948999174,shuffled explicit-context triples,100,1024,0.0656620399095118,0.930419921875,gdn_current,16,0,80,1.0,2,4,0.01,unrestricted full vocabulary argmax at query identifiers,64,AdamW,/u/archerdw/smat_attention/deltaai/results/context_recall/w64-r4-c2-share0-t64-gdn_current-d1-s123,28328,0.33673095703125,cosine to zero,123,64,0.0,0,16,500,context,4096,82c82e65b297ff0beecdd6d95b904bb2fa7d94660df71ac97c7e72088052fca5,28328,1,4cb013bd00934c5d5154f08f91f645c8cf54bb4c31662ca90bfa5bb095a7540d,16,0.1,64,
0.9658203125,32,89.24357096354166,0.0625,True,,0.5325927734375,2,1,fresh independent per step; independent validation and final test,10.422833157004789,shuffled explicit-context triples,100,1024,0.11246162626775913,0.871337890625,gdn_current,16,0,80,1.0,2,4,0.01,unrestricted full vocabulary argmax at query identifiers,64,AdamW,/u/archerdw/smat_attention/deltaai/results/context_recall/w64-r4-c2-share0-t64-gdn_current-d1-s456,28328,0.34002685546875,cosine to zero,456,64,0.0,0,16,500,context,4096,e3cd630659dc708bbcc5d7882a7bd20e8ed7fe5e465c4d8fafb288832d979936,28328,1,75d44f8c303a160d02cfdecee34581d2a6a57daf978c90b7ab9fa635ba91b4e7,16,0.1,64,
0.50946044921875,32,35.738118489583336,0.0625,True,,0.53216552734375,2,1,fresh independent per step; independent validation and final test,10.454445607960224,shuffled explicit-context triples,100,1024,1.2888423521071672,0.038330078125,gdn_current,16,0,80,1.0,2,4,0.01,unrestricted full vocabulary argmax at query identifiers,64,AdamW,/u/archerdw/smat_attention/deltaai/results/context_recall/w64-r4-c2-share0-t64-gdn_current-d1-s789,28328,0.3394775390625,cosine to zero,789,64,0.0,0,16,500,context,4096,6c30d1056107095f6751a0be733c94c04fa80bc747744a4e76cbe7913ef2a3c8,28328,1,13f7a43479846d364178fdbff7c6f4b17a6610b2df73573a1b9b3043061e5687,16,0.1,64,
0.8909912109375,32,80.65592447916667,0.0625,True,,0.5318603515625,2,2,fresh independent per step; independent validation and final test,25.845263591967523,shuffled explicit-context triples,100,1024,0.37853959016501904,0.64990234375,gdn_current,16,0,80,1.0,2,4,0.01,unrestricted full vocabulary argmax at query identifiers,64,AdamW,/u/archerdw/smat_attention/deltaai/results/context_recall/w64-r4-c2-share0-t64-gdn_current-d2-s123,35284,0.33673095703125,cosine to zero,123,64,0.0,0,16,500,context,4096,82c82e65b297ff0beecdd6d95b904bb2fa7d94660df71ac97c7e72088052fca5,31188,1,4cb013bd00934c5d5154f08f91f645c8cf54bb4c31662ca90bfa5bb095a7540d,16,0.1,64,
0.0919189453125,32,0.08341471354166852,0.0625,True,,0.5325927734375,2,2,fresh independent per step; independent validation and final test,25.218164947000332,shuffled explicit-context triples,100,1024,2.687011042609811,0.0,gdn_current,16,0,80,1.0,2,4,0.01,unrestricted full vocabulary argmax at query identifiers,64,AdamW,/u/archerdw/smat_attention/deltaai/results/context_recall/w64-r4-c2-share0-t64-gdn_current-d2-s456,35284,0.34002685546875,cosine to zero,456,64,0.0,0,16,500,context,4096,e3cd630659dc708bbcc5d7882a7bd20e8ed7fe5e465c4d8fafb288832d979936,31188,1,75d44f8c303a160d02cfdecee34581d2a6a57daf978c90b7ab9fa635ba91b4e7,16,0.1,64,
0.42303466796875,32,28.717041015625,0.0625,True,,0.53216552734375,2,2,fresh independent per step; independent validation and final test,24.51120349194389,shuffled explicit-context triples,100,1024,1.7464188002049923,0.016845703125,gdn_current,16,0,80,1.0,2,4,0.01,unrestricted full vocabulary argmax at query identifiers,64,AdamW,/u/archerdw/smat_attention/deltaai/results/context_recall/w64-r4-c2-share0-t64-gdn_current-d2-s789,35284,0.3394775390625,cosine to zero,789,64,0.0,0,16,500,context,4096,6c30d1056107095f6751a0be733c94c04fa80bc747744a4e76cbe7913ef2a3c8,31188,1,13f7a43479846d364178fdbff7c6f4b17a6610b2df73573a1b9b3043061e5687,16,0.1,64,
0.1683349609375,32,-0.09358723958333148,0.0625,True,,0.5318603515625,2,3,fresh independent per step; independent validation and final test,26.888822497916408,shuffled explicit-context triples,100,1024,2.384198486804962,0.0,gdn_current,16,0,80,1.0,2,4,0.01,unrestricted full vocabulary argmax at query identifiers,64,AdamW,/u/archerdw/smat_attention/deltaai/results/context_recall/w64-r4-c2-share0-t64-gdn_current-d3-s123,43064,0.33673095703125,cosine to zero,123,64,0.0,0,16,500,context,4096,82c82e65b297ff0beecdd6d95b904bb2fa7d94660df71ac97c7e72088052fca5,37432,1,4cb013bd00934c5d5154f08f91f645c8cf54bb4c31662ca90bfa5bb095a7540d,16,0.1,64,
0.56341552734375,32,36.66788736979167,0.0625,True,,0.5325927734375,2,3,fresh independent per step; independent validation and final test,26.86743646406103,shuffled explicit-context triples,100,1024,1.1532469396479428,0.039306640625,gdn_current,16,0,80,1.0,2,4,0.01,unrestricted full vocabulary argmax at query identifiers,64,AdamW,/u/archerdw/smat_attention/deltaai/results/context_recall/w64-r4-c2-share0-t64-gdn_current-d3-s456,43064,0.34002685546875,cosine to zero,456,64,0.0,0,16,500,context,4096,e3cd630659dc708bbcc5d7882a7bd20e8ed7fe5e465c4d8fafb288832d979936,37432,1,75d44f8c303a160d02cfdecee34581d2a6a57daf978c90b7ab9fa635ba91b4e7,16,0.1,64,
0.18878173828125,32,8.400472005208334,0.0625,True,,0.53216552734375,2,3,fresh independent per step; independent validation and final test,26.239474467933178,shuffled explicit-context triples,100,1024,2.4020821675658226,0.0,gdn_current,16,0,80,1.0,2,4,0.01,unrestricted full vocabulary argmax at query identifiers,64,AdamW,/u/archerdw/smat_attention/deltaai/results/context_recall/w64-r4-c2-share0-t64-gdn_current-d3-s789,43064,0.3394775390625,cosine to zero,789,64,0.0,0,16,500,context,4096,6c30d1056107095f6751a0be733c94c04fa80bc747744a4e76cbe7913ef2a3c8,37432,1,13f7a43479846d364178fdbff7c6f4b17a6610b2df73573a1b9b3043061e5687,16,0.1,64,
0.96337890625,32,89.05232747395834,0.0625,True,,0.5318603515625,2,4,fresh independent per step; independent validation and final test,28.72921653999947,shuffled explicit-context triples,100,1024,0.12493402606924064,0.86767578125,gdn_current,16,0,80,1.0,2,4,0.01,unrestricted full vocabulary argmax at query identifiers,64,AdamW,/u/archerdw/smat_attention/deltaai/results/context_recall/w64-r4-c2-share0-t64-gdn_current-d4-s123,47460,0.33673095703125,cosine to zero,123,64,0.0,0,16,500,context,4096,82c82e65b297ff0beecdd6d95b904bb2fa7d94660df71ac97c7e72088052fca5,40036,1,4cb013bd00934c5d5154f08f91f645c8cf54bb4c31662ca90bfa5bb095a7540d,16,0.1,64,
