run,arm,d,k,step,loss,acc,covers_k,ms_per_step
count_smat_d1_k1_T1024_s0,smat,1,1,1000,1.4749748706817627,0.326171875,True,26.932670831680298
count_smat_d1_k1_T1024_s0,smat,1,1,2000,1.6787500381469727,0.37109375,True,22.49795150756836
count_smat_d1_k1_T1024_s0,smat,1,1,3000,1.4829761981964111,0.263671875,True,25.965065479278564
count_smat_d1_k1_T1024_s0,smat,1,1,4000,1.3844666481018066,0.32421875,True,24.45007985830307
count_smat_d1_k2_T1024_s0,smat,1,2,1000,1.7908577919006348,0.1953125,False,30.673516988754272
count_smat_d1_k2_T1024_s0,smat,1,2,2000,1.8665790557861328,0.2578125,False,23.784938097000122
count_smat_d1_k2_T1024_s0,smat,1,2,3000,1.8762627840042114,0.25,False,21.48133118947347
count_smat_d1_k2_T1024_s0,smat,1,2,4000,1.9558606147766113,0.267578125,False,22.944484651088715
count_smat_d1_k3_T1024_s0,smat,1,3,1000,1.7702269554138184,0.1875,False,37.52420425415039
count_smat_d1_k3_T1024_s0,smat,1,3,2000,1.9158577919006348,0.26953125,False,37.25318145751953
count_smat_d1_k3_T1024_s0,smat,1,3,3000,1.8470853567123413,0.19140625,False,32.5341796875
count_smat_d1_k3_T1024_s0,smat,1,3,4000,1.9279783964157104,0.23828125,False,28.73942130804062
count_smat_d2_k1_T1024_s0,smat,2,1,1000,0.07229835540056229,0.962890625,True,29.82513952255249
count_smat_d2_k1_T1024_s0,smat,2,1,2000,0.07027494162321091,0.984375,True,26.94746422767639
count_smat_d2_k1_T1024_s0,smat,2,1,3000,0.006173292174935341,0.98828125,True,26.00800085067749
count_smat_d2_k1_T1024_s0,smat,2,1,4000,0.004128315951675177,0.986328125,True,25.550976037979126
count_smat_d2_k2_T1024_s0,smat,2,2,1000,1.5720100402832031,0.296875,False,40.69585418701172
count_smat_d2_k2_T1024_s0,smat,2,2,2000,1.478996992111206,0.27734375,False,40.51583468914032
count_smat_d2_k2_T1024_s0,smat,2,2,3000,1.531416893005371,0.259765625,False,40.452430645624794
count_smat_d2_k2_T1024_s0,smat,2,2,4000,1.6728993654251099,0.3203125,False,38.57044279575348
count_smat_d2_k3_T1024_s0,smat,2,3,1000,1.715712308883667,0.220703125,False,28.39718270301819
count_smat_d2_k3_T1024_s0,smat,2,3,2000,1.849900484085083,0.291015625,False,26.283193945884705
count_smat_d2_k3_T1024_s0,smat,2,3,3000,1.794635534286499,0.248046875,False,25.592984755833943
count_smat_d2_k3_T1024_s0,smat,2,3,4000,1.8681182861328125,0.244140625,False,25.637641668319702
count_smat_d3_k1_T1024_s0,smat,3,1,1000,0.09334524720907211,0.962890625,True,64.31148433685303
count_smat_d3_k1_T1024_s0,smat,3,1,2000,0.04183615744113922,0.98046875,True,64.59903764724731
count_smat_d3_k1_T1024_s0,smat,3,1,3000,0.04127897322177887,0.97265625,True,65.07992060979207
count_smat_d3_k1_T1024_s0,smat,3,1,4000,0.01436666864901781,0.98046875,True,65.12228709459305
count_smat_d3_k2_T1024_s0,smat,3,2,1000,0.4680911600589752,0.814453125,True,64.12711787223816
count_smat_d3_k2_T1024_s0,smat,3,2,2000,0.32569411396980286,0.845703125,True,64.06885170936584
count_smat_d3_k2_T1024_s0,smat,3,2,3000,0.2806629240512848,0.91015625,True,64.103764295578
count_smat_d3_k2_T1024_s0,smat,3,2,4000,0.24723654985427856,0.921875,True,64.10960638523102
