condition,family,d,width,seed,endpoint,cell,epoch,steps,parameters,trainable_parameters,accuracy,exact_accuracy,eval_loss
shared,gdn_current,1,64,123,final_test,c2-k2,32,22624,33512,33512,1.0,1.0,0.0015381076484918595
shared,gdn_current,1,64,123,final_test,c2-k4,32,22624,33512,33512,0.9863125,0.9015,0.04096347212791443
shared,gdn_current,1,64,123,final_test,c4-k4,32,22624,33512,33512,0.95478125,0.528,0.13651764774322508
shared,gdn_current,1,64,123,final_test,c4-k8,32,22624,33512,33512,0.841546875,0.0055,0.440940673828125
shared,gdn_current,1,64,123,final_test,c8-k8,32,22624,33512,33512,0.426765625,0.0,1.5241007232666015
shared,gdn_current,1,64,123,final_test,macro,32,22624,33512,33512,0.8418812499999999,0.487,0.42881212492287163
shared,gdn_current,1,64,123,best_test,c2-k2,32,22624,33512,33512,1.0,1.0,0.0015381076484918595
shared,gdn_current,1,64,123,best_test,c2-k4,32,22624,33512,33512,0.9863125,0.9015,0.04096347212791443
shared,gdn_current,1,64,123,best_test,c4-k4,32,22624,33512,33512,0.95478125,0.528,0.13651764774322508
shared,gdn_current,1,64,123,best_test,c4-k8,32,22624,33512,33512,0.841546875,0.0055,0.440940673828125
shared,gdn_current,1,64,123,best_test,c8-k8,32,22624,33512,33512,0.426765625,0.0,1.5241007232666015
shared,gdn_current,1,64,123,best_test,macro,32,22624,33512,33512,0.8418812499999999,0.487,0.42881212492287163
shared,mamba2,1,64,123,final_test,c2-k2,32,22624,68400,68400,0.99975,0.999,0.0015645879730582237
shared,mamba2,1,64,123,final_test,c2-k4,32,22624,68400,68400,0.9821875,0.8695,0.05735172080993652
shared,mamba2,1,64,123,final_test,c4-k4,32,22624,68400,68400,0.68828125,0.0,0.7052084884643555
shared,mamba2,1,64,123,final_test,c4-k8,32,22624,68400,68400,0.623765625,0.0,0.9272144775390625
shared,mamba2,1,64,123,final_test,c8-k8,32,22624,68400,68400,0.350578125,0.0,1.852196304321289
shared,mamba2,1,64,123,final_test,macro,32,22624,68400,68400,0.7289125000000001,0.37370000000000003,0.7087071158215403
shared,mamba2,1,64,123,best_test,c2-k2,32,22624,68400,68400,0.99975,0.999,0.0015645879730582237
shared,mamba2,1,64,123,best_test,c2-k4,32,22624,68400,68400,0.9821875,0.8695,0.05735172080993652
shared,mamba2,1,64,123,best_test,c4-k4,32,22624,68400,68400,0.68828125,0.0,0.7052084884643555
shared,mamba2,1,64,123,best_test,c4-k8,32,22624,68400,68400,0.623765625,0.0,0.9272144775390625
shared,mamba2,1,64,123,best_test,c8-k8,32,22624,68400,68400,0.350578125,0.0,1.852196304321289
shared,mamba2,1,64,123,best_test,macro,32,22624,68400,68400,0.7289125000000001,0.37370000000000003,0.7087071158215403
shared,mamba2,3,64,123,final_test,c2-k2,32,22624,257408,230784,0.999875,0.9995,0.0008781755827367305
shared,mamba2,3,64,123,final_test,c2-k4,32,22624,257408,230784,0.9781875,0.8625,0.06925632667541504
shared,mamba2,3,64,123,final_test,c4-k4,32,22624,257408,230784,0.67459375,0.0015,0.7049009628295898
shared,mamba2,3,64,123,final_test,c4-k8,32,22624,257408,230784,0.46521875,0.0,1.1942182464599609
shared,mamba2,3,64,123,final_test,c8-k8,32,22624,257408,230784,0.3326953125,0.0,1.8778967590332032
shared,mamba2,3,64,123,final_test,macro,32,22624,257408,230784,0.6901140625,0.37270000000000003,0.7694300941161811
shared,mamba2,3,64,123,best_test,c2-k2,32,22624,257408,230784,0.999875,0.9995,0.0008781755827367305
shared,mamba2,3,64,123,best_test,c2-k4,32,22624,257408,230784,0.9781875,0.8625,0.06925632667541504
shared,mamba2,3,64,123,best_test,c4-k4,32,22624,257408,230784,0.67459375,0.0015,0.7049009628295898
shared,mamba2,3,64,123,best_test,c4-k8,32,22624,257408,230784,0.46521875,0.0,1.1942182464599609
shared,mamba2,3,64,123,best_test,c8-k8,32,22624,257408,230784,0.3326953125,0.0,1.8778967590332032
shared,mamba2,3,64,123,best_test,macro,32,22624,257408,230784,0.6901140625,0.37270000000000003,0.7694300941161811
unique,mamba2,1,64,123,final_test,c2-k2,32,22624,68400,68400,1.0,1.0,8.37325043976307e-05
unique,mamba2,1,64,123,final_test,c2-k4,32,22624,68400,68400,1.0,1.0,0.00011038018669933081
unique,mamba2,1,64,123,final_test,c4-k4,32,22624,68400,68400,1.0,1.0,0.00023612461425364018
unique,mamba2,1,64,123,final_test,c4-k8,32,22624,68400,68400,0.999859375,0.9955,0.001208669029176235
unique,mamba2,1,64,123,final_test,c8-k8,32,22624,68400,68400,0.99621875,0.786,0.013874232530593873
unique,mamba2,1,64,123,final_test,macro,32,22624,68400,68400,0.999215625,0.9563,0.0031026277730241423
unique,mamba2,1,64,123,best_test,c2-k2,32,22624,68400,68400,1.0,1.0,8.37325043976307e-05
unique,mamba2,1,64,123,best_test,c2-k4,32,22624,68400,68400,1.0,1.0,0.00011038018669933081
unique,mamba2,1,64,123,best_test,c4-k4,32,22624,68400,68400,1.0,1.0,0.00023612461425364018
unique,mamba2,1,64,123,best_test,c4-k8,32,22624,68400,68400,0.999859375,0.9955,0.001208669029176235
unique,mamba2,1,64,123,best_test,c8-k8,32,22624,68400,68400,0.99621875,0.786,0.013874232530593873
unique,mamba2,1,64,123,best_test,macro,32,22624,68400,68400,0.999215625,0.9563,0.0031026277730241423
