run,arm,d,n_pairs,n_queries,n_keys,step,train_loss,acc,nll,noise_share,hash_hit,cell_occ,g_density,ms_per_step,elapsed_s,d_model,heads,r,n_P,seed,state_per_head,params
smat_d2_T1024_p16_cpoint_cv4_an1500_dm256_s0_decaymamba2_v10,smat,2,16,16,128,500,4.87186336517334,0.006103515625,4.87258768081665,0.946 0.948 0.947 0.945,0.044 0.052 0.037 0.045,0.987 0.973 0.988 0.991,0.046 0.041 0.044 0.044,356.995822429657,179.6690309047699,256,4,64,0,0,4160,3633728
smat_d2_T1024_p16_cpoint_cv4_an1500_dm256_s0_decaymamba2_v10,smat,2,16,16,128,1000,4.854449272155762,0.00830078125,4.861126959323883,0.947 0.949 0.948 0.954,0.055 0.045 0.039 0.055,0.991 0.990 0.989 0.987,0.043 0.044 0.045 0.045,359.0740489959717,360.3790559768677,256,4,64,0,0,4160,3633728
smat_d2_T1024_p16_cpoint_cv4_an1500_dm256_s0_decaymamba2_v10,smat,2,16,16,128,1500,4.85736608505249,0.008056640625,4.854494661092758,0.947 0.949 0.947 0.953,0.080 0.045 0.045 0.045,0.991 0.988 0.990 0.990,0.044 0.045 0.045 0.044,359.2512822151184,541.177417755127,256,4,64,0,0,4160,3633728
smat_d2_T1024_p16_cpoint_cv4_an1500_dm256_s0_decaymamba2_v10,smat,2,16,16,128,2000,4.8571343421936035,0.0068359375,4.853577941656113,0.948 0.952 0.952 0.960,0.059 0.048 0.048 0.034,0.992 0.990 0.990 0.992,0.044 0.044 0.044 0.044,358.8420376777649,721.7690966129303,256,4,64,0,0,4160,3633728
smat_d2_T1024_p16_cpoint_cv4_an1500_dm256_s0_decaymamba2_v10,smat,2,16,16,128,2500,4.855018138885498,0.012939453125,4.852044373750687,0.948 0.952 0.951 0.960,0.060 0.064 0.046 0.050,0.991 0.991 0.990 0.990,0.044 0.045 0.044 0.045,358.53269147872925,902.2056424617767,256,4,64,0,0,4160,3633728
smat_d2_T1024_p16_cpoint_cv4_an1500_dm256_s0_decaymamba2_v10,smat,2,16,16,128,3000,4.853051662445068,0.0087890625,4.85321718454361,0.946 0.950 0.949 0.957,0.053 0.040 0.034 0.051,0.992 0.990 0.991 0.991,0.044 0.044 0.044 0.044,358.6230034828186,1082.6886055469513,256,4,64,0,0,4160,3633728
smat_d2_T1024_p16_cpoint_cv4_an1500_dm256_s0_decaymamba2_v10,smat,2,16,16,128,3500,4.851367473602295,0.007568359375,4.851811170578003,0.947 0.951 0.949 0.958,0.071 0.062 0.051 0.052,0.992 0.991 0.990 0.990,0.044 0.044 0.044 0.044,358.69908237457275,1263.2115757465363,256,4,64,0,0,4160,3633728
smat_d2_T1024_p16_cpoint_cv4_an1500_dm256_s0_decaymamba2_v10,smat,2,16,16,128,4000,4.851512432098389,0.01123046875,4.851454734802246,0.947 0.951 0.949 0.957,0.065 0.057 0.041 0.043,0.991 0.991 0.990 0.991,0.044 0.044 0.044 0.045,358.7024073600769,1443.7341940402985,256,4,64,0,0,4160,3633728
smat_d2_T1024_p16_cpoint_cv4_ag1_an1500_dm256_s0_decaymamba2_v10ag,smat,2,16,16,128,500,23.93442726135254,0.00537109375,4.867849051952362,0.943 0.945 0.947 0.947,0.027 0.146 0.018 0.052,0.832 0.963 0.987 0.980,0.023 0.105 0.042 0.053,359.3908281326294,180.8681342601776,256,4,64,0,0,4160,3633728
smat_d2_T1024_p16_cpoint_cv4_ag1_an1500_dm256_s0_decaymamba2_v10ag,smat,2,16,16,128,1000,23.152267456054688,0.008544921875,4.861715912818909,0.938 0.946 0.948 0.948,0.108 0.043 0.030 0.094,0.986 0.987 0.988 0.987,0.047 0.044 0.025 0.044,358.654869556427,361.3655891418457,256,4,64,0,0,4160,3633728
