run,arm,d,k,assign,read_mode,dirs,step,loss,exact_support,mse,q,N0,B,covers_k,ms_per_step
mkar_smat_d4_k3_plane_learned_deltadir_T1024_s0_sc3_id_fair2,smat,4,3,content,plane,learned,2000,0.535951554775238,0.0,3.1064687967300415,5,125,155,True,43.891334533691406
mkar_smat_d4_k3_plane_learned_deltadir_T1024_s0_sc3_id_fair2,smat,4,3,content,plane,learned,4000,0.5272228717803955,0.0,3.928800731897354,5,125,155,True,43.75676077604294
mkar_smat_d4_k3_plane_learned_deltadir_T1024_s0_sc3_id_fair2,smat,4,3,content,plane,learned,6000,0.515792965888977,0.0,4.513329744338989,5,125,155,True,43.74150836467743
mkar_smat_d4_k3_plane_learned_deltadir_T1024_s0_sc3_id_fair2,smat,4,3,content,plane,learned,8000,0.44285935163497925,0.0478515625,5.364766418933868,5,125,155,True,43.730023831129074
mkar_smat_d4_k3_plane_learned_deltadir_T1024_s0_sc3_id_fair2,smat,4,3,content,plane,learned,10000,0.323430597782135,0.2255859375,11.769179821014404,5,125,155,True,43.72039439678192
mkar_smat_d4_k3_plane_learned_deltadir_T1024_s0_sc3_id_fair2,smat,4,3,content,plane,learned,12000,0.2340824156999588,0.271484375,19.950011730194092,5,125,155,True,43.71424615383148
mkar_smat_d4_k3_plane_learned_deltadir_soft_T1024_s0_sc3_id_fair2,smat,4,3,content,plane,learned,2000,0.5273886919021606,0.00048828125,4.489092767238617,5,125,155,True,43.87216579914093
mkar_smat_d4_k3_plane_learned_deltadir_soft_T1024_s0_sc3_id_fair2,smat,4,3,content,plane,learned,4000,0.4901095926761627,0.0126953125,5.488400220870972,5,125,155,True,43.75573867559433
mkar_smat_d4_k3_plane_learned_deltadir_soft_T1024_s0_sc3_id_fair2,smat,4,3,content,plane,learned,6000,0.0037680803798139095,0.0908203125,62.80667686462402,5,125,155,True,43.71898750464121
mkar_smat_d4_k3_plane_learned_deltadir_soft_T1024_s0_sc3_id_fair2,smat,4,3,content,plane,learned,8000,0.0019834241829812527,0.107421875,76.4079360961914,5,125,155,True,43.70301824808121
mkar_smat_d4_k3_plane_learned_deltadir_soft_T1024_s0_sc3_id_fair2,smat,4,3,content,plane,learned,10000,0.0004457221948541701,0.10205078125,92.4839973449707,5,125,155,True,43.68417224884033
mkar_smat_d4_k3_plane_learned_deltadir_T1024_s0_sc3_id_fair2,smat,4,3,content,plane,learned,2000,0.535951554775238,0.0,3.1064687967300415,5,125,155,True,44.90145802497864
mkar_smat_d4_k3_plane_learned_deltadir_T1024_s0_sc3_id_fair2,smat,4,3,content,plane,learned,4000,0.5272228717803955,0.0,3.928800731897354,5,125,155,True,44.72144889831543
mkar_smat_d4_k3_plane_learned_deltadir_T1024_s0_sc3_id_fair2,smat,4,3,content,plane,learned,6000,0.515792965888977,0.0,4.513329744338989,5,125,155,True,44.65804676214854
mkar_smat_d4_k3_plane_learned_deltadir_T1024_s0_sc3_id_fair2,smat,4,3,content,plane,learned,8000,0.44285935163497925,0.0478515625,5.364766418933868,5,125,155,True,44.63070851564407
mkar_smat_d4_k3_plane_learned_deltadir_T1024_s0_sc3_id_fair2,smat,4,3,content,plane,learned,10000,0.323430597782135,0.2255859375,11.769179821014404,5,125,155,True,44.61727628707886
mkar_smat_d4_k3_plane_learned_deltadir_T1024_s0_sc3_id_fair2,smat,4,3,content,plane,learned,12000,0.2340824156999588,0.271484375,19.950011730194092,5,125,155,True,44.604416032632194
mkar_smat_d4_k3_plane_learned_deltadir_soft_T1024_s0_sc3_id_fair2,smat,4,3,content,plane,learned,2000,0.5273886919021606,0.00048828125,4.489092767238617,5,125,155,True,44.81437659263611
mkar_smat_d4_k3_plane_learned_deltadir_soft_T1024_s0_sc3_id_fair2,smat,4,3,content,plane,learned,4000,0.4901095926761627,0.0126953125,5.488400220870972,5,125,155,True,44.672432124614716
mkar_smat_d4_k3_plane_learned_deltadir_soft_T1024_s0_sc3_id_fair2,smat,4,3,content,plane,learned,6000,0.0037680803798139095,0.0908203125,62.80667686462402,5,125,155,True,44.62338423728943
mkar_smat_d4_k3_plane_learned_deltadir_soft_T1024_s0_sc3_id_fair2,smat,4,3,content,plane,learned,8000,0.0019834241829812527,0.107421875,76.4079360961914,5,125,155,True,44.60649690032005
mkar_smat_d4_k3_plane_learned_deltadir_soft_T1024_s0_sc3_id_fair2,smat,4,3,content,plane,learned,10000,0.0004457221948541701,0.10205078125,92.4839973449707,5,125,155,True,44.60392968654632
mkar_smat_d4_k3_plane_learned_deltadir_soft_T1024_s0_sc3_id_fair2,smat,4,3,content,plane,learned,12000,0.001149522140622139,0.10302734375,103.53428554534912,5,125,155,True,44.603138287862144
