run,arm,d,k,assign,read_mode,dirs,step,loss,exact_support,mse,q,N0,B,covers_k,ms_per_step
mkar_smat_d4_k1_plane_oracle_T1024_s0_sc3_id_fair2,smat,4,1,content,plane,oracle,2000,0.0009578720782883465,0.99951171875,66.87331771850586,5,125,155,True,214.9603532552719
mkar_smat_d4_k1_plane_oracle_T1024_s0_sc3_id_fair2,smat,4,1,content,plane,oracle,4000,0.00015252696175593883,1.0,86.65338516235352,5,125,155,True,171.02118599414825
mkar_smat_d4_k1_plane_oracle_T1024_s0_sc3_id_fair2,smat,4,1,content,plane,oracle,6000,5.931618215981871e-05,1.0,103.09773254394531,5,125,155,True,156.35087370872498
mkar_smat_d4_k1_plane_oracle_T1024_s0_sc3_id_fair2,smat,4,1,content,plane,oracle,8000,2.3143682483350858e-05,1.0,121.5675802230835,5,125,155,True,149.01086032390594
mkar_smat_d4_k1_plane_oracle_T1024_s0_sc3_id_fair2,smat,4,1,content,plane,oracle,10000,2.6102750780410133e-05,1.0,134.37084197998047,5,125,155,True,144.57962141036987
mkar_smat_d4_k1_plane_oracle_T1024_s0_sc3_id_fair2,smat,4,1,content,plane,oracle,12000,7.924802048364654e-05,0.99951171875,140.80462837219238,5,125,155,True,141.62041030327478
mkar_smat_d4_k2_plane_oracle_T1024_s0_sc3_id_fair2,smat,4,2,content,plane,oracle,2000,0.010376685298979282,0.9765625,69.16416835784912,5,125,155,True,129.10909128189087
mkar_smat_d4_k2_plane_oracle_T1024_s0_sc3_id_fair2,smat,4,2,content,plane,oracle,4000,0.006682733539491892,0.98974609375,92.75145053863525,5,125,155,True,127.99317979812622
mkar_smat_d4_k2_plane_oracle_T1024_s0_sc3_id_fair2,smat,4,2,content,plane,oracle,6000,0.0032945191487669945,0.994140625,107.21750545501709,5,125,155,True,127.6521459420522
mkar_smat_d4_k2_plane_oracle_T1024_s0_sc3_id_fair2,smat,4,2,content,plane,oracle,8000,0.0014292107662186027,0.99609375,122.22383880615234,5,125,155,True,127.49604415893555
mkar_smat_d4_k2_plane_oracle_T1024_s0_sc3_id_fair2,smat,4,2,content,plane,oracle,10000,0.0008524932200089097,0.99365234375,131.12157440185547,5,125,155,True,127.38537299633026
mkar_smat_d4_k2_plane_oracle_T1024_s0_sc3_id_fair2,smat,4,2,content,plane,oracle,12000,0.0002829009899869561,0.99951171875,140.20092010498047,5,125,155,True,127.3084774017334
mkar_smat_d4_k3_plane_oracle_T1024_s0_sc3_id_fair2,smat,4,3,content,plane,oracle,2000,0.005768202245235443,0.98193359375,69.81930446624756,5,125,155,True,169.86640751361847
mkar_smat_d4_k3_plane_oracle_T1024_s0_sc3_id_fair2,smat,4,3,content,plane,oracle,4000,0.007069889456033707,0.990234375,95.81595611572266,5,125,155,True,148.37828743457794
mkar_smat_d4_k3_plane_oracle_T1024_s0_sc3_id_fair2,smat,4,3,content,plane,oracle,6000,0.0070057399570941925,0.99560546875,108.5545654296875,5,125,155,True,141.22643331686655
mkar_smat_d4_k3_plane_oracle_T1024_s0_sc3_id_fair2,smat,4,3,content,plane,oracle,8000,0.0057503534480929375,0.9912109375,114.24927520751953,5,125,155,True,137.65979155898094
mkar_smat_d4_k3_plane_oracle_T1024_s0_sc3_id_fair2,smat,4,3,content,plane,oracle,10000,0.008189504966139793,0.99072265625,116.95488452911377,5,125,155,True,135.52124798297882
mkar_smat_d4_k3_plane_oracle_T1024_s0_sc3_id_fair2,smat,4,3,content,plane,oracle,12000,0.003066206583753228,0.98974609375,116.886549949646,5,125,155,True,134.08548605442047
