run,d,k,assign,read_mode,dirs,step,loss,exact_support,mse,q,N0,B,covers_k,ms_per_step
mkar_d2_k1_plane_oracle_T1024_s0_pos,2,1,positional,plane,oracle,1000,0.3751341998577118,0.0,4.435592710971832,23,23,23,True,31.94846487045288
mkar_d2_k1_plane_oracle_T1024_s0_pos,2,1,positional,plane,oracle,2000,0.3787071704864502,0.0,4.408188819885254,23,23,23,True,29.99364745616913
mkar_d2_k1_plane_oracle_T1024_s0_pos,2,1,positional,plane,oracle,3000,0.3766646087169647,0.0,4.467429280281067,23,23,23,True,29.999174118041992
mkar_d2_k1_plane_oracle_T1024_s0_pos,2,1,positional,plane,oracle,4000,0.3767241835594177,0.0,4.3951884508132935,23,23,23,True,30.011229395866394
mkar_d3_k2_plane_oracle_T1024_s0_pos,3,2,positional,plane,oracle,1000,0.564800500869751,0.0,2.038238525390625,11,121,132,True,31.17014169692993
mkar_d3_k2_plane_oracle_T1024_s0_pos,3,2,positional,plane,oracle,2000,0.5631964802742004,0.0,1.9932503253221512,11,121,132,True,30.934752225875854
mkar_d3_k2_plane_oracle_T1024_s0_pos,3,2,positional,plane,oracle,3000,0.5625646710395813,0.0,1.9936602115631104,11,121,132,True,30.834733247756958
mkar_d3_k2_plane_oracle_T1024_s0_pos,3,2,positional,plane,oracle,4000,0.5622210502624512,0.0,1.9983050972223282,11,121,132,True,30.78829938173294
mkar_d4_k3_plane_oracle_T1024_s0_pos,4,3,positional,plane,oracle,1000,0.659176230430603,0.0,1.0538760274648666,5,125,155,True,33.623862981796265
mkar_d4_k3_plane_oracle_T1024_s0_pos,4,3,positional,plane,oracle,2000,0.6585780382156372,0.0,1.0351393222808838,5,125,155,True,33.39566099643707
mkar_d4_k3_plane_oracle_T1024_s0_pos,4,3,positional,plane,oracle,3000,0.6627870202064514,0.0,1.0253332257270813,5,125,155,True,33.34875019391378
mkar_d4_k3_plane_oracle_T1024_s0_pos,4,3,positional,plane,oracle,4000,0.6625861525535583,0.0,1.030212089419365,5,125,155,True,33.27049785852432
mkar_d2_k1_plane_oracle_T1024_s1_pos,2,1,positional,plane,oracle,1000,0.38396337628364563,0.0,4.5123050808906555,23,23,23,True,30.967463970184326
mkar_d2_k1_plane_oracle_T1024_s1_pos,2,1,positional,plane,oracle,2000,0.378243088722229,0.0,4.423110246658325,23,23,23,True,30.733883500099182
mkar_d2_k1_plane_oracle_T1024_s1_pos,2,1,positional,plane,oracle,3000,0.3796922564506531,0.0,4.408711373806,23,23,23,True,30.65031337738037
mkar_d2_k1_plane_oracle_T1024_s1_pos,2,1,positional,plane,oracle,4000,0.3778250515460968,0.0,4.433839976787567,23,23,23,True,30.562688767910004
mkar_d3_k2_plane_oracle_T1024_s1_pos,3,2,positional,plane,oracle,1000,0.5634623765945435,0.0,2.0301540791988373,11,121,132,True,32.212942600250244
mkar_d3_k2_plane_oracle_T1024_s1_pos,3,2,positional,plane,oracle,2000,0.5650103092193604,0.0,1.9888675510883331,11,121,132,True,31.803497314453125
