run,arm,d,n_pairs,n_queries,n_keys,step,train_loss,acc,nll,noise_share,hash_hit,cell_occ,g_density,ms_per_step,elapsed_s,d_model,heads,r,n_P,seed,state_per_head,params
smat_d2_T1024_p16_cpoint_embed_frz_unfrz1500_sh1_dm256_s0_decaymamba2,smat,2,16,16,128,500,2.9016926288604736,0.316162109375,2.9885793924331665,0.845 0.873 0.559 0.644,0.945 0.945 0.945 0.945,0.312 0.361 0.401 0.689,0.474 0.416 0.406 0.199,73.24497175216675,37.09086322784424,256,4,64,0,0,4160,3629632
smat_d2_T1024_p16_cpoint_embed_frz_unfrz1500_sh1_dm256_s0_decaymamba2,smat,2,16,16,128,1000,1.753222942352295,0.5703125,1.626035749912262,0.870 0.907 0.727 0.809,0.938 0.938 0.938 0.938,0.271 0.292 0.252 0.530,0.499 0.481 0.522 0.310,71.88238191604614,73.46506118774414,256,4,64,0,0,4160,3629632
smat_d2_T1024_p16_cpoint_embed_frz_unfrz1500_sh1_dm256_s0_decaymamba2,smat,2,16,16,128,1500,1.2809523344039917,0.725830078125,0.982134398072958,0.870 0.902 0.801 0.844,0.927 0.926 0.926 0.926,0.257 0.285 0.240 0.521,0.513 0.484 0.531 0.330,71.71804761886597,109.76364398002625,256,4,64,0,0,4160,3629632
smat_d2_T1024_p16_cpoint_embed_frz_unfrz1500_sh1_dm256_s0_decaymamba2,smat,2,16,16,128,2000,0.7111010551452637,0.807373046875,0.6651731170713902,0.882 0.904 0.784 0.845,0.934 0.936 0.934 0.935,0.260 0.301 0.250 0.582,0.511 0.466 0.524 0.303,73.68288946151733,147.07064294815063,256,4,64,0,0,4160,3629632
smat_d2_T1024_p16_cpoint_embed_frz_unfrz1500_sh1_dm256_s0_decaymamba2,smat,2,16,16,128,2500,0.4130801558494568,0.88037109375,0.41366656869649887,0.895 0.907 0.824 0.881,0.906 0.906 0.906 0.909,0.254 0.326 0.248 0.560,0.515 0.446 0.528 0.315,73.74025249481201,184.38988399505615,256,4,64,0,0,4160,3629632
smat_d2_T1024_p16_cpoint_embed_frz_unfrz1500_sh1_dm256_s0_decaymamba2,smat,2,16,16,128,3000,0.4592626988887787,0.9111328125,0.3170306757092476,0.896 0.913 0.814 0.893,0.961 0.961 0.962 0.961,0.254 0.330 0.246 0.556,0.515 0.442 0.528 0.323,73.5610818862915,221.611971616745,256,4,64,0,0,4160,3629632
smat_d2_T1024_p16_cpoint_sh1_ag1_an1500_dm256_s0_decaymamba2,smat,2,16,16,128,500,11.4240083694458,0.0068359375,4.867450416088104,0.945 0.924 0.938 0.958,0.379 0.702 0.703 0.602,0.955 0.284 0.225 0.216,0.060 0.803 0.806 0.636,77.13889455795288,39.03544807434082,256,4,64,0,0,4160,3629632
smat_d2_T1024_p16_cpoint_sh1_ag1_an1500_dm256_s0_decaymamba2,smat,2,16,16,128,1000,8.523667335510254,0.0078125,4.8581361174583435,0.914 0.954 0.975 0.734,0.664 0.772 0.758 0.832,0.752 0.977 0.965 0.972,0.272 0.046 0.048 0.047,84.79824304580688,81.89267539978027,256,4,64,0,0,4160,3629632
smat_d2_T1024_p16_cpoint_sh1_ag1_an1500_dm256_s0_decaymamba2,smat,2,16,16,128,1500,9.100951194763184,0.009521484375,4.814165443181992,0.880 0.966 0.971 0.747,0.717 0.766 0.676 0.816,0.954 0.974 0.975 0.972,0.061 0.048 0.048 0.050,75.53065395355225,120.11920928955078,256,4,64,0,0,4160,3629632
smat_d2_T1024_p16_cpoint_sh1_ag1_an1500_dm256_s0_decaymamba2,smat,2,16,16,128,2000,9.254475593566895,0.01416015625,4.793985694646835,0.865 0.975 0.969 0.771,0.679 0.786 0.585 0.796,0.982 0.985 0.987 0.987,0.045 0.045 0.044 0.045,74.4091010093689,157.77540588378906,256,4,64,0,0,4160,3629632
smat_d2_T1024_p16_cpoint_sh1_ag1_an1500_dm256_s0_decaymamba2,smat,2,16,16,128,2500,9.180340766906738,0.0126953125,4.796929985284805,0.850 0.978 0.971 0.759,0.695 0.790 0.644 0.808,0.985 0.982 0.987 0.988,0.044 0.046 0.044 0.044,74.28895235061646,195.37929701805115,256,4,64,0,0,4160,3629632
smat_d2_T1024_p16_cpoint_sh1_ag1_an1500_dm256_s0_decaymamba2,smat,2,16,16,128,3000,9.532105445861816,0.013427734375,4.788268536329269,0.848 0.979 0.972 0.761,0.658 0.786 0.604 0.804,0.986 0.984 0.986 0.987,0.043 0.046 0.044 0.045,74.48374128341675,233.0727596282959,256,4,64,0,0,4160,3629632
smat_d2_T1024_p16_cpoint_embed_frz_unfrz1500_sh1_ag1_dm256_s0_decaymamba2,smat,2,16,16,128,500,3.9571008682250977,0.173583984375,3.7265678495168686,0.697 0.706 0.662 0.762,0.945 0.945 0.945 0.945,0.285 0.437 0.487 0.819,0.506 0.396 0.369 0.134,73.88062810897827,37.372241497039795,256,4,64,0,0,4160,3629632
smat_d2_T1024_p16_cpoint_embed_frz_unfrz1500_sh1_ag1_dm256_s0_decaymamba2,smat,2,16,16,128,1000,2.592627763748169,0.433837890625,2.1850465163588524,0.861 0.698 0.621 0.787,0.938 0.938 0.938 0.938,0.261 0.292 0.314 0.815,0.574 0.494 0.481 0.147,72.55565595626831,74.0883252620697,256,4,64,0,0,4160,3629632
smat_d2_T1024_p16_cpoint_embed_frz_unfrz1500_sh1_ag1_dm256_s0_decaymamba2,smat,2,16,16,128,1500,1.0552953481674194,0.827880859375,0.6787871569395065,0.836 0.611 0.597 0.794,0.927 0.926 0.926 0.926,0.293 0.359 0.299 0.780,0.559 0.439 0.497 0.183,72.56150150299072,110.8147885799408,256,4,64,0,0,4160,3629632
smat_d2_T1024_p16_cpoint_embed_frz_unfrz1500_sh1_ag1_dm256_s0_decaymamba2,smat,2,16,16,128,2000,0.5446661710739136,0.912353515625,0.3260470451787114,0.825 0.652 0.669 0.858,0.934 0.934 0.934 0.934,0.332 0.480 0.371 0.827,0.553 0.346 0.452 0.155,74.46365356445312,148.48035717010498,256,4,64,0,0,4160,3629632
smat_d2_T1024_p16_cpoint_embed_frz_unfrz1500_sh1_ag1_dm256_s0_decaymamba2,smat,2,16,16,128,2500,0.5631499886512756,0.948974609375,0.20153745776042342,0.825 0.682 0.677 0.874,0.910 0.906 0.906 0.906,0.322 0.542 0.377 0.841,0.575 0.308 0.447 0.150,73.84736204147339,185.834655046463,256,4,64,0,0,4160,3629632
smat_d2_T1024_p16_cpoint_embed_frz_unfrz1500_sh1_ag1_dm256_s0_decaymamba2,smat,2,16,16,128,3000,0.633163332939148,0.95166015625,0.18272591568529606,0.819 0.714 0.670 0.883,0.961 0.961 0.961 0.961,0.314 0.526 0.379 0.837,0.586 0.312 0.444 0.147,73.49801921844482,223.01562809944153,256,4,64,0,0,4160,3629632
