run,arm,d,n_pairs,n_queries,n_keys,step,train_loss,acc,nll,noise_share,ms_per_step,elapsed_s
smat_d1_p16_decaymamba2,smat,1,16,16,128,500,nan,0.0,nan,0.890 0.891 nan nan,32.04848909378052,16.245187520980835
smat_d1_p16_decaymamba2,smat,1,16,16,128,1000,nan,0.0,nan,0.893 0.894 nan nan,31.035510063171387,31.941017150878906
smat_d1_p16_decaymamba2,smat,1,16,16,128,1500,nan,0.0,nan,0.893 0.895 nan nan,30.90719223022461,47.56826639175415
smat_d1_p16_decaymamba2,smat,1,16,16,128,500,nan,0.0,nan,0.890 0.891 nan nan,32.472614765167236,16.440144300460815
smat_d1_p16_decaymamba2,smat,1,16,16,128,1000,nan,0.0,nan,0.893 0.894 nan nan,32.04336500167847,32.6515839099884
smat_d1_p16_decaymamba2,smat,1,16,16,128,500,4.824973106384277,0.01513671875,4.827927589416504,0.841 0.674 0.875 0.890,36.31819725036621,18.3865487575531
smat_d1_p16_decaymamba2,smat,1,16,16,128,1000,4.809527397155762,0.013671875,4.820793926715851,0.842 0.729 0.881 0.892,32.704988956451416,34.917269706726074
smat_d1_p16_decaymamba2,smat,1,16,16,128,1500,4.811346054077148,0.018798828125,4.777870982885361,0.849 0.758 0.847 0.880,33.04094409942627,51.61303758621216
smat_d1_p16_decaymamba2,smat,1,16,16,128,2000,4.751467704772949,0.0244140625,4.765752553939819,0.847 0.801 0.838 0.861,32.98273515701294,68.28171682357788
smat_d1_p16_decaymamba2,smat,1,16,16,128,2500,4.748561859130859,0.02392578125,4.74619722366333,0.846 0.800 0.835 0.856,33.03969621658325,84.97910189628601
smat_d2_p16_decaymamba2,smat,2,16,16,128,500,4.861618995666504,0.009033203125,4.870455861091614,0.871 0.889 0.890 0.890,35.84615135192871,18.125173330307007
smat_d2_p16_decaymamba2,smat,2,16,16,128,1000,4.8631744384765625,0.0068359375,4.857271641492844,0.802 0.851 0.893 0.893,35.38973426818848,36.00900101661682
smat_d2_p16_decaymamba2,smat,2,16,16,128,1500,4.790806293487549,0.015380859375,4.765116274356842,0.692 0.821 0.875 0.896,35.265010833740234,53.82753348350525
smat_d2_p16_decaymamba2,smat,2,16,16,128,2000,4.757594108581543,0.013671875,4.778393805027008,0.703 0.859 0.890 0.899,35.28537034988403,71.65867257118225
smat_d2_p16_decaymamba2,smat,2,16,16,128,2500,4.761911392211914,0.01611328125,4.765028476715088,0.712 0.853 0.885 0.897,35.332345485687256,89.51262879371643
