backbone,configuration,width,variant,epoch,accuracy_pct,loss,kv4_accuracy_pct,kv8_accuracy_pct,kv16_accuracy_pct,kv32_accuracy_pct,kv64_accuracy_pct,source
GDN,Original,16,baseline,32,35.705625000000005,4.1910481452941895,89.225,63.349999999999994,21.10625,3.925,0.921875,/u/archerdw/smat_attention/deltaai/results/mqar_gdn_four_reads/modal_results/final_metrics.csv
GDN,Original,16,smat_d2,32,50.040937500000005,6.09849214553833,98.575,83.075,37.65,22.2625,8.6421875,/u/archerdw/smat_attention/deltaai/results/mqar_gdn_four_reads/modal_results/w16-d2-history.jsonl
GDN,Original,16,smat_d3,32,48.8384375,4.0767822265625,97.45,84.28750000000001,45.23125,13.871875,3.3515625,/u/archerdw/smat_attention/deltaai/results/mqar_gdn_four_reads/modal_results/w16-d3-history.jsonl
GDN,Original,16,smat_d4,32,46.0346875,4.201655387878418,94.5,78.1375,41.44375,13.040625,3.0515625,/u/archerdw/smat_attention/deltaai/results/mqar_gdn_four_reads/modal_results/w16-d4-history.jsonl
GDN,Original,32,baseline,32,69.86218749999999,1.6356865167617798,99.97500000000001,99.7125,92.90625,46.49375,10.223437500000001,/u/archerdw/smat_attention/deltaai/results/mqar_width_sweeps/gdn/w32-d1-history.jsonl
GDN,Original,32,smat_d2,32,59.785312499999996,3.6453182697296143,99.8,97.775,64.05,26.603125,10.6984375,/u/archerdw/smat_attention/deltaai/results/mqar_width_sweeps/gdn/w32-d2-history.jsonl
GDN,Original,32,smat_d3,32,43.566874999999996,6.311948299407959,96.825,71.25,27.675,16.946875,5.137499999999999,/u/archerdw/smat_attention/deltaai/results/mqar_width_sweeps/gdn/w32-d3-history.jsonl
GDN,Original,32,smat_d4,32,68.0740625,2.098217248916626,99.325,98.2625,78.15625,48.634375,15.9921875,/u/archerdw/smat_attention/deltaai/results/mqar_width_sweeps/gdn/w32-d4-history.jsonl
GDN,Original,64,baseline,32,43.384687500000005,3.527224063873291,97.125,81.325,31.78125,5.53125,1.1609375,/u/archerdw/smat_attention/deltaai/results/mqar_width_sweeps/gdn/w64-d1-history.jsonl
GDN,Original,64,smat_d2,32,43.9584375,5.187170028686523,93.35,71.98750000000001,27.224999999999998,19.412499999999998,7.8171875,/u/archerdw/smat_attention/deltaai/results/mqar_width_sweeps/gdn/w64-d2-history.jsonl
GDN,Original,64,smat_d3,32,40.5021875,6.3319292068481445,94.6,64.225,25.75,12.634375,5.301562499999999,/u/archerdw/smat_attention/deltaai/results/mqar_width_sweeps/gdn/w64-d3-history.jsonl
GDN,Original,64,smat_d4,32,0.033125,8.72161865234375,0.05,0.05,0.01875,0.015625,0.03125,/u/archerdw/smat_attention/deltaai/results/mqar_width_sweeps/gdn/w64-d4-history.jsonl
GDN,Current transport,32,baseline,32,69.86218749999999,1.6356865167617798,99.97500000000001,99.7125,92.90625,46.49375,10.223437500000001,/u/archerdw/smat_attention/deltaai/results/mqar_width_sweeps/gdn/w32-d1-history.jsonl
GDN,Current transport,32,smat_d2,32,70.2603125,1.7231640815734863,99.4,99.3625,86.75,48.8125,16.9765625,/u/archerdw/smat_attention/deltaai/results/mqar_gdn_iterations/24_decay_no_rescale_d2/w32-d2-history.jsonl
GDN,Current transport,32,smat_d3,32,82.7790625,0.9484692811965942,100.0,99.8375,86.19375000000001,58.196875000000006,69.66718750000001,/u/archerdw/smat_attention/deltaai/results/mqar_gdn_iterations/23_decay_no_rescale/w32-d3-history.jsonl
GDN,Current transport,32,smat_d4,32,82.54875,1.1631109714508057,99.925,99.46249999999999,91.68125,74.9375,46.7375,/u/archerdw/smat_attention/deltaai/results/mqar_gdn_iterations/25_decay_no_rescale_d4/w32-d4-history.jsonl
GDN,Current transport,64,baseline,32,43.384687500000005,3.527224063873291,97.125,81.325,31.78125,5.53125,1.1609375,/u/archerdw/smat_attention/deltaai/results/mqar_width_sweeps/gdn/w64-d1-history.jsonl
GDN,Current transport,64,smat_d2,32,68.9503125,1.8294928073883057,99.65,98.75,81.3875,47.571875000000006,17.3921875,/u/archerdw/smat_attention/deltaai/results/mqar_gdn_iterations/26_w64_decay_no_rescale_d2/w64-d2-history.jsonl
GDN,Current transport,64,smat_d3,32,64.92218749999999,2.029998779296875,99.5,97.075,81.29375,27.8625,18.8796875,/u/archerdw/smat_attention/deltaai/results/mqar_gdn_iterations/27_w64_decay_no_rescale_d3/w64-d3-history.jsonl
GDN,Current transport,64,smat_d4,32,32.865,4.788649559020996,73.52499999999999,52.800000000000004,27.55,7.35625,3.09375,/u/archerdw/smat_attention/deltaai/results/mqar_gdn_iterations/28_w64_decay_no_rescale_d4/w64-d4-history.jsonl
GDN,Transport ablation,32,baseline,32,69.86218749999999,1.6356865167617798,99.97500000000001,99.7125,92.90625,46.49375,10.223437500000001,/u/archerdw/smat_attention/deltaai/results/mqar_width_sweeps/gdn/w32-d1-history.jsonl
