run,arm,d,n_pairs,n_queries,n_keys,step,train_loss,acc,nll,noise_share,hash_hit,cell_occ,g_density,ms_per_step,elapsed_s,d_model,heads,r,n_P,seed,state_per_head,params
softmax_T1024_p16_dm256_s0_ceil,softmax,,16,16,128,500,4.874804496765137,0.0068359375,4.8751943707466125,,,,,69.20371580123901,34.84013652801514,256,4,64,0,0,4160,3621376
softmax_T1024_p16_dm256_s0_ceil,softmax,,16,16,128,1000,4.85097599029541,0.008056640625,4.862032026052475,,,,,69.25700950622559,69.69185996055603,256,4,64,0,0,4160,3621376
softmax_T1024_p16_dm256_s0_ceil,softmax,,16,16,128,1500,4.804451942443848,0.013427734375,4.795515686273575,,,,,70.06554317474365,104.95282077789307,256,4,64,0,0,4160,3621376
softmax_T1024_p16_dm256_s0_ceil,softmax,,16,16,128,2000,0.7300971746444702,0.997802734375,0.7201483063399792,,,,,70.37259149551392,140.36430525779724,256,4,64,0,0,4160,3621376
softmax_T256_p16_zoo_dm256_s0_zoo,softmax,,16,64,2048,500,8.336881637573242,0.0,8.345252335071564,,,,,34.74195146560669,17.50713324546814,256,4,64,0,0,4160,7422464
softmax_T256_p16_zoo_dm256_s0_zoo,softmax,,16,64,2048,1000,8.322473526000977,0.000244140625,8.31124198436737,,,,,34.14785385131836,34.68456530570984,256,4,64,0,0,4160,7422464
softmax_T256_p16_zoo_dm256_s0_zoo,softmax,,16,64,2048,1500,8.0126371383667,0.003173828125,8.017423808574677,,,,,32.44924306869507,51.01212000846863,256,4,64,0,0,4160,7422464
softmax_T256_p16_zoo_dm256_s0_zoo,softmax,,16,64,2048,2000,5.033285617828369,0.239990234375,5.061535656452179,,,,,32.880492210388184,67.55828928947449,256,4,64,0,0,4160,7422464
softmax_T256_p16_zoo_dm256_s0_zoo,softmax,,16,64,2048,2500,4.502403736114502,0.45361328125,4.507482498884201,,,,,31.6301531791687,83.47463154792786,256,4,64,0,0,4160,7422464
smat_d1_T256_p16_zoo_dm256_s0_decaymamba2_zoo,smat,1,16,64,2048,500,8.326508522033691,0.0,8.340451121330261,0.373 0.378 0.382 0.382,,,,60.0456166267395,30.225854635238647,256,4,64,0,0,4160,7426592
smat_d1_T256_p16_zoo_dm256_s0_decaymamba2_zoo,smat,1,16,64,2048,1000,8.328640937805176,0.000244140625,8.329542756080627,0.384 0.391 0.391 0.389,,,,59.08584642410278,59.9582314491272,256,4,64,0,0,4160,7426592
smat_d1_T256_p16_zoo_dm256_s0_decaymamba2_zoo,smat,1,16,64,2048,1500,8.322015762329102,0.00048828125,8.323695600032806,0.379 0.352 0.378 0.384,,,,59.05429029464722,89.67015218734741,256,4,64,0,0,4160,7426592
smat_d1_T256_p16_zoo_dm256_s0_decaymamba2_zoo,smat,1,16,64,2048,2000,8.325698852539062,0.000244140625,8.321207761764526,0.386 0.391 0.385 0.386,,,,59.06183910369873,119.38612008094788,256,4,64,0,0,4160,7426592
smat_d1_T256_p16_zoo_dm256_s0_decaymamba2_zoo,smat,1,16,64,2048,2500,8.320281982421875,0.00048828125,8.318100214004517,0.401 0.378 0.389 0.396,,,,60.56746196746826,149.8635106086731,256,4,64,0,0,4160,7426592
smat_d1_T256_p16_zoo_dm256_s0_decaymamba2_zoo,smat,1,16,64,2048,3000,8.322591781616211,0.00048828125,8.320465326309204,0.389 0.366 0.386 0.387,,,,65.08780765533447,182.60517930984497,256,4,64,0,0,4160,7426592
smat_d1_T256_p16_zoo_dm256_s0_decaymamba2_zoo,smat,1,16,64,2048,3500,8.323751449584961,0.000244140625,8.319265067577362,0.405 0.404 0.405 0.406,,,,66.11376094818115,215.85664296150208,256,4,64,0,0,4160,7426592
smat_d1_T256_p16_zoo_dm256_s0_decaymamba2_zoo,smat,1,16,64,2048,4000,8.32148551940918,0.000244140625,8.318927764892578,0.376 0.374 0.375 0.376,,,,65.315514087677,248.7057273387909,256,4,64,0,0,4160,7426592
smat_d1_T256_p16_zoo_dm256_s0_decaymamba2_zoo,smat,1,16,64,2048,4500,8.319961547851562,0.0,8.319362759590149,0.382 0.380 0.381 0.381,,,,64.79520320892334,281.29117941856384,256,4,64,0,0,4160,7426592
smat_d1_T256_p16_zoo_dm256_s0_decaymamba2_zoo,smat,1,16,64,2048,5000,8.321781158447266,0.00048828125,8.318465948104858,0.384 0.381 0.383 0.384,,,,65.38025379180908,314.18752884864807,256,4,64,0,0,4160,7426592
smat_d2_T256_p16_zoo_cpoint_id_sh1_dm256_s0_decaymamba2_zoo,smat,2,16,64,2048,500,8.221701622009277,0.000732421875,8.247317492961884,0.155 0.376 0.376 0.358,1.000 1.000 1.000 1.000,0.975 0.975 0.975 0.975,0.078 0.078 0.078 0.078,78.51599740982056,39.555031299591064,256,4,64,0,0,4160,7430720
smat_d2_T256_p16_zoo_cpoint_id_sh1_dm256_s0_decaymamba2_zoo,smat,2,16,64,2048,1000,7.486844062805176,0.029296875,7.478596448898315,0.067 0.322 0.365 0.327,1.000 1.000 1.000 1.000,0.975 0.975 0.975 0.975,0.077 0.077 0.077 0.077,77.34194707870483,78.50120782852173,256,4,64,0,0,4160,7430720
smat_d2_T256_p16_zoo_cpoint_id_sh1_dm256_s0_decaymamba2_zoo,smat,2,16,64,2048,1500,6.926188945770264,0.142333984375,6.617832779884338,0.055 0.269 0.280 0.269,1.000 1.000 1.000 1.000,0.979 0.979 0.979 0.979,0.078 0.078 0.078 0.078,77.50826358795166,117.53549528121948,256,4,64,0,0,4160,7430720
smat_d2_T256_p16_zoo_cpoint_id_sh1_dm256_s0_decaymamba2_zoo,smat,2,16,64,2048,2000,5.461584568023682,0.237060546875,5.5955493450164795,0.179 0.261 0.257 0.241,1.000 1.000 1.000 1.000,0.976 0.976 0.976 0.976,0.077 0.077 0.077 0.077,77.91993856430054,156.77490544319153,256,4,64,0,0,4160,7430720
smat_d2_T256_p16_zoo_cpoint_id_sh1_dm256_s0_decaymamba2_zoo,smat,2,16,64,2048,2500,2.059927463531494,0.66162109375,2.010383255779743,0.303 0.342 0.371 0.284,1.000 1.000 1.000 1.000,0.977 0.977 0.977 0.977,0.078 0.078 0.078 0.078,77.79458904266357,195.95253825187683,256,4,64,0,0,4160,7430720
smat_d2_T256_p16_zoo_cpoint_id_sh1_dm256_s0_decaymamba2_zoo,smat,2,16,64,2048,3000,0.7398228645324707,0.884765625,0.6799207217991352,0.314 0.339 0.364 0.260,1.000 1.000 1.000 1.000,0.979 0.979 0.979 0.979,0.077 0.077 0.077 0.077,78.0684585571289,235.28270363807678,256,4,64,0,0,4160,7430720
smat_d2_T256_p16_zoo_cpoint_id_sh1_dm256_s0_decaymamba2_zoo,smat,2,16,64,2048,3500,0.24345406889915466,0.951416015625,0.3022384913638234,0.329 0.363 0.366 0.279,1.000 1.000 1.000 1.000,0.976 0.976 0.976 0.976,0.077 0.077 0.077 0.077,79.36464548110962,275.2504127025604,256,4,64,0,0,4160,7430720
smat_d2_T256_p16_zoo_cpoint_id_sh1_dm256_s0_decaymamba2_zoo,smat,2,16,64,2048,4000,0.19241125881671906,0.9677734375,0.20806815661489964,0.302 0.331 0.314 0.258,1.000 1.000 1.000 1.000,0.978 0.978 0.978 0.978,0.078 0.078 0.078 0.078,77.9732518196106,314.5182857513428,256,4,64,0,0,4160,7430720
smat_d2_T256_p16_zoo_cpoint_id_sh1_dm256_s0_decaymamba2_zoo,smat,2,16,64,2048,4500,0.122532919049263,0.9775390625,0.1690519000403583,0.315 0.338 0.318 0.273,1.000 1.000 1.000 1.000,0.977 0.977 0.977 0.977,0.077 0.077 0.077 0.077,77.92414426803589,353.7575795650482,256,4,64,0,0,4160,7430720
smat_d2_T256_p16_zoo_cpoint_id_sh1_dm256_s0_decaymamba2_zoo,smat,2,16,64,2048,5000,0.19383740425109863,0.98193359375,0.14699830766767263,0.318 0.341 0.314 0.269,1.000 1.000 1.000 1.000,0.979 0.979 0.979 0.979,0.077 0.077 0.077 0.077,78.11088514328003,393.08829736709595,256,4,64,0,0,4160,7430720
softmax_T512_p64_zoo_dm256_s0_zoo,softmax,,64,64,2048,500,8.32533073425293,0.0001220703125,8.326334714889526,,,,,57.68044710159302,29.032925367355347,256,4,64,0,0,4160,7488000
softmax_T512_p64_zoo_dm256_s0_zoo,softmax,,64,64,2048,1000,8.322434425354004,0.0003662109375,8.321888267993927,,,,,56.87745714187622,57.640881061553955,256,4,64,0,0,4160,7488000
softmax_T512_p64_zoo_dm256_s0_zoo,softmax,,64,64,2048,1500,8.314790725708008,0.000244140625,8.313194572925568,,,,,56.96706533432007,86.29784917831421,256,4,64,0,0,4160,7488000
softmax_T512_p64_zoo_dm256_s0_zoo,softmax,,64,64,2048,2000,8.300529479980469,0.00048828125,8.300363004207611,,,,,57.032302379608154,114.98380923271179,256,4,64,0,0,4160,7488000
softmax_T512_p64_zoo_dm256_s0_zoo,softmax,,64,64,2048,2500,8.302570343017578,0.00030517578125,8.29993999004364,,,,,57.18382978439331,143.7457377910614,256,4,64,0,0,4160,7488000
smat_d1_T512_p64_zoo_dm256_s0_decaymamba2_zoo,smat,1,64,64,2048,500,8.326412200927734,0.00030517578125,8.325976073741913,0.271 0.273 0.283 0.283,,,,111.25370836257935,55.93737769126892,256,4,64,0,0,4160,7492128
smat_d1_T512_p64_zoo_dm256_s0_decaymamba2_zoo,smat,1,64,64,2048,1000,8.323342323303223,0.00042724609375,8.322408080101013,0.281 0.275 0.285 0.282,,,,110.00327110290527,111.23916244506836,256,4,64,0,0,4160,7492128
smat_d1_T512_p64_zoo_dm256_s0_decaymamba2_zoo,smat,1,64,64,2048,1500,8.320384979248047,0.0003662109375,8.321186780929565,0.296 0.290 0.288 0.292,,,,110.02691793441772,166.55120372772217,256,4,64,0,0,4160,7492128
smat_d1_T512_p64_zoo_dm256_s0_decaymamba2_zoo,smat,1,64,64,2048,2000,8.320441246032715,0.00030517578125,8.319762527942657,0.293 0.291 0.289 0.289,,,,110.0099949836731,221.85509538650513,256,4,64,0,0,4160,7492128
smat_d1_T512_p64_zoo_dm256_s0_decaymamba2_zoo,smat,1,64,64,2048,2500,8.322460174560547,0.000244140625,8.319276034832,0.288 0.287 0.286 0.286,,,,110.02424621582031,277.16594982147217,256,4,64,0,0,4160,7492128
smat_d1_T512_p64_zoo_dm256_s0_decaymamba2_zoo,smat,1,64,64,2048,3000,8.318946838378906,0.00018310546875,8.31928813457489,0.297 0.293 0.292 0.292,,,,109.98663425445557,332.45759081840515,256,4,64,0,0,4160,7492128
smat_d1_T512_p64_zoo_dm256_s0_decaymamba2_zoo,smat,1,64,64,2048,3500,8.318157196044922,0.0001220703125,8.318691968917847,0.290 0.287 0.287 0.287,,,,109.99255847930908,387.75213408470154,256,4,64,0,0,4160,7492128
smat_d1_T512_p64_zoo_dm256_s0_decaymamba2_zoo,smat,1,64,64,2048,4000,8.31757926940918,0.0001220703125,8.318278908729553,0.286 0.282 0.281 0.282,,,,110.09821701049805,443.10026597976685,256,4,64,0,0,4160,7492128
smat_d1_T512_p64_zoo_dm256_s0_decaymamba2_zoo,smat,1,64,64,2048,4500,8.318446159362793,0.0006103515625,8.318339049816132,0.284 0.281 0.281 0.281,,,,109.9726824760437,498.384813785553,256,4,64,0,0,4160,7492128
smat_d1_T512_p64_zoo_dm256_s0_decaymamba2_zoo,smat,1,64,64,2048,5000,8.317281723022461,0.00030517578125,8.318106353282928,0.287 0.283 0.283 0.283,,,,110.00204467773438,553.6845171451569,256,4,64,0,0,4160,7492128
smat_d2_T512_p64_zoo_cpoint_id_sh1_dm256_s0_decaymamba2_zoo,smat,2,64,64,2048,500,5.560298919677734,0.373779296875,5.496868520975113,0.050 0.194 0.184 0.193,1.000 1.000 1.000 1.000,0.986 0.986 0.986 0.986,0.059 0.059 0.059 0.059,156.21405220031738,78.82417392730713,256,4,64,0,0,4160,7496256
smat_d2_T512_p64_zoo_cpoint_id_sh1_dm256_s0_decaymamba2_zoo,smat,2,64,64,2048,1000,5.189128875732422,0.38482666015625,5.11246657371521,0.066 0.196 0.197 0.201,1.000 1.000 1.000 1.000,0.984 0.984 0.984 0.984,0.059 0.059 0.059 0.059,155.23816919326782,157.14358067512512,256,4,64,0,0,4160,7496256
smat_d2_T512_p64_zoo_cpoint_id_sh1_dm256_s0_decaymamba2_zoo,smat,2,64,64,2048,1500,5.116663932800293,0.38690185546875,5.095048248767853,0.092 0.218 0.210 0.209,1.000 1.000 1.000 1.000,0.986 0.986 0.986 0.986,0.059 0.059 0.059 0.059,155.23754787445068,235.47304844856262,256,4,64,0,0,4160,7496256
smat_d2_T512_p64_zoo_cpoint_id_sh1_dm256_s0_decaymamba2_zoo,smat,2,64,64,2048,2000,5.05153226852417,0.389892578125,5.0733962059021,0.113 0.220 0.210 0.206,1.000 1.000 1.000 1.000,0.986 0.986 0.986 0.986,0.059 0.059 0.059 0.059,155.21856546401978,313.7937412261963,256,4,64,0,0,4160,7496256
smat_d2_T512_p64_zoo_cpoint_id_sh1_dm256_s0_decaymamba2_zoo,smat,2,64,64,2048,2500,5.065179824829102,0.3983154296875,5.0277977883815765,0.113 0.217 0.209 0.197,1.000 1.000 1.000 1.000,0.986 0.986 0.986 0.986,0.059 0.059 0.059 0.059,155.12744092941284,392.06343126296997,256,4,64,0,0,4160,7496256
smat_d2_T512_p64_zoo_cpoint_id_sh1_dm256_s0_decaymamba2_zoo,smat,2,64,64,2048,3000,5.049015045166016,0.3909912109375,5.078227519989014,0.121 0.219 0.212 0.198,1.000 1.000 1.000 1.000,0.985 0.985 0.985 0.985,0.059 0.059 0.059 0.059,155.24031686782837,470.3939461708069,256,4,64,0,0,4160,7496256
smat_d2_T512_p64_zoo_cpoint_id_sh1_dm256_s0_decaymamba2_zoo,smat,2,64,64,2048,3500,4.9991230964660645,0.38934326171875,5.003781616687775,0.132 0.221 0.206 0.195,1.000 1.000 1.000 1.000,0.985 0.985 0.985 0.985,0.059 0.059 0.059 0.059,154.9861822128296,548.5883708000183,256,4,64,0,0,4160,7496256
smat_d2_T512_p64_zoo_cpoint_id_sh1_dm256_s0_decaymamba2_zoo,smat,2,64,64,2048,4000,4.984162330627441,0.39739990234375,4.872824281454086,0.141 0.214 0.203 0.186,1.000 1.000 1.000 1.000,0.985 0.985 0.985 0.985,0.059 0.059 0.059 0.059,155.06689739227295,626.8186278343201,256,4,64,0,0,4160,7496256
smat_d2_T512_p64_zoo_cpoint_id_sh1_dm256_s0_decaymamba2_zoo,smat,2,64,64,2048,4500,4.801571846008301,0.3955078125,4.875753730535507,0.147 0.211 0.202 0.180,1.000 1.000 1.000 1.000,0.985 0.985 0.985 0.985,0.059 0.059 0.059 0.059,155.28554153442383,705.1554918289185,256,4,64,0,0,4160,7496256
smat_d2_T512_p64_zoo_cpoint_id_sh1_dm256_s0_decaymamba2_zoo,smat,2,64,64,2048,5000,4.913573265075684,0.39544677734375,4.867688745260239,0.149 0.209 0.204 0.180,1.000 1.000 1.000 1.000,0.985 0.985 0.985 0.985,0.059 0.059 0.059 0.059,155.30146503448486,783.4975869655609,256,4,64,0,0,4160,7496256
