epoch,ablation_accuracy,reference_accuracy,gdn_accuracy,gate
1,0.00086875,0.0017,0.008209375,observe
2,0.3879375,0.419753125,0.42054375,observe
3,0.516478125,0.60503125,0.572734375,observe
4,0.640246875,0.666596875,0.6065875,pass
5,0.55796875,0.665534375,0.595878125,observe
6,0.74135625,0.714515625,0.644825,pass
7,0.71334375,0.733090625,0.628634375,observe
8,0.748565625,0.715034375,0.6550375,pass
9,0.69995,0.70678125,0.64853125,observe
10,0.770725,0.72955625,0.661196875,pass
11,0.776128125,0.7249375,0.64928125,observe
12,0.798996875,0.687359375,0.649225,pass
13,0.77891875,0.77620625,0.66449375,observe
14,0.759159375,0.7601125,0.656484375,pass
