epoch,accuracy,baseline,margin,decision
4,0.640246875,0.6065875,0.03365937500000005,pass
6,0.74135625,0.644825,0.09653125000000007,pass
8,0.748565625,0.6550375,0.09352812499999996,pass
10,0.770725,0.661196875,0.10952812499999998,pass
12,0.798996875,0.649225,0.149771875,pass
14,0.759159375,0.656484375,0.10267499999999996,pass
16,0.747403125,0.658803125,0.0885999999999999,pass
18,0.7667375,0.671190625,0.09554687499999992,pass
20,0.81379375,0.683371875,0.13042187500000002,pass
22,0.799175,0.670996875,0.12817812499999992,pass
24,0.809671875,0.689121875,0.12055000000000005,pass
26,0.810959375,0.692846875,0.11811250000000006,pass
28,0.81805625,0.69660625,0.12145000000000006,pass
30,0.826340625,0.69811875,0.12822187500000004,pass
32,0.827790625,0.698621875,0.12916875000000005,pass
