task,family,width,d,seed,split,cell,accuracy,source
mqar,gdn,16,1,123,validation,macro,35.705625000000005,/u/archerdw/smat_attention/deltaai/results/mqar_gdn_interleaved/quoted_heads_s123/w16-d1.json
mqar,gdn,16,1,123,validation,4,89.225,/u/archerdw/smat_attention/deltaai/results/mqar_gdn_interleaved/quoted_heads_s123/w16-d1.json
mqar,gdn,16,1,123,validation,8,63.349999999999994,/u/archerdw/smat_attention/deltaai/results/mqar_gdn_interleaved/quoted_heads_s123/w16-d1.json
mqar,gdn,16,1,123,validation,16,21.10625,/u/archerdw/smat_attention/deltaai/results/mqar_gdn_interleaved/quoted_heads_s123/w16-d1.json
mqar,gdn,16,1,123,validation,32,3.925,/u/archerdw/smat_attention/deltaai/results/mqar_gdn_interleaved/quoted_heads_s123/w16-d1.json
mqar,gdn,16,1,123,validation,64,0.921875,/u/archerdw/smat_attention/deltaai/results/mqar_gdn_interleaved/quoted_heads_s123/w16-d1.json
mqar,gdn,16,2,123,validation,macro,50.040937500000005,/u/archerdw/smat_attention/deltaai/results/mqar_gdn_four_reads/modal_results/w16-d2.json
mqar,gdn,16,2,123,validation,4,98.575,/u/archerdw/smat_attention/deltaai/results/mqar_gdn_four_reads/modal_results/w16-d2.json
mqar,gdn,16,2,123,validation,8,83.075,/u/archerdw/smat_attention/deltaai/results/mqar_gdn_four_reads/modal_results/w16-d2.json
mqar,gdn,16,2,123,validation,16,37.65,/u/archerdw/smat_attention/deltaai/results/mqar_gdn_four_reads/modal_results/w16-d2.json
mqar,gdn,16,2,123,validation,32,22.2625,/u/archerdw/smat_attention/deltaai/results/mqar_gdn_four_reads/modal_results/w16-d2.json
mqar,gdn,16,2,123,validation,64,8.6421875,/u/archerdw/smat_attention/deltaai/results/mqar_gdn_four_reads/modal_results/w16-d2.json
mqar,gdn,16,3,123,validation,macro,48.8384375,/u/archerdw/smat_attention/deltaai/results/mqar_gdn_four_reads/modal_results/w16-d3.json
mqar,gdn,16,3,123,validation,4,97.45,/u/archerdw/smat_attention/deltaai/results/mqar_gdn_four_reads/modal_results/w16-d3.json
mqar,gdn,16,3,123,validation,8,84.28750000000001,/u/archerdw/smat_attention/deltaai/results/mqar_gdn_four_reads/modal_results/w16-d3.json
mqar,gdn,16,3,123,validation,16,45.23125,/u/archerdw/smat_attention/deltaai/results/mqar_gdn_four_reads/modal_results/w16-d3.json
mqar,gdn,16,3,123,validation,32,13.871875,/u/archerdw/smat_attention/deltaai/results/mqar_gdn_four_reads/modal_results/w16-d3.json
