-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                               aten::mm         2.44%      16.224ms         3.45%      22.893ms      38.671us     183.522ms        36.46%     183.522ms     310.004us           592  
                                            aten::copy_         1.55%      10.321ms         4.33%      28.753ms      15.376us      69.715ms        13.85%      69.717ms      37.282us          1870  
void cutlass::Kernel2<cutlass_75_tensorop_bf16_s1688...         0.00%       0.000us         0.00%       0.000us       0.000us      69.630ms        13.83%      69.630ms       4.352ms            16  
                                              aten::mul         1.91%      12.687ms         3.29%      21.866ms      15.059us      46.701ms         9.28%      46.701ms      32.163us          1452  
                                      SMAT_delta_memory         0.00%       0.000us         0.00%       0.000us       0.000us      38.183ms         7.58%      38.183ms       2.386ms            16  
                                             aten::add_         0.42%       2.799ms         0.91%       6.031ms      11.802us      34.818ms         6.92%      34.818ms      68.138us           511  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      29.478ms         5.86%      29.478ms      55.619us           530  
                                        SMAT_write_hash         0.00%       0.000us         0.00%       0.000us       0.000us      28.769ms         5.71%      28.769ms       1.798ms            16  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      26.320ms         5.23%      26.320ms      51.407us           512  
                    ChunkGatedDeltaRuleFunctionBackward         5.76%      38.264ms         7.81%      51.875ms       1.621ms      26.030ms         5.17%      26.978ms     843.071us            32  
                                       SMAT_pack_writes         0.00%       0.000us         0.00%       0.000us       0.000us      25.695ms         5.10%      25.695ms       1.606ms            16  
void cutlass::Kernel2<cutlass_75_tensorop_bf16_s1688...         0.00%       0.000us         0.00%       0.000us       0.000us      24.028ms         4.77%      24.028ms       3.004ms             8  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      24.020ms         4.77%      24.020ms      63.712us           377  
void cutlass::Kernel2<cutlass_75_tensorop_bf16_s1688...         0.00%       0.000us         0.00%       0.000us       0.000us      22.753ms         4.52%      22.753ms       2.844ms             8  
                                       SMAT_group_reads         0.00%       0.000us         0.00%       0.000us       0.000us      18.659ms         3.71%      18.659ms       1.166ms            16  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      17.569ms         3.49%      17.569ms      49.352us           356  
                                     aten::_log_softmax         0.04%     282.163us         0.06%     419.175us      26.198us      16.732ms         3.32%      16.732ms       1.046ms            16  
void at::native::(anonymous namespace)::cunn_SoftMax...         0.00%       0.000us         0.00%       0.000us       0.000us      16.732ms         3.32%      16.732ms       1.046ms            16  
