T,d,nb,r,d_qk,d_v,chunk,dtype,device,triton,build_ms,build_total_ms,stage_ms,kind,q,B,N0,n,T_R,I_prof,I_tok,deg,incidence_exact,pool_gain,featurise_ms,prefill_ms,prefill_peak_MB,phase_lr_pool_ms,phase_lr_incidence_ms,phase_lr_query_ms,phase_scan_ms,phase_normalise_ms,phase_lr_total_ms,prefill_torch_ms,prefill_torch_peak_MB,torchphase_lr_pool_ms,torchphase_lr_incidence_ms,torchphase_lr_query_ms,torchphase_scan_ms,torchphase_normalise_ms,prefill_direct_ms,phase_direct_incidence_ms,prefill_subtractive_ms,retained_fraction,retained_predicted,relerr_additive_fp32,relerr_subtractive_fp32,relerr_additive_bf16,relerr_subtractive_bf16,decode_us_per_token,cache_words,kv_cache_words,cache_ratio,sdpa_ms,dense_masked_ms,build_prime_ms,build_directions_ms,build_incidence_ms,build_reorder_ms
4096,1,8,64,64,64,128,bf16,cuda,True,0.009759794920682907,0.00710412859916687,121.86263408511877,geometric,0,1,1,2048,2048,1,2048,1,True,2048.0,0.20828799903392792,0.7415840029716492,28.56640625,0.1590079963207245,0.08070400357246399,0.13596799969673157,0.3032959997653961,0.06515199691057205,0.37567999958992004,0.8288320004940033,60.84765625,0.17977599799633026,0.09772799909114838,0.13500800728797913,0.4424319863319397,0.058880001306533813,0.8485440015792847,0.2711679935455322,0.6915040016174316,1.0,1.0,3.733278306970205e-05,3.733278306970205e-05,0.001484474972864817,0.001484474972864817,122.28100001811981,66560,4194304,0.015869140625,0.09851199761033058,0.800383985042572,,,,
8192,1,8,64,64,64,128,bf16,cuda,True,0.006336253136396408,0.004576053470373154,0.22408878430724144,geometric,0,1,1,4096,4096,1,4096,1,True,4096.0,0.19699199497699738,0.709199994802475,56.87890625,0.17638400197029114,0.08713600039482117,0.1395840048789978,0.3004480004310608,0.06969600170850754,0.4031040072441101,0.8489919900894165,121.41015625,0.18275199830532074,0.10976000130176544,0.1385599970817566,0.42924800515174866,0.062111999839544296,0.8830879926681519,0.2866879999637604,0.6741600036621094,1.0,1.0,3.626982839189883e-05,3.626982839189883e-05,0.0014833380498179075,0.0014833380498179075,117.70399659872055,66560,8388608,0.0079345703125,0.23891199380159378,,,,,
16384,1,8,64,64,64,128,bf16,cuda,True,0.006399117410182953,0.00451086089015007,0.18168985843658447,geometric,0,1,1,8192,8192,1,8192,1,True,8192.0,0.21344000101089478,0.7970079779624939,114.00390625,0.2316800057888031,0.053408000618219376,0.1568640023469925,0.3535360097885132,0.0663679987192154,0.44195200875401497,0.949567973613739,242.53515625,0.23187200725078583,0.07273600250482559,0.1664000004529953,0.5071039795875549,0.06665600091218948,0.9337280094623566,0.2738879919052124,0.776991993188858,1.0,1.0,4.789631683396372e-05,4.789631683396372e-05,0.0014858035919172998,0.0014858035919172998,121.75299972295761,66560,16777216,0.00396728515625,0.7442239820957184,,,,,
32768,1,8,64,64,64,128,bf16,cuda,True,0.0060801394283771515,0.004447996616363525,0.21125702187418938,geometric,0,1,1,16384,16384,1,16384,1,True,16384.0,0.27638399600982666,1.1355199813842773,226.75390625,0.3285439908504486,0.0036800000816583633,0.10697600245475769,0.5400320291519165,0.11923199892044067,0.43919999338686466,1.5778719782829285,486.78515625,0.32095998525619507,0.01484800036996603,0.13545599579811096,0.9642879962921143,0.11955200135707855,1.5670400261878967,0.4326080083847046,1.1641280055046082,,,,,,,122.54499644041061,66560,33554432,0.001983642578125,2.5825600624084473,,,,,
4096,2,8,64,64,64,128,bf16,cuda,True,0.2402481622993946,0.22972002625465393,0.17311377450823784,geometric,47,47,47,2048,2048,47,2048,1,True,43.57446808510638,0.23259200155735016,0.9538559913635254,40.24609375,0.27539199590682983,0.08111999928951263,0.2677760124206543,0.3012799918651581,0.06947200000286102,0.6242880076169968,1.0380640029907227,72.52734375,0.2775999903678894,0.10678400099277496,0.28467199206352234,0.44070398807525635,0.06313599646091461,1.0572640299797058,0.29414400458335876,0.8931999802589417,0.021277773175840408,0.02127659574468085,8.928224655784127e-08,6.53061071908865e-06,0.0012809533162788816,0.09568266873009501,120.3484982252121,1597440,4194304,0.380859375,0.09742400050163269,0.7875840067863464,0.005504116415977478,0.03785407170653343,0.0338871031999588,0.14412403106689453
8192,2,8,64,64,64,128,bf16,cuda,True,0.22955983877182007,0.21845707669854164,0.20882487297058105,geometric,67,67,67,4096,4096,67,4096,1,True,61.134328358208954,0.20131199806928635,0.7635519802570343,73.63671875,0.07798399776220322,0.062272001057863235,0.27055999636650085,0.3049919903278351,0.0689919963479042,0.4108159951865673,1.054352045059204,138.16796875,0.26256000995635986,0.10611200332641602,0.27024000883102417,0.44595199823379517,0.07017599791288376,1.0246880054473877,0.45417600870132446,0.731359988451004,0.014926652570639432,0.014925373134328358,9.784072183481386e-08,9.261535952995515e-06,0.0015419026695925907,0.15723696501439285,123.11950325965881,2263040,8388608,0.269775390625,0.23574399948120117,,0.0038403086364269257,0.028735026717185974,0.02655899152159691,0.15157926827669144
16384,2,8,64,64,64,128,bf16,cuda,True,0.1673232764005661,0.15532318502664566,0.19077816978096962,geometric,97,97,97,8192,8192,97,8192,1,True,84.45360824742268,0.2165440022945404,0.7948959767818451,137.87890625,0.08636800199747086,0.06617599725723267,0.26870399713516235,0.3484799861907959,0.06745599955320358,0.4212479963898659,1.1137120127677917,267.91015625,0.25865599513053894,0.09747199714183807,0.256415992975235,0.5170559883117676,0.0655359998345375,1.0721279978752136,0.39392000436782837,0.7694560289382935,0.010309687925485615,0.010309278350515464,3.28371328626612e-05,0.004874444327018795,0.001235042940151807,0.19356989899306937,119.95650082826614,3261440,16777216,0.19439697265625,0.7391200065612793,,0.004352070391178131,0.042141880840063095,0.01158425584435463,0.09122863411903381
32768,2,8,64,64,64,128,bf16,cuda,True,0.14482811093330383,0.13519590720534325,0.21304888650774956,geometric,131,131,131,16384,16384,131,16384,1,True,125.06870229007633,0.2717919945716858,1.069648027420044,259.76171875,0.10870400071144104,0.056671999394893646,0.2959679961204529,0.539680004119873,0.11894399672746658,0.46134399622678757,1.6622559428215027,518.79296875,0.28489598631858826,0.08742400258779526,0.24799999594688416,0.9650560021400452,0.11958400160074234,1.4751200079917908,0.5033280253410339,1.114304006099701,,,,,,,115.82499742507935,4392960,33554432,0.13092041015625,2.5862560272216797,,0.0040316954255104065,0.02947123721241951,0.0113598071038723,0.08476525545120239
4096,3,8,64,64,64,128,bf16,cuda,True,0.21647289395332336,0.20537013188004494,0.26200711727142334,geometric,13,182,169,2048,2048,2366,28672,13,True,12.118343195266272,0.20254399627447128,0.7212159931659698,72.873046875,0.07587199658155441,0.18428799510002136,0.15273599326610565,0.2979840040206909,0.06003199890255928,0.4128959849476814,0.9993920028209686,368.037109375,0.27670401334762573,0.5179200172424316,0.07187200337648392,0.25097599625587463,0.0681919977068901,1.0838720202445984,0.4816960096359253,0.7044640183448792,0.07692246464767256,0.07692307692307693,9.21394441261794e-08,1.722405780647559e-06,0.001228956032711577,0.02524088128019795,116.55200272798538,6090240,4194304,1.4520263671875,0.09320000186562538,0.7956799864768982,0.0036479905247688293,0.035167206078767776,0.05801394581794739,0.10204501450061798
8192,3,8,64,64,64,128,bf16,cuda,True,0.3226138651371002,0.31086988747119904,0.345044769346714,geometric,17,306,289,4096,4096,5202,73728,17,True,14.173010380622838,0.20953600108623505,0.8442239761352539,132.162109375,0.08476799726486206,0.48342400789260864,0.10915199667215347,0.13577599823474884,0.03254399821162224,0.6773440018296242,1.6680480241775513,774.794921875,0.29555198550224304,1.037600040435791,0.11097600311040878,0.25283199548721313,0.031936001032590866,1.354752004146576,0.998848021030426,0.8880639970302582,0.058824776718649135,0.058823529411764705,9.695109580633329e-08,2.2576125230078147e-06,0.0015631490467277176,0.03333366763196208,117.24749952554703,10216960,8388608,1.21795654296875,0.23495999723672867,,0.0049280934035778046,0.04345504567027092,0.11852383613586426,0.135867390781641
