stage,task,width,load,seed,family,d,steps,baseline_accuracy,smat_accuracy,gap_pp,query_blind_oracle_accuracy,baseline_parameters,smat_parameters,baseline_binding_gap_pp,smat_binding_gap_pp
compact1000,state,32,4,123,gdn,3,1000,0.89111328125,0.061767578125,-82.9345703125,0.334228515625,20200,27640,,
compact1000,state,32,4,123,mamba2,3,1000,0.067138671875,0.057861328125,-0.927734375,0.334228515625,24856,35392,,
compact1000,state,32,8,123,gdn,3,1000,0.360595703125,0.06005859375,-30.0537109375,0.257080078125,20200,27640,,
compact1000,state,32,8,123,mamba2,3,1000,0.082763671875,0.061767578125,-2.099609375,0.257080078125,24856,35392,,
compact1000,variable,32,2,123,gdn,3,1000,0.1689453125,0.11328125,-5.56640625,0.5498046875,28392,35832,,
compact1000,variable,32,2,123,mamba2,3,1000,0.4443359375,0.0751953125,-36.9140625,0.5498046875,33048,43584,,
compact1000,variable,32,4,123,gdn,3,1000,0.0634765625,0.064453125,0.09765625,0.3515625,28392,35832,,
compact1000,variable,32,4,123,mamba2,3,1000,0.0634765625,0.0634765625,0.0,0.3515625,33048,43584,,
screen500,state,32,16,123,gdn,2,500,0.06671142578125,0.06451416015625,-0.2197265625,0.19189453125,20200,24492,,
screen500,state,32,16,123,gdn,3,500,0.06671142578125,0.06219482421875,-0.45166015625,0.19189453125,20200,31328,,
screen500,state,32,16,123,gdn,4,500,0.06671142578125,0.0625,-0.421142578125,0.19189453125,20200,47476,,
screen500,state,32,16,123,mamba2,2,500,0.06427001953125,0.06402587890625,-0.0244140625,0.19189453125,24856,29096,,
screen500,state,32,16,123,mamba2,3,500,0.06427001953125,0.06304931640625,-0.1220703125,0.19189453125,24856,42768,,
screen500,state,32,16,123,mamba2,4,500,0.06427001953125,0.0614013671875,-0.286865234375,0.19189453125,24856,75064,,
screen500,state,32,32,123,gdn,2,500,0.06085205078125,0.06158447265625,0.0732421875,0.14947509765625,20200,24492,,
screen500,state,32,32,123,gdn,3,500,0.06085205078125,0.06097412109375,0.01220703125,0.14947509765625,20200,31328,,
screen500,state,32,32,123,gdn,4,500,0.06085205078125,0.06207275390625,0.1220703125,0.14947509765625,20200,47476,,
screen500,state,32,32,123,mamba2,2,500,0.06134033203125,0.06085205078125,-0.048828125,0.14947509765625,24856,29096,,
screen500,state,32,32,123,mamba2,3,500,0.06134033203125,0.0626220703125,0.128173828125,0.14947509765625,24856,42768,,
screen500,state,32,32,123,mamba2,4,500,0.06134033203125,0.06085205078125,-0.048828125,0.14947509765625,24856,75064,,
screen500,state,32,4,123,gdn,2,500,0.5467529296875,0.533935546875,-1.28173828125,0.3360595703125,20200,23700,,
screen500,state,32,4,123,gdn,3,500,0.5467529296875,0.06292724609375,-48.382568359375,0.3360595703125,20200,27640,,
screen500,state,32,4,123,gdn,4,500,0.5467529296875,0.06243896484375,-48.431396484375,0.3360595703125,20200,29860,,
screen500,state,32,4,123,mamba2,2,500,0.06390380859375,0.1610107421875,9.710693359375,0.3360595703125,24856,27512,,
screen500,state,32,4,123,mamba2,3,500,0.06390380859375,0.06158447265625,-0.23193359375,0.3360595703125,24856,35392,,
screen500,state,32,4,123,mamba2,4,500,0.06390380859375,0.06396484375,0.006103515625,0.3360595703125,24856,39832,,
screen500,state,32,8,123,gdn,2,500,0.11627197265625,0.065673828125,-5.059814453125,0.256591796875,20200,24228,,
screen500,state,32,8,123,gdn,3,500,0.11627197265625,0.0643310546875,-5.194091796875,0.256591796875,20200,27640,,
screen500,state,32,8,123,gdn,4,500,0.11627197265625,0.06195068359375,-5.43212890625,0.256591796875,20200,29860,,
screen500,state,32,8,123,mamba2,2,500,0.06451416015625,0.065185546875,0.067138671875,0.256591796875,24856,28568,,
screen500,state,32,8,123,mamba2,3,500,0.06451416015625,0.06329345703125,-0.1220703125,0.256591796875,24856,35392,,
screen500,state,32,8,123,mamba2,4,500,0.06451416015625,0.06549072265625,0.09765625,0.256591796875,24856,39832,,
screen500,variable,32,16,123,gdn,2,500,0.065673828125,0.069580078125,0.390625,0.193359375,28392,32684,,
screen500,variable,32,16,123,gdn,3,500,0.065673828125,0.061767578125,-0.390625,0.193359375,28392,39520,,
screen500,variable,32,16,123,gdn,4,500,0.065673828125,0.072021484375,0.634765625,0.193359375,28392,55668,,
screen500,variable,32,16,123,mamba2,2,500,0.06982421875,0.069580078125,-0.0244140625,0.193359375,33048,37288,,
screen500,variable,32,16,123,mamba2,3,500,0.06982421875,0.070068359375,0.0244140625,0.193359375,33048,50960,,
screen500,variable,32,16,123,mamba2,4,500,0.06982421875,0.06982421875,0.0,0.193359375,33048,83256,,
screen500,variable,32,2,123,gdn,2,500,0.155029296875,0.06396484375,-9.1064453125,0.541015625,28392,31892,,
screen500,variable,32,2,123,gdn,3,500,0.155029296875,0.124755859375,-3.02734375,0.541015625,28392,35832,,
screen500,variable,32,2,123,gdn,4,500,0.155029296875,0.06396484375,-9.1064453125,0.541015625,28392,38052,,
screen500,variable,32,2,123,mamba2,2,500,0.187255859375,0.063720703125,-12.353515625,0.541015625,33048,35704,,
screen500,variable,32,2,123,mamba2,3,500,0.187255859375,0.063720703125,-12.353515625,0.541015625,33048,43584,,
screen500,variable,32,2,123,mamba2,4,500,0.187255859375,0.06298828125,-12.4267578125,0.541015625,33048,48024,,
screen500,variable,32,4,123,gdn,2,500,0.0634765625,0.064453125,0.09765625,0.33935546875,28392,31892,,
screen500,variable,32,4,123,gdn,3,500,0.0634765625,0.063232421875,-0.0244140625,0.33935546875,28392,35832,,
screen500,variable,32,4,123,gdn,4,500,0.0634765625,0.056640625,-0.68359375,0.33935546875,28392,38052,,
screen500,variable,32,4,123,mamba2,2,500,0.06103515625,0.062744140625,0.1708984375,0.33935546875,33048,35704,,
screen500,variable,32,4,123,mamba2,3,500,0.06103515625,0.063720703125,0.2685546875,0.33935546875,33048,43584,,
screen500,variable,32,4,123,mamba2,4,500,0.06103515625,0.065185546875,0.4150390625,0.33935546875,33048,48024,,
screen500,variable,32,8,123,gdn,2,500,0.055908203125,0.053466796875,-0.244140625,0.26953125,28392,32420,,
screen500,variable,32,8,123,gdn,3,500,0.055908203125,0.053955078125,-0.1953125,0.26953125,28392,35832,,
screen500,variable,32,8,123,gdn,4,500,0.055908203125,0.054931640625,-0.09765625,0.26953125,28392,38052,,
screen500,variable,32,8,123,mamba2,2,500,0.053466796875,0.053466796875,0.0,0.26953125,33048,36760,,
screen500,variable,32,8,123,mamba2,3,500,0.053466796875,0.053466796875,0.0,0.26953125,33048,43584,,
screen500,variable,32,8,123,mamba2,4,500,0.053466796875,0.053466796875,0.0,0.26953125,33048,48024,,
tiny,state,32,16,123,gdn,3,200,0.05810546875,0.05712890625,-0.09765625,,20200,31328,,
tiny,state,32,16,123,mamba2,3,200,0.058349609375,0.057861328125,-0.048828125,,24856,42768,,
tiny,state,32,64,123,gdn,3,200,0.059814453125,0.06201171875,0.2197265625,,20200,31328,,
tiny,state,32,64,123,mamba2,3,200,0.060546875,0.0615234375,0.09765625,,24856,42768,,
tiny,variable,32,32,123,gdn,3,200,0.0673828125,0.0615234375,-0.5859375,,28392,39520,,
tiny,variable,32,32,123,mamba2,3,200,0.05078125,0.05078125,0.0,,33048,50960,,
tiny,variable,32,8,123,gdn,3,200,0.0693359375,0.064453125,-0.48828125,,28392,39520,,
tiny,variable,32,8,123,mamba2,3,200,0.05078125,0.0556640625,0.48828125,,33048,50960,,
tiny1000,state,32,16,123,gdn,3,1000,0.05517578125,0.057373046875,0.2197265625,,20200,31328,,
tiny1000,state,32,16,123,mamba2,3,1000,0.055908203125,0.056884765625,0.09765625,,24856,42768,,
tiny1000,state,32,64,123,gdn,3,1000,0.0673828125,0.0673828125,0.0,,20200,31328,,
tiny1000,state,32,64,123,mamba2,3,1000,0.0673828125,0.0673828125,0.0,,24856,42768,,
