accuracy,complete,d,elapsed_seconds,eval_loss,exact_accuracy,family,last_value_accuracy,load,majority_value_accuracy,parameters,query_blind_oracle_accuracy,seed,sequence_length,stage,steps,task,test_sha256,trainable_parameters,validation_sha256,width
0.89111328125,True,1,34.12923346599564,0.4245791519060731,0.609375,gdn,0.2958984375,4,0.21826171875,20200,0.334228515625,123,64,compact1000,1000,state,fadd715c76b70b85199e961884c49e83479c459e872bf843310502a72907e8e9,20200,3996de5b481b17d67c116610e4b40fcb33ce8c9f1b93b915b130f1d11dfdd1e0,32
0.061767578125,True,3,45.16920298000332,2.7765191793441772,0.0,gdn,0.2958984375,4,0.21826171875,27640,0.334228515625,123,64,compact1000,1000,state,fadd715c76b70b85199e961884c49e83479c459e872bf843310502a72907e8e9,26872,3996de5b481b17d67c116610e4b40fcb33ce8c9f1b93b915b130f1d11dfdd1e0,32
0.067138671875,True,1,42.790542983973864,2.775099866092205,0.0,mamba2,0.2958984375,4,0.21826171875,24856,0.334228515625,123,64,compact1000,1000,state,fadd715c76b70b85199e961884c49e83479c459e872bf843310502a72907e8e9,24856,3996de5b481b17d67c116610e4b40fcb33ce8c9f1b93b915b130f1d11dfdd1e0,32
0.057861328125,True,3,33.22305251902435,2.775243431329727,0.0,mamba2,0.2958984375,4,0.21826171875,35392,0.334228515625,123,64,compact1000,1000,state,fadd715c76b70b85199e961884c49e83479c459e872bf843310502a72907e8e9,33856,3996de5b481b17d67c116610e4b40fcb33ce8c9f1b93b915b130f1d11dfdd1e0,32
0.360595703125,True,1,33.82614908297546,2.1053154468536377,0.015625,gdn,0.1826171875,8,0.158447265625,20200,0.257080078125,123,128,compact1000,1000,state,de4ae1602d02b577495a2cffe6dde738d11832c8142b7f72fa650bc93e75de68,20200,800371aa01cf52af332657f1b76a2a9142549594a06a2763238e5e3a5bfb8758,32
0.06005859375,True,3,47.15907877800055,2.775767460465431,0.0,gdn,0.1826171875,8,0.158447265625,27640,0.257080078125,123,128,compact1000,1000,state,de4ae1602d02b577495a2cffe6dde738d11832c8142b7f72fa650bc93e75de68,26872,800371aa01cf52af332657f1b76a2a9142549594a06a2763238e5e3a5bfb8758,32
0.082763671875,True,1,12.928145213983953,2.7425142899155617,0.0,mamba2,0.1826171875,8,0.158447265625,24856,0.257080078125,123,128,compact1000,1000,state,de4ae1602d02b577495a2cffe6dde738d11832c8142b7f72fa650bc93e75de68,24856,800371aa01cf52af332657f1b76a2a9142549594a06a2763238e5e3a5bfb8758,32
0.061767578125,True,3,34.044548254983965,2.774928033351898,0.0,mamba2,0.1826171875,8,0.158447265625,35392,0.257080078125,123,128,compact1000,1000,state,de4ae1602d02b577495a2cffe6dde738d11832c8142b7f72fa650bc93e75de68,33856,800371aa01cf52af332657f1b76a2a9142549594a06a2763238e5e3a5bfb8758,32
0.1689453125,True,1,17.86667168798158,2.259354315698147,0.1689453125,gdn,0.5283203125,2,0.5498046875,28392,0.5498046875,123,64,compact1000,1000,variable,cd180cd0044aeed01dd20e472fe83bf85d7f2d6123b44dcbb1923be000942ffb,28392,533d98c81dfcc9595f03537db761332610d88bf82af5246cd92aea55accdd2f7,32
0.11328125,True,3,44.81197899096878,2.447933368384838,0.11328125,gdn,0.5283203125,2,0.5498046875,35832,0.5498046875,123,64,compact1000,1000,variable,cd180cd0044aeed01dd20e472fe83bf85d7f2d6123b44dcbb1923be000942ffb,35064,533d98c81dfcc9595f03537db761332610d88bf82af5246cd92aea55accdd2f7,32
0.4443359375,True,1,28.603464687010273,1.3206062391400337,0.4443359375,mamba2,0.5283203125,2,0.5498046875,33048,0.5498046875,123,64,compact1000,1000,variable,cd180cd0044aeed01dd20e472fe83bf85d7f2d6123b44dcbb1923be000942ffb,33048,533d98c81dfcc9595f03537db761332610d88bf82af5246cd92aea55accdd2f7,32
0.0751953125,True,3,33.27023557299981,2.777964226901531,0.0751953125,mamba2,0.5283203125,2,0.5498046875,43584,0.5498046875,123,64,compact1000,1000,variable,cd180cd0044aeed01dd20e472fe83bf85d7f2d6123b44dcbb1923be000942ffb,42048,533d98c81dfcc9595f03537db761332610d88bf82af5246cd92aea55accdd2f7,32
0.0634765625,True,1,16.672081567987334,2.779286600649357,0.0634765625,gdn,0.30078125,4,0.3515625,28392,0.3515625,123,64,compact1000,1000,variable,415c9e7869cda1c0ec8b0cdec901f4ac3421ee72160cbb9568960f5bd49b5b4e,28392,ec6308a2fe8903b15b600afd9f5afbf69a35077ca8230c724b0e083a66ebebe0,32
0.064453125,True,3,45.40743596496759,2.7808661609888077,0.064453125,gdn,0.30078125,4,0.3515625,35832,0.3515625,123,64,compact1000,1000,variable,415c9e7869cda1c0ec8b0cdec901f4ac3421ee72160cbb9568960f5bd49b5b4e,35064,ec6308a2fe8903b15b600afd9f5afbf69a35077ca8230c724b0e083a66ebebe0,32
0.0634765625,True,1,12.298906443000305,2.7778906896710396,0.0634765625,mamba2,0.30078125,4,0.3515625,33048,0.3515625,123,64,compact1000,1000,variable,415c9e7869cda1c0ec8b0cdec901f4ac3421ee72160cbb9568960f5bd49b5b4e,33048,ec6308a2fe8903b15b600afd9f5afbf69a35077ca8230c724b0e083a66ebebe0,32
0.0634765625,True,3,33.50777934398502,2.7775795236229897,0.0634765625,mamba2,0.30078125,4,0.3515625,43584,0.3515625,123,64,compact1000,1000,variable,415c9e7869cda1c0ec8b0cdec901f4ac3421ee72160cbb9568960f5bd49b5b4e,42048,ec6308a2fe8903b15b600afd9f5afbf69a35077ca8230c724b0e083a66ebebe0,32
0.06671142578125,True,1,9.974055260187015,2.776976453140378,0.0,gdn,0.12225341796875,16,0.1298828125,20200,0.19189453125,123,256,screen500,500,state,54eebd2a93c4ce250e93782c464cd1cf3b111bd55efff340b8a4efecb4cb5f92,20200,819d9d8363c630f8f835e5d28c1ca8c43f09cfe0ceebab4404462f052302f162,32
0.06451416015625,True,2,23.545905026141554,2.777648875489831,0.0,gdn,0.12225341796875,16,0.1298828125,24492,0.19189453125,123,256,screen500,500,state,54eebd2a93c4ce250e93782c464cd1cf3b111bd55efff340b8a4efecb4cb5f92,24492,819d9d8363c630f8f835e5d28c1ca8c43f09cfe0ceebab4404462f052302f162,32
0.06219482421875,True,3,24.232259433949366,2.777262795716524,0.0,gdn,0.12225341796875,16,0.1298828125,31328,0.19189453125,123,256,screen500,500,state,54eebd2a93c4ce250e93782c464cd1cf3b111bd55efff340b8a4efecb4cb5f92,30304,819d9d8363c630f8f835e5d28c1ca8c43f09cfe0ceebab4404462f052302f162,32
0.0625,True,4,25.090986469062045,2.777094032615423,0.0,gdn,0.12225341796875,16,0.1298828125,47476,0.19189453125,123,256,screen500,500,state,54eebd2a93c4ce250e93782c464cd1cf3b111bd55efff340b8a4efecb4cb5f92,43508,819d9d8363c630f8f835e5d28c1ca8c43f09cfe0ceebab4404462f052302f162,32
0.06427001953125,True,1,25.83784508588724,2.775931153446436,0.0,mamba2,0.12225341796875,16,0.1298828125,24856,0.19189453125,123,256,screen500,500,state,54eebd2a93c4ce250e93782c464cd1cf3b111bd55efff340b8a4efecb4cb5f92,24856,819d9d8363c630f8f835e5d28c1ca8c43f09cfe0ceebab4404462f052302f162,32
0.06402587890625,True,2,17.302844482008368,2.7760916110128164,0.0,mamba2,0.12225341796875,16,0.1298828125,29096,0.19189453125,123,256,screen500,500,state,54eebd2a93c4ce250e93782c464cd1cf3b111bd55efff340b8a4efecb4cb5f92,29096,819d9d8363c630f8f835e5d28c1ca8c43f09cfe0ceebab4404462f052302f162,32
0.06304931640625,True,3,17.76833387813531,2.775851221755147,0.0,mamba2,0.12225341796875,16,0.1298828125,42768,0.19189453125,123,256,screen500,500,state,54eebd2a93c4ce250e93782c464cd1cf3b111bd55efff340b8a4efecb4cb5f92,40720,819d9d8363c630f8f835e5d28c1ca8c43f09cfe0ceebab4404462f052302f162,32
0.0614013671875,True,4,18.628131893929094,2.775987457484007,0.0,mamba2,0.12225341796875,16,0.1298828125,75064,0.19189453125,123,256,screen500,500,state,54eebd2a93c4ce250e93782c464cd1cf3b111bd55efff340b8a4efecb4cb5f92,67128,819d9d8363c630f8f835e5d28c1ca8c43f09cfe0ceebab4404462f052302f162,32
0.06085205078125,True,1,12.846999682020396,2.7780973594635725,0.0,gdn,0.09234619140625,32,0.10943603515625,20200,0.14947509765625,123,256,screen500,500,state,015d623b80dd1d8191dfc58b21ba32be6d020f3fe1977a73b857d2fabba3d536,20200,8222e0a7de0882e921136491066ccccc7ece80103bd90df2d65d648e4703fef4,32
0.06158447265625,True,2,29.448888912796974,2.7783090975135565,0.0,gdn,0.09234619140625,32,0.10943603515625,24492,0.14947509765625,123,256,screen500,500,state,015d623b80dd1d8191dfc58b21ba32be6d020f3fe1977a73b857d2fabba3d536,24492,8222e0a7de0882e921136491066ccccc7ece80103bd90df2d65d648e4703fef4,32
0.06097412109375,True,3,32.18864895310253,2.778082577511668,0.0,gdn,0.09234619140625,32,0.10943603515625,31328,0.14947509765625,123,256,screen500,500,state,015d623b80dd1d8191dfc58b21ba32be6d020f3fe1977a73b857d2fabba3d536,30304,8222e0a7de0882e921136491066ccccc7ece80103bd90df2d65d648e4703fef4,32
0.06207275390625,True,4,25.343000344000757,2.778573902323842,0.0,gdn,0.09234619140625,32,0.10943603515625,47476,0.14947509765625,123,256,screen500,500,state,015d623b80dd1d8191dfc58b21ba32be6d020f3fe1977a73b857d2fabba3d536,43508,8222e0a7de0882e921136491066ccccc7ece80103bd90df2d65d648e4703fef4,32
0.06134033203125,True,1,9.151861087884754,2.7770041674375534,0.0,mamba2,0.09234619140625,32,0.10943603515625,24856,0.14947509765625,123,256,screen500,500,state,015d623b80dd1d8191dfc58b21ba32be6d020f3fe1977a73b857d2fabba3d536,24856,8222e0a7de0882e921136491066ccccc7ece80103bd90df2d65d648e4703fef4,32
0.06085205078125,True,2,21.002201610710472,2.7771344408392906,0.0,mamba2,0.09234619140625,32,0.10943603515625,29096,0.14947509765625,123,256,screen500,500,state,015d623b80dd1d8191dfc58b21ba32be6d020f3fe1977a73b857d2fabba3d536,29096,8222e0a7de0882e921136491066ccccc7ece80103bd90df2d65d648e4703fef4,32
0.0626220703125,True,3,23.526062009390444,2.7772041391581297,0.0,mamba2,0.09234619140625,32,0.10943603515625,42768,0.14947509765625,123,256,screen500,500,state,015d623b80dd1d8191dfc58b21ba32be6d020f3fe1977a73b857d2fabba3d536,40720,8222e0a7de0882e921136491066ccccc7ece80103bd90df2d65d648e4703fef4,32
0.06085205078125,True,4,18.639606645097956,2.7771011888980865,0.0,mamba2,0.09234619140625,32,0.10943603515625,75064,0.14947509765625,123,256,screen500,500,state,015d623b80dd1d8191dfc58b21ba32be6d020f3fe1977a73b857d2fabba3d536,67128,8222e0a7de0882e921136491066ccccc7ece80103bd90df2d65d648e4703fef4,32
0.5467529296875,True,1,12.23811420891434,1.5588410450145602,0.064697265625,gdn,0.29669189453125,4,0.2149658203125,20200,0.3360595703125,123,64,screen500,500,state,e03c1d91b9ecafde92ac67195a18197a96609c2b1b698472335b5adb2205ebea,20200,b3b487313f7c82e2fa6483c9f7c6752a333d7bbedc25a3de47bd863ef1e04bf9,32
0.533935546875,True,2,29.830537495203316,1.7912797229364514,0.040283203125,gdn,0.29669189453125,4,0.2149658203125,23700,0.3360595703125,123,64,screen500,500,state,e03c1d91b9ecafde92ac67195a18197a96609c2b1b698472335b5adb2205ebea,23700,b3b487313f7c82e2fa6483c9f7c6752a333d7bbedc25a3de47bd863ef1e04bf9,32
0.06292724609375,True,3,31.334072538185865,2.777564264833927,0.0,gdn,0.29669189453125,4,0.2149658203125,27640,0.3360595703125,123,64,screen500,500,state,e03c1d91b9ecafde92ac67195a18197a96609c2b1b698472335b5adb2205ebea,26872,b3b487313f7c82e2fa6483c9f7c6752a333d7bbedc25a3de47bd863ef1e04bf9,32
0.06243896484375,True,4,30.16394042270258,2.7770007085055113,0.0,gdn,0.29669189453125,4,0.2149658203125,29860,0.3360595703125,123,64,screen500,500,state,e03c1d91b9ecafde92ac67195a18197a96609c2b1b698472335b5adb2205ebea,28196,b3b487313f7c82e2fa6483c9f7c6752a333d7bbedc25a3de47bd863ef1e04bf9,32
0.06390380859375,True,1,26.491290116216987,2.7761508617550135,0.0,mamba2,0.29669189453125,4,0.2149658203125,24856,0.3360595703125,123,64,screen500,500,state,e03c1d91b9ecafde92ac67195a18197a96609c2b1b698472335b5adb2205ebea,24856,b3b487313f7c82e2fa6483c9f7c6752a333d7bbedc25a3de47bd863ef1e04bf9,32
0.1610107421875,True,2,39.57731689931825,2.513724956661463,0.0,mamba2,0.29669189453125,4,0.2149658203125,27512,0.3360595703125,123,64,screen500,500,state,e03c1d91b9ecafde92ac67195a18197a96609c2b1b698472335b5adb2205ebea,27512,b3b487313f7c82e2fa6483c9f7c6752a333d7bbedc25a3de47bd863ef1e04bf9,32
0.06158447265625,True,3,40.91262367321178,2.7763569429516792,0.0,mamba2,0.29669189453125,4,0.2149658203125,35392,0.3360595703125,123,64,screen500,500,state,e03c1d91b9ecafde92ac67195a18197a96609c2b1b698472335b5adb2205ebea,33856,b3b487313f7c82e2fa6483c9f7c6752a333d7bbedc25a3de47bd863ef1e04bf9,32
0.06396484375,True,4,40.755055889021605,2.776115784421563,0.0,mamba2,0.29669189453125,4,0.2149658203125,39832,0.3360595703125,123,64,screen500,500,state,e03c1d91b9ecafde92ac67195a18197a96609c2b1b698472335b5adb2205ebea,36504,b3b487313f7c82e2fa6483c9f7c6752a333d7bbedc25a3de47bd863ef1e04bf9,32
0.11627197265625,True,1,12.207762938924134,2.6737474482506514,0.000244140625,gdn,0.18072509765625,8,0.166748046875,20200,0.256591796875,123,128,screen500,500,state,b9eafe53f87fb39181fc1471849d042506e5219a58f06c4156dbc992a4b0b37c,20200,7529117e7ba637ebe18edc3e61e31000ffe2a827ca02f7add4567d3cdd971b54,32
0.065673828125,True,2,31.119945466984063,2.776718556880951,0.0,gdn,0.18072509765625,8,0.166748046875,24228,0.256591796875,123,128,screen500,500,state,b9eafe53f87fb39181fc1471849d042506e5219a58f06c4156dbc992a4b0b37c,24228,7529117e7ba637ebe18edc3e61e31000ffe2a827ca02f7add4567d3cdd971b54,32
0.0643310546875,True,3,31.466686114203185,2.7771170418709517,0.0,gdn,0.18072509765625,8,0.166748046875,27640,0.256591796875,123,128,screen500,500,state,b9eafe53f87fb39181fc1471849d042506e5219a58f06c4156dbc992a4b0b37c,26872,7529117e7ba637ebe18edc3e61e31000ffe2a827ca02f7add4567d3cdd971b54,32
0.06195068359375,True,4,32.97559978580102,2.776870258152485,0.0,gdn,0.18072509765625,8,0.166748046875,29860,0.256591796875,123,128,screen500,500,state,b9eafe53f87fb39181fc1471849d042506e5219a58f06c4156dbc992a4b0b37c,28196,7529117e7ba637ebe18edc3e61e31000ffe2a827ca02f7add4567d3cdd971b54,32
0.06451416015625,True,1,8.872562077827752,2.7757343910634518,0.0,mamba2,0.18072509765625,8,0.166748046875,24856,0.256591796875,123,128,screen500,500,state,b9eafe53f87fb39181fc1471849d042506e5219a58f06c4156dbc992a4b0b37c,24856,7529117e7ba637ebe18edc3e61e31000ffe2a827ca02f7add4567d3cdd971b54,32
0.065185546875,True,2,21.368468133732677,2.775597905740142,0.0,mamba2,0.18072509765625,8,0.166748046875,28568,0.256591796875,123,128,screen500,500,state,b9eafe53f87fb39181fc1471849d042506e5219a58f06c4156dbc992a4b0b37c,28568,7529117e7ba637ebe18edc3e61e31000ffe2a827ca02f7add4567d3cdd971b54,32
0.06329345703125,True,3,21.69300188496709,2.775932526215911,0.0,mamba2,0.18072509765625,8,0.166748046875,35392,0.256591796875,123,128,screen500,500,state,b9eafe53f87fb39181fc1471849d042506e5219a58f06c4156dbc992a4b0b37c,33856,7529117e7ba637ebe18edc3e61e31000ffe2a827ca02f7add4567d3cdd971b54,32
0.06549072265625,True,4,22.522490985691547,2.7758584450930357,0.0,mamba2,0.18072509765625,8,0.166748046875,39832,0.256591796875,123,128,screen500,500,state,b9eafe53f87fb39181fc1471849d042506e5219a58f06c4156dbc992a4b0b37c,36504,7529117e7ba637ebe18edc3e61e31000ffe2a827ca02f7add4567d3cdd971b54,32
0.065673828125,True,1,9.2779732120689,2.785711409524083,0.065673828125,gdn,0.13330078125,16,0.193359375,28392,0.193359375,123,256,screen500,500,variable,bf7805bee072b6fa90d12e442dce61bc58852f3cb3141346b3c1919fc6499fb7,28392,3f39b684b43011165efab3268c8701b76e6f99fd834ad96fda7e400de95d3b6c,32
0.069580078125,True,2,23.129248679149896,2.787101773545146,0.069580078125,gdn,0.13330078125,16,0.193359375,32684,0.193359375,123,256,screen500,500,variable,bf7805bee072b6fa90d12e442dce61bc58852f3cb3141346b3c1919fc6499fb7,32684,3f39b684b43011165efab3268c8701b76e6f99fd834ad96fda7e400de95d3b6c,32
0.061767578125,True,3,24.245991139905527,2.790047589689493,0.061767578125,gdn,0.13330078125,16,0.193359375,39520,0.193359375,123,256,screen500,500,variable,bf7805bee072b6fa90d12e442dce61bc58852f3cb3141346b3c1919fc6499fb7,38496,3f39b684b43011165efab3268c8701b76e6f99fd834ad96fda7e400de95d3b6c,32
0.072021484375,True,4,24.87470975611359,2.788433013483882,0.072021484375,gdn,0.13330078125,16,0.193359375,55668,0.193359375,123,256,screen500,500,variable,bf7805bee072b6fa90d12e442dce61bc58852f3cb3141346b3c1919fc6499fb7,51700,3f39b684b43011165efab3268c8701b76e6f99fd834ad96fda7e400de95d3b6c,32
0.06982421875,True,1,6.702179653104395,2.7816337775439024,0.06982421875,mamba2,0.13330078125,16,0.193359375,33048,0.193359375,123,256,screen500,500,variable,bf7805bee072b6fa90d12e442dce61bc58852f3cb3141346b3c1919fc6499fb7,33048,3f39b684b43011165efab3268c8701b76e6f99fd834ad96fda7e400de95d3b6c,32
0.069580078125,True,2,16.60992093803361,2.7821182906627655,0.069580078125,mamba2,0.13330078125,16,0.193359375,37288,0.193359375,123,256,screen500,500,variable,bf7805bee072b6fa90d12e442dce61bc58852f3cb3141346b3c1919fc6499fb7,37288,3f39b684b43011165efab3268c8701b76e6f99fd834ad96fda7e400de95d3b6c,32
0.070068359375,True,3,17.685437300009653,2.7820353526622057,0.070068359375,mamba2,0.13330078125,16,0.193359375,50960,0.193359375,123,256,screen500,500,variable,bf7805bee072b6fa90d12e442dce61bc58852f3cb3141346b3c1919fc6499fb7,48912,3f39b684b43011165efab3268c8701b76e6f99fd834ad96fda7e400de95d3b6c,32
