d,k,n_patterns,sauer,answerable_frac,nmse
1,1,2,2,1.0,4.267081225089383e-12
1,2,3,3,0.75,0.2500000000023294
1,3,4,4,0.5,0.35673533485303366
1,4,5,5,0.3125,0.9348435259144707
1,5,6,6,0.1875,0.6145436980638843
1,6,7,7,0.109375,1.1434288074993224
2,1,2,2,1.0,6.084294881300336e-17
2,2,4,4,1.0,2.9264577030334197e-15
2,3,7,7,0.875,0.06352428117184603
2,4,10,11,0.625,0.15439529027298002
2,5,13,16,0.40625,0.17783417913266936
2,6,16,22,0.25,0.37014730988514394
3,1,2,2,1.0,1.3600947135225916e-14
3,2,4,4,1.0,6.451920743250247e-15
3,3,8,8,1.0,7.930750159503332e-14
3,4,15,15,0.9375,0.003320550280275841
3,5,24,26,0.75,0.050088578042530425
3,6,35,42,0.546875,0.23680989907314304
4,1,2,2,1.0,6.5205386607409e-14
4,2,4,4,1.0,7.004838088450397e-14
4,3,8,8,1.0,1.7684642884872198e-14
4,4,16,16,1.0,1.0532250033309493e-13
4,5,31,31,0.96875,0.013427481671470252
4,6,54,57,0.84375,0.04967577185403401
5,1,2,2,1.0,4.395917400231078e-13
5,2,4,4,1.0,2.1280353474379134e-13
5,3,8,8,1.0,1.1670761091844238e-13
5,4,16,16,1.0,1.1850360694779979e-14
5,5,32,32,1.0,1.1131494817879938e-13
5,6,63,63,0.984375,0.002155808270455799
