arm,run,k,seed,step,loss,exact_support
Softmax,mkar_softmax_d2_k1_plane_oracle_T1024_s0_sc3_id_fair2,1,0,2000,0.377749502658844,0.0
Softmax,mkar_softmax_d2_k1_plane_oracle_T1024_s0_sc3_id_fair2,1,0,4000,0.3776021599769592,0.0
Softmax,mkar_softmax_d2_k1_plane_oracle_T1024_s0_sc3_id_fair2,1,0,6000,0.3775261044502258,0.0
Softmax,mkar_softmax_d2_k1_plane_oracle_T1024_s0_sc3_id_fair2,1,0,8000,0.0008100389968603,0.99951171875
Softmax,mkar_softmax_d2_k1_plane_oracle_T1024_s0_sc3_id_fair2,1,0,10000,9.337742812931538e-05,1.0
Softmax,mkar_softmax_d2_k1_plane_oracle_T1024_s0_sc3_id_fair2,1,0,12000,2.810015030263457e-05,1.0
Softmax,mkar_softmax_d2_k1_plane_oracle_T1024_s1_sc3_id_fair2,1,1,2000,0.3792934119701385,0.0
Softmax,mkar_softmax_d2_k1_plane_oracle_T1024_s1_sc3_id_fair2,1,1,4000,0.3772459626197815,0.0
Softmax,mkar_softmax_d2_k1_plane_oracle_T1024_s1_sc3_id_fair2,1,1,6000,0.3759913444519043,0.0
Softmax,mkar_softmax_d2_k1_plane_oracle_T1024_s1_sc3_id_fair2,1,1,8000,0.3770982027053833,0.0
Softmax,mkar_softmax_d2_k1_plane_oracle_T1024_s1_sc3_id_fair2,1,1,10000,0.376492440700531,0.0
Softmax,mkar_softmax_d2_k1_plane_oracle_T1024_s1_sc3_id_fair2,1,1,12000,0.2855938971042633,0.07861328125
Softmax,mkar_softmax_d2_k1_plane_oracle_T1024_s2_sc3_id_fair2,1,2,2000,0.3767522871494293,0.0
Softmax,mkar_softmax_d2_k1_plane_oracle_T1024_s2_sc3_id_fair2,1,2,4000,0.3767057657241821,0.0
Softmax,mkar_softmax_d2_k1_plane_oracle_T1024_s2_sc3_id_fair2,1,2,6000,0.3772432506084442,0.0
Softmax,mkar_softmax_d2_k1_plane_oracle_T1024_s2_sc3_id_fair2,1,2,8000,0.3766493201255798,0.0
Softmax,mkar_softmax_d2_k1_plane_oracle_T1024_s2_sc3_id_fair2,1,2,10000,0.3768934905529022,0.0
Softmax,mkar_softmax_d2_k1_plane_oracle_T1024_s2_sc3_id_fair2,1,2,12000,0.2049009799957275,0.25
Linear baselines (6 models),mkar_deltanet_d2_k1_plane_oracle_T1024_s0_sc3_id_fair2,1,0,2000,0.37773597240448,0.0
Linear baselines (6 models),mkar_deltanet_d2_k1_plane_oracle_T1024_s0_sc3_id_fair2,1,0,4000,0.3775779008865356,0.0
Linear baselines (6 models),mkar_deltanet_d2_k1_plane_oracle_T1024_s0_sc3_id_fair2,1,0,6000,0.3774935007095337,0.0
Linear baselines (6 models),mkar_deltanet_d2_k1_plane_oracle_T1024_s0_sc3_id_fair2,1,0,8000,0.3764289021492004,0.0
Linear baselines (6 models),mkar_deltanet_d2_k1_plane_oracle_T1024_s0_sc3_id_fair2,1,0,10000,0.3767728209495544,0.0
Linear baselines (6 models),mkar_deltanet_d2_k1_plane_oracle_T1024_s0_sc3_id_fair2,1,0,12000,0.3767124712467193,0.0
Linear baselines (6 models),mkar_deltanet_d2_k1_plane_oracle_T1024_s1_sc3_id_fair2,1,1,2000,0.3789822161197662,0.0
Linear baselines (6 models),mkar_deltanet_d2_k1_plane_oracle_T1024_s1_sc3_id_fair2,1,1,4000,0.3773000836372375,0.0
Linear baselines (6 models),mkar_deltanet_d2_k1_plane_oracle_T1024_s1_sc3_id_fair2,1,1,6000,0.3760860860347748,0.0
Linear baselines (6 models),mkar_deltanet_d2_k1_plane_oracle_T1024_s1_sc3_id_fair2,1,1,8000,0.3770712018013,0.0
Linear baselines (6 models),mkar_deltanet_d2_k1_plane_oracle_T1024_s1_sc3_id_fair2,1,1,10000,0.3764244616031647,0.0
Linear baselines (6 models),mkar_deltanet_d2_k1_plane_oracle_T1024_s1_sc3_id_fair2,1,1,12000,0.3777193427085876,0.0
Linear baselines (6 models),mkar_deltanet_d2_k1_plane_oracle_T1024_s2_sc3_id_fair2,1,2,2000,0.3768536150455475,0.0
Linear baselines (6 models),mkar_deltanet_d2_k1_plane_oracle_T1024_s2_sc3_id_fair2,1,2,4000,0.3765008449554443,0.0
Linear baselines (6 models),mkar_deltanet_d2_k1_plane_oracle_T1024_s2_sc3_id_fair2,1,2,6000,0.3772252798080444,0.0
Linear baselines (6 models),mkar_deltanet_d2_k1_plane_oracle_T1024_s2_sc3_id_fair2,1,2,8000,0.3764877021312713,0.0
Linear baselines (6 models),mkar_deltanet_d2_k1_plane_oracle_T1024_s2_sc3_id_fair2,1,2,10000,0.376833438873291,0.0
Linear baselines (6 models),mkar_deltanet_d2_k1_plane_oracle_T1024_s2_sc3_id_fair2,1,2,12000,0.377204030752182,0.0
Linear baselines (6 models),mkar_gated_deltanet_d2_k1_plane_oracle_T1024_s0_sc3_id_fair2,1,0,2000,0.378062754869461,0.0
Linear baselines (6 models),mkar_gated_deltanet_d2_k1_plane_oracle_T1024_s0_sc3_id_fair2,1,0,4000,0.3777293562889099,0.0
Linear baselines (6 models),mkar_gated_deltanet_d2_k1_plane_oracle_T1024_s0_sc3_id_fair2,1,0,6000,0.3777184784412384,0.0
Linear baselines (6 models),mkar_gated_deltanet_d2_k1_plane_oracle_T1024_s0_sc3_id_fair2,1,0,8000,0.3763805627822876,0.0
Linear baselines (6 models),mkar_gated_deltanet_d2_k1_plane_oracle_T1024_s0_sc3_id_fair2,1,0,10000,0.3767646849155426,0.0
Linear baselines (6 models),mkar_gated_deltanet_d2_k1_plane_oracle_T1024_s0_sc3_id_fair2,1,0,12000,0.3766988515853882,0.0
Linear baselines (6 models),mkar_gated_deltanet_d2_k1_plane_oracle_T1024_s1_sc3_id_fair2,1,1,2000,0.3790100216865539,0.0
Linear baselines (6 models),mkar_gated_deltanet_d2_k1_plane_oracle_T1024_s1_sc3_id_fair2,1,1,4000,0.3771837949752807,0.0
Linear baselines (6 models),mkar_gated_deltanet_d2_k1_plane_oracle_T1024_s1_sc3_id_fair2,1,1,6000,0.3760747015476227,0.0
Linear baselines (6 models),mkar_gated_deltanet_d2_k1_plane_oracle_T1024_s1_sc3_id_fair2,1,1,8000,0.3769605159759521,0.0
Linear baselines (6 models),mkar_gated_deltanet_d2_k1_plane_oracle_T1024_s1_sc3_id_fair2,1,1,10000,0.3764284253120422,0.0
Linear baselines (6 models),mkar_gated_deltanet_d2_k1_plane_oracle_T1024_s1_sc3_id_fair2,1,1,12000,0.3777700662612915,0.0
Linear baselines (6 models),mkar_gated_deltanet_d2_k1_plane_oracle_T1024_s2_sc3_id_fair2,1,2,2000,0.3768059611320495,0.0
Linear baselines (6 models),mkar_gated_deltanet_d2_k1_plane_oracle_T1024_s2_sc3_id_fair2,1,2,4000,0.3764732480049133,0.0
Linear baselines (6 models),mkar_gated_deltanet_d2_k1_plane_oracle_T1024_s2_sc3_id_fair2,1,2,6000,0.3771207332611084,0.0
Linear baselines (6 models),mkar_gated_deltanet_d2_k1_plane_oracle_T1024_s2_sc3_id_fair2,1,2,8000,0.3765385448932647,0.0
Linear baselines (6 models),mkar_gated_deltanet_d2_k1_plane_oracle_T1024_s2_sc3_id_fair2,1,2,10000,0.3768771290779114,0.0
Linear baselines (6 models),mkar_gated_deltanet_d2_k1_plane_oracle_T1024_s2_sc3_id_fair2,1,2,12000,0.3771750330924988,0.0
Linear baselines (6 models),mkar_loglinear_d2_k1_plane_oracle_T1024_s0_sc3_id_fair2,1,0,2000,0.3778084218502044,0.0
Linear baselines (6 models),mkar_loglinear_d2_k1_plane_oracle_T1024_s0_sc3_id_fair2,1,0,4000,0.3775591254234314,0.0
Linear baselines (6 models),mkar_loglinear_d2_k1_plane_oracle_T1024_s0_sc3_id_fair2,1,0,6000,0.3775140643119812,0.0
Linear baselines (6 models),mkar_loglinear_d2_k1_plane_oracle_T1024_s0_sc3_id_fair2,1,0,8000,0.376424103975296,0.0
Linear baselines (6 models),mkar_loglinear_d2_k1_plane_oracle_T1024_s0_sc3_id_fair2,1,0,10000,0.376751184463501,0.0
Linear baselines (6 models),mkar_loglinear_d2_k1_plane_oracle_T1024_s0_sc3_id_fair2,1,0,12000,0.3767191469669342,0.0
Linear baselines (6 models),mkar_loglinear_d2_k1_plane_oracle_T1024_s1_sc3_id_fair2,1,1,2000,0.3786514103412628,0.0
Linear baselines (6 models),mkar_loglinear_d2_k1_plane_oracle_T1024_s1_sc3_id_fair2,1,1,4000,0.377204418182373,0.0
Linear baselines (6 models),mkar_loglinear_d2_k1_plane_oracle_T1024_s1_sc3_id_fair2,1,1,6000,0.3760133385658264,0.0
Linear baselines (6 models),mkar_loglinear_d2_k1_plane_oracle_T1024_s1_sc3_id_fair2,1,1,8000,0.3770823776721954,0.0
Linear baselines (6 models),mkar_loglinear_d2_k1_plane_oracle_T1024_s1_sc3_id_fair2,1,1,10000,0.3764978945255279,0.0
Linear baselines (6 models),mkar_loglinear_d2_k1_plane_oracle_T1024_s1_sc3_id_fair2,1,1,12000,0.3776655495166778,0.0
Linear baselines (6 models),mkar_loglinear_d2_k1_plane_oracle_T1024_s2_sc3_id_fair2,1,2,2000,0.3769861161708832,0.0
Linear baselines (6 models),mkar_loglinear_d2_k1_plane_oracle_T1024_s2_sc3_id_fair2,1,2,4000,0.3765051960945129,0.0
Linear baselines (6 models),mkar_loglinear_d2_k1_plane_oracle_T1024_s2_sc3_id_fair2,1,2,6000,0.3772664070129394,0.0
Linear baselines (6 models),mkar_loglinear_d2_k1_plane_oracle_T1024_s2_sc3_id_fair2,1,2,8000,0.3764786124229431,0.0
Linear baselines (6 models),mkar_loglinear_d2_k1_plane_oracle_T1024_s2_sc3_id_fair2,1,2,10000,0.3768796324729919,0.0
Linear baselines (6 models),mkar_loglinear_d2_k1_plane_oracle_T1024_s2_sc3_id_fair2,1,2,12000,0.3771587312221527,0.0
Linear baselines (6 models),mkar_mamba2_d2_k1_plane_oracle_T1024_s0_sc3_id_fair2,1,0,2000,0.37774658203125,0.0
Linear baselines (6 models),mkar_mamba2_d2_k1_plane_oracle_T1024_s0_sc3_id_fair2,1,0,4000,0.3775786161422729,0.0
Linear baselines (6 models),mkar_mamba2_d2_k1_plane_oracle_T1024_s0_sc3_id_fair2,1,0,6000,0.3776508569717407,0.0
Linear baselines (6 models),mkar_mamba2_d2_k1_plane_oracle_T1024_s0_sc3_id_fair2,1,0,8000,0.3764370679855346,0.0
Linear baselines (6 models),mkar_mamba2_d2_k1_plane_oracle_T1024_s0_sc3_id_fair2,1,0,10000,0.3767488896846771,0.0
Linear baselines (6 models),mkar_mamba2_d2_k1_plane_oracle_T1024_s0_sc3_id_fair2,1,0,12000,0.3767005205154419,0.0
Linear baselines (6 models),mkar_mamba2_d2_k1_plane_oracle_T1024_s1_sc3_id_fair2,1,1,2000,0.3794432580471039,0.0
Linear baselines (6 models),mkar_mamba2_d2_k1_plane_oracle_T1024_s1_sc3_id_fair2,1,1,4000,0.3771253228187561,0.0
Linear baselines (6 models),mkar_mamba2_d2_k1_plane_oracle_T1024_s1_sc3_id_fair2,1,1,6000,0.3759443759918213,0.0
Linear baselines (6 models),mkar_mamba2_d2_k1_plane_oracle_T1024_s1_sc3_id_fair2,1,1,8000,0.3771748542785644,0.0
Linear baselines (6 models),mkar_mamba2_d2_k1_plane_oracle_T1024_s1_sc3_id_fair2,1,1,10000,0.3764727711677551,0.0
Linear baselines (6 models),mkar_mamba2_d2_k1_plane_oracle_T1024_s1_sc3_id_fair2,1,1,12000,0.3778688907623291,0.0
Linear baselines (6 models),mkar_mamba2_d2_k1_plane_oracle_T1024_s2_sc3_id_fair2,1,2,2000,0.3768038153648376,0.0
Linear baselines (6 models),mkar_mamba2_d2_k1_plane_oracle_T1024_s2_sc3_id_fair2,1,2,4000,0.3764680624008178,0.0
Linear baselines (6 models),mkar_mamba2_d2_k1_plane_oracle_T1024_s2_sc3_id_fair2,1,2,6000,0.3771930932998657,0.0
Linear baselines (6 models),mkar_mamba2_d2_k1_plane_oracle_T1024_s2_sc3_id_fair2,1,2,8000,0.3765571415424347,0.0
Linear baselines (6 models),mkar_mamba2_d2_k1_plane_oracle_T1024_s2_sc3_id_fair2,1,2,10000,0.3768685460090637,0.0
Linear baselines (6 models),mkar_mamba2_d2_k1_plane_oracle_T1024_s2_sc3_id_fair2,1,2,12000,0.3771899938583374,0.0
Linear baselines (6 models),mkar_smat_d1_k1_plane_oracle_T1024_s0_sc3_id_fair2,1,0,2000,0.3777587413787842,0.0
Linear baselines (6 models),mkar_smat_d1_k1_plane_oracle_T1024_s0_sc3_id_fair2,1,0,4000,0.3776093423366546,0.0
Linear baselines (6 models),mkar_smat_d1_k1_plane_oracle_T1024_s0_sc3_id_fair2,1,0,6000,0.3775298595428467,0.0
Linear baselines (6 models),mkar_smat_d1_k1_plane_oracle_T1024_s0_sc3_id_fair2,1,0,8000,0.3765512406826019,0.0
Linear baselines (6 models),mkar_smat_d1_k1_plane_oracle_T1024_s0_sc3_id_fair2,1,0,10000,0.3768128454685211,0.0
Linear baselines (6 models),mkar_smat_d1_k1_plane_oracle_T1024_s0_sc3_id_fair2,1,0,12000,0.3766842484474182,0.0
Linear baselines (6 models),mkar_smat_d1_k1_plane_oracle_T1024_s0_sc3_id_fair2_mem1472,1,0,2000,0.3777608275413513,0.0
Linear baselines (6 models),mkar_smat_d1_k1_plane_oracle_T1024_s0_sc3_id_fair2_mem1472,1,0,4000,0.3776103258132934,0.0
Linear baselines (6 models),mkar_smat_d1_k1_plane_oracle_T1024_s0_sc3_id_fair2_mem1472,1,0,6000,0.3775305151939392,0.0
Linear baselines (6 models),mkar_smat_d1_k1_plane_oracle_T1024_s0_sc3_id_fair2_mem1472,1,0,8000,0.3765512108802795,0.0
Linear baselines (6 models),mkar_smat_d1_k1_plane_oracle_T1024_s0_sc3_id_fair2_mem1472,1,0,10000,0.3768126368522644,0.0
Linear baselines (6 models),mkar_smat_d1_k1_plane_oracle_T1024_s0_sc3_id_fair2_mem1472,1,0,12000,0.376684308052063,0.0
Linear baselines (6 models),mkar_smat_d1_k1_plane_oracle_T1024_s1_sc3_id_fair2,1,1,2000,0.379283994436264,0.0
Linear baselines (6 models),mkar_smat_d1_k1_plane_oracle_T1024_s1_sc3_id_fair2,1,1,4000,0.3772439956665039,0.0
Linear baselines (6 models),mkar_smat_d1_k1_plane_oracle_T1024_s1_sc3_id_fair2,1,1,6000,0.375994473695755,0.0
Linear baselines (6 models),mkar_smat_d1_k1_plane_oracle_T1024_s1_sc3_id_fair2,1,1,8000,0.3770932555198669,0.0
Linear baselines (6 models),mkar_smat_d1_k1_plane_oracle_T1024_s1_sc3_id_fair2,1,1,10000,0.3764882087707519,0.0
Linear baselines (6 models),mkar_smat_d1_k1_plane_oracle_T1024_s1_sc3_id_fair2,1,1,12000,0.3778363466262817,0.0
Linear baselines (6 models),mkar_smat_d1_k1_plane_oracle_T1024_s1_sc3_id_fair2_mem1472,1,1,2000,0.3792836666107178,0.0
Linear baselines (6 models),mkar_smat_d1_k1_plane_oracle_T1024_s1_sc3_id_fair2_mem1472,1,1,4000,0.3772453367710113,0.0
Linear baselines (6 models),mkar_smat_d1_k1_plane_oracle_T1024_s1_sc3_id_fair2_mem1472,1,1,6000,0.3759949207305908,0.0
Linear baselines (6 models),mkar_smat_d1_k1_plane_oracle_T1024_s1_sc3_id_fair2_mem1472,1,1,8000,0.377092957496643,0.0
Linear baselines (6 models),mkar_smat_d1_k1_plane_oracle_T1024_s1_sc3_id_fair2_mem1472,1,1,10000,0.3764887750148773,0.0
Linear baselines (6 models),mkar_smat_d1_k1_plane_oracle_T1024_s1_sc3_id_fair2_mem1472,1,1,12000,0.3778360486030578,0.0
Linear baselines (6 models),mkar_smat_d1_k1_plane_oracle_T1024_s2_sc3_id_fair2,1,2,2000,0.3767520785331726,0.0
Linear baselines (6 models),mkar_smat_d1_k1_plane_oracle_T1024_s2_sc3_id_fair2,1,2,4000,0.3767000436782837,0.0
Linear baselines (6 models),mkar_smat_d1_k1_plane_oracle_T1024_s2_sc3_id_fair2,1,2,6000,0.3772378265857696,0.0
Linear baselines (6 models),mkar_smat_d1_k1_plane_oracle_T1024_s2_sc3_id_fair2,1,2,8000,0.3766535520553589,0.0
Linear baselines (6 models),mkar_smat_d1_k1_plane_oracle_T1024_s2_sc3_id_fair2,1,2,10000,0.376899242401123,0.0
Linear baselines (6 models),mkar_smat_d1_k1_plane_oracle_T1024_s2_sc3_id_fair2,1,2,12000,0.3771767020225525,0.0
Linear baselines (6 models),mkar_smat_d1_k1_plane_oracle_T1024_s2_sc3_id_fair2_mem1472,1,2,2000,0.3767526149749756,0.0
Linear baselines (6 models),mkar_smat_d1_k1_plane_oracle_T1024_s2_sc3_id_fair2_mem1472,1,2,4000,0.3767001926898956,0.0
Linear baselines (6 models),mkar_smat_d1_k1_plane_oracle_T1024_s2_sc3_id_fair2_mem1472,1,2,6000,0.3772382736206054,0.0
Linear baselines (6 models),mkar_smat_d1_k1_plane_oracle_T1024_s2_sc3_id_fair2_mem1472,1,2,8000,0.3766541182994842,0.0
Linear baselines (6 models),mkar_smat_d1_k1_plane_oracle_T1024_s2_sc3_id_fair2_mem1472,1,2,10000,0.3768998980522156,0.0
Linear baselines (6 models),mkar_smat_d1_k1_plane_oracle_T1024_s2_sc3_id_fair2_mem1472,1,2,12000,0.3771765828132629,0.0
SMat $d=4$ (rule-chosen directions),mkar_smat_d4_k1_plane_oracle_T1024_s0_sc3_id_fair2,1,0,2000,0.0009578720782883,0.99951171875
SMat $d=4$ (rule-chosen directions),mkar_smat_d4_k1_plane_oracle_T1024_s0_sc3_id_fair2,1,0,4000,0.0001525269617559,1.0
SMat $d=4$ (rule-chosen directions),mkar_smat_d4_k1_plane_oracle_T1024_s0_sc3_id_fair2,1,0,6000,5.931618215981871e-05,1.0
SMat $d=4$ (rule-chosen directions),mkar_smat_d4_k1_plane_oracle_T1024_s0_sc3_id_fair2,1,0,8000,2.3143682483350855e-05,1.0
SMat $d=4$ (rule-chosen directions),mkar_smat_d4_k1_plane_oracle_T1024_s0_sc3_id_fair2,1,0,10000,2.6102750780410133e-05,1.0
SMat $d=4$ (rule-chosen directions),mkar_smat_d4_k1_plane_oracle_T1024_s0_sc3_id_fair2,1,0,12000,7.924802048364654e-05,0.99951171875
SMat $d=4$ (rule-chosen directions),mkar_smat_d4_k1_plane_oracle_T1024_s1_sc3_id_fair2,1,1,2000,0.0008978457190096,0.9990234375
SMat $d=4$ (rule-chosen directions),mkar_smat_d4_k1_plane_oracle_T1024_s1_sc3_id_fair2,1,1,4000,0.0005965157761238,0.9990234375
SMat $d=4$ (rule-chosen directions),mkar_smat_d4_k1_plane_oracle_T1024_s1_sc3_id_fair2,1,1,6000,0.0001326522033195,1.0
SMat $d=4$ (rule-chosen directions),mkar_smat_d4_k1_plane_oracle_T1024_s1_sc3_id_fair2,1,1,8000,3.0372926630661823e-05,1.0
SMat $d=4$ (rule-chosen directions),mkar_smat_d4_k1_plane_oracle_T1024_s1_sc3_id_fair2,1,1,10000,1.5715686458861455e-05,1.0
SMat $d=4$ (rule-chosen directions),mkar_smat_d4_k1_plane_oracle_T1024_s1_sc3_id_fair2,1,1,12000,1.5661786164855585e-05,1.0
SMat $d=4$ (rule-chosen directions),mkar_smat_d4_k1_plane_oracle_T1024_s2_sc3_id_fair2,1,2,2000,0.0012548615923151,0.99951171875
SMat $d=4$ (rule-chosen directions),mkar_smat_d4_k1_plane_oracle_T1024_s2_sc3_id_fair2,1,2,4000,0.0001918479829328,1.0
SMat $d=4$ (rule-chosen directions),mkar_smat_d4_k1_plane_oracle_T1024_s2_sc3_id_fair2,1,2,6000,4.994495611754246e-05,1.0
SMat $d=4$ (rule-chosen directions),mkar_smat_d4_k1_plane_oracle_T1024_s2_sc3_id_fair2,1,2,8000,2.9822833312209696e-05,1.0
SMat $d=4$ (rule-chosen directions),mkar_smat_d4_k1_plane_oracle_T1024_s2_sc3_id_fair2,1,2,10000,3.242629099986516e-05,1.0
SMat $d=4$ (rule-chosen directions),mkar_smat_d4_k1_plane_oracle_T1024_s2_sc3_id_fair2,1,2,12000,2.099400808219798e-05,1.0
Softmax,mkar_softmax_d2_k2_plane_oracle_T1024_s0_sc3_id_fair2,2,0,2000,0.5632805228233337,0.0
Softmax,mkar_softmax_d2_k2_plane_oracle_T1024_s0_sc3_id_fair2,2,0,4000,0.5629310011863708,0.0
Softmax,mkar_softmax_d2_k2_plane_oracle_T1024_s0_sc3_id_fair2,2,0,6000,0.5615707039833069,0.0
Softmax,mkar_softmax_d2_k2_plane_oracle_T1024_s0_sc3_id_fair2,2,0,8000,0.0011918547097593,0.9990234375
Softmax,mkar_softmax_d2_k2_plane_oracle_T1024_s0_sc3_id_fair2,2,0,10000,0.0002893717610277,0.99951171875
Softmax,mkar_softmax_d2_k2_plane_oracle_T1024_s0_sc3_id_fair2,2,0,12000,9.190222044708209e-05,0.99853515625
Softmax,mkar_softmax_d2_k2_plane_oracle_T1024_s1_sc3_id_fair2,2,1,2000,0.5628821849822998,0.0
Softmax,mkar_softmax_d2_k2_plane_oracle_T1024_s1_sc3_id_fair2,2,1,4000,0.5634922981262207,0.0
Softmax,mkar_softmax_d2_k2_plane_oracle_T1024_s1_sc3_id_fair2,2,1,6000,0.5628397464752197,0.0
Softmax,mkar_softmax_d2_k2_plane_oracle_T1024_s1_sc3_id_fair2,2,1,8000,0.5620547533035278,0.0
Softmax,mkar_softmax_d2_k2_plane_oracle_T1024_s1_sc3_id_fair2,2,1,10000,0.5621724128723145,0.0
Softmax,mkar_softmax_d2_k2_plane_oracle_T1024_s1_sc3_id_fair2,2,1,12000,0.5625507235527039,0.0
