run,arm,d,k,step,loss,acc,covers_k,ms_per_step
count_softmax_d4_k1_T1024_s0,softmax,4,1,2000,1.5122463703155518,0.337890625,True,37.1595116853714
count_softmax_d4_k1_T1024_s0,softmax,4,1,4000,1.502785086631775,0.3193359375,True,37.366744101047516
count_softmax_d4_k1_T1024_s0,softmax,4,1,6000,1.5408138036727905,0.3564453125,True,37.53333330154419
count_softmax_d4_k1_T1024_s0,softmax,4,1,8000,1.5210657119750977,0.34375,True,37.64537528157234
count_softmax_d4_k1_T1024_s0,softmax,4,1,10000,1.5057501792907715,0.33154296875,True,37.721393847465514
count_softmax_d4_k1_T1024_s0,softmax,4,1,12000,1.5297253131866455,0.32763671875,True,37.78628587722778
count_softmax_d4_k2_T1024_s0,softmax,4,2,2000,1.8185025453567505,0.24853515625,True,38.1187047958374
count_softmax_d4_k2_T1024_s0,softmax,4,2,4000,1.7974333763122559,0.2587890625,True,38.126419365406036
count_softmax_d4_k2_T1024_s0,softmax,4,2,6000,1.8603179454803467,0.2421875,True,38.13762732346853
count_softmax_d4_k2_T1024_s0,softmax,4,2,8000,1.7650474309921265,0.24951171875,True,38.14272052049637
count_softmax_d4_k2_T1024_s0,softmax,4,2,10000,1.7730822563171387,0.255859375,True,38.14682796001434
count_softmax_d4_k2_T1024_s0,softmax,4,2,12000,1.8648090362548828,0.25830078125,True,38.14817410707474
count_softmax_d4_k3_T1024_s0,softmax,4,3,2000,1.9881609678268433,0.228515625,True,38.24682438373566
count_softmax_d4_k3_T1024_s0,softmax,4,3,4000,2.0359253883361816,0.2412109375,True,38.23889487981796
count_softmax_d4_k3_T1024_s0,softmax,4,3,6000,1.8978118896484375,0.20947265625,True,38.24602289994558
count_softmax_d4_k3_T1024_s0,softmax,4,3,8000,1.9730675220489502,0.23046875,True,38.24532985687256
count_softmax_d4_k3_T1024_s0,softmax,4,3,10000,1.9420037269592285,0.224609375,True,38.234718680381775
count_softmax_d4_k3_T1024_s0,softmax,4,3,12000,1.9094173908233643,0.2119140625,True,38.22900984684626
