d,T,n,N0,B,nbh,r,p,pool_dense_ms,pool_scatter_ms,pool_speedup,read_dense_ms,read_gather_ms,read_sort_ms,read_speedup,pool_max_err,read_max_err
2,1024,512,23,23,8,64,65,4.73475456237793,0.5058765411376953,9.359506079743614,0.1628398895263672,0.2669334411621094,23.716402053833008,0.6100392997499107,4.291534423828125e-06,0.0
2,4096,2048,47,47,8,64,65,31.076908111572266,1.8050193786621094,17.216938764727637,0.4329681396484375,0.5881309509277344,46.88549041748047,0.7361764228960597,7.62939453125e-06,0.0
2,16384,8192,97,97,8,64,65,149.68233108520508,4.227018356323242,35.41085428722912,3.666210174560547,2.2110462188720703,,1.6581336668895168,1.52587890625e-05,1.9073486328125e-06
2,65536,32768,191,191,8,64,65,,20.147418975830078,,,10.825395584106445,,,,
2,262144,131072,367,367,8,64,65,,79.91981506347656,,,45.47758102416992,,,,
3,1024,512,121,132,8,64,65,21.074438095092773,0.49958229064941406,42.18411759091343,0.37479400634765625,0.19578933715820312,,1.9142717973697028,1.430511474609375e-06,0.0
3,4096,2048,169,182,8,64,65,66.21870994567871,1.1897563934326172,55.657368442146606,1.5381336212158203,0.6028175354003906,,2.5515741180193006,2.86102294921875e-06,0.0
3,16384,8192,529,552,8,64,65,816.4676666259766,4.808521270751953,169.7959976993713,24.25065040588379,2.4231433868408203,,10.007930416986442,3.337860107421875e-06,1.9073486328125e-06
3,65536,32768,1369,1406,8,64,65,,21.40374183654785,,,12.28322982788086,,,,
3,262144,131072,2809,2862,8,64,65,,88.0889892578125,,,50.79226493835449,,,,
