run,arm,d,k,step,loss,acc,covers_k,ms_per_step
count_softmax_d4_k1_T1024_s0,softmax,4,1,1000,1.5435147285461426,0.36962890625,True,40.14113712310791
count_softmax_d4_k1_T1024_s0,softmax,4,1,2000,1.5239043235778809,0.3466796875,True,40.159703373909
count_softmax_d4_k1_T1024_s0,softmax,4,1,3000,1.5643486976623535,0.35107421875,True,40.218524853388466
count_softmax_d4_k1_T1024_s0,softmax,4,1,4000,1.5108083486557007,0.365234375,True,40.25241941213608
count_softmax_d4_k3_T1024_s0,softmax,4,3,1000,1.9659113883972168,0.2138671875,True,40.45649218559265
count_softmax_d4_k3_T1024_s0,softmax,4,3,2000,1.9379163980484009,0.248046875,True,40.351977467536926
count_softmax_d4_k3_T1024_s0,softmax,4,3,3000,2.0295467376708984,0.234375,True,40.326427141825356
count_softmax_d4_k3_T1024_s0,softmax,4,3,4000,1.8685715198516846,0.2080078125,True,40.307524263858795
count_smat_d1_k1_T1024_s0,smat,1,1,1000,1.543649673461914,0.36962890625,True,48.656949281692505
count_smat_d1_k1_T1024_s0,smat,1,1,2000,1.5239369869232178,0.3466796875,True,48.43671905994415
count_smat_d1_k1_T1024_s0,smat,1,1,3000,1.5643731355667114,0.35107421875,True,48.36294285456339
count_smat_d1_k1_T1024_s0,smat,1,1,4000,1.5107845067977905,0.365234375,True,48.31447780132294
