run,arm,d,k,step,loss,acc,covers_k,ms_per_step
count_smat_d2_k1_T1024_s0,smat,2,1,2000,0.04417342320084572,0.98583984375,True,86.66987681388855
count_smat_d2_k1_T1024_s0,smat,2,1,4000,0.007989799603819847,0.9912109375,True,86.98124271631241
count_smat_d2_k1_T1024_s0,smat,2,1,6000,0.008401882834732533,0.99755859375,True,87.03869676589966
count_smat_d2_k1_T1024_s0,smat,2,1,8000,0.0007030389970168471,0.99755859375,True,87.06961423158646
count_smat_d2_k1_T1024_s0,smat,2,1,10000,0.0011102304561063647,0.9990234375,True,87.0900185585022
count_smat_d2_k1_T1024_s0,smat,2,1,12000,3.5315562854520977e-05,1.0,True,87.10123723745346
count_smat_d2_k2_T1024_s0,smat,2,2,2000,1.5250308513641357,0.33984375,False,87.27807986736298
count_smat_d2_k2_T1024_s0,smat,2,2,4000,1.597631573677063,0.31982421875,False,87.23235005140305
count_smat_d2_k2_T1024_s0,smat,2,2,6000,1.5521374940872192,0.33642578125,False,87.2035190264384
count_smat_d2_k2_T1024_s0,smat,2,2,8000,1.5290324687957764,0.330078125,False,87.18839883804321
count_smat_d2_k2_T1024_s0,smat,2,2,10000,1.5173625946044922,0.349609375,False,87.18340611457825
count_smat_d2_k2_T1024_s0,smat,2,2,12000,1.4263594150543213,0.33251953125,False,87.18429251511891
count_smat_d2_k3_T1024_s0,smat,2,3,2000,1.7141400575637817,0.25830078125,False,87.27653396129608
count_smat_d2_k3_T1024_s0,smat,2,3,4000,1.7726821899414062,0.259765625,False,87.22571349143982
count_smat_d2_k3_T1024_s0,smat,2,3,6000,1.7560648918151855,0.26611328125,False,87.20206956068675
