run,arm,d,k,step,loss,acc,covers_k,ms_per_step
count_softmax_d2_k1_T1024_s0,softmax,2,1,2000,0.003975503146648407,0.998046875,True,42.39764869213104
count_softmax_d2_k1_T1024_s0,softmax,2,1,4000,0.004517574328929186,0.99609375,True,42.36084508895874
count_softmax_d2_k1_T1024_s0,softmax,2,1,6000,0.00440097413957119,0.998046875,True,42.35717503229777
count_softmax_d2_k1_T1024_s0,softmax,2,1,8000,0.0014105683658272028,0.99755859375,True,42.3495235145092
count_softmax_d2_k1_T1024_s0,softmax,2,1,10000,0.00025149897555820644,0.99951171875,True,42.344332337379456
count_softmax_d2_k1_T1024_s0,softmax,2,1,12000,0.0005467632436193526,1.0,True,42.34297478199005
count_smat_d1_k1_T1024_s0,smat,1,1,2000,0.33590707182884216,0.9033203125,True,60.63261163234711
count_smat_d1_k1_T1024_s0,smat,1,1,4000,0.03097096085548401,0.994140625,True,60.59632134437561
count_smat_d1_k1_T1024_s0,smat,1,1,6000,0.004150783643126488,0.99853515625,True,60.584479331970215
count_smat_d1_k1_T1024_s0,smat,1,1,8000,0.002788007725030184,0.99462890625,True,60.577634900808334
count_smat_d1_k1_T1024_s0,smat,1,1,10000,0.010893353261053562,0.9990234375,True,60.57313468456268
count_smat_d1_k1_T1024_s0,smat,1,1,12000,0.00040560809429734945,0.98974609375,True,60.57274293899536
count_softmax_d2_k2_T1024_s0,softmax,2,2,2000,0.10707853734493256,0.96435546875,False,42.45925462245941
count_softmax_d2_k2_T1024_s0,softmax,2,2,4000,0.07456193119287491,0.99267578125,False,42.460464775562286
count_softmax_d2_k2_T1024_s0,softmax,2,2,6000,0.10335792601108551,0.98388671875,False,42.44803539911906
count_softmax_d2_k2_T1024_s0,softmax,2,2,8000,0.006596948951482773,0.99755859375,False,42.43321451544762
count_softmax_d2_k2_T1024_s0,softmax,2,2,10000,0.002114045899361372,0.994140625,False,42.41863749027252
count_softmax_d2_k2_T1024_s0,softmax,2,2,12000,0.0012826338643208146,0.99951171875,False,42.405260602633156
count_smat_d1_k2_T1024_s0,smat,1,2,2000,1.800497055053711,0.24853515625,False,60.694929122924805
count_smat_d1_k2_T1024_s0,smat,1,2,4000,1.736163854598999,0.29052734375,False,60.631577134132385
count_smat_d1_k2_T1024_s0,smat,1,2,6000,0.04915744438767433,0.98291015625,False,60.6431835492452
count_smat_d1_k2_T1024_s0,smat,1,2,8000,0.008168666623532772,0.9970703125,False,60.64921870827675
count_smat_d1_k2_T1024_s0,smat,1,2,10000,0.006586798466742039,0.998046875,False,60.65482895374298
count_smat_d1_k2_T1024_s0,smat,1,2,12000,0.027175763621926308,0.99755859375,False,60.658457140127815
count_softmax_d2_k3_T1024_s0,softmax,2,3,2000,0.5615320801734924,0.80517578125,False,42.4256489276886
count_softmax_d2_k3_T1024_s0,softmax,2,3,4000,0.12046697735786438,0.94580078125,False,42.41941958665848
count_softmax_d2_k3_T1024_s0,softmax,2,3,6000,0.06251441687345505,0.96923828125,False,42.420566399892174
count_softmax_d2_k3_T1024_s0,softmax,2,3,8000,0.03335766866803169,0.99267578125,False,42.41955557465553
count_softmax_d2_k3_T1024_s0,softmax,2,3,10000,0.032872602343559265,0.9892578125,False,42.419655585289
count_softmax_d2_k3_T1024_s0,softmax,2,3,12000,0.029939638450741768,0.984375,False,42.42006456851959
count_smat_d1_k3_T1024_s0,smat,1,3,2000,1.8758916854858398,0.2412109375,False,60.675618052482605
count_smat_d1_k3_T1024_s0,smat,1,3,4000,1.9448864459991455,0.21630859375,False,60.64363610744476
count_smat_d1_k3_T1024_s0,smat,1,3,6000,0.762608528137207,0.6162109375,False,60.650378266970314
count_smat_d1_k3_T1024_s0,smat,1,3,8000,0.09328369796276093,0.9072265625,False,60.66701629757881
count_smat_d1_k3_T1024_s0,smat,1,3,10000,0.08504845947027206,0.9619140625,False,60.67708916664124
count_smat_d1_k3_T1024_s0,smat,1,3,12000,0.07904867827892303,0.99365234375,False,60.685210605462395
