run,arm,d,k,assign,read_mode,dirs,step,loss,exact_support,mse,q,N0,B,covers_k,ms_per_step
mkar_softmax_d2_k1_plane_oracle_T1024_s0_sc3_id,softmax,2,1,content,plane,oracle,2000,0.377749502658844,0.0,4.444749355316162,23,23,23,True,42.49043798446655
mkar_softmax_d2_k1_plane_oracle_T1024_s0_sc3_id,softmax,2,1,content,plane,oracle,4000,0.37760215997695923,0.0,4.423852264881134,23,23,23,True,42.51263076066971
mkar_softmax_d2_k1_plane_oracle_T1024_s0_sc3_id,softmax,2,1,content,plane,oracle,6000,0.37752610445022583,0.0,4.409284234046936,23,23,23,True,42.51659870147705
mkar_softmax_d2_k1_plane_oracle_T1024_s0_sc3_id,softmax,2,1,content,plane,oracle,8000,0.0005431420286186039,1.0,62.25319480895996,23,23,23,True,42.51573207974434
mkar_softmax_d2_k1_plane_oracle_T1024_s0_sc3_id,softmax,2,1,content,plane,oracle,10000,8.944525325205177e-05,1.0,91.75997638702393,23,23,23,True,42.51581904888153
mkar_softmax_d2_k1_plane_oracle_T1024_s0_sc3_id,softmax,2,1,content,plane,oracle,12000,6.507057696580887e-05,1.0,114.98959159851074,23,23,23,True,42.51568007469177
mkar_smat_d1_k1_plane_oracle_T1024_s0_sc3_id,smat,1,1,content,plane,oracle,2000,0.3777587413787842,0.0,4.445311367511749,0,1,1,True,60.90433704853058
mkar_smat_d1_k1_plane_oracle_T1024_s0_sc3_id,smat,1,1,content,plane,oracle,4000,0.37760934233665466,0.0,4.423721432685852,0,1,1,True,60.83417856693268
mkar_smat_d1_k1_plane_oracle_T1024_s0_sc3_id,smat,1,1,content,plane,oracle,6000,0.3775298595428467,0.0,4.409163415431976,0,1,1,True,60.80967915058136
mkar_smat_d1_k1_plane_oracle_T1024_s0_sc3_id,smat,1,1,content,plane,oracle,8000,0.37655124068260193,0.0,4.401814103126526,0,1,1,True,60.79846176505089
mkar_smat_d1_k1_plane_oracle_T1024_s0_sc3_id,smat,1,1,content,plane,oracle,10000,0.3768128454685211,0.0,4.421051323413849,0,1,1,True,60.79594902992248
mkar_smat_d1_k1_plane_oracle_T1024_s0_sc3_id,smat,1,1,content,plane,oracle,12000,0.3766842484474182,0.0,4.4152485728263855,0,1,1,True,60.79594284296036
mkar_softmax_d2_k2_plane_oracle_T1024_s0_sc3_id,softmax,2,2,content,plane,oracle,2000,0.5632805228233337,0.0,2.0346071422100067,23,23,23,False,42.503432631492615
mkar_softmax_d2_k2_plane_oracle_T1024_s0_sc3_id,softmax,2,2,content,plane,oracle,4000,0.5629310011863708,0.0,1.9992266297340393,23,23,23,False,42.50884836912155
mkar_softmax_d2_k2_plane_oracle_T1024_s0_sc3_id,softmax,2,2,content,plane,oracle,6000,0.5615707039833069,0.0,1.999056026339531,23,23,23,False,42.50887747605642
mkar_softmax_d2_k2_plane_oracle_T1024_s0_sc3_id,softmax,2,2,content,plane,oracle,8000,0.0011919444659724832,0.9990234375,59.4261212348938,23,23,23,False,42.51067277789116
mkar_softmax_d2_k2_plane_oracle_T1024_s0_sc3_id,softmax,2,2,content,plane,oracle,10000,0.00025992008158937097,0.99951171875,87.40297222137451,23,23,23,False,42.51026585102081
mkar_softmax_d2_k2_plane_oracle_T1024_s0_sc3_id,softmax,2,2,content,plane,oracle,12000,0.0009756085346452892,0.99609375,116.2830286026001,23,23,23,False,42.51031472285589
mkar_smat_d1_k2_plane_oracle_T1024_s0_sc3_id,smat,1,2,content,plane,oracle,2000,0.5632867217063904,0.0,2.0345295667648315,0,1,1,False,60.92143416404724
mkar_smat_d1_k2_plane_oracle_T1024_s0_sc3_id,smat,1,2,content,plane,oracle,4000,0.5629431009292603,0.0,1.9986752569675446,0,1,1,False,60.832471549510956
mkar_smat_d1_k2_plane_oracle_T1024_s0_sc3_id,smat,1,2,content,plane,oracle,6000,0.5615718364715576,0.0,1.9985853731632233,0,1,1,False,60.80166447162628
