position,nll
0.000000000000000000e+00,6.050175056789742101e+00
1.000000000000000000e+00,4.985286915580528166e+00
2.000000000000000000e+00,5.186003419439323636e+00
3.000000000000000000e+00,4.822100996714635102e+00
4.000000000000000000e+00,4.542121193541755808e+00
5.000000000000000000e+00,4.740510486109090316e+00
6.000000000000000000e+00,4.326153678324867080e+00
7.000000000000000000e+00,4.554736330812094280e+00
8.000000000000000000e+00,4.226957568460617765e+00
9.000000000000000000e+00,4.406465055234730421e+00
1.000000000000000000e+01,4.500885405709020404e+00
1.100000000000000000e+01,4.233129011794970253e+00
1.200000000000000000e+01,4.052291113871042683e+00
1.300000000000000000e+01,4.379856576217093789e+00
1.400000000000000000e+01,4.298815394580731031e+00
1.500000000000000000e+01,4.068344459803316937e+00
1.600000000000000000e+01,4.157717789712621403e+00
1.700000000000000000e+01,3.926422769920785871e+00
1.800000000000000000e+01,3.988497965537072698e+00
1.900000000000000000e+01,3.997809901512915154e+00
2.000000000000000000e+01,4.065280352421004828e+00
2.100000000000000000e+01,3.779471757945024546e+00
2.200000000000000000e+01,3.800851231672742525e+00
2.300000000000000000e+01,4.041161955705248054e+00
2.400000000000000000e+01,3.827314272958815877e+00
2.500000000000000000e+01,3.974632205222885961e+00
2.600000000000000000e+01,4.039978833508021339e+00
2.700000000000000000e+01,4.024147357661123969e+00
2.800000000000000000e+01,3.887130285060170554e+00
2.900000000000000000e+01,3.871320427593166080e+00
3.000000000000000000e+01,3.787932093525458122e+00
3.100000000000000000e+01,3.851139782937377021e+00
3.200000000000000000e+01,3.964840482151303913e+00
3.300000000000000000e+01,4.007669669820938196e+00
3.400000000000000000e+01,3.982079234214050523e+00
3.500000000000000000e+01,4.155198846895536313e+00
3.600000000000000000e+01,3.783513077359157872e+00
3.700000000000000000e+01,4.022540200113501996e+00
3.800000000000000000e+01,3.671904932571285141e+00
3.900000000000000000e+01,3.877943931884164641e+00
4.000000000000000000e+01,3.787627359043012731e+00
4.100000000000000000e+01,3.503266978127830278e+00
4.200000000000000000e+01,3.637606401254087185e+00
4.300000000000000000e+01,3.843310439054087091e+00
4.400000000000000000e+01,4.085144436462568862e+00
4.500000000000000000e+01,4.069259774227641735e+00
4.600000000000000000e+01,3.927339887915841654e+00
4.700000000000000000e+01,3.937600187542175778e+00
4.800000000000000000e+01,3.778193826626291774e+00
4.900000000000000000e+01,3.687977314067786949e+00
5.000000000000000000e+01,3.624036070678600563e+00
5.100000000000000000e+01,3.707202130435148124e+00
5.200000000000000000e+01,3.882386034328445756e+00
5.300000000000000000e+01,4.051330403445840389e+00
5.400000000000000000e+01,3.787595972217706386e+00
5.500000000000000000e+01,4.073811123829602643e+00
5.600000000000000000e+01,3.887547759529256020e+00
5.700000000000000000e+01,3.694152824535552604e+00
5.800000000000000000e+01,3.999102127412513141e+00
5.900000000000000000e+01,3.549498471962746038e+00
6.000000000000000000e+01,4.053445744388579186e+00
6.100000000000000000e+01,3.741042620643601602e+00
6.200000000000000000e+01,3.730048478927203703e+00
6.300000000000000000e+01,3.661818886317525390e+00
6.400000000000000000e+01,3.909662327662602355e+00
6.500000000000000000e+01,4.020291463481395766e+00
6.600000000000000000e+01,3.733730890733389263e+00
6.700000000000000000e+01,3.782769363909117999e+00
6.800000000000000000e+01,3.940751100454281897e+00
6.900000000000000000e+01,3.973634737023900687e+00
7.000000000000000000e+01,3.947351017200165568e+00
7.100000000000000000e+01,3.659424183484919713e+00
7.200000000000000000e+01,3.631559227785089661e+00
7.300000000000000000e+01,3.607749397647904477e+00
7.400000000000000000e+01,4.099288797357690584e+00
7.500000000000000000e+01,3.789624897297328765e+00
7.600000000000000000e+01,3.789224834733837088e+00
7.700000000000000000e+01,4.004203884374814670e+00
7.800000000000000000e+01,3.927682850409897064e+00
7.900000000000000000e+01,3.837635124451987956e+00
8.000000000000000000e+01,3.375684935560060662e+00
8.100000000000000000e+01,3.775000239270549063e+00
8.200000000000000000e+01,3.848517114315639809e+00
8.300000000000000000e+01,3.706116244266931758e+00
8.400000000000000000e+01,3.712029153707061990e+00
8.500000000000000000e+01,3.930826642185847319e+00
8.600000000000000000e+01,3.824700698876046356e+00
8.700000000000000000e+01,3.887031520944332907e+00
8.800000000000000000e+01,3.874780674626479016e+00
8.900000000000000000e+01,3.975917290499977330e+00
9.000000000000000000e+01,3.977727627674390476e+00
9.100000000000000000e+01,3.907356804986525933e+00
9.200000000000000000e+01,4.139866486615138896e+00
9.300000000000000000e+01,3.578189853282564226e+00
9.400000000000000000e+01,3.987601781118339073e+00
9.500000000000000000e+01,3.823646218584805023e+00
9.600000000000000000e+01,3.936045673593457472e+00
9.700000000000000000e+01,3.857604776973723837e+00
9.800000000000000000e+01,3.618090891455820746e+00
9.900000000000000000e+01,3.702813093754158569e+00
1.000000000000000000e+02,4.403059873204739461e+00
1.010000000000000000e+02,3.964238532333911991e+00
1.020000000000000000e+02,3.769698025387983709e+00
1.030000000000000000e+02,3.668866311321507201e+00
1.040000000000000000e+02,3.500396223770326554e+00
1.050000000000000000e+02,3.679312970149828388e+00
1.060000000000000000e+02,3.825820971902675449e+00
1.070000000000000000e+02,3.733337352392583242e+00
1.080000000000000000e+02,3.942861216234331501e+00
1.090000000000000000e+02,3.793099272550946477e+00
1.100000000000000000e+02,4.039595626083735347e+00
1.110000000000000000e+02,4.171784674225951228e+00
1.120000000000000000e+02,3.874244409844782133e+00
1.130000000000000000e+02,4.113073713340403614e+00
1.140000000000000000e+02,4.127666361995764532e+00
1.150000000000000000e+02,3.780177907983246932e+00
1.160000000000000000e+02,3.641356401755674099e+00
1.170000000000000000e+02,3.971338033451472516e+00
1.180000000000000000e+02,3.748576143186673093e+00
1.190000000000000000e+02,4.036438480329056944e+00
1.200000000000000000e+02,3.417751283653318595e+00
1.210000000000000000e+02,3.415044275667975526e+00
1.220000000000000000e+02,4.007051429215406912e+00
1.230000000000000000e+02,3.881100904328958823e+00
1.240000000000000000e+02,3.967387535173558355e+00
1.250000000000000000e+02,3.570390155024804724e+00
1.260000000000000000e+02,3.813260662206579887e+00
1.270000000000000000e+02,3.932910734538387576e+00
1.280000000000000000e+02,3.781106381443175124e+00
1.290000000000000000e+02,4.150025983652496642e+00
1.300000000000000000e+02,3.766273528498277123e+00
1.310000000000000000e+02,3.743510713296480663e+00
1.320000000000000000e+02,3.881764404163836613e+00
1.330000000000000000e+02,3.641498990459566709e+00
