position,nll
0.000000000000000000e+00,6.984623505541535771e+00
1.000000000000000000e+00,6.318232330435612276e+00
2.000000000000000000e+00,6.340458099177626039e+00
3.000000000000000000e+00,6.016591215329092357e+00
4.000000000000000000e+00,5.522474785710944190e+00
5.000000000000000000e+00,5.915185518245228202e+00
6.000000000000000000e+00,5.269767485974265142e+00
7.000000000000000000e+00,5.248326557581542318e+00
8.000000000000000000e+00,5.205899171949532445e+00
9.000000000000000000e+00,4.982361104543946873e+00
1.000000000000000000e+01,5.057911275415757579e+00
1.100000000000000000e+01,4.909253518637575198e+00
1.200000000000000000e+01,4.801930063376660840e+00
1.300000000000000000e+01,4.882766967599631691e+00
1.400000000000000000e+01,4.833477364175143620e+00
1.500000000000000000e+01,4.603394604846835492e+00
1.600000000000000000e+01,4.607717713989226027e+00
1.700000000000000000e+01,4.461166001448300555e+00
1.800000000000000000e+01,4.481808483702908852e+00
1.900000000000000000e+01,4.452538588130082964e+00
2.000000000000000000e+01,4.434070338947950773e+00
2.100000000000000000e+01,4.212216338146569150e+00
2.200000000000000000e+01,4.195735721743177216e+00
2.300000000000000000e+01,4.322689669938055701e+00
2.400000000000000000e+01,4.290410222305504284e+00
2.500000000000000000e+01,4.426371681833636273e+00
2.600000000000000000e+01,4.345504150115197639e+00
2.700000000000000000e+01,4.458796832103236518e+00
2.800000000000000000e+01,4.155858361592791539e+00
2.900000000000000000e+01,4.186416444047134533e+00
3.000000000000000000e+01,4.062106789542113461e+00
3.100000000000000000e+01,4.150221923120381184e+00
3.200000000000000000e+01,4.304745847905115497e+00
3.300000000000000000e+01,4.281083107532560383e+00
3.400000000000000000e+01,4.341500953607142499e+00
3.500000000000000000e+01,4.444099097765150219e+00
3.600000000000000000e+01,4.082572568378117772e+00
3.700000000000000000e+01,4.301074131393851196e+00
3.800000000000000000e+01,4.098063309857389314e+00
3.900000000000000000e+01,4.158623236997938122e+00
4.000000000000000000e+01,4.104974977185206875e+00
4.100000000000000000e+01,3.849970611463802594e+00
4.200000000000000000e+01,3.868994710673520743e+00
4.300000000000000000e+01,4.171605045856529692e+00
4.400000000000000000e+01,4.325993947759767089e+00
4.500000000000000000e+01,4.364570310328072189e+00
4.600000000000000000e+01,4.268512268851942792e+00
4.700000000000000000e+01,4.131752722987239501e+00
4.800000000000000000e+01,4.072936158847244137e+00
4.900000000000000000e+01,3.924655841930280609e+00
5.000000000000000000e+01,3.900006149678570289e+00
5.100000000000000000e+01,4.039151504185858776e+00
5.200000000000000000e+01,4.007117803986914417e+00
5.300000000000000000e+01,4.354047597620300358e+00
5.400000000000000000e+01,4.061842017131332305e+00
5.500000000000000000e+01,4.254916342397778273e+00
5.600000000000000000e+01,4.071630527661611154e+00
5.700000000000000000e+01,3.893709989659813964e+00
5.800000000000000000e+01,4.232541813685670284e+00
5.900000000000000000e+01,3.796796721245088602e+00
6.000000000000000000e+01,4.232410275413069023e+00
6.100000000000000000e+01,3.945013949069763104e+00
6.200000000000000000e+01,3.991048585970411011e+00
6.300000000000000000e+01,3.833752063984257941e+00
6.400000000000000000e+01,4.053569739257656401e+00
6.500000000000000000e+01,4.251866754777271495e+00
6.600000000000000000e+01,3.827021996163585182e+00
6.700000000000000000e+01,4.076290819011571642e+00
6.800000000000000000e+01,4.076880997947926133e+00
6.900000000000000000e+01,4.131861885164608950e+00
7.000000000000000000e+01,4.165190879668491775e+00
7.100000000000000000e+01,3.819182482863727301e+00
7.200000000000000000e+01,3.899264422181581313e+00
7.300000000000000000e+01,3.840726650294277178e+00
7.400000000000000000e+01,4.220094972570258562e+00
7.500000000000000000e+01,4.025837836393582947e+00
7.600000000000000000e+01,3.981693657185905177e+00
7.700000000000000000e+01,4.232064984578612687e+00
7.800000000000000000e+01,4.101640098184486938e+00
7.900000000000000000e+01,4.040353057759462629e+00
8.000000000000000000e+01,3.683336720557417898e+00
8.100000000000000000e+01,3.879238421464201281e+00
8.200000000000000000e+01,4.106134762140835726e+00
8.300000000000000000e+01,3.895499008598920732e+00
8.400000000000000000e+01,3.956773335324336838e+00
8.500000000000000000e+01,4.148115612206090930e+00
8.600000000000000000e+01,3.939856835230268750e+00
8.700000000000000000e+01,4.077069461925077576e+00
8.800000000000000000e+01,4.039704219284696585e+00
8.900000000000000000e+01,4.189385609703422553e+00
9.000000000000000000e+01,4.018967922627028955e+00
9.100000000000000000e+01,4.053115048132387876e+00
9.200000000000000000e+01,4.267421787923865395e+00
9.300000000000000000e+01,3.812416088243683721e+00
9.400000000000000000e+01,4.255584538662992244e+00
9.500000000000000000e+01,4.035690219701886683e+00
9.600000000000000000e+01,4.016794352432651927e+00
9.700000000000000000e+01,3.990510982884138080e+00
9.800000000000000000e+01,3.776911091763526240e+00
9.900000000000000000e+01,3.795300422805995222e+00
1.000000000000000000e+02,4.553488851021154638e+00
1.010000000000000000e+02,4.095934171456214301e+00
1.020000000000000000e+02,3.974139318488512984e+00
1.030000000000000000e+02,3.820180089267094292e+00
1.040000000000000000e+02,3.722714045962696172e+00
1.050000000000000000e+02,3.907621496250377469e+00
1.060000000000000000e+02,3.990168986021296327e+00
1.070000000000000000e+02,3.867275582364527509e+00
1.080000000000000000e+02,4.073777905300633329e+00
1.090000000000000000e+02,4.044892072849957110e+00
1.100000000000000000e+02,4.180617819989064010e+00
1.110000000000000000e+02,4.276935743430923864e+00
1.120000000000000000e+02,3.990699907216159747e+00
1.130000000000000000e+02,4.243679664931335971e+00
1.140000000000000000e+02,4.283109266372549406e+00
1.150000000000000000e+02,4.017388992431691896e+00
1.160000000000000000e+02,3.850466639128502511e+00
1.170000000000000000e+02,4.100917906269524238e+00
1.180000000000000000e+02,3.929202398629493942e+00
1.190000000000000000e+02,4.106837674523736936e+00
1.200000000000000000e+02,3.662290928228208564e+00
