position,nll
0.000000000000000000e+00,6.145469075978779117e+00
1.000000000000000000e+00,5.057727933803298548e+00
2.000000000000000000e+00,5.238376631832025510e+00
3.000000000000000000e+00,4.920897406070936064e+00
4.000000000000000000e+00,4.592415109449294874e+00
5.000000000000000000e+00,4.760003870835558537e+00
6.000000000000000000e+00,4.356892750656506941e+00
7.000000000000000000e+00,4.566007473380839343e+00
8.000000000000000000e+00,4.321481667770469492e+00
9.000000000000000000e+00,4.395806875650877465e+00
1.000000000000000000e+01,4.505031856442572646e+00
1.100000000000000000e+01,4.198325013604442546e+00
1.200000000000000000e+01,4.192693095245077828e+00
1.300000000000000000e+01,4.428276663569763905e+00
1.400000000000000000e+01,4.292578416684123432e+00
1.500000000000000000e+01,4.078426967858963081e+00
1.600000000000000000e+01,4.131104818736126560e+00
1.700000000000000000e+01,3.903503046174854330e+00
1.800000000000000000e+01,3.993050992278168287e+00
1.900000000000000000e+01,3.948205585918221239e+00
2.000000000000000000e+01,4.136158668226944002e+00
2.100000000000000000e+01,3.785811857955499793e+00
2.200000000000000000e+01,3.787350157955012619e+00
2.300000000000000000e+01,4.022142193508410735e+00
2.400000000000000000e+01,3.960668404339517057e+00
2.500000000000000000e+01,4.081685554634657542e+00
2.600000000000000000e+01,4.041533565739566569e+00
2.700000000000000000e+01,4.088473948388986479e+00
2.800000000000000000e+01,3.869970506673953370e+00
2.900000000000000000e+01,3.958821550294037372e+00
3.000000000000000000e+01,3.789812468851775140e+00
3.100000000000000000e+01,3.885060875179612516e+00
3.200000000000000000e+01,3.996502464909782226e+00
3.300000000000000000e+01,3.984704828884316097e+00
3.400000000000000000e+01,3.972406395321824490e+00
3.500000000000000000e+01,4.202186398424368363e+00
3.600000000000000000e+01,3.822946928792488208e+00
3.700000000000000000e+01,4.099441836888855661e+00
3.800000000000000000e+01,3.751825648344305097e+00
3.900000000000000000e+01,3.889658211287374545e+00
4.000000000000000000e+01,3.868374884412165926e+00
4.100000000000000000e+01,3.480978073324859423e+00
4.200000000000000000e+01,3.654046332632328919e+00
4.300000000000000000e+01,3.817161877102554612e+00
4.400000000000000000e+01,4.077492995797854292e+00
4.500000000000000000e+01,4.058366481954285732e+00
4.600000000000000000e+01,3.987249442817062839e+00
4.700000000000000000e+01,3.860850956844982917e+00
4.800000000000000000e+01,3.811815975793194866e+00
4.900000000000000000e+01,3.716966396368769132e+00
5.000000000000000000e+01,3.628904283372577755e+00
5.100000000000000000e+01,3.732062302294261613e+00
5.200000000000000000e+01,3.896562789178350528e+00
5.300000000000000000e+01,4.049222036939762681e+00
5.400000000000000000e+01,3.876345269065054389e+00
5.500000000000000000e+01,4.056476048457697381e+00
5.600000000000000000e+01,3.961163498624788559e+00
5.700000000000000000e+01,3.634382306419496000e+00
5.800000000000000000e+01,3.959916044910588351e+00
5.900000000000000000e+01,3.555935473859951568e+00
6.000000000000000000e+01,4.119732539852714481e+00
6.100000000000000000e+01,3.655520958508189366e+00
6.200000000000000000e+01,3.725184404764770196e+00
6.300000000000000000e+01,3.710580303942065061e+00
6.400000000000000000e+01,3.963399051329739908e+00
6.500000000000000000e+01,4.038018664561945137e+00
6.600000000000000000e+01,3.719727837131835635e+00
6.700000000000000000e+01,3.794031738846364465e+00
6.800000000000000000e+01,3.994223356551918069e+00
6.900000000000000000e+01,3.929462102019766423e+00
7.000000000000000000e+01,4.006341557820769950e+00
7.100000000000000000e+01,3.681368460042972579e+00
7.200000000000000000e+01,3.618520204597496459e+00
7.300000000000000000e+01,3.668624348169026828e+00
7.400000000000000000e+01,4.084929432542436345e+00
7.500000000000000000e+01,3.861704125176527391e+00
7.600000000000000000e+01,3.848869583814959139e+00
7.700000000000000000e+01,4.042469882989635721e+00
7.800000000000000000e+01,3.899622817490999704e+00
7.900000000000000000e+01,3.951474497060111890e+00
8.000000000000000000e+01,3.505406213163199780e+00
8.100000000000000000e+01,3.725984779886374554e+00
8.200000000000000000e+01,3.915284306797691460e+00
8.300000000000000000e+01,3.701871359101152947e+00
8.400000000000000000e+01,3.769757740489077413e+00
8.500000000000000000e+01,3.902350008359167344e+00
8.600000000000000000e+01,3.798008329154098917e+00
8.700000000000000000e+01,3.885684816388901730e+00
8.800000000000000000e+01,3.879761002637774236e+00
8.900000000000000000e+01,4.005517870144485570e+00
9.000000000000000000e+01,3.963353807886787816e+00
9.100000000000000000e+01,3.887263507153228215e+00
9.200000000000000000e+01,4.158424486002964215e+00
9.300000000000000000e+01,3.625565735387141775e+00
9.400000000000000000e+01,4.059149166550983345e+00
9.500000000000000000e+01,3.959573748818831174e+00
9.600000000000000000e+01,3.954525682851476098e+00
9.700000000000000000e+01,3.802985688803909969e+00
9.800000000000000000e+01,3.659541728368962410e+00
9.900000000000000000e+01,3.705282241018053924e+00
1.000000000000000000e+02,4.375508083236121060e+00
1.010000000000000000e+02,3.985022777271243211e+00
1.020000000000000000e+02,3.766707502765610727e+00
1.030000000000000000e+02,3.539521733539743753e+00
1.040000000000000000e+02,3.578986341748329192e+00
1.050000000000000000e+02,3.753964394171336760e+00
1.060000000000000000e+02,3.843238893531971012e+00
1.070000000000000000e+02,3.697890760256769660e+00
1.080000000000000000e+02,3.996055055113096888e+00
1.090000000000000000e+02,3.857574570700850636e+00
1.100000000000000000e+02,3.990419660211964370e+00
1.110000000000000000e+02,4.158933348414581843e+00
1.120000000000000000e+02,3.880955836575499251e+00
1.130000000000000000e+02,4.141356610486782053e+00
1.140000000000000000e+02,4.127202977149744711e+00
1.150000000000000000e+02,3.906774160836357535e+00
1.160000000000000000e+02,3.694637384813958203e+00
1.170000000000000000e+02,3.995654974379270197e+00
1.180000000000000000e+02,3.766775603334469036e+00
1.190000000000000000e+02,4.003535870989125556e+00
1.200000000000000000e+02,3.495100010025098403e+00
1.210000000000000000e+02,3.433763139733670755e+00
1.220000000000000000e+02,4.067344310417576381e+00
1.230000000000000000e+02,3.835911023350663474e+00
1.240000000000000000e+02,3.970830518901529604e+00
1.250000000000000000e+02,3.586686884852595902e+00
1.260000000000000000e+02,3.895828695038713096e+00
1.270000000000000000e+02,3.912324688468723721e+00
1.280000000000000000e+02,3.826515210532336564e+00
1.290000000000000000e+02,4.152321711594246345e+00
1.300000000000000000e+02,3.813367549377993715e+00
1.310000000000000000e+02,3.773600186069198337e+00
1.320000000000000000e+02,3.881196389623490894e+00
1.330000000000000000e+02,3.644694484138619739e+00
1.340000000000000000e+02,3.937804101893370934e+00
1.350000000000000000e+02,3.934693739038573668e+00
1.360000000000000000e+02,3.571187605980791435e+00
1.370000000000000000e+02,3.692379557143144808e+00
1.380000000000000000e+02,4.095008493454833420e+00
1.390000000000000000e+02,3.477919058916712380e+00
1.400000000000000000e+02,3.989676809067013608e+00
1.410000000000000000e+02,3.836779076848467973e+00
1.420000000000000000e+02,3.496803300654257818e+00
1.430000000000000000e+02,4.000217386374639084e+00
1.440000000000000000e+02,3.635155521141967494e+00
1.450000000000000000e+02,3.759671040869329239e+00
1.460000000000000000e+02,3.653856877942181391e+00
1.470000000000000000e+02,4.195874672243656178e+00
1.480000000000000000e+02,3.853552054227868950e+00
1.490000000000000000e+02,3.924714024633192633e+00
1.500000000000000000e+02,3.572905254289417076e+00
1.510000000000000000e+02,3.738403518467420472e+00
1.520000000000000000e+02,4.030752199267142899e+00
1.530000000000000000e+02,4.077404489824844269e+00
1.540000000000000000e+02,3.794804785996637175e+00
1.550000000000000000e+02,3.179807501277895021e+00
1.560000000000000000e+02,3.444636373485099767e+00
1.570000000000000000e+02,3.971119308548256122e+00
1.580000000000000000e+02,3.736971827233153132e+00
1.590000000000000000e+02,4.077233991075680741e+00
1.600000000000000000e+02,3.480440686565652531e+00
1.610000000000000000e+02,3.667381486536229751e+00
1.620000000000000000e+02,4.040889421861630915e+00
1.630000000000000000e+02,3.934877773117865463e+00
1.640000000000000000e+02,4.034343908361211817e+00
1.650000000000000000e+02,3.886559552244114979e+00
1.660000000000000000e+02,3.791358631176382055e+00
1.670000000000000000e+02,3.825939741330214083e+00
1.680000000000000000e+02,3.509885821698188746e+00
1.690000000000000000e+02,3.637524853682246206e+00
1.700000000000000000e+02,3.906101519981565851e+00
1.710000000000000000e+02,3.834777654299919902e+00
1.720000000000000000e+02,4.069285563387088800e+00
1.730000000000000000e+02,3.764379355222746248e+00
1.740000000000000000e+02,3.601360079727103258e+00
1.750000000000000000e+02,3.717092006922924519e+00
1.760000000000000000e+02,3.554442062944129788e+00
1.770000000000000000e+02,3.587439603285127454e+00
1.780000000000000000e+02,3.759928988181741705e+00
1.790000000000000000e+02,3.947688400251795571e+00
1.800000000000000000e+02,3.769984510679467604e+00
1.810000000000000000e+02,3.452544025212672452e+00
1.820000000000000000e+02,3.823458436490074774e+00
1.830000000000000000e+02,3.808513961016910532e+00
1.840000000000000000e+02,3.943060622470917043e+00
1.850000000000000000e+02,3.738959678078187743e+00
1.860000000000000000e+02,3.601058382507400069e+00
1.870000000000000000e+02,3.627834843400270515e+00
1.880000000000000000e+02,3.685777531162960585e+00
1.890000000000000000e+02,3.555774344674399234e+00
1.900000000000000000e+02,3.675598435551591159e+00
1.910000000000000000e+02,3.696509744145543230e+00
1.920000000000000000e+02,3.615207819176546433e+00
1.930000000000000000e+02,3.919374194535566236e+00
1.940000000000000000e+02,3.484962294013912221e+00
1.950000000000000000e+02,3.456460986293975690e+00
1.960000000000000000e+02,3.795218564648172421e+00
1.970000000000000000e+02,3.769618289494759633e+00
1.980000000000000000e+02,3.881493605746025199e+00
1.990000000000000000e+02,3.916793438821189355e+00
2.000000000000000000e+02,3.926419841809452027e+00
2.010000000000000000e+02,3.700963631295145717e+00
2.020000000000000000e+02,3.870358274307972302e+00
2.030000000000000000e+02,3.628602484433690378e+00
2.040000000000000000e+02,4.091022816800680140e+00
2.050000000000000000e+02,4.212725572266184493e+00
2.060000000000000000e+02,3.867306213486452204e+00
2.070000000000000000e+02,3.704775206806480536e+00
2.080000000000000000e+02,4.215285922808601704e+00
2.090000000000000000e+02,3.764350175885043281e+00
2.100000000000000000e+02,3.518875038866712046e+00
2.110000000000000000e+02,3.671996860389525885e+00
2.120000000000000000e+02,3.840944750865820101e+00
2.130000000000000000e+02,3.753869937636534537e+00
2.140000000000000000e+02,3.891371087904553772e+00
2.150000000000000000e+02,3.514538832354768605e+00
2.160000000000000000e+02,3.735325560527178457e+00
2.170000000000000000e+02,3.774954338830162737e+00
2.180000000000000000e+02,3.943155115887858386e+00
2.190000000000000000e+02,3.992989521550771137e+00
2.200000000000000000e+02,3.651425237147307712e+00
2.210000000000000000e+02,3.667381946810761573e+00
2.220000000000000000e+02,3.936258249512929019e+00
2.230000000000000000e+02,3.672952743813393983e+00
