position,nll
0.000000000000000000e+00,6.673026625655198885e+00
1.000000000000000000e+00,5.405521525462206434e+00
2.000000000000000000e+00,5.487451389088834119e+00
3.000000000000000000e+00,4.816318715971551256e+00
4.000000000000000000e+00,4.560523379410273748e+00
5.000000000000000000e+00,4.898925390904830479e+00
6.000000000000000000e+00,4.569194700078744731e+00
7.000000000000000000e+00,4.716835194402128728e+00
8.000000000000000000e+00,3.862919532914498522e+00
9.000000000000000000e+00,4.729985955908456496e+00
1.000000000000000000e+01,4.702219022966777295e+00
1.100000000000000000e+01,4.402887878409512901e+00
1.200000000000000000e+01,4.580517141099431200e+00
1.300000000000000000e+01,4.092118422750469442e+00
1.400000000000000000e+01,3.870872045646568615e+00
1.500000000000000000e+01,4.147263612880028205e+00
1.600000000000000000e+01,4.110592876797262818e+00
1.700000000000000000e+01,3.939225914704270082e+00
1.800000000000000000e+01,3.868389438116297985e+00
1.900000000000000000e+01,3.751678695873507330e+00
2.000000000000000000e+01,4.475518503057227093e+00
2.100000000000000000e+01,4.018214428127018678e+00
2.200000000000000000e+01,3.948098408504320922e+00
2.300000000000000000e+01,4.140334719185423396e+00
2.400000000000000000e+01,3.640480063458916504e+00
2.500000000000000000e+01,4.014788044386812693e+00
2.600000000000000000e+01,3.871315793416119533e+00
2.700000000000000000e+01,4.064455269035151197e+00
2.800000000000000000e+01,3.841923064993399972e+00
2.900000000000000000e+01,4.160812943643960260e+00
3.000000000000000000e+01,3.657959024498459666e+00
3.100000000000000000e+01,4.226678598280015464e+00
3.200000000000000000e+01,3.905653119680401186e+00
3.300000000000000000e+01,4.008277356109571699e+00
3.400000000000000000e+01,4.213534311096162277e+00
3.500000000000000000e+01,4.354399770633646582e+00
3.600000000000000000e+01,3.587076297163883432e+00
3.700000000000000000e+01,4.160781620905637190e+00
3.800000000000000000e+01,3.895401875726651753e+00
3.900000000000000000e+01,3.687465765127470707e+00
4.000000000000000000e+01,3.782596743660082694e+00
4.100000000000000000e+01,3.370563704388156001e+00
4.200000000000000000e+01,3.522523277133969621e+00
4.300000000000000000e+01,3.961649815375781536e+00
4.400000000000000000e+01,3.670113174177362936e+00
4.500000000000000000e+01,4.078647627520407326e+00
4.600000000000000000e+01,4.079859302644212704e+00
4.700000000000000000e+01,3.714552158977312502e+00
4.800000000000000000e+01,4.187674339408897772e+00
4.900000000000000000e+01,3.684798792003723289e+00
5.000000000000000000e+01,3.863700978095086835e+00
5.100000000000000000e+01,3.699775995961365194e+00
5.200000000000000000e+01,3.852161527657412154e+00
5.300000000000000000e+01,3.613186893212657846e+00
5.400000000000000000e+01,3.841594231225407441e+00
5.500000000000000000e+01,4.399648568617473998e+00
5.600000000000000000e+01,4.299842413335251301e+00
5.700000000000000000e+01,3.733694279670951133e+00
5.800000000000000000e+01,3.873643713852704451e+00
5.900000000000000000e+01,3.611907412446606180e+00
6.000000000000000000e+01,4.022337780009700658e+00
6.100000000000000000e+01,3.995574177501446833e+00
6.200000000000000000e+01,3.601471997404036784e+00
6.300000000000000000e+01,3.704611512792924000e+00
6.400000000000000000e+01,3.987672135630897063e+00
6.500000000000000000e+01,3.875190448556550926e+00
6.600000000000000000e+01,3.955279375562105404e+00
6.700000000000000000e+01,3.784079647541530811e+00
6.800000000000000000e+01,3.857733068894671380e+00
6.900000000000000000e+01,4.066580757057492335e+00
7.000000000000000000e+01,3.769842451140376305e+00
7.100000000000000000e+01,3.864888674340124286e+00
7.200000000000000000e+01,3.531652336378484414e+00
7.300000000000000000e+01,3.670441364678385554e+00
7.400000000000000000e+01,4.069924524553291789e+00
7.500000000000000000e+01,3.613177142887228577e+00
7.600000000000000000e+01,3.748440300618408383e+00
7.700000000000000000e+01,3.964003333885844249e+00
7.800000000000000000e+01,4.022025401198525252e+00
7.900000000000000000e+01,4.122286847691468026e+00
8.000000000000000000e+01,3.476129881842815905e+00
8.100000000000000000e+01,3.759171474003539348e+00
8.200000000000000000e+01,3.547163126365328267e+00
8.300000000000000000e+01,3.776768805618446745e+00
8.400000000000000000e+01,3.915541250539382734e+00
8.500000000000000000e+01,3.892602918074245189e+00
8.600000000000000000e+01,3.872488733499362734e+00
8.700000000000000000e+01,4.230239725451132138e+00
8.800000000000000000e+01,3.762801490897369039e+00
8.900000000000000000e+01,4.312859082681902656e+00
9.000000000000000000e+01,4.075667652447009459e+00
9.100000000000000000e+01,3.720222466309869969e+00
9.200000000000000000e+01,4.230271358077677846e+00
9.300000000000000000e+01,3.392346668536782239e+00
9.400000000000000000e+01,3.890412136639401552e+00
9.500000000000000000e+01,3.690073633175032786e+00
9.600000000000000000e+01,3.868534531611957039e+00
9.700000000000000000e+01,4.061519971366100101e+00
9.800000000000000000e+01,3.557007995899287955e+00
9.900000000000000000e+01,3.865239348183087120e+00
1.000000000000000000e+02,4.749881678672241314e+00
1.010000000000000000e+02,3.869725369866551468e+00
1.020000000000000000e+02,4.100499245850236285e+00
1.030000000000000000e+02,3.605343598561471463e+00
1.040000000000000000e+02,3.545177233862551791e+00
1.050000000000000000e+02,3.476002468095525710e+00
1.060000000000000000e+02,3.758481015406830661e+00
1.070000000000000000e+02,3.504723030523564375e+00
1.080000000000000000e+02,3.895072839876535742e+00
1.090000000000000000e+02,3.743606618961728749e+00
1.100000000000000000e+02,4.064850719949390623e+00
1.110000000000000000e+02,4.397801886975206465e+00
1.120000000000000000e+02,3.792567379418055662e+00
1.130000000000000000e+02,4.099857629233539136e+00
1.140000000000000000e+02,4.235557850960443460e+00
1.150000000000000000e+02,3.735583514049243270e+00
1.160000000000000000e+02,3.716826703674134702e+00
1.170000000000000000e+02,4.342370857311930621e+00
1.180000000000000000e+02,4.280867131686541427e+00
1.190000000000000000e+02,4.353721460358141115e+00
1.200000000000000000e+02,3.642420238147217937e+00
1.210000000000000000e+02,3.771496100002542651e+00
1.220000000000000000e+02,4.120075873856547055e+00
1.230000000000000000e+02,4.139224028344774098e+00
1.240000000000000000e+02,4.054321268838401160e+00
1.250000000000000000e+02,3.682038098891529110e+00
1.260000000000000000e+02,3.861839848317446755e+00
1.270000000000000000e+02,3.764295563885848406e+00
1.280000000000000000e+02,3.897426551848734544e+00
1.290000000000000000e+02,4.300157941187774391e+00
1.300000000000000000e+02,4.201715805004105242e+00
1.310000000000000000e+02,4.034872135602390664e+00
1.320000000000000000e+02,3.839633237710251112e+00
1.330000000000000000e+02,3.804869626269991034e+00
1.340000000000000000e+02,4.047029181326538883e+00
1.350000000000000000e+02,4.088825706884994027e+00
1.360000000000000000e+02,3.738252143154615847e+00
1.370000000000000000e+02,3.690975188668517148e+00
1.380000000000000000e+02,4.021054037112710589e+00
1.390000000000000000e+02,3.756595728572464044e+00
1.400000000000000000e+02,4.164191031410346078e+00
1.410000000000000000e+02,3.838727345012689085e+00
1.420000000000000000e+02,4.041985135563950671e+00
1.430000000000000000e+02,4.019314792110531442e+00
1.440000000000000000e+02,3.793508401265984986e+00
1.450000000000000000e+02,3.655548709781692995e+00
1.460000000000000000e+02,3.633166268408743793e+00
1.470000000000000000e+02,4.118008495671777958e+00
1.480000000000000000e+02,3.790006990883882931e+00
1.490000000000000000e+02,3.831963283140028320e+00
1.500000000000000000e+02,3.629613253627991476e+00
1.510000000000000000e+02,3.786175419103193551e+00
1.520000000000000000e+02,3.877892516534254597e+00
1.530000000000000000e+02,4.355733971248570313e+00
1.540000000000000000e+02,3.756216512911853211e+00
1.550000000000000000e+02,3.170767549225657511e+00
1.560000000000000000e+02,3.691359444330732487e+00
1.570000000000000000e+02,4.011904918156161237e+00
1.580000000000000000e+02,3.813672098452163706e+00
1.590000000000000000e+02,4.242067881434003596e+00
1.600000000000000000e+02,3.583211353686668765e+00
1.610000000000000000e+02,3.655256044800089921e+00
1.620000000000000000e+02,4.057100302571932993e+00
1.630000000000000000e+02,4.099130666900308917e+00
1.640000000000000000e+02,4.447249217728863613e+00
1.650000000000000000e+02,4.151780475024727579e+00
1.660000000000000000e+02,3.896496151494303284e+00
1.670000000000000000e+02,3.697919862769502242e+00
1.680000000000000000e+02,3.473111567964415780e+00
1.690000000000000000e+02,3.572206789846437580e+00
1.700000000000000000e+02,4.190778326802261589e+00
1.710000000000000000e+02,3.701680587798411803e+00
1.720000000000000000e+02,3.918903125727649872e+00
1.730000000000000000e+02,3.850126119784315293e+00
1.740000000000000000e+02,3.560823701418580622e+00
1.750000000000000000e+02,3.778223591585054386e+00
1.760000000000000000e+02,3.741668991732550964e+00
1.770000000000000000e+02,3.829606574651398976e+00
1.780000000000000000e+02,3.522996269896488286e+00
1.790000000000000000e+02,4.032801683740169452e+00
1.800000000000000000e+02,3.808101236376578935e+00
1.810000000000000000e+02,3.733816355426202271e+00
1.820000000000000000e+02,4.088627381895572732e+00
1.830000000000000000e+02,4.008492199883963103e+00
1.840000000000000000e+02,3.992671581083222065e+00
1.850000000000000000e+02,3.868175095870882263e+00
1.860000000000000000e+02,3.869794170593769511e+00
1.870000000000000000e+02,3.497512654661764309e+00
1.880000000000000000e+02,3.775716749905481340e+00
1.890000000000000000e+02,3.516115006918736796e+00
1.900000000000000000e+02,3.737135006547771532e+00
1.910000000000000000e+02,3.664785025873386726e+00
1.920000000000000000e+02,3.496698545382322720e+00
1.930000000000000000e+02,4.090065148101003523e+00
1.940000000000000000e+02,3.648643579242975221e+00
1.950000000000000000e+02,3.217188950020499760e+00
1.960000000000000000e+02,3.892646876934936273e+00
1.970000000000000000e+02,4.205186009720531359e+00
1.980000000000000000e+02,3.860358428540549447e+00
1.990000000000000000e+02,3.906244285165723973e+00
2.000000000000000000e+02,3.971751319930741264e+00
2.010000000000000000e+02,3.896788065462658324e+00
2.020000000000000000e+02,4.015099548762296244e+00
2.030000000000000000e+02,3.563173963409338452e+00
2.040000000000000000e+02,3.854908754446377372e+00
2.050000000000000000e+02,4.351530930552168108e+00
2.060000000000000000e+02,4.193008050426693778e+00
2.070000000000000000e+02,3.772838774939971440e+00
2.080000000000000000e+02,4.075239758302766191e+00
2.090000000000000000e+02,3.767717281122797246e+00
2.100000000000000000e+02,3.255243336976203938e+00
2.110000000000000000e+02,3.623314928574442817e+00
2.120000000000000000e+02,4.113629941960976311e+00
2.130000000000000000e+02,4.192339259832039922e+00
2.140000000000000000e+02,3.780434515763772652e+00
2.150000000000000000e+02,3.622953802093194842e+00
2.160000000000000000e+02,3.699369938739293318e+00
2.170000000000000000e+02,3.892612424516731728e+00
2.180000000000000000e+02,4.212573260551691234e+00
2.190000000000000000e+02,4.086099461591850890e+00
2.200000000000000000e+02,3.359753505092420767e+00
2.210000000000000000e+02,3.935678877187839042e+00
2.220000000000000000e+02,3.733831879364323925e+00
2.230000000000000000e+02,3.288733467304603586e+00
2.240000000000000000e+02,3.771438041774839878e+00
2.250000000000000000e+02,3.830943765706777970e+00
2.260000000000000000e+02,3.811104696901685518e+00
2.270000000000000000e+02,3.670566333652315549e+00
2.280000000000000000e+02,3.952438061984522299e+00
2.290000000000000000e+02,3.521520417025124861e+00
2.300000000000000000e+02,3.643097624712170468e+00
2.310000000000000000e+02,4.038479923437977348e+00
2.320000000000000000e+02,3.985365005665530980e+00
2.330000000000000000e+02,4.219552964539867723e+00
2.340000000000000000e+02,3.903353613746299633e+00
2.350000000000000000e+02,3.920938228467045761e+00
2.360000000000000000e+02,3.733187254375814668e+00
2.370000000000000000e+02,3.483876687596707988e+00
2.380000000000000000e+02,4.213305344210407810e+00
2.390000000000000000e+02,3.719998940867855541e+00
2.400000000000000000e+02,3.647773130486233306e+00
2.410000000000000000e+02,4.218423965245069240e+00
2.420000000000000000e+02,3.702314732219268656e+00
2.430000000000000000e+02,3.743025501727605509e+00
2.440000000000000000e+02,3.565991178344132262e+00
2.450000000000000000e+02,3.493974187597335579e+00
2.460000000000000000e+02,3.769724116157153304e+00
2.470000000000000000e+02,3.771720342963721606e+00
2.480000000000000000e+02,3.798411351272941161e+00
2.490000000000000000e+02,4.496161224547461366e+00
2.500000000000000000e+02,3.916322856820395160e+00
2.510000000000000000e+02,4.155895304921278566e+00
2.520000000000000000e+02,3.460913001074465090e+00
2.530000000000000000e+02,4.111020680090812007e+00
2.540000000000000000e+02,3.654675828862117726e+00
2.550000000000000000e+02,3.968295284352375329e+00
2.560000000000000000e+02,3.650761294264755374e+00
2.570000000000000000e+02,3.950255020983221232e+00
2.580000000000000000e+02,4.198300810331650368e+00
2.590000000000000000e+02,3.611150144502971671e+00
2.600000000000000000e+02,3.571188743433116208e+00
2.610000000000000000e+02,3.716179423376065216e+00
2.620000000000000000e+02,3.879045546822453616e+00
2.630000000000000000e+02,4.137794312255879348e+00
2.640000000000000000e+02,4.087887656256354418e+00
2.650000000000000000e+02,3.672945283533480154e+00
2.660000000000000000e+02,3.810642930826074082e+00
2.670000000000000000e+02,3.906236296327972646e+00
2.680000000000000000e+02,3.431059242212696425e+00
2.690000000000000000e+02,3.719571360153790085e+00
2.700000000000000000e+02,3.786188757380123615e+00
2.710000000000000000e+02,3.930076218785296227e+00
2.720000000000000000e+02,3.868049383729349255e+00
2.730000000000000000e+02,3.625679241356773108e+00
2.740000000000000000e+02,3.804845600303164321e+00
2.750000000000000000e+02,3.722447021171702453e+00
2.760000000000000000e+02,3.854608823509471538e+00
2.770000000000000000e+02,3.994948916210264933e+00
2.780000000000000000e+02,3.886823886659265703e+00
2.790000000000000000e+02,4.191427419928291265e+00
2.800000000000000000e+02,4.003657295386227055e+00
2.810000000000000000e+02,4.304334369561860996e+00
2.820000000000000000e+02,3.787151420063310070e+00
2.830000000000000000e+02,3.864729633231969164e+00
2.840000000000000000e+02,3.991952766819969245e+00
2.850000000000000000e+02,3.779467926639247022e+00
2.860000000000000000e+02,3.902472362049330012e+00
2.870000000000000000e+02,4.005463491682719201e+00
2.880000000000000000e+02,4.232559503532719702e+00
2.890000000000000000e+02,3.633156031745185643e+00
2.900000000000000000e+02,3.485047036436873302e+00
2.910000000000000000e+02,3.661659649463361088e+00
2.920000000000000000e+02,3.664239284264561469e+00
2.930000000000000000e+02,3.701970926335889089e+00
2.940000000000000000e+02,4.280875490537900951e+00
2.950000000000000000e+02,3.716353941567687613e+00
2.960000000000000000e+02,4.164312281965581342e+00
2.970000000000000000e+02,3.865288443297781651e+00
2.980000000000000000e+02,4.181600892994442376e+00
2.990000000000000000e+02,4.194414987443403575e+00
3.000000000000000000e+02,3.662113603025662023e+00
3.010000000000000000e+02,3.715480111208535163e+00
3.020000000000000000e+02,3.811974734434682155e+00
3.030000000000000000e+02,3.918938369487142470e+00
3.040000000000000000e+02,4.103335034679490789e+00
3.050000000000000000e+02,3.864456957901749590e+00
3.060000000000000000e+02,4.132817781649703370e+00
3.070000000000000000e+02,4.238091705670261611e+00
3.080000000000000000e+02,3.408750241386147017e+00
3.090000000000000000e+02,3.918868635888525187e+00
3.100000000000000000e+02,4.041176738578973193e+00
3.110000000000000000e+02,4.000357479340412858e+00
3.120000000000000000e+02,3.872487032760737247e+00
3.130000000000000000e+02,3.863769956410219475e+00
3.140000000000000000e+02,3.988558949340394122e+00
3.150000000000000000e+02,3.493324233568847692e+00
3.160000000000000000e+02,4.068155764453733170e+00
3.170000000000000000e+02,3.689272733723842457e+00
3.180000000000000000e+02,3.549997669833948155e+00
3.190000000000000000e+02,3.781691370745791314e+00
3.200000000000000000e+02,4.141174220907966053e+00
3.210000000000000000e+02,4.544362043762080638e+00
3.220000000000000000e+02,4.034847575635395422e+00
3.230000000000000000e+02,3.533360706290726405e+00
3.240000000000000000e+02,4.005656691697558891e+00
3.250000000000000000e+02,4.038580360707112682e+00
3.260000000000000000e+02,4.157167403544486994e+00
3.270000000000000000e+02,3.933928941810431734e+00
3.280000000000000000e+02,3.837749823221153989e+00
3.290000000000000000e+02,3.810964777929771508e+00
3.300000000000000000e+02,4.360830586325487701e+00
3.310000000000000000e+02,4.353112675651597208e+00
3.320000000000000000e+02,4.059039454627628274e+00
3.330000000000000000e+02,3.620005225447177732e+00
3.340000000000000000e+02,3.823232744794040627e+00
3.350000000000000000e+02,3.789280753766529397e+00
3.360000000000000000e+02,4.066533529487633913e+00
3.370000000000000000e+02,4.239484319673992196e+00
3.380000000000000000e+02,4.087349226059047602e+00
3.390000000000000000e+02,3.612735293900808831e+00
3.400000000000000000e+02,3.674767796303058276e+00
3.410000000000000000e+02,4.242764783736722833e+00
3.420000000000000000e+02,3.958076131117099550e+00
3.430000000000000000e+02,4.258732518152100965e+00
3.440000000000000000e+02,4.105048932283352769e+00
3.450000000000000000e+02,3.872582310502749259e+00
3.460000000000000000e+02,3.222489149703074762e+00
3.470000000000000000e+02,4.056753640212216183e+00
3.480000000000000000e+02,3.695169388629820695e+00
3.490000000000000000e+02,3.573705796151228409e+00
3.500000000000000000e+02,3.688242898436400186e+00
3.510000000000000000e+02,3.758602385664241652e+00
3.520000000000000000e+02,3.719897057680339181e+00
3.530000000000000000e+02,3.876883461935090036e+00
3.540000000000000000e+02,3.374802903569568358e+00
3.550000000000000000e+02,4.098908289731878263e+00
3.560000000000000000e+02,3.897858144809919878e+00
3.570000000000000000e+02,3.726746119258270706e+00
3.580000000000000000e+02,3.823879585929190306e+00
3.590000000000000000e+02,3.362424051078721110e+00
3.600000000000000000e+02,3.989914521855959961e+00
3.610000000000000000e+02,3.711902927573885513e+00
3.620000000000000000e+02,3.471544237715342263e+00
3.630000000000000000e+02,3.888278039157739840e+00
3.640000000000000000e+02,4.102149356763651333e+00
3.650000000000000000e+02,3.657245143015882327e+00
3.660000000000000000e+02,3.700352122315004877e+00
3.670000000000000000e+02,3.287524532570195390e+00
3.680000000000000000e+02,3.815588184354917090e+00
3.690000000000000000e+02,3.677348491970692912e+00
3.700000000000000000e+02,4.028014803315080883e+00
