position,nll
0.000000000000000000e+00,3.060957803589971160e+00
1.000000000000000000e+00,2.640167057359498859e+00
2.000000000000000000e+00,2.156533242486055713e+00
3.000000000000000000e+00,1.911806317229948871e+00
4.000000000000000000e+00,1.696175021358079071e+00
5.000000000000000000e+00,1.507509937216613638e+00
6.000000000000000000e+00,1.455551784970026130e+00
7.000000000000000000e+00,1.446500659500977282e+00
8.000000000000000000e+00,1.358359335626110109e+00
9.000000000000000000e+00,1.355548592834109778e+00
1.000000000000000000e+01,1.433384859778493281e+00
1.100000000000000000e+01,1.401097096579121848e+00
1.200000000000000000e+01,1.306562941929289234e+00
1.300000000000000000e+01,1.328850127271247406e+00
1.400000000000000000e+01,1.375051094237135230e+00
1.500000000000000000e+01,1.265837681317056873e+00
1.600000000000000000e+01,1.312932546181078575e+00
1.700000000000000000e+01,1.264263714002299865e+00
1.800000000000000000e+01,1.263460282096675158e+00
1.900000000000000000e+01,1.325212327033242099e+00
2.000000000000000000e+01,1.400005751486754768e+00
2.100000000000000000e+01,1.342323959817297352e+00
2.200000000000000000e+01,1.301795535881444810e+00
2.300000000000000000e+01,1.287167211434888436e+00
2.400000000000000000e+01,1.272434046557422427e+00
2.500000000000000000e+01,1.247549574124554361e+00
2.600000000000000000e+01,1.290637094537737894e+00
2.700000000000000000e+01,1.257575487389106961e+00
2.800000000000000000e+01,1.291585790794303357e+00
2.900000000000000000e+01,1.311103612213592617e+00
3.000000000000000000e+01,1.283718983718510342e+00
3.100000000000000000e+01,1.330972349642025376e+00
3.200000000000000000e+01,1.267485870329523978e+00
3.300000000000000000e+01,1.293038732701479399e+00
3.400000000000000000e+01,1.261111151199364677e+00
3.500000000000000000e+01,1.256836697313925333e+00
3.600000000000000000e+01,1.258043105990536370e+00
3.700000000000000000e+01,1.271244923483400013e+00
3.800000000000000000e+01,1.242991713864812775e+00
3.900000000000000000e+01,1.271287204690666917e+00
4.000000000000000000e+01,1.219913897971121930e+00
4.100000000000000000e+01,1.247091154640546540e+00
4.200000000000000000e+01,1.262260120171592170e+00
4.300000000000000000e+01,1.175276403926724722e+00
4.400000000000000000e+01,1.276238792335425476e+00
4.500000000000000000e+01,1.368045418256701451e+00
4.600000000000000000e+01,1.246799475027746462e+00
4.700000000000000000e+01,1.314666895447732964e+00
4.800000000000000000e+01,1.333698623911061309e+00
4.900000000000000000e+01,1.234699782921270028e+00
5.000000000000000000e+01,1.277141617389622841e+00
5.100000000000000000e+01,1.301551738522586987e+00
5.200000000000000000e+01,1.281327894343556872e+00
5.300000000000000000e+01,1.184512520140137415e+00
5.400000000000000000e+01,1.254432785350894974e+00
5.500000000000000000e+01,1.243901733783691288e+00
5.600000000000000000e+01,1.257267547891053994e+00
5.700000000000000000e+01,1.259913704681368207e+00
5.800000000000000000e+01,1.251617798497494327e+00
5.900000000000000000e+01,1.207938022138096423e+00
6.000000000000000000e+01,1.230126857620565728e+00
6.100000000000000000e+01,1.219231880316316907e+00
6.200000000000000000e+01,1.231651914150103444e+00
6.300000000000000000e+01,1.156218466703142100e+00
6.400000000000000000e+01,1.212944404768256934e+00
6.500000000000000000e+01,1.180021761670954517e+00
6.600000000000000000e+01,1.124622402752756267e+00
6.700000000000000000e+01,1.174788233977367424e+00
6.800000000000000000e+01,1.215676864798672874e+00
6.900000000000000000e+01,1.262484865712955484e+00
7.000000000000000000e+01,1.284450529672128694e+00
7.100000000000000000e+01,1.289899700670419591e+00
7.200000000000000000e+01,1.225249500196806673e+00
7.300000000000000000e+01,1.244907519228044990e+00
7.400000000000000000e+01,1.240009061853567296e+00
7.500000000000000000e+01,1.171476413169792341e+00
7.600000000000000000e+01,1.250497421642702722e+00
7.700000000000000000e+01,1.317391125501993887e+00
7.800000000000000000e+01,1.176357282315922070e+00
7.900000000000000000e+01,1.242138780390495523e+00
8.000000000000000000e+01,1.226263266423692988e+00
8.100000000000000000e+01,1.238377649675480807e+00
8.200000000000000000e+01,1.176177630511230143e+00
8.300000000000000000e+01,1.162636326198197345e+00
8.400000000000000000e+01,1.218227218355271146e+00
8.500000000000000000e+01,1.167511429513418575e+00
8.600000000000000000e+01,1.293300105535678535e+00
8.700000000000000000e+01,1.276167962191992356e+00
8.800000000000000000e+01,1.261102564034808804e+00
8.900000000000000000e+01,1.301053463477782390e+00
9.000000000000000000e+01,1.235347167618237929e+00
9.100000000000000000e+01,1.235746626222108180e+00
9.200000000000000000e+01,1.290914448320010566e+00
9.300000000000000000e+01,1.264735142751103103e+00
9.400000000000000000e+01,1.201390026121452292e+00
9.500000000000000000e+01,1.276822282349509896e+00
9.600000000000000000e+01,1.222644974677367768e+00
9.700000000000000000e+01,1.243803050154010714e+00
9.800000000000000000e+01,1.214947157739680206e+00
9.900000000000000000e+01,1.228390484803845828e+00
1.000000000000000000e+02,1.157614954099049243e+00
1.010000000000000000e+02,1.201460696499941694e+00
1.020000000000000000e+02,1.197988942774708354e+00
1.030000000000000000e+02,1.176969019030706276e+00
1.040000000000000000e+02,1.235158916446583044e+00
1.050000000000000000e+02,1.186612950660110410e+00
1.060000000000000000e+02,1.150470855106758616e+00
1.070000000000000000e+02,1.208385089325688000e+00
1.080000000000000000e+02,1.244993396799154439e+00
1.090000000000000000e+02,1.138389093515666639e+00
1.100000000000000000e+02,1.186447308110744725e+00
1.110000000000000000e+02,1.186366618091385439e+00
1.120000000000000000e+02,1.197713470308318318e+00
1.130000000000000000e+02,1.205113393736544802e+00
1.140000000000000000e+02,1.229206592398718323e+00
1.150000000000000000e+02,1.222604673582114998e+00
1.160000000000000000e+02,1.297768967879481039e+00
1.170000000000000000e+02,1.291752755990056123e+00
1.180000000000000000e+02,1.214026232992677423e+00
1.190000000000000000e+02,1.258386451619424085e+00
1.200000000000000000e+02,1.172415161957670593e+00
1.210000000000000000e+02,1.161235177170571786e+00
1.220000000000000000e+02,1.239425610026484659e+00
1.230000000000000000e+02,1.151725157885251649e+00
1.240000000000000000e+02,1.230889688999431186e+00
1.250000000000000000e+02,1.228369721743311827e+00
1.260000000000000000e+02,1.206087141331304569e+00
1.270000000000000000e+02,1.223702921791315346e+00
1.280000000000000000e+02,1.235219023041508324e+00
1.290000000000000000e+02,1.258564154012021374e+00
1.300000000000000000e+02,1.242555744023298159e+00
1.310000000000000000e+02,1.223266585807845086e+00
1.320000000000000000e+02,1.243802792015758607e+00
1.330000000000000000e+02,1.247577696291302329e+00
1.340000000000000000e+02,1.188220299513204070e+00
1.350000000000000000e+02,1.163451513615255450e+00
1.360000000000000000e+02,1.245874278385662226e+00
1.370000000000000000e+02,1.294617182280638934e+00
1.380000000000000000e+02,1.274124108453707160e+00
1.390000000000000000e+02,1.149802667684880486e+00
1.400000000000000000e+02,1.255539837750254017e+00
1.410000000000000000e+02,1.196747342407186609e+00
1.420000000000000000e+02,1.175905388875128077e+00
1.430000000000000000e+02,1.235920078451668846e+00
1.440000000000000000e+02,1.227263800816438266e+00
1.450000000000000000e+02,1.262796430024805128e+00
1.460000000000000000e+02,1.227606764758775837e+00
1.470000000000000000e+02,1.274044058406309299e+00
1.480000000000000000e+02,1.239395211879542158e+00
1.490000000000000000e+02,1.269877711806854048e+00
1.500000000000000000e+02,1.243756318855093079e+00
1.510000000000000000e+02,1.297771879801770334e+00
1.520000000000000000e+02,1.252682606376736008e+00
1.530000000000000000e+02,1.246025682911347188e+00
1.540000000000000000e+02,1.264922137332899599e+00
1.550000000000000000e+02,1.256965305463095595e+00
1.560000000000000000e+02,1.218711323570239369e+00
1.570000000000000000e+02,1.169616475422996960e+00
1.580000000000000000e+02,1.201217545696779299e+00
1.590000000000000000e+02,1.235621879371751941e+00
1.600000000000000000e+02,1.215302851920402105e+00
1.610000000000000000e+02,1.224752977478604565e+00
1.620000000000000000e+02,1.236823052742555884e+00
1.630000000000000000e+02,1.246775836220134437e+00
1.640000000000000000e+02,1.145944468317367182e+00
1.650000000000000000e+02,1.229681007151646188e+00
1.660000000000000000e+02,1.234983548968142886e+00
1.670000000000000000e+02,1.215220685585014504e+00
1.680000000000000000e+02,1.220763752777488387e+00
1.690000000000000000e+02,1.283075084098115992e+00
1.700000000000000000e+02,1.155699389092049278e+00
1.710000000000000000e+02,1.227704844706177578e+00
1.720000000000000000e+02,1.240016916125464608e+00
1.730000000000000000e+02,1.226230568306590385e+00
1.740000000000000000e+02,1.295071765097946193e+00
1.750000000000000000e+02,1.228064601268112677e+00
1.760000000000000000e+02,1.180505916800769439e+00
1.770000000000000000e+02,1.259525178491320840e+00
1.780000000000000000e+02,1.214503409892602637e+00
1.790000000000000000e+02,1.245729068108135662e+00
1.800000000000000000e+02,1.233762223287656168e+00
1.810000000000000000e+02,1.314098305162358482e+00
1.820000000000000000e+02,1.228104490487617717e+00
1.830000000000000000e+02,1.260069440332309165e+00
1.840000000000000000e+02,1.259628975430072684e+00
1.850000000000000000e+02,1.217013608477460984e+00
1.860000000000000000e+02,1.188510212656022302e+00
1.870000000000000000e+02,1.181289166806372526e+00
1.880000000000000000e+02,1.225421411863573562e+00
1.890000000000000000e+02,1.268725789394309578e+00
1.900000000000000000e+02,1.254969809064361286e+00
1.910000000000000000e+02,1.245995701589428517e+00
1.920000000000000000e+02,1.173269460691749977e+00
1.930000000000000000e+02,1.220198817164961591e+00
1.940000000000000000e+02,1.235954105569890382e+00
1.950000000000000000e+02,1.200323193359174923e+00
1.960000000000000000e+02,1.236324407330781083e+00
1.970000000000000000e+02,1.265077738685547848e+00
1.980000000000000000e+02,1.204599994451644784e+00
1.990000000000000000e+02,1.172506129715159107e+00
2.000000000000000000e+02,1.227958457115289725e+00
2.010000000000000000e+02,1.216658545686386539e+00
2.020000000000000000e+02,1.302688324232923245e+00
2.030000000000000000e+02,1.220256391902595938e+00
2.040000000000000000e+02,1.246381282764386755e+00
2.050000000000000000e+02,1.189817239020733552e+00
2.060000000000000000e+02,1.232035710136629270e+00
2.070000000000000000e+02,1.145782474029019005e+00
2.080000000000000000e+02,1.217996968319938311e+00
2.090000000000000000e+02,1.146090658529745454e+00
2.100000000000000000e+02,1.258106894400878417e+00
2.110000000000000000e+02,1.229485736278610464e+00
2.120000000000000000e+02,1.220043732515955215e+00
2.130000000000000000e+02,1.277480882974218579e+00
2.140000000000000000e+02,1.211998981111954921e+00
2.150000000000000000e+02,1.231904551048823127e+00
