position,nll
0.000000000000000000e+00,2.936896244736749040e+00
1.000000000000000000e+00,2.490922454190531266e+00
2.000000000000000000e+00,2.073191411314140087e+00
3.000000000000000000e+00,1.807175641251941745e+00
4.000000000000000000e+00,1.688517342499108009e+00
5.000000000000000000e+00,1.464356479396340838e+00
6.000000000000000000e+00,1.436363699509856318e+00
7.000000000000000000e+00,1.424125281004981813e+00
8.000000000000000000e+00,1.357283810273394398e+00
9.000000000000000000e+00,1.308820521501589562e+00
1.000000000000000000e+01,1.402521510237945357e+00
1.100000000000000000e+01,1.396226124986868378e+00
1.200000000000000000e+01,1.327576503523095308e+00
1.300000000000000000e+01,1.294407150496897696e+00
1.400000000000000000e+01,1.354292800467624458e+00
1.500000000000000000e+01,1.260522617589105998e+00
1.600000000000000000e+01,1.310526743963466689e+00
1.700000000000000000e+01,1.274396549009686463e+00
1.800000000000000000e+01,1.275912909521139227e+00
1.900000000000000000e+01,1.327767340828961418e+00
2.000000000000000000e+01,1.397788073541167186e+00
2.100000000000000000e+01,1.341740749539680033e+00
2.200000000000000000e+01,1.321965385383209401e+00
2.300000000000000000e+01,1.294545930674737111e+00
2.400000000000000000e+01,1.261017537939599142e+00
2.500000000000000000e+01,1.225931943170144311e+00
2.600000000000000000e+01,1.269579876349887781e+00
2.700000000000000000e+01,1.269487022283721567e+00
2.800000000000000000e+01,1.280461173756577642e+00
2.900000000000000000e+01,1.310412449122251077e+00
3.000000000000000000e+01,1.259326368977852884e+00
3.100000000000000000e+01,1.348686809911508133e+00
3.200000000000000000e+01,1.264158435726447038e+00
3.300000000000000000e+01,1.284173134752536916e+00
3.400000000000000000e+01,1.264635921464859702e+00
3.500000000000000000e+01,1.247063731699605160e+00
3.600000000000000000e+01,1.255180234488287860e+00
3.700000000000000000e+01,1.268064376231095469e+00
3.800000000000000000e+01,1.230575930566818466e+00
3.900000000000000000e+01,1.274022214701525657e+00
4.000000000000000000e+01,1.239553571900737117e+00
4.100000000000000000e+01,1.221668127193700659e+00
4.200000000000000000e+01,1.274476528395390496e+00
4.300000000000000000e+01,1.177615188365941368e+00
4.400000000000000000e+01,1.257070387789954946e+00
4.500000000000000000e+01,1.328274312197122553e+00
4.600000000000000000e+01,1.266535802876477046e+00
4.700000000000000000e+01,1.308608450531326461e+00
4.800000000000000000e+01,1.318062790495292402e+00
4.900000000000000000e+01,1.237969205226927105e+00
5.000000000000000000e+01,1.270825937694745722e+00
5.100000000000000000e+01,1.281152829105795643e+00
5.200000000000000000e+01,1.277168393408789848e+00
5.300000000000000000e+01,1.183477765644062485e+00
5.400000000000000000e+01,1.251544735205186720e+00
5.500000000000000000e+01,1.240082226877873062e+00
5.600000000000000000e+01,1.251275175920896210e+00
5.700000000000000000e+01,1.248697094848765010e+00
5.800000000000000000e+01,1.259661549363778832e+00
5.900000000000000000e+01,1.240051640921031817e+00
6.000000000000000000e+01,1.224624967558272992e+00
6.100000000000000000e+01,1.237682934218066189e+00
6.200000000000000000e+01,1.231775397202545808e+00
6.300000000000000000e+01,1.157040901243134856e+00
6.400000000000000000e+01,1.216070159438381593e+00
6.500000000000000000e+01,1.163245862393562424e+00
6.600000000000000000e+01,1.110415729081241976e+00
