position,nll
0.000000000000000000e+00,2.936966926967114588e+00
1.000000000000000000e+00,2.513772844252478045e+00
2.000000000000000000e+00,2.074665035151004311e+00
3.000000000000000000e+00,1.839963259819688002e+00
4.000000000000000000e+00,1.682159483616744167e+00
5.000000000000000000e+00,1.477984125010590954e+00
6.000000000000000000e+00,1.441193430253149943e+00
7.000000000000000000e+00,1.433202575398947687e+00
8.000000000000000000e+00,1.343928203245443154e+00
9.000000000000000000e+00,1.332349688042354652e+00
1.000000000000000000e+01,1.424284090255563573e+00
1.100000000000000000e+01,1.402783709939342094e+00
1.200000000000000000e+01,1.313588605869762338e+00
1.300000000000000000e+01,1.314362198842229379e+00
1.400000000000000000e+01,1.368181607475779549e+00
1.500000000000000000e+01,1.259857776120854256e+00
1.600000000000000000e+01,1.318707822641483229e+00
1.700000000000000000e+01,1.253321232729136758e+00
1.800000000000000000e+01,1.271458242184789755e+00
1.900000000000000000e+01,1.322281670082872340e+00
2.000000000000000000e+01,1.391760753335292478e+00
2.100000000000000000e+01,1.350862468405138683e+00
2.200000000000000000e+01,1.318768916262319069e+00
2.300000000000000000e+01,1.270880321931672663e+00
2.400000000000000000e+01,1.261660780279623362e+00
2.500000000000000000e+01,1.240113341486065668e+00
2.600000000000000000e+01,1.267078317981022550e+00
2.700000000000000000e+01,1.274766602689404227e+00
2.800000000000000000e+01,1.286093581132993879e+00
2.900000000000000000e+01,1.315397811792855309e+00
3.000000000000000000e+01,1.257266338830303365e+00
3.100000000000000000e+01,1.329545981812705557e+00
3.200000000000000000e+01,1.268706720612800432e+00
3.300000000000000000e+01,1.289852398863233107e+00
3.400000000000000000e+01,1.259792771835853920e+00
3.500000000000000000e+01,1.250328835231427682e+00
3.600000000000000000e+01,1.274711686382698828e+00
3.700000000000000000e+01,1.254758201189542843e+00
3.800000000000000000e+01,1.246297880684154036e+00
3.900000000000000000e+01,1.255497419640011936e+00
4.000000000000000000e+01,1.235417715372643110e+00
4.100000000000000000e+01,1.232209491814018065e+00
4.200000000000000000e+01,1.260004888057712824e+00
4.300000000000000000e+01,1.176649300202385673e+00
4.400000000000000000e+01,1.265332212937323231e+00
4.500000000000000000e+01,1.341705066202872443e+00
4.600000000000000000e+01,1.263754467914963042e+00
4.700000000000000000e+01,1.309591634830922224e+00
4.800000000000000000e+01,1.318458185548339268e+00
4.900000000000000000e+01,1.226165913871191782e+00
5.000000000000000000e+01,1.277926131460009884e+00
5.100000000000000000e+01,1.293680854388546075e+00
5.200000000000000000e+01,1.254003007638568201e+00
5.300000000000000000e+01,1.183205346755875853e+00
5.400000000000000000e+01,1.255638842653952203e+00
5.500000000000000000e+01,1.241143912988341258e+00
5.600000000000000000e+01,1.264522452892226978e+00
5.700000000000000000e+01,1.247572151951627406e+00
5.800000000000000000e+01,1.263656028099804152e+00
5.900000000000000000e+01,1.216271682773033547e+00
6.000000000000000000e+01,1.224656382106397379e+00
6.100000000000000000e+01,1.243749898047212366e+00
6.200000000000000000e+01,1.245660181685793733e+00
6.300000000000000000e+01,1.152815247887576611e+00
6.400000000000000000e+01,1.215201348088468025e+00
6.500000000000000000e+01,1.155913593379943372e+00
6.600000000000000000e+01,1.130985244038549720e+00
6.700000000000000000e+01,1.153046299268770225e+00
6.800000000000000000e+01,1.221857779453975779e+00
6.900000000000000000e+01,1.268096375684625965e+00
7.000000000000000000e+01,1.269770411441635050e+00
7.100000000000000000e+01,1.297054739457586869e+00
7.200000000000000000e+01,1.215534771841169537e+00
7.300000000000000000e+01,1.244179781119461037e+00
7.400000000000000000e+01,1.240871482855054886e+00
