position,nll
0.000000000000000000e+00,3.419223400116440104e+00
1.000000000000000000e+00,2.815240726094753843e+00
2.000000000000000000e+00,2.285084482497291347e+00
3.000000000000000000e+00,1.848265490982849535e+00
4.000000000000000000e+00,1.831660964885215126e+00
5.000000000000000000e+00,1.624146707330403006e+00
6.000000000000000000e+00,1.568670877491097349e+00
7.000000000000000000e+00,1.436514500020449780e+00
8.000000000000000000e+00,1.278536123756250475e+00
9.000000000000000000e+00,1.434664956382552203e+00
1.000000000000000000e+01,1.510243572284311053e+00
1.100000000000000000e+01,1.463407517379611722e+00
1.200000000000000000e+01,1.362134432396088002e+00
1.300000000000000000e+01,1.301942412511991387e+00
1.400000000000000000e+01,1.409528308958158727e+00
1.500000000000000000e+01,1.278752699472510246e+00
1.600000000000000000e+01,1.343973496878714258e+00
1.700000000000000000e+01,1.378456190381519786e+00
1.800000000000000000e+01,1.199448537940090764e+00
1.900000000000000000e+01,1.258946493805813693e+00
2.000000000000000000e+01,1.294997040817960743e+00
2.100000000000000000e+01,1.316015909600918965e+00
2.200000000000000000e+01,1.313362143182989605e+00
2.300000000000000000e+01,1.301582319843181956e+00
2.400000000000000000e+01,1.200282311308451533e+00
2.500000000000000000e+01,1.316251439805386836e+00
2.600000000000000000e+01,1.238077951064543214e+00
2.700000000000000000e+01,1.433079181133280811e+00
2.800000000000000000e+01,1.234357466621774924e+00
2.900000000000000000e+01,1.394101166206633380e+00
3.000000000000000000e+01,1.305179531415771699e+00
3.100000000000000000e+01,1.459620937535092589e+00
3.200000000000000000e+01,1.318472599172506587e+00
3.300000000000000000e+01,1.246557492657457633e+00
3.400000000000000000e+01,1.264770352096212358e+00
3.500000000000000000e+01,1.248231750422111652e+00
3.600000000000000000e+01,1.259531768916373196e+00
3.700000000000000000e+01,1.303523891313539629e+00
3.800000000000000000e+01,1.221399127306286747e+00
3.900000000000000000e+01,1.311770281981253117e+00
4.000000000000000000e+01,1.084041651027929820e+00
4.100000000000000000e+01,1.312593250190094984e+00
4.200000000000000000e+01,1.333618032714336765e+00
4.300000000000000000e+01,1.137055367938496708e+00
4.400000000000000000e+01,1.160447427620786787e+00
4.500000000000000000e+01,1.302077806927645520e+00
4.600000000000000000e+01,1.202949782149850932e+00
4.700000000000000000e+01,1.380750309200728498e+00
4.800000000000000000e+01,1.332342414331878055e+00
4.900000000000000000e+01,1.208408994744837095e+00
5.000000000000000000e+01,1.263026756451648414e+00
5.100000000000000000e+01,1.304555820708533265e+00
5.200000000000000000e+01,1.373084848062192442e+00
5.300000000000000000e+01,1.208520508058403609e+00
5.400000000000000000e+01,1.138331225679480641e+00
5.500000000000000000e+01,1.254231904910163564e+00
5.600000000000000000e+01,1.276302758555909023e+00
5.700000000000000000e+01,1.302287568856633326e+00
5.800000000000000000e+01,1.241047187195542190e+00
5.900000000000000000e+01,1.188571691236909089e+00
6.000000000000000000e+01,1.277739323955440653e+00
6.100000000000000000e+01,1.261597797879806082e+00
6.200000000000000000e+01,1.287019028871360327e+00
6.300000000000000000e+01,1.060366263572836587e+00
6.400000000000000000e+01,1.123334883242372184e+00
6.500000000000000000e+01,1.248896940664262267e+00
6.600000000000000000e+01,1.136136998042638790e+00
6.700000000000000000e+01,1.185834533573780991e+00
6.800000000000000000e+01,1.261545392849480640e+00
6.900000000000000000e+01,1.282636479821559927e+00
7.000000000000000000e+01,1.238367313232375810e+00
7.100000000000000000e+01,1.258960445580400878e+00
7.200000000000000000e+01,1.344140812992996148e+00
7.300000000000000000e+01,1.356982596920131456e+00
7.400000000000000000e+01,1.373214742435489688e+00
7.500000000000000000e+01,1.263299628225303950e+00
7.600000000000000000e+01,1.295601893109307623e+00
7.700000000000000000e+01,1.393416599662054667e+00
7.800000000000000000e+01,1.313505845804332273e+00
7.900000000000000000e+01,1.172651745882944407e+00
8.000000000000000000e+01,1.195217980797875779e+00
8.100000000000000000e+01,1.384233799698852296e+00
8.200000000000000000e+01,1.222099192617613683e+00
8.300000000000000000e+01,1.278941744887632570e+00
8.400000000000000000e+01,1.332087156988623677e+00
8.500000000000000000e+01,1.213782389299489894e+00
8.600000000000000000e+01,1.299493101506196346e+00
8.700000000000000000e+01,1.218365220312595865e+00
8.800000000000000000e+01,1.198619754453024822e+00
8.900000000000000000e+01,1.386960339753723570e+00
9.000000000000000000e+01,1.324687668915120353e+00
9.100000000000000000e+01,1.332740773347916852e+00
9.200000000000000000e+01,1.308231508210358607e+00
9.300000000000000000e+01,1.373393389077086191e+00
9.400000000000000000e+01,1.242484710954480764e+00
9.500000000000000000e+01,1.316898429240615398e+00
9.600000000000000000e+01,1.250342902129317535e+00
9.700000000000000000e+01,1.184378826106217586e+00
9.800000000000000000e+01,1.189242250815255364e+00
9.900000000000000000e+01,1.323032985813319407e+00
1.000000000000000000e+02,1.103273601395308834e+00
1.010000000000000000e+02,1.236310120356711950e+00
1.020000000000000000e+02,1.222924960783461357e+00
1.030000000000000000e+02,1.211916900308350531e+00
1.040000000000000000e+02,1.319993975462170566e+00
1.050000000000000000e+02,1.454004769283728571e+00
1.060000000000000000e+02,1.259572325651839186e+00
1.070000000000000000e+02,1.229497137462308043e+00
1.080000000000000000e+02,1.313137072029325170e+00
1.090000000000000000e+02,1.113023117039119825e+00
1.100000000000000000e+02,1.275330741748633256e+00
1.110000000000000000e+02,1.227464619184010175e+00
1.120000000000000000e+02,1.330469820746525977e+00
1.130000000000000000e+02,1.284576507842313253e+00
1.140000000000000000e+02,1.271191763172267786e+00
1.150000000000000000e+02,1.216080378664401662e+00
1.160000000000000000e+02,1.368264999288228756e+00
1.170000000000000000e+02,1.452826276240053449e+00
1.180000000000000000e+02,1.173456966808637425e+00
1.190000000000000000e+02,1.221236963013900834e+00
1.200000000000000000e+02,1.232347040215734157e+00
1.210000000000000000e+02,1.156460988003957135e+00
1.220000000000000000e+02,1.206750579400762913e+00
1.230000000000000000e+02,1.161827250167376313e+00
1.240000000000000000e+02,1.218426025675389823e+00
1.250000000000000000e+02,1.216639888170843120e+00
1.260000000000000000e+02,1.158361020762297855e+00
1.270000000000000000e+02,1.233647935674525797e+00
1.280000000000000000e+02,1.339638073807276841e+00
1.290000000000000000e+02,1.344859359549362310e+00
1.300000000000000000e+02,1.189239107849187072e+00
1.310000000000000000e+02,1.257432101461053442e+00
1.320000000000000000e+02,1.219934998988746466e+00
1.330000000000000000e+02,1.290683219984524843e+00
1.340000000000000000e+02,1.225579872238402146e+00
1.350000000000000000e+02,1.253898299978110753e+00
1.360000000000000000e+02,1.362861712580855977e+00
1.370000000000000000e+02,1.446595642418070149e+00
1.380000000000000000e+02,1.293918391956745406e+00
1.390000000000000000e+02,1.080774515197749697e+00
1.400000000000000000e+02,1.254720478891452329e+00
1.410000000000000000e+02,1.261540300931998981e+00
1.420000000000000000e+02,1.091616674462146275e+00
1.430000000000000000e+02,1.279476447176421061e+00
1.440000000000000000e+02,1.209536052720915134e+00
1.450000000000000000e+02,1.169283661478748737e+00
1.460000000000000000e+02,1.279804009462889969e+00
1.470000000000000000e+02,1.177187987201041786e+00
1.480000000000000000e+02,1.343767061915065453e+00
1.490000000000000000e+02,1.306772860789255919e+00
1.500000000000000000e+02,1.099636082569152462e+00
1.510000000000000000e+02,1.258470778309319860e+00
1.520000000000000000e+02,1.285353325261017865e+00
1.530000000000000000e+02,1.240918445345548626e+00
1.540000000000000000e+02,1.350566524191335827e+00
1.550000000000000000e+02,1.449815923187854905e+00
1.560000000000000000e+02,1.352324208328557598e+00
1.570000000000000000e+02,1.249757651841868045e+00
1.580000000000000000e+02,1.368499102807779311e+00
1.590000000000000000e+02,1.386946701703566376e+00
1.600000000000000000e+02,1.252690315936199728e+00
1.610000000000000000e+02,1.144744505041820792e+00
1.620000000000000000e+02,1.106969833657714286e+00
1.630000000000000000e+02,1.175233778954563713e+00
1.640000000000000000e+02,1.131608795837716785e+00
1.650000000000000000e+02,1.108688909243067178e+00
1.660000000000000000e+02,1.319311778648035061e+00
1.670000000000000000e+02,1.411981248474426076e+00
1.680000000000000000e+02,1.151313934571345454e+00
1.690000000000000000e+02,1.275027576586437617e+00
