position,nll
0.000000000000000000e+00,3.606520607883411333e+00
1.000000000000000000e+00,3.229868208871553570e+00
2.000000000000000000e+00,2.186460591519885366e+00
3.000000000000000000e+00,2.105523675668289130e+00
4.000000000000000000e+00,2.084306671058775873e+00
5.000000000000000000e+00,1.783892321439021655e+00
6.000000000000000000e+00,1.630883154374666688e+00
7.000000000000000000e+00,1.456239066693103101e+00
8.000000000000000000e+00,1.189471911077194521e+00
9.000000000000000000e+00,1.398936039492055805e+00
1.000000000000000000e+01,1.424895752753639666e+00
1.100000000000000000e+01,1.521586387527349871e+00
1.200000000000000000e+01,1.350774851971149548e+00
1.300000000000000000e+01,1.343696913758513301e+00
1.400000000000000000e+01,1.491819744486412302e+00
1.500000000000000000e+01,1.451040706178326589e+00
1.600000000000000000e+01,1.286162181523410997e+00
1.700000000000000000e+01,1.394187958990713794e+00
1.800000000000000000e+01,1.147700400254076492e+00
1.900000000000000000e+01,1.107367387180267171e+00
2.000000000000000000e+01,1.174835930561560993e+00
2.100000000000000000e+01,1.241387260386162650e+00
2.200000000000000000e+01,1.504525484143270697e+00
2.300000000000000000e+01,1.454678107443549750e+00
2.400000000000000000e+01,1.295944473239950101e+00
2.500000000000000000e+01,1.410051753373409156e+00
2.600000000000000000e+01,1.163276789934331479e+00
2.700000000000000000e+01,1.625739603212136064e+00
2.800000000000000000e+01,1.358060616821986422e+00
2.900000000000000000e+01,1.498657136710550564e+00
3.000000000000000000e+01,1.437644152655641383e+00
3.100000000000000000e+01,1.588462064468426638e+00
3.200000000000000000e+01,1.454443238037224750e+00
3.300000000000000000e+01,1.286875625356754593e+00
3.400000000000000000e+01,1.353163754733893498e+00
3.500000000000000000e+01,1.457904859588827540e+00
3.600000000000000000e+01,1.335721836129443174e+00
3.700000000000000000e+01,1.379813220972305521e+00
3.800000000000000000e+01,1.369677486877136197e+00
3.900000000000000000e+01,1.214185460650888171e+00
4.000000000000000000e+01,1.144957651208019955e+00
4.100000000000000000e+01,1.362750946082470271e+00
4.200000000000000000e+01,1.292399935523223409e+00
4.300000000000000000e+01,1.222088885068315811e+00
4.400000000000000000e+01,1.068373581887211987e+00
4.500000000000000000e+01,1.151130270220739105e+00
4.600000000000000000e+01,1.170773563928186656e+00
4.700000000000000000e+01,1.458365521099422857e+00
4.800000000000000000e+01,1.297898986683369449e+00
4.900000000000000000e+01,1.224276472788340842e+00
5.000000000000000000e+01,1.367312179523746840e+00
5.100000000000000000e+01,1.302861384043545012e+00
5.200000000000000000e+01,1.319426984557235505e+00
5.300000000000000000e+01,1.294559138811516519e+00
5.400000000000000000e+01,1.227317280228147123e+00
5.500000000000000000e+01,1.315963790569520286e+00
5.600000000000000000e+01,1.496579701286942621e+00
5.700000000000000000e+01,1.417469582714387055e+00
5.800000000000000000e+01,1.243444729859268127e+00
5.900000000000000000e+01,1.278172456481115660e+00
6.000000000000000000e+01,1.276121916119001609e+00
6.100000000000000000e+01,1.188765562381855601e+00
6.200000000000000000e+01,1.242523705495267139e+00
6.300000000000000000e+01,1.049234441566257114e+00
6.400000000000000000e+01,1.222906749625460421e+00
6.500000000000000000e+01,1.387849187914980575e+00
6.600000000000000000e+01,1.069522321638750606e+00
6.700000000000000000e+01,1.081596554402686206e+00
6.800000000000000000e+01,1.379393798362319679e+00
6.900000000000000000e+01,1.338303373468653801e+00
7.000000000000000000e+01,1.144119937382416241e+00
7.100000000000000000e+01,1.371214921371000317e+00
7.200000000000000000e+01,1.351524636273672142e+00
7.300000000000000000e+01,1.541699510044532984e+00
7.400000000000000000e+01,1.331209526819484790e+00
7.500000000000000000e+01,1.300538870434186256e+00
7.600000000000000000e+01,1.160064260686627380e+00
7.700000000000000000e+01,1.457874042626108757e+00
7.800000000000000000e+01,1.353870167659279922e+00
7.900000000000000000e+01,1.162582975496326609e+00
8.000000000000000000e+01,1.202140974667839313e+00
8.100000000000000000e+01,1.414065379628530073e+00
8.200000000000000000e+01,1.273810386932669347e+00
8.300000000000000000e+01,1.468736856853578576e+00
8.400000000000000000e+01,1.428551604189890023e+00
8.500000000000000000e+01,1.074493624532662617e+00
8.600000000000000000e+01,1.207113631229348227e+00
8.700000000000000000e+01,1.182045989005928277e+00
8.800000000000000000e+01,1.215338811875163127e+00
8.900000000000000000e+01,1.428046229752669039e+00
9.000000000000000000e+01,1.259754900711413939e+00
9.100000000000000000e+01,1.261507138504959213e+00
9.200000000000000000e+01,1.315659808268575981e+00
9.300000000000000000e+01,1.530778141102162149e+00
9.400000000000000000e+01,1.370668804412401354e+00
9.500000000000000000e+01,1.413787014022473976e+00
9.600000000000000000e+01,1.426072507790721700e+00
9.700000000000000000e+01,1.237311360899375767e+00
9.800000000000000000e+01,1.227962361205802599e+00
9.900000000000000000e+01,1.525685016480373912e+00
1.000000000000000000e+02,1.077904178943036140e+00
1.010000000000000000e+02,1.492959848936535217e+00
1.020000000000000000e+02,1.246514161562739975e+00
1.030000000000000000e+02,1.314138916249870892e+00
1.040000000000000000e+02,1.143190474969838055e+00
1.050000000000000000e+02,1.435601534085531261e+00
1.060000000000000000e+02,1.321618954923331701e+00
1.070000000000000000e+02,1.287619109679852825e+00
1.080000000000000000e+02,1.369011746835511856e+00
1.090000000000000000e+02,1.192052446343471850e+00
1.100000000000000000e+02,1.361841195704504237e+00
1.110000000000000000e+02,1.435518539898782198e+00
1.120000000000000000e+02,1.375927179725151328e+00
1.130000000000000000e+02,1.297629497185928349e+00
1.140000000000000000e+02,1.245252840418910711e+00
1.150000000000000000e+02,1.087873509575537634e+00
1.160000000000000000e+02,1.458787455955596002e+00
1.170000000000000000e+02,1.429248987622198985e+00
1.180000000000000000e+02,1.263530040767746776e+00
1.190000000000000000e+02,1.328628388492832268e+00
1.200000000000000000e+02,1.223715358099022765e+00
1.210000000000000000e+02,1.201983094462967028e+00
1.220000000000000000e+02,1.302414806918692936e+00
1.230000000000000000e+02,1.249880636922362509e+00
1.240000000000000000e+02,1.234660624045557764e+00
1.250000000000000000e+02,1.207892111613067421e+00
1.260000000000000000e+02,1.118091902313799846e+00
1.270000000000000000e+02,1.210665565448643344e+00
1.280000000000000000e+02,1.260010983746676416e+00
1.290000000000000000e+02,1.287600782353126139e+00
1.300000000000000000e+02,1.079775514361053235e+00
1.310000000000000000e+02,1.142200790542215350e+00
1.320000000000000000e+02,1.359123123890879636e+00
1.330000000000000000e+02,1.410619640551311393e+00
1.340000000000000000e+02,1.173808577967639932e+00
1.350000000000000000e+02,1.417663416081938355e+00
1.360000000000000000e+02,1.298063689862733350e+00
1.370000000000000000e+02,1.393348876926833402e+00
1.380000000000000000e+02,1.391585315816451951e+00
1.390000000000000000e+02,1.140402772197136816e+00
1.400000000000000000e+02,1.220143712103699096e+00
1.410000000000000000e+02,1.278910961858951145e+00
1.420000000000000000e+02,1.055306357334445888e+00
1.430000000000000000e+02,1.160357433093610613e+00
1.440000000000000000e+02,1.200623954327200149e+00
1.450000000000000000e+02,1.116505047557438957e+00
1.460000000000000000e+02,1.268385555122413688e+00
1.470000000000000000e+02,1.225260599748779766e+00
1.480000000000000000e+02,1.553962499210396420e+00
1.490000000000000000e+02,1.348191716311033073e+00
1.500000000000000000e+02,1.185253074453181510e+00
1.510000000000000000e+02,1.301416423360071795e+00
1.520000000000000000e+02,1.363946440158255502e+00
1.530000000000000000e+02,1.129029484156681473e+00
1.540000000000000000e+02,1.229670649125373938e+00
1.550000000000000000e+02,1.273464046863457488e+00
1.560000000000000000e+02,1.403329251145183365e+00
1.570000000000000000e+02,1.155209231994185126e+00
1.580000000000000000e+02,1.381635320997845806e+00
1.590000000000000000e+02,1.304619138064912143e+00
1.600000000000000000e+02,1.242107502546499820e+00
1.610000000000000000e+02,1.101788968699876969e+00
1.620000000000000000e+02,1.038869201624134098e+00
1.630000000000000000e+02,1.147376330815045753e+00
1.640000000000000000e+02,1.029540761820451067e+00
1.650000000000000000e+02,1.067105925244456799e+00
1.660000000000000000e+02,1.336845148309772524e+00
1.670000000000000000e+02,1.202645095341339454e+00
1.680000000000000000e+02,1.201118521051332655e+00
1.690000000000000000e+02,1.420581616168898220e+00
1.700000000000000000e+02,1.202201234178765343e+00
1.710000000000000000e+02,1.419563444741805514e+00
1.720000000000000000e+02,1.145444816465897020e+00
1.730000000000000000e+02,1.326220458731289575e+00
1.740000000000000000e+02,1.183438062605618013e+00
1.750000000000000000e+02,1.351277385028400779e+00
1.760000000000000000e+02,1.291546839506497069e+00
1.770000000000000000e+02,1.233344883744154519e+00
1.780000000000000000e+02,1.312387124511779302e+00
1.790000000000000000e+02,1.272854469137344235e+00
1.800000000000000000e+02,1.283398883476605246e+00
1.810000000000000000e+02,1.247774224555350253e+00
1.820000000000000000e+02,1.326770928636649582e+00
1.830000000000000000e+02,1.301330251528078685e+00
1.840000000000000000e+02,1.333816322810506660e+00
1.850000000000000000e+02,1.162977394361979888e+00
1.860000000000000000e+02,1.158524569275438010e+00
1.870000000000000000e+02,1.224948573753097403e+00
1.880000000000000000e+02,1.217276552384933597e+00
1.890000000000000000e+02,1.454781012515396377e+00
1.900000000000000000e+02,1.329645908851202041e+00
1.910000000000000000e+02,1.321511449338446997e+00
1.920000000000000000e+02,1.266116116358285693e+00
1.930000000000000000e+02,1.400000764883818638e+00
1.940000000000000000e+02,1.146631382325722370e+00
1.950000000000000000e+02,1.196119797885809133e+00
1.960000000000000000e+02,1.255635425710352138e+00
1.970000000000000000e+02,1.362450442504651527e+00
1.980000000000000000e+02,1.228245359527423419e+00
1.990000000000000000e+02,1.297301222274223731e+00
2.000000000000000000e+02,1.215244035661606548e+00
2.010000000000000000e+02,1.311116300592689798e+00
2.020000000000000000e+02,1.231728265059102378e+00
2.030000000000000000e+02,1.183732222409545010e+00
2.040000000000000000e+02,1.277532996100106955e+00
2.050000000000000000e+02,1.279571907939833553e+00
2.060000000000000000e+02,1.254229211348693251e+00
2.070000000000000000e+02,1.184778896734458353e+00
2.080000000000000000e+02,1.153375156653438260e+00
2.090000000000000000e+02,1.176591175085329510e+00
2.100000000000000000e+02,1.207832650079485370e+00
2.110000000000000000e+02,1.233848226478106547e+00
2.120000000000000000e+02,1.308732503614775888e+00
2.130000000000000000e+02,1.242961961570568041e+00
2.140000000000000000e+02,1.352473995214351854e+00
2.150000000000000000e+02,1.183308337059937987e+00
2.160000000000000000e+02,1.124275791145153303e+00
2.170000000000000000e+02,1.363549431503327636e+00
2.180000000000000000e+02,1.275950216741062127e+00
2.190000000000000000e+02,1.294093378452472187e+00
2.200000000000000000e+02,1.156960915526532796e+00
2.210000000000000000e+02,1.142856449531360674e+00
2.220000000000000000e+02,1.183895228365719587e+00
2.230000000000000000e+02,1.125205029923515454e+00
2.240000000000000000e+02,1.284518011819512306e+00
2.250000000000000000e+02,1.244770627001439811e+00
2.260000000000000000e+02,1.260307314370277876e+00
2.270000000000000000e+02,1.339704802017015473e+00
2.280000000000000000e+02,1.257075621923018138e+00
2.290000000000000000e+02,1.284926232168800198e+00
2.300000000000000000e+02,1.383218668648240834e+00
2.310000000000000000e+02,1.330802614655495653e+00
2.320000000000000000e+02,1.171946489889753584e+00
2.330000000000000000e+02,1.275975495100690082e+00
2.340000000000000000e+02,1.577377703680739485e+00
2.350000000000000000e+02,1.429196706341731016e+00
2.360000000000000000e+02,1.443645354652050461e+00
2.370000000000000000e+02,1.305249287929990176e+00
2.380000000000000000e+02,1.103757661195566842e+00
2.390000000000000000e+02,1.280407895309125577e+00
2.400000000000000000e+02,1.378261069370062986e+00
2.410000000000000000e+02,1.115938701897041474e+00
2.420000000000000000e+02,1.222254605388355397e+00
2.430000000000000000e+02,1.160915692453464043e+00
2.440000000000000000e+02,1.209584144078306833e+00
2.450000000000000000e+02,1.092617484830330499e+00
2.460000000000000000e+02,1.209350382801379631e+00
2.470000000000000000e+02,1.161174615091256523e+00
2.480000000000000000e+02,1.384087900623470757e+00
2.490000000000000000e+02,1.168589899952214628e+00
2.500000000000000000e+02,1.155350692617120201e+00
2.510000000000000000e+02,1.239888448158652734e+00
2.520000000000000000e+02,9.484852915844192989e-01
