run,d,k,read_mode,dirs,step,loss,exact_support,mse,q,N0,B,covers_k,ms_per_step
mkar_d2_k1_plane_oracle_T1024_s0,2,1,plane,oracle,500,0.37858498096466064,0.0,4.5104469656944275,23,23,23,True,113.14445972442627
mkar_d2_k1_plane_oracle_T1024_s0,2,1,plane,oracle,1000,0.38111186027526855,0.0,4.445785939693451,23,23,23,True,112.02289652824402
mkar_d2_k1_plane_oracle_T1024_s0,2,1,plane,oracle,1500,0.3777126669883728,0.0,4.430404901504517,23,23,23,True,111.75342305501302
mkar_d2_k1_plane_oracle_T1024_s0,2,1,plane,oracle,2000,0.3782203495502472,0.0,4.422252118587494,23,23,23,True,111.74899113178253
mkar_d2_k1_plane_oracle_T1024_s0,2,1,plane,oracle,2500,0.377498984336853,0.0,4.449704170227051,23,23,23,True,111.82330169677735
mkar_d2_k1_plane_oracle_T1024_s0,2,1,plane,oracle,3000,0.379098117351532,0.0,4.432026445865631,23,23,23,True,111.700825770696
mkar_d2_k1_plane_oracle_T1024_s0,2,1,plane,oracle,3500,0.3775829076766968,0.0,4.381032407283783,23,23,23,True,111.72972025190082
mkar_d2_k1_plane_oracle_T1024_s0,2,1,plane,oracle,4000,0.37713053822517395,0.0,4.354881703853607,23,23,23,True,111.61782121658325
mkar_d2_k2_plane_oracle_T1024_s0,2,2,plane,oracle,500,0.56041419506073,0.0,1.9736131727695465,23,23,23,False,112.35359811782837
mkar_d2_k1_plane_oracle_T1024_s0,2,1,plane,oracle,500,0.0014980051200836897,1.0,45.72810697555542,23,23,23,True,109.60539865493774
mkar_d2_k1_plane_oracle_T1024_s0,2,1,plane,oracle,1000,0.0006021865410730243,1.0,61.85394334793091,23,23,23,True,110.3206958770752
mkar_d2_k1_plane_oracle_T1024_s0,2,1,plane,oracle,1500,0.0003005291800945997,1.0,69.3285140991211,23,23,23,True,110.7253942489624
mkar_d2_k1_plane_oracle_T1024_s0,2,1,plane,oracle,2000,0.0007749706273898482,1.0,80.33836269378662,23,23,23,True,110.86035716533661
mkar_d2_k1_plane_oracle_T1024_s0,2,1,plane,oracle,2500,0.0002137998235411942,1.0,84.24338245391846,23,23,23,True,110.95709257125854
mkar_d2_k1_plane_oracle_T1024_s0,2,1,plane,oracle,3000,0.00012686612899415195,1.0,85.53916358947754,23,23,23,True,111.03748377164204
mkar_d2_k1_plane_oracle_T1024_s0,2,1,plane,oracle,3500,0.00010870904952753335,1.0,88.2860689163208,23,23,23,True,111.00446237836566
mkar_d2_k1_plane_oracle_T1024_s0,2,1,plane,oracle,4000,0.000430775573477149,1.0,86.56721782684326,23,23,23,True,111.09313118457794
mkar_d2_k2_plane_oracle_T1024_s0,2,2,plane,oracle,500,0.0027429722249507904,1.0,35.10477304458618,23,23,23,False,112.85623693466187
mkar_d2_k2_plane_oracle_T1024_s0,2,2,plane,oracle,1000,0.0017235090490430593,0.99609375,51.798203468322754,23,23,23,False,111.6168224811554
mkar_d2_k2_plane_oracle_T1024_s0,2,2,plane,oracle,1500,0.002325264271348715,0.986328125,59.479007720947266,23,23,23,False,111.63843107223511
mkar_d2_k2_plane_oracle_T1024_s0,2,2,plane,oracle,2000,0.00046261443640105426,1.0,67.47554016113281,23,23,23,False,111.79887807369232
mkar_d2_k2_plane_oracle_T1024_s0,2,2,plane,oracle,2500,0.00352554046548903,1.0,71.02727127075195,23,23,23,False,111.50694303512573
mkar_d2_k1_plane_oracle_T1024_s0,2,1,plane,oracle,500,0.0030010275077074766,1.0,46.16817092895508,23,23,23,True,42.0251841545105
mkar_d2_k1_plane_oracle_T1024_s0,2,1,plane,oracle,1000,0.0021271700970828533,0.99609375,60.33974647521973,23,23,23,True,37.47911739349365
mkar_d2_k1_plane_oracle_T1024_s0,2,1,plane,oracle,1500,0.015792198479175568,1.0,69.68554592132568,23,23,23,True,34.42322095235189
mkar_d2_k1_plane_oracle_T1024_s0,2,1,plane,oracle,2000,0.01004398800432682,0.98046875,75.00043678283691,23,23,23,True,32.904505133628845
mkar_d2_k1_plane_oracle_T1024_s0,2,1,plane,oracle,2500,0.0005323783261701465,0.99609375,78.31949138641357,23,23,23,True,31.99521713256836
