run,arm,d,k,assign,read_mode,dirs,step,loss,exact_support,mse,q,N0,B,covers_k,ms_per_step
mkar_softmax_d2_k1_plane_oracle_T1024_s0_sc3_id,softmax,2,1,content,plane,oracle,1000,0.3756176829338074,0.0,4.38329416513443,23,23,23,True,19.317790746688843
mkar_softmax_d2_k1_plane_oracle_T1024_s0_sc3_id,softmax,2,1,content,plane,oracle,2000,0.37887200713157654,0.0,4.431800186634064,23,23,23,True,17.80350112915039
mkar_softmax_d2_k1_plane_oracle_T1024_s0_sc3_id,softmax,2,1,content,plane,oracle,3000,0.37682920694351196,0.0,4.433055341243744,23,23,23,True,15.918314854303995
mkar_softmax_d2_k1_plane_oracle_T1024_s0_sc3_id,softmax,2,1,content,plane,oracle,4000,0.3768561780452728,0.0,4.384554624557495,23,23,23,True,14.841997563838959
mkar_smat_d1_k1_plane_oracle_T1024_s0_sc3_id,smat,1,1,content,plane,oracle,1000,0.3756256401538849,0.0,4.383097767829895,0,1,1,True,35.23957085609436
mkar_smat_d1_k1_plane_oracle_T1024_s0_sc3_id,smat,1,1,content,plane,oracle,2000,0.37886595726013184,0.0,4.433595716953278,0,1,1,True,34.720563530921936
mkar_smat_d1_k1_plane_oracle_T1024_s0_sc3_id,smat,1,1,content,plane,oracle,3000,0.376833438873291,0.0,4.434069991111755,0,1,1,True,30.852065404256184
mkar_smat_d1_k1_plane_oracle_T1024_s0_sc3_id,smat,1,1,content,plane,oracle,4000,0.37685319781303406,0.0,4.384951055049896,0,1,1,True,27.39804595708847
mkar_softmax_d2_k2_plane_oracle_T1024_s0_sc3_id,softmax,2,2,content,plane,oracle,1000,0.5648808479309082,0.0,1.99394690990448,23,23,23,False,13.789191961288452
mkar_softmax_d2_k2_plane_oracle_T1024_s0_sc3_id,softmax,2,2,content,plane,oracle,2000,0.5636318922042847,0.0,2.0080383718013763,23,23,23,False,13.54359245300293
mkar_softmax_d2_k2_plane_oracle_T1024_s0_sc3_id,softmax,2,2,content,plane,oracle,3000,0.5625563263893127,0.0,2.0189367830753326,23,23,23,False,13.003479798634848
mkar_softmax_d2_k2_plane_oracle_T1024_s0_sc3_id,softmax,2,2,content,plane,oracle,4000,0.5622727274894714,0.0,1.992449551820755,23,23,23,False,12.686962008476257
mkar_smat_d1_k2_plane_oracle_T1024_s0_sc3_id,smat,1,2,content,plane,oracle,1000,0.56492680311203,0.0,1.9933107495307922,0,1,1,False,32.937299489974976
mkar_smat_d1_k2_plane_oracle_T1024_s0_sc3_id,smat,1,2,content,plane,oracle,2000,0.5636387467384338,0.0,2.0074445009231567,0,1,1,False,28.994524002075195
mkar_smat_d1_k2_plane_oracle_T1024_s0_sc3_id,smat,1,2,content,plane,oracle,3000,0.5625696182250977,0.0,2.017738789319992,0,1,1,False,28.542232751846313
mkar_smat_d1_k2_plane_oracle_T1024_s0_sc3_id,smat,1,2,content,plane,oracle,4000,0.5622721910476685,0.0,1.9942434132099152,0,1,1,False,25.65571540594101
mkar_softmax_d2_k3_plane_oracle_T1024_s0_sc3_id,softmax,2,3,content,plane,oracle,1000,0.6590310335159302,0.0,1.0114436447620392,23,23,23,False,14.62183928489685
mkar_softmax_d2_k3_plane_oracle_T1024_s0_sc3_id,softmax,2,3,content,plane,oracle,2000,0.6585142612457275,0.0,1.0172642767429352,23,23,23,False,13.404760360717773
mkar_softmax_d2_k3_plane_oracle_T1024_s0_sc3_id,softmax,2,3,content,plane,oracle,3000,0.6628223657608032,0.0,1.0086570382118225,23,23,23,False,13.505317370096842
mkar_softmax_d2_k3_plane_oracle_T1024_s0_sc3_id,softmax,2,3,content,plane,oracle,4000,0.6626988649368286,0.0,1.0283520966768265,23,23,23,False,13.061687767505646
mkar_smat_d1_k3_plane_oracle_T1024_s0_sc3_id,smat,1,3,content,plane,oracle,1000,0.6590096950531006,0.0,1.011972039937973,0,1,1,False,25.822136402130127
mkar_smat_d1_k3_plane_oracle_T1024_s0_sc3_id,smat,1,3,content,plane,oracle,2000,0.6585183143615723,0.0,1.0174972265958786,0,1,1,False,22.399240851402283
mkar_smat_d1_k3_plane_oracle_T1024_s0_sc3_id,smat,1,3,content,plane,oracle,3000,0.6628278493881226,0.0,1.0083483904600143,0,1,1,False,26.379989703496296
mkar_smat_d1_k3_plane_oracle_T1024_s0_sc3_id,smat,1,3,content,plane,oracle,4000,0.6627042293548584,0.0,1.0281163156032562,0,1,1,False,28.395933091640472
mkar_softmax_d2_k1_plane_oracle_T1024_s1_sc3_id,softmax,2,1,content,plane,oracle,1000,0.3816937208175659,0.0,4.510843455791473,23,23,23,True,14.203558444976807
mkar_softmax_d2_k1_plane_oracle_T1024_s1_sc3_id,softmax,2,1,content,plane,oracle,2000,0.37828749418258667,0.0,4.420193195343018,23,23,23,True,14.043038368225098
mkar_softmax_d2_k1_plane_oracle_T1024_s1_sc3_id,softmax,2,1,content,plane,oracle,3000,0.3795638084411621,0.0,4.444720208644867,23,23,23,True,13.98755677541097
mkar_softmax_d2_k1_plane_oracle_T1024_s1_sc3_id,softmax,2,1,content,plane,oracle,4000,0.3776518702507019,0.0,4.433446288108826,23,23,23,True,13.97318547964096
mkar_smat_d1_k1_plane_oracle_T1024_s1_sc3_id,smat,1,1,content,plane,oracle,1000,0.38176268339157104,0.0,4.511978328227997,0,1,1,True,34.49192476272583
mkar_smat_d1_k1_plane_oracle_T1024_s1_sc3_id,smat,1,1,content,plane,oracle,2000,0.37828725576400757,0.0,4.42048305273056,0,1,1,True,34.31720697879791
mkar_smat_d1_k1_plane_oracle_T1024_s1_sc3_id,smat,1,1,content,plane,oracle,3000,0.3795698285102844,0.0,4.4444674253463745,0,1,1,True,34.24966963132223
mkar_smat_d1_k1_plane_oracle_T1024_s1_sc3_id,smat,1,1,content,plane,oracle,4000,0.37765735387802124,0.0,4.432690441608429,0,1,1,True,32.990845024585724
mkar_softmax_d2_k2_plane_oracle_T1024_s1_sc3_id,softmax,2,2,content,plane,oracle,1000,0.5632498264312744,0.0,2.0635719299316406,23,23,23,False,17.34277629852295
mkar_softmax_d2_k2_plane_oracle_T1024_s1_sc3_id,softmax,2,2,content,plane,oracle,2000,0.5649608373641968,0.0,1.9959033876657486,23,23,23,False,14.647875547409058
