run,arm,d,k,assign,read_mode,dirs,step,loss,exact_support,mse,q,N0,B,covers_k,ms_per_step
mkar_softmax_d2_k1_plane_oracle_T1024_s0_sc3_id_fair2,softmax,2,1,content,plane,oracle,2000,0.377749502658844,0.0,4.444749414920807,23,23,23,True,41.92616868019104
mkar_softmax_d2_k1_plane_oracle_T1024_s0_sc3_id_fair2,softmax,2,1,content,plane,oracle,4000,0.37760215997695923,0.0,4.423852264881134,23,23,23,True,42.44019800424576
mkar_softmax_d2_k1_plane_oracle_T1024_s0_sc3_id_fair2,softmax,2,1,content,plane,oracle,6000,0.37752610445022583,0.0,4.409283936023712,23,23,23,True,42.66664707660675
mkar_softmax_d2_k1_plane_oracle_T1024_s0_sc3_id_fair2,softmax,2,1,content,plane,oracle,8000,0.0008100389968603849,0.99951171875,62.446505069732666,23,23,23,True,42.775926023721695
mkar_softmax_d2_k1_plane_oracle_T1024_s0_sc3_id_fair2,softmax,2,1,content,plane,oracle,10000,9.337742812931538e-05,1.0,92.3268232345581,23,23,23,True,42.836054182052614
mkar_softmax_d2_k1_plane_oracle_T1024_s0_sc3_id_fair2,softmax,2,1,content,plane,oracle,12000,2.8100150302634574e-05,1.0,114.39599609375,23,23,23,True,42.87556072076162
mkar_smat_d1_k1_plane_oracle_T1024_s0_sc3_id_fair2,smat,1,1,content,plane,oracle,2000,0.3777587413787842,0.0,4.445311367511749,0,1,1,True,61.33431613445282
mkar_smat_d1_k1_plane_oracle_T1024_s0_sc3_id_fair2,smat,1,1,content,plane,oracle,4000,0.37760934233665466,0.0,4.423721432685852,0,1,1,True,61.35129404067993
mkar_smat_d1_k1_plane_oracle_T1024_s0_sc3_id_fair2,smat,1,1,content,plane,oracle,6000,0.3775298595428467,0.0,4.409163415431976,0,1,1,True,61.348605473836265
mkar_smat_d1_k1_plane_oracle_T1024_s0_sc3_id_fair2,smat,1,1,content,plane,oracle,8000,0.37655124068260193,0.0,4.401814103126526,0,1,1,True,61.34247529506683
mkar_smat_d1_k1_plane_oracle_T1024_s0_sc3_id_fair2,smat,1,1,content,plane,oracle,10000,0.3768128454685211,0.0,4.421051323413849,0,1,1,True,61.34372465610504
mkar_smat_d1_k1_plane_oracle_T1024_s0_sc3_id_fair2,smat,1,1,content,plane,oracle,12000,0.3766842484474182,0.0,4.4152485728263855,0,1,1,True,61.3417179385821
mkar_softmax_d2_k2_plane_oracle_T1024_s0_sc3_id_fair2,softmax,2,2,content,plane,oracle,2000,0.5632805228233337,0.0,2.0346071422100067,23,23,23,False,42.98468255996704
mkar_softmax_d2_k2_plane_oracle_T1024_s0_sc3_id_fair2,softmax,2,2,content,plane,oracle,4000,0.5629310011863708,0.0,1.9992265850305557,23,23,23,False,43.00069946050644
mkar_softmax_d2_k2_plane_oracle_T1024_s0_sc3_id_fair2,softmax,2,2,content,plane,oracle,6000,0.5615707039833069,0.0,1.9990560710430145,23,23,23,False,43.0064343214035
mkar_softmax_d2_k2_plane_oracle_T1024_s0_sc3_id_fair2,softmax,2,2,content,plane,oracle,8000,0.0011918547097593546,0.9990234375,59.4267897605896,23,23,23,False,43.01494741439819
mkar_softmax_d2_k2_plane_oracle_T1024_s0_sc3_id_fair2,softmax,2,2,content,plane,oracle,10000,0.00028937176102772355,0.99951171875,89.64191722869873,23,23,23,False,43.02658672332764
mkar_softmax_d2_k2_plane_oracle_T1024_s0_sc3_id_fair2,softmax,2,2,content,plane,oracle,12000,9.190222044708207e-05,0.99853515625,116.95871829986572,23,23,23,False,43.03447147210439
mkar_smat_d1_k2_plane_oracle_T1024_s0_sc3_id_fair2,smat,1,2,content,plane,oracle,2000,0.5632867217063904,0.0,2.0345295667648315,0,1,1,False,61.35096096992493
mkar_smat_d1_k2_plane_oracle_T1024_s0_sc3_id_fair2,smat,1,2,content,plane,oracle,4000,0.5629431009292603,0.0,1.9986752569675446,0,1,1,False,61.346861243247986
mkar_smat_d1_k2_plane_oracle_T1024_s0_sc3_id_fair2,smat,1,2,content,plane,oracle,6000,0.5615718364715576,0.0,1.9985853731632233,0,1,1,False,61.34655491511027
mkar_smat_d1_k2_plane_oracle_T1024_s0_sc3_id_fair2,smat,1,2,content,plane,oracle,8000,0.56263267993927,0.0,2.036214053630829,0,1,1,False,61.34912121295929
mkar_smat_d1_k2_plane_oracle_T1024_s0_sc3_id_fair2,smat,1,2,content,plane,oracle,10000,0.5624905228614807,0.0,2.0070140659809113,0,1,1,False,61.349565625190735
mkar_smat_d1_k2_plane_oracle_T1024_s0_sc3_id_fair2,smat,1,2,content,plane,oracle,12000,0.5612084865570068,0.0,2.02165886759758,0,1,1,False,61.35121536254883
mkar_softmax_d2_k3_plane_oracle_T1024_s0_sc3_id_fair2,softmax,2,3,content,plane,oracle,2000,0.6616235971450806,0.0,1.0305371582508087,23,23,23,False,43.03797745704651
mkar_softmax_d2_k3_plane_oracle_T1024_s0_sc3_id_fair2,softmax,2,3,content,plane,oracle,4000,0.6620879173278809,0.0,1.0210540294647217,23,23,23,False,43.02541929483414
mkar_softmax_d2_k3_plane_oracle_T1024_s0_sc3_id_fair2,softmax,2,3,content,plane,oracle,6000,0.6616240739822388,0.0,1.025342732667923,23,23,23,False,43.019466598828636
mkar_softmax_d2_k3_plane_oracle_T1024_s0_sc3_id_fair2,softmax,2,3,content,plane,oracle,8000,0.643584132194519,0.0,1.167750045657158,23,23,23,False,43.007811933755875
mkar_softmax_d2_k3_plane_oracle_T1024_s0_sc3_id_fair2,softmax,2,3,content,plane,oracle,10000,0.004034712444990873,0.99755859375,80.91236972808838,23,23,23,False,43.00969667434693
mkar_softmax_d2_k3_plane_oracle_T1024_s0_sc3_id_fair2,softmax,2,3,content,plane,oracle,12000,0.00036303684464655817,0.9990234375,108.95705699920654,23,23,23,False,43.013854463895164
mkar_smat_d1_k3_plane_oracle_T1024_s0_sc3_id_fair2,smat,1,3,content,plane,oracle,2000,0.661612868309021,0.0,1.0311047285795212,0,1,1,False,61.36573016643524
mkar_smat_d1_k3_plane_oracle_T1024_s0_sc3_id_fair2,smat,1,3,content,plane,oracle,4000,0.6620898246765137,0.0,1.0212404429912567,0,1,1,False,61.372279942035675
mkar_smat_d1_k3_plane_oracle_T1024_s0_sc3_id_fair2,smat,1,3,content,plane,oracle,6000,0.6616067290306091,0.0,1.0255781710147858,0,1,1,False,61.36517679691315
mkar_smat_d1_k3_plane_oracle_T1024_s0_sc3_id_fair2,smat,1,3,content,plane,oracle,8000,0.6618382334709167,0.0,1.013160228729248,0,1,1,False,61.35815182328224
mkar_smat_d1_k3_plane_oracle_T1024_s0_sc3_id_fair2,smat,1,3,content,plane,oracle,10000,0.661773145198822,0.0,1.0201974958181381,0,1,1,False,61.3594987154007
mkar_smat_d1_k3_plane_oracle_T1024_s0_sc3_id_fair2,smat,1,3,content,plane,oracle,12000,0.6612951159477234,0.0,1.0268182903528214,0,1,1,False,61.363941172758736
