run,arm,d,k,assign,read_mode,dirs,step,loss,exact_support,mse,q,N0,B,covers_k,ms_per_step
mkar_smat_d3_k2_plane_learned_deltadir_T1024_s0_sc3_id_fair2,smat,3,2,content,plane,learned,2000,0.36052653193473816,0.0009765625,6.3103607296943665,11,121,132,True,41.82254207134247
mkar_smat_d3_k2_plane_learned_deltadir_T1024_s0_sc3_id_fair2,smat,3,2,content,plane,learned,4000,0.36011725664138794,0.0,6.490081548690796,11,121,132,True,41.7619531750679
mkar_smat_d3_k2_plane_learned_deltadir_T1024_s0_sc3_id_fair2,smat,3,2,content,plane,learned,6000,0.3617746829986572,0.0,6.544419884681702,11,121,132,True,41.717371106147766
mkar_smat_d3_k2_plane_learned_deltadir_T1024_s0_sc3_id_fair2,smat,3,2,content,plane,learned,8000,0.35842326283454895,0.0,6.59412294626236,11,121,132,True,41.70814299583435
mkar_smat_d3_k2_plane_learned_deltadir_T1024_s0_sc3_id_fair2,smat,3,2,content,plane,learned,10000,0.3602026104927063,0.00048828125,6.716195344924927,11,121,132,True,41.673295211791995
mkar_smat_d3_k2_plane_learned_deltadir_T1024_s0_sc3_id_fair2,smat,3,2,content,plane,learned,12000,0.35755419731140137,0.00048828125,6.883833348751068,11,121,132,True,41.66092340151469
mkar_smat_d3_k2_plane_learned_deltadir_soft_T1024_s0_sc3_id_fair2,smat,3,2,content,plane,learned,2000,0.3606913983821869,0.00732421875,6.8540122509002686,11,121,132,True,41.87153148651123
mkar_smat_d3_k2_plane_learned_deltadir_soft_T1024_s0_sc3_id_fair2,smat,3,2,content,plane,learned,4000,0.35907822847366333,0.02392578125,7.266749560832977,11,121,132,True,41.645873725414276
mkar_smat_d3_k2_plane_learned_deltadir_soft_T1024_s0_sc3_id_fair2,smat,3,2,content,plane,learned,6000,0.36070188879966736,0.0263671875,7.860135078430176,11,121,132,True,41.622570196787514
mkar_smat_d3_k2_plane_learned_deltadir_soft_T1024_s0_sc3_id_fair2,smat,3,2,content,plane,learned,8000,0.34765201807022095,0.03369140625,8.601806163787842,11,121,132,True,41.5927272439003
mkar_smat_d3_k2_plane_learned_deltadir_soft_T1024_s0_sc3_id_fair2,smat,3,2,content,plane,learned,10000,0.35595250129699707,0.02490234375,9.26185953617096,11,121,132,True,41.58223395347595
mkar_smat_d3_k2_plane_learned_deltadir_soft_T1024_s0_sc3_id_fair2,smat,3,2,content,plane,learned,12000,0.3477684259414673,0.02392578125,9.322483897209167,11,121,132,True,41.578585743904114
mkar_smat_d3_k2_plane_learned_deltadir_T1024_s0_sc3_id_fair2,smat,3,2,content,plane,learned,2000,0.36052653193473816,0.0009765625,6.3103607296943665,11,121,132,True,46.13472318649292
mkar_smat_d3_k2_plane_learned_deltadir_T1024_s0_sc3_id_fair2,smat,3,2,content,plane,learned,4000,0.36011725664138794,0.0,6.490081548690796,11,121,132,True,44.343014895915985
mkar_smat_d3_k2_plane_learned_deltadir_T1024_s0_sc3_id_fair2,smat,3,2,content,plane,learned,6000,0.3617746829986572,0.0,6.544419884681702,11,121,132,True,43.755211313565574
mkar_smat_d3_k2_plane_learned_deltadir_T1024_s0_sc3_id_fair2,smat,3,2,content,plane,learned,8000,0.35842326283454895,0.0,6.59412294626236,11,121,132,True,43.49306070804596
mkar_smat_d3_k2_plane_learned_deltadir_T1024_s0_sc3_id_fair2,smat,3,2,content,plane,learned,10000,0.3602026104927063,0.00048828125,6.716195344924927,11,121,132,True,43.319376182556155
mkar_smat_d3_k2_plane_learned_deltadir_T1024_s0_sc3_id_fair2,smat,3,2,content,plane,learned,12000,0.35755419731140137,0.00048828125,6.883833348751068,11,121,132,True,43.20632777611414
mkar_smat_d3_k2_plane_learned_deltadir_soft_T1024_s0_sc3_id_fair2,smat,3,2,content,plane,learned,2000,0.3606913983821869,0.00732421875,6.8540122509002686,11,121,132,True,42.890870094299316
mkar_smat_d3_k2_plane_learned_deltadir_soft_T1024_s0_sc3_id_fair2,smat,3,2,content,plane,learned,4000,0.35907822847366333,0.02392578125,7.266749560832977,11,121,132,True,42.815028965473175
mkar_smat_d3_k2_plane_learned_deltadir_soft_T1024_s0_sc3_id_fair2,smat,3,2,content,plane,learned,6000,0.36070188879966736,0.0263671875,7.860135078430176,11,121,132,True,42.76659321784973
mkar_smat_d3_k2_plane_learned_deltadir_soft_T1024_s0_sc3_id_fair2,smat,3,2,content,plane,learned,8000,0.34765201807022095,0.03369140625,8.601806163787842,11,121,132,True,42.69949272274971
mkar_smat_d3_k2_plane_learned_deltadir_soft_T1024_s0_sc3_id_fair2,smat,3,2,content,plane,learned,10000,0.35595250129699707,0.02490234375,9.26185953617096,11,121,132,True,42.64847509860992
mkar_smat_d3_k2_plane_learned_deltadir_soft_T1024_s0_sc3_id_fair2,smat,3,2,content,plane,learned,12000,0.3477684259414673,0.02392578125,9.322483897209167,11,121,132,True,42.61548111836115
mkar_smat_d3_k2_plane_learned_soft_T1024_s0_sc3_id_fair2,smat,3,2,content,plane,learned,2000,0.36083218455314636,0.0078125,6.786987662315369,11,121,132,True,44.04374825954437
mkar_smat_d3_k2_plane_learned_soft_T1024_s0_sc3_id_fair2,smat,3,2,content,plane,learned,4000,0.3578111231327057,0.03173828125,7.5561134815216064,11,121,132,True,43.91737377643585
mkar_smat_d3_k2_plane_learned_soft_T1024_s0_sc3_id_fair2,smat,3,2,content,plane,learned,6000,0.31018179655075073,0.09130859375,12.589477777481079,11,121,132,True,43.88505152861277
