run,arm,d,k,assign,read_mode,dirs,step,loss,exact_support,mse,q,N0,B,covers_k,ms_per_step
mkar_smat_d4_k1_plane_learned_T1024_s0_sc3_id_fair2,smat,4,1,content,plane,learned,2000,0.0027072399388998747,0.99658203125,69.06520462036133,5,125,155,True,181.28040945529938
mkar_smat_d4_k1_plane_learned_T1024_s0_sc3_id_fair2,smat,4,1,content,plane,learned,4000,0.0017040800303220749,0.99951171875,88.84271049499512,5,125,155,True,155.96244299411774
mkar_smat_d4_k1_plane_learned_T1024_s0_sc3_id_fair2,smat,4,1,content,plane,learned,6000,0.00033905875170603395,1.0,106.14391994476318,5,125,155,True,147.5328336159388
mkar_smat_d4_k1_plane_learned_T1024_s0_sc3_id_fair2,smat,4,1,content,plane,learned,8000,3.6176097637508065e-05,0.99951171875,120.18450164794922,5,125,155,True,143.3124773800373
mkar_smat_d4_k1_plane_learned_T1024_s0_sc3_id_fair2,smat,4,1,content,plane,learned,10000,1.8819719116436318e-05,1.0,128.67645835876465,5,125,155,True,140.77947289943694
mkar_smat_d4_k1_plane_learned_T1024_s0_sc3_id_fair2,smat,4,1,content,plane,learned,12000,3.555116563802585e-05,1.0,140.11256217956543,5,125,155,True,139.08718913793564
mkar_smat_d4_k2_plane_learned_T1024_s0_sc3_id_fair2,smat,4,2,content,plane,learned,2000,0.3665978014469147,0.0029296875,5.465537190437317,5,125,155,True,188.25049698352814
mkar_smat_d4_k2_plane_learned_T1024_s0_sc3_id_fair2,smat,4,2,content,plane,learned,4000,0.36019083857536316,0.00048828125,6.365008890628815,5,125,155,True,159.44490933418274
mkar_smat_d4_k2_plane_learned_T1024_s0_sc3_id_fair2,smat,4,2,content,plane,learned,6000,0.30849689245224,0.14892578125,7.677617907524109,5,125,155,True,149.85188364982605
mkar_smat_d4_k2_plane_learned_T1024_s0_sc3_id_fair2,smat,4,2,content,plane,learned,8000,0.20060822367668152,0.482421875,23.561956644058228,5,125,155,True,145.06060075759888
mkar_smat_d4_k2_plane_learned_T1024_s0_sc3_id_fair2,smat,4,2,content,plane,learned,10000,0.1597013920545578,0.4921875,37.87723398208618,5,125,155,True,142.18193576335906
mkar_smat_d4_k2_plane_learned_T1024_s0_sc3_id_fair2,smat,4,2,content,plane,learned,12000,0.17189165949821472,0.484375,42.148600578308105,5,125,155,True,140.2614603638649
mkar_smat_d4_k3_plane_learned_T1024_s0_sc3_id_fair2,smat,4,3,content,plane,learned,2000,0.5320854187011719,0.0,3.4839148223400116,5,125,155,True,134.8811116218567
mkar_smat_d4_k3_plane_learned_T1024_s0_sc3_id_fair2,smat,4,3,content,plane,learned,4000,0.5253807306289673,0.0,4.10886162519455,5,125,155,True,132.71767807006836
mkar_smat_d4_k3_plane_learned_T1024_s0_sc3_id_fair2,smat,4,3,content,plane,learned,6000,0.5225663185119629,0.0,4.457359731197357,5,125,155,True,132.0210212469101
mkar_smat_d4_k3_plane_learned_T1024_s0_sc3_id_fair2,smat,4,3,content,plane,learned,8000,0.4546107053756714,0.02294921875,4.917977154254913,5,125,155,True,131.67723417282104
mkar_smat_d4_k3_plane_learned_T1024_s0_sc3_id_fair2,smat,4,3,content,plane,learned,10000,0.33620789647102356,0.1630859375,9.970492005348206,5,125,155,True,131.47252218723298
mkar_smat_d4_k3_plane_learned_T1024_s0_sc3_id_fair2,smat,4,3,content,plane,learned,12000,0.26673567295074463,0.1953125,14.83600115776062,5,125,155,True,131.33544888099036
