run,arm,d,k,assign,read_mode,dirs,step,loss,exact_support,mse,q,N0,B,covers_k,ms_per_step
mkar_smat_d1_k1_plane_oracle_T1024_s0_sc3_id_fair2_mem1472,smat,1,1,content,plane,oracle,2000,0.3777608275413513,0.0,4.445318281650543,0,1,1,True,116.5992728471756
mkar_smat_d1_k1_plane_oracle_T1024_s0_sc3_id_fair2_mem1472,smat,1,1,content,plane,oracle,4000,0.37761032581329346,0.0,4.423650443553925,0,1,1,True,116.62906783819199
mkar_smat_d1_k1_plane_oracle_T1024_s0_sc3_id_fair2_mem1472,smat,1,1,content,plane,oracle,6000,0.3775305151939392,0.0,4.409061789512634,0,1,1,True,116.64081732432048
mkar_smat_d1_k1_plane_oracle_T1024_s0_sc3_id_fair2_mem1472,smat,1,1,content,plane,oracle,8000,0.37655121088027954,0.0,4.401870369911194,0,1,1,True,116.66053318977356
mkar_smat_d1_k1_plane_oracle_T1024_s0_sc3_id_fair2_mem1472,smat,1,1,content,plane,oracle,10000,0.3768126368522644,0.0,4.420918881893158,0,1,1,True,116.67792844772339
mkar_smat_d1_k1_plane_oracle_T1024_s0_sc3_id_fair2_mem1472,smat,1,1,content,plane,oracle,12000,0.376684308052063,0.0,4.415215849876404,0,1,1,True,116.68838608264923
mkar_smat_d1_k2_plane_oracle_T1024_s0_sc3_id_fair2_mem1472,smat,1,2,content,plane,oracle,2000,0.5632879137992859,0.0,2.0345024466514587,0,1,1,False,116.79580366611481
mkar_smat_d1_k2_plane_oracle_T1024_s0_sc3_id_fair2_mem1472,smat,1,2,content,plane,oracle,4000,0.5629469156265259,0.0,1.9986416548490524,0,1,1,False,116.73513776063919
mkar_smat_d1_k2_plane_oracle_T1024_s0_sc3_id_fair2_mem1472,smat,1,2,content,plane,oracle,6000,0.5615718364715576,0.0,1.9986370503902435,0,1,1,False,116.73968688646953
mkar_smat_d1_k2_plane_oracle_T1024_s0_sc3_id_fair2_mem1472,smat,1,2,content,plane,oracle,8000,0.5626316070556641,0.0,2.0361887514591217,0,1,1,False,116.72818374633789
mkar_smat_d1_k2_plane_oracle_T1024_s0_sc3_id_fair2_mem1472,smat,1,2,content,plane,oracle,10000,0.5624925494194031,0.0,2.007141023874283,0,1,1,False,116.73892784118652
mkar_smat_d1_k2_plane_oracle_T1024_s0_sc3_id_fair2_mem1472,smat,1,2,content,plane,oracle,12000,0.5612070560455322,0.0,2.0218816697597504,0,1,1,False,116.76321655511856
mkar_smat_d1_k3_plane_oracle_T1024_s0_sc3_id_fair2_mem1472,smat,1,3,content,plane,oracle,2000,0.6616072058677673,0.0,1.0311163365840912,0,1,1,False,116.7773357629776
mkar_smat_d1_k3_plane_oracle_T1024_s0_sc3_id_fair2_mem1472,smat,1,3,content,plane,oracle,4000,0.662095308303833,0.0,1.0212434381246567,0,1,1,False,116.69978535175323
mkar_smat_d1_k3_plane_oracle_T1024_s0_sc3_id_fair2_mem1472,smat,1,3,content,plane,oracle,6000,0.6616055965423584,0.0,1.0255698710680008,0,1,1,False,116.70174849033356
mkar_smat_d1_k3_plane_oracle_T1024_s0_sc3_id_fair2_mem1472,smat,1,3,content,plane,oracle,8000,0.6618355512619019,0.0,1.01310633122921,0,1,1,False,116.73466104269028
