run,arm,d,k,assign,read_mode,dirs,step,loss,exact_support,mse,q,N0,B,covers_k,ms_per_step
mkar_smat_d3_k1_point_oracle_T1024_s0_sc3_id_fair2,smat,3,1,content,point,oracle,2000,0.0003493247786536813,1.0,67.55117797851562,11,121,132,True,117.40184724330902
mkar_smat_d3_k1_point_oracle_T1024_s0_sc3_id_fair2,smat,3,1,content,point,oracle,4000,9.185685485135764e-05,1.0,90.20802688598633,11,121,132,True,114.97313559055328
mkar_smat_d3_k1_point_oracle_T1024_s0_sc3_id_fair2,smat,3,1,content,point,oracle,6000,2.9438675483106636e-05,1.0,111.82024765014648,11,121,132,True,114.18760232130687
mkar_smat_d3_k1_point_oracle_T1024_s0_sc3_id_fair2,smat,3,1,content,point,oracle,8000,9.766796210897155e-06,1.0,135.799955368042,11,121,132,True,113.79234719276428
mkar_smat_d3_k1_point_oracle_T1024_s0_sc3_id_fair2,smat,3,1,content,point,oracle,10000,3.2467230539623415e-06,1.0,162.45358085632324,11,121,132,True,113.55664172172547
mkar_smat_d3_k1_point_oracle_T1024_s0_sc3_id_fair2,smat,3,1,content,point,oracle,12000,1.1498011645016959e-06,1.0,191.9423713684082,11,121,132,True,113.39932930469513
mkar_smat_d3_k2_point_oracle_T1024_s0_sc3_id_fair2,smat,3,2,content,point,oracle,2000,0.36098214983940125,0.0,6.762545347213745,11,121,132,True,120.68203210830688
mkar_smat_d3_k2_point_oracle_T1024_s0_sc3_id_fair2,smat,3,2,content,point,oracle,4000,0.3604927062988281,0.0,7.0473639369010925,11,121,132,True,116.6081634759903
mkar_smat_d3_k2_point_oracle_T1024_s0_sc3_id_fair2,smat,3,2,content,point,oracle,6000,0.3596971035003662,0.0,7.079525589942932,11,121,132,True,115.25704157352448
mkar_smat_d3_k2_point_oracle_T1024_s0_sc3_id_fair2,smat,3,2,content,point,oracle,8000,0.3582886755466461,0.00146484375,7.14683723449707,11,121,132,True,114.58516350388527
mkar_smat_d3_k2_point_oracle_T1024_s0_sc3_id_fair2,smat,3,2,content,point,oracle,10000,0.36039668321609497,0.00244140625,7.25755900144577,11,121,132,True,114.18110010623931
mkar_smat_d3_k2_point_oracle_T1024_s0_sc3_id_fair2,smat,3,2,content,point,oracle,12000,0.35626932978630066,0.0068359375,7.546205282211304,11,121,132,True,113.91252321004868
mkar_smat_d3_k3_point_oracle_T1024_s0_sc3_id_fair2,smat,3,3,content,point,oracle,2000,0.5275963544845581,0.0,4.541588544845581,11,121,132,False,209.63218414783478
mkar_smat_d3_k3_point_oracle_T1024_s0_sc3_id_fair2,smat,3,3,content,point,oracle,4000,0.5251677632331848,0.0,4.75896430015564,11,121,132,False,161.14256519079208
mkar_smat_d3_k3_point_oracle_T1024_s0_sc3_id_fair2,smat,3,3,content,point,oracle,6000,0.5259688496589661,0.0,4.765713334083557,11,121,132,False,144.98035562038422
mkar_smat_d3_k3_point_oracle_T1024_s0_sc3_id_fair2,smat,3,3,content,point,oracle,8000,0.5253396034240723,0.0,4.742144703865051,11,121,132,False,136.89880993962288
mkar_smat_d3_k3_point_oracle_T1024_s0_sc3_id_fair2,smat,3,3,content,point,oracle,10000,0.5253369808197021,0.0,4.8405938148498535,11,121,132,False,132.0509029150009
mkar_smat_d3_k3_point_oracle_T1024_s0_sc3_id_fair2,smat,3,3,content,point,oracle,12000,0.5204122066497803,0.0,4.933618366718292,11,121,132,False,128.81977307796478
mkar_smat_d4_k1_point_oracle_T1024_s0_sc3_id_fair2,smat,4,1,content,point,oracle,2000,0.0003557406598702073,1.0,68.358962059021,5,125,155,True,117.99114549160004
mkar_smat_d4_k1_point_oracle_T1024_s0_sc3_id_fair2,smat,4,1,content,point,oracle,4000,8.58871208038181e-05,1.0,90.81423950195312,5,125,155,True,116.67247825860977
mkar_smat_d4_k1_point_oracle_T1024_s0_sc3_id_fair2,smat,4,1,content,point,oracle,6000,2.8321474019321613e-05,1.0,112.74126815795898,5,125,155,True,116.24098889033
mkar_smat_d4_k1_point_oracle_T1024_s0_sc3_id_fair2,smat,4,1,content,point,oracle,8000,9.29063116927864e-06,1.0,137.20343589782715,5,125,155,True,116.02574917674065
mkar_smat_d4_k1_point_oracle_T1024_s0_sc3_id_fair2,smat,4,1,content,point,oracle,10000,3.099393552474794e-06,1.0,164.77909660339355,5,125,155,True,115.89725949764252
mkar_smat_d4_k1_point_oracle_T1024_s0_sc3_id_fair2,smat,4,1,content,point,oracle,12000,1.0522855973249534e-06,1.0,194.71227836608887,5,125,155,True,115.813951810201
mkar_smat_d4_k2_point_oracle_T1024_s0_sc3_id_fair2,smat,4,2,content,point,oracle,2000,0.3612225353717804,0.0,6.744276225566864,5,125,155,True,179.475301861763
mkar_smat_d4_k2_point_oracle_T1024_s0_sc3_id_fair2,smat,4,2,content,point,oracle,4000,0.35926610231399536,0.00048828125,7.09138035774231,5,125,155,True,147.4700127840042
