run,arm,d,k,assign,read_mode,dirs,step,loss,exact_support,mse,q,N0,B,covers_k,ms_per_step
mkar_smat_d4_k2_point_oracle_T1024_s0_sc3_id_fair2,smat,4,2,content,point,oracle,2000,0.3612225353717804,0.0,6.744276225566864,5,125,155,True,280.40666484832764
mkar_smat_d4_k3_point_oracle_T1024_s0_sc3_id_fair2,smat,4,3,content,point,oracle,2000,0.5267481207847595,0.0,4.54634290933609,5,125,155,True,280.4076807498932
mkar_smat_d4_k3_point_oracle_T1024_s0_sc3_id_fair2,smat,4,3,content,point,oracle,4000,0.5256310105323792,0.0,4.794725835323334,5,125,155,True,244.77753269672394
mkar_smat_d4_k2_point_oracle_T1024_s0_sc3_id_fair2,smat,4,2,content,point,oracle,4000,0.3592660427093506,0.00048828125,7.091380059719086,5,125,155,True,244.77961772680283
mkar_smat_d4_k3_point_oracle_T1024_s0_sc3_id_fair2,smat,4,3,content,point,oracle,6000,0.5251878499984741,0.0,4.846170723438263,5,125,155,True,232.86339378356934
mkar_smat_d4_k2_point_oracle_T1024_s0_sc3_id_fair2,smat,4,2,content,point,oracle,6000,0.35894572734832764,0.00146484375,7.136425077915192,5,125,155,True,232.86671872933707
mkar_smat_d4_k2_point_oracle_T1024_s0_sc3_id_fair2,smat,4,2,content,point,oracle,8000,0.3584967851638794,0.001953125,7.366333544254303,5,125,155,True,209.9177951514721
mkar_smat_d4_k3_point_oracle_T1024_s0_sc3_id_fair2,smat,4,3,content,point,oracle,8000,0.5230890512466431,0.0,4.87007462978363,5,125,155,True,209.9211370050907
mkar_smat_d4_k2_point_oracle_T1024_s0_sc3_id_fair2,smat,4,2,content,point,oracle,10000,0.3563581109046936,0.01123046875,7.733509659767151,5,125,155,True,187.16740865707396
mkar_smat_d4_k3_point_oracle_T1024_s0_sc3_id_fair2,smat,4,3,content,point,oracle,10000,0.5232769846916199,0.0,5.034066081047058,5,125,155,True,187.1696064710617
mkar_smat_d4_k3_point_oracle_T1024_s0_sc3_id_fair2,smat,4,3,content,point,oracle,12000,0.5201354026794434,0.00048828125,5.246196866035461,5,125,155,True,171.9546136856079
mkar_smat_d4_k2_point_oracle_T1024_s0_sc3_id_fair2,smat,4,2,content,point,oracle,12000,0.3557629883289337,0.01806640625,8.368602395057678,5,125,155,True,171.95422705014548
